date,rh,es,sw_in,H,vpd,vp,Rn,ws,t_avg,G,t_dew,LE,wd,t_min,t_max,Rn_subday_gaps,G_subday_gaps,H_subday_gaps,ppt,LE_subday_gaps,ASCE_ETo,rso,flux,energy,ebc_cf,ebr_5day_clim,flux_corr,LE_corr,ebr_corr,ebr,H_corr,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,ET_fill_val
2009-01-01,,,,,,,,,,,,,,,,,,,,,,130.2197061974492,,,1.1635287451898095,0.8594544863065393,,,0.8594544863065393,,,,,1.1,0.8,0.0,,,,False,
2009-01-02,,,,,,,,,,,,,,,,,,,,,,130.6995691259724,,,1.1625059660807455,0.8602106390656938,,,0.8602106390656938,,,,,1.1,0.8,1.8000001,,,,False,
2009-01-03,,,,,,,,,,,,,,,,,,,,,,131.21787615630376,,,1.1564568922286802,0.8647101389770246,,,0.8647101389770246,,,,,1.7,1.1,0.0,,,,False,
2009-01-04,,,,,,,,,,,,,,,,,,,,,,131.77450323331942,,,1.1574758775713678,0.8639488903200419,,,0.8639488903200419,,,,,1.1,0.8,0.0,,,,False,
2009-01-05,,,,,,,,,,,,,,,,,,,,,,132.36931497155754,,,1.1491537565381456,0.8702055702385075,,,0.8702055702385075,,,,,1.1,0.7,1.0,,,,False,
2009-01-06,,,,,,,,,,,,,,,,,,,,,,133.00216442952706,,,1.1560748329426296,0.8649959081408576,,,0.8649959081408576,,,,,1.3000001,0.90000004,0.0,,,,False,
2009-01-07,,,,,,,,,,,,,,,,,,,,,,133.67289287690386,,,1.156713558256333,0.8645182663091041,,,0.8645182663091041,,,,,0.8,0.7,0.0,,,,False,
2009-01-08,,,,,,,,,,,,,,,,,,,,,,134.38132955608472,,,1.1565059623325529,0.8646734496578847,,,0.8646734496578847,,,,,1.5,1.0,0.0,,,,False,
2009-01-09,,,,,,,,,,,,,,,,,,,,,,135.12729143961636,,,1.1657835079276424,0.8577922000094617,,,0.8577922000094617,,,,,1.9,1.2,0.0,,,,False,
2009-01-10,,,,,,,,,,,,,,,,,,,,,,135.91058298504913,,,1.1781164265351944,0.8488125430361501,,,0.8488125430361501,,,,,2.5,1.6,0.0,,,,False,
