date,rh,es,sw_in,H,vpd,vp,Rn,ws,t_avg,G,t_dew,LE,wd,t_min,t_max,Rn_subday_gaps,G_subday_gaps,H_subday_gaps,ppt,LE_subday_gaps,ASCE_ETo,rso,flux,energy,ebc_cf,ebr_5day_clim,flux_corr,LE_corr,ebr_corr,ebr,H_corr,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,ET_fill_val
2005-01-01,,,,,,,,,,,,,,,,,,,,,,145.63282605963315,,,0.7708738560566673,1.297229101938164,,,1.297229101938164,,,,,2.9,1.9,0.0,,,,False,
2005-01-02,,,,,,,,,,,,,,,,,,,,,,146.11261197042057,,,0.7708490549253465,1.2972708387076453,,,1.2972708387076453,,,,,2.3,1.5,0.0,,,,False,
2005-01-03,,,,,,,,,,,,,,,,,,,,,,146.63059834285698,,,0.7708242553898157,1.2973125754771264,,,1.2973125754771264,,,,,1.9,1.3000001,1.4,,,,False,
2005-01-04,,,,,,,,,,,,,,,,,,,,,,147.18663568725438,,,0.7742829730223872,1.2915174875879474,,,1.2915174875879474,,,,,1.3000001,0.90000004,14.1,,,,False,
2005-01-05,,,,,,,,,,,,,,,,,,,,,,147.78056155619444,,,0.7757685055442409,1.2890443384247074,,,1.2890443384247074,,,,,1.9,1.2,29.300001,,,,False,
2005-01-06,,,,,,,,,,,,,,,,,,,,,,148.4122003815042,,,0.7808020364239456,1.280734364602807,,,1.280734364602807,,,,,1.3000001,0.90000004,0.0,,,,False,
2005-01-07,,,,,,,,,,,,,,,,,,,,,,149.08136330747527,,,0.7874318062213138,1.2699512416176677,,,1.2699512416176677,,,,,1.0,0.7,0.6,,,,False,
2005-01-08,,,,,,,,,,,,,,,,,,,,,,149.78784802157875,,,0.7978736386844342,1.253331293973868,,,1.253331293973868,,,,,0.90000004,0.7,2.1000001,,,,False,
2005-01-09,,,,,,,,,,,,,,,,,,,,,,150.5314385839694,,,0.8069823368810868,1.2391844954933078,,,1.2391844954933078,,,,,2.6000001,1.7,0.0,,,,False,
2005-01-10,,,,,,,,,,,,,,,,,,,,,,151.31190525709914,,,0.8176805687304435,1.2229714612793494,,,1.2229714612793494,,,,,2.7,1.8000001,0.0,,,,False,
2005-01-11,,,,,,,,,,,,,,,,,,,,,,152.12900433678723,,,0.8277159134035589,1.2081439825024154,,,1.2081439825024154,,,,,1.1,0.90000004,0.0,,,,False,
2005-01-12,,,,,,,,,,,,,,,,,,,,,,152.9824779861059,,,0.8354315200102911,1.1969861994046882,,,1.1969861994046882,,,,,3.9,2.5,0.0,,,,False,
2005-01-13,,,,,,,,,,,,,,,,,,,,,,153.8720540734513,,,0.8349259458917829,1.1977110124801569,,,1.1977110124801569,,,,,2.7,1.7,0.0,,,,False,
2005-01-14,,,,,,,,,,,,,,,,,,,,,,154.79744601617182,,,0.8344209833149595,1.1984358255556251,,,1.1984358255556251,,,,,1.7,1.1,0.0,,,,False,
2005-01-15,,,,,,,,,,,,,,,,,,,,,,155.7583526311135,,,0.8271128916800881,1.209024801884942,,,1.209024801884942,,,,,1.1,0.7,0.0,,,,False,
2005-01-16,,,,,,,,,,,,,,,,,,,,,,156.7544579934393,,,0.8226281875153691,1.2156160160525948,,,1.2156160160525948,,,,,1.2,0.8,0.0,,,,False,
2005-01-17,,,,,,,,,,,,,,,,,,,,,,157.78543130504954,,,0.8204040235721664,1.2189116231364212,,,1.2189116231364212,,,,,1.3000001,0.90000004,0.0,,,,False,
