date,theta_8,WS_1_1_1,sw_out,vp,theta_20,theta_10,theta_39,theta_38,SW_IN_1_1_1,theta_3,theta_33,ws,Rn,theta_17,theta_5,SW_IN_1_1_2,theta_13,theta_11,theta_12,LE,theta_26,theta_40,lw_in,theta_28,theta_22,theta_24,theta_29,WS_1_3_1,theta_mean,WD_1_3_1,WD_1_1_1,sw_in,theta_4,g_3,theta_35,theta_9,G,lw_out,t_dew,theta_23,theta_34,vpd,theta_6,theta_16,theta_25,theta_1,theta_2,theta_15,theta_14,WD_1_2_1,theta_37,g_1,t_avg,WS_1_4_1,rh,theta_18,H,theta_30,g_2,theta_27,theta_19,wd,theta_21,WS_1_2_1,theta_32,es,theta_36,theta_31,WD_1_4_1,theta_7,t_min,t_max,LE_subday_gaps,Rn_subday_gaps,G_subday_gaps,ppt,H_subday_gaps,rso,flux,energy,ebr_corr,ebr_5day_clim,LE_corr,ebc_cf,H_corr,ebr,flux_corr,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,ET_fill_val,ASCE_ETo
2019-05-10,,2.933174531888353,38.120833333333344,2.980841866711773,,,,,300.8049999999999,,,2.1692832163054216,193.73208333333332,,,284.34166666666664,,,,,,,412.51041666666674,,,,,2.1441666666666674,31.24940702931329,84.42625000000002,85.93252736878132,292.5733333333333,,,,33.02166666666666,19.637940972222214,481.46250000000015,23.505160911171888,,,0.8910514583333332,,,,,,,,85.22500000000002,,,28.255085334010573,1.0470833333333338,75.51895833333334,,,,,,,84.32854850886203,,2.5527083333333342,,3.8718933250451064,,,81.7304166666667,,24.381413687455698,32.326370311338394,48.0,0.0,12.0,0.0,48.0,344.1582304572855,,174.0941423611111,0.7827367225037761,0.7827367225037761,,1.2775687804722562,,,,,,7.8,6.2000003,0.90000004,,,,False,,5.5219083632737584
2019-05-11,,2.1541786425574885,37.95229166666667,2.9590953718703683,,,,,,,,1.663544660639373,,,,276.1062500000001,,,,,,,418.89791666666656,,,,,1.6399999999999997,29.925873166763807,,159.39450166015666,282.76739583333335,,,,,,494.59375000000006,23.38893913474777,,,1.0535675,,,,,,,,,,,28.688154550441705,0.9308333333333332,73.84979166666666,,,,,,,159.4375006553144,,1.9291666666666665,,4.0126628718703685,,,,,24.199475523512,34.4189452870245,48.0,1.0,11.0,2.508,48.0,344.7662688535092,,,0.7995289796773865,0.7995289796773865,,1.2507364028299568,,,,,,7.5,6.0,7.2000003,,,,False,,5.560177919125409
2019-05-12,,2.266170563948325,29.191666666666652,3.154402818246122,,,,,230.3454166666667,,,1.714667640987081,155.82666666666668,,,214.82916666666668,,,,,,,426.90833333333336,,,,,1.6443749999999997,30.66836232979982,,186.047739835482,222.5872916666667,,,,,,472.23541666666665,24.412777168627674,,,0.6375002083333333,,,,,,,,,,,27.849603898531715,0.9877083333333334,82.26333333333334,,,,,,,186.00196469517638,,1.960416666666667,,3.791903026579456,,,,,24.031624413567,32.597869608465,48.0,0.0,10.0,11.034,48.0,345.3553709528324,,,0.8163212368509967,0.8163212368509967,,1.2250079440019888,,,,,,7.3,5.7000003,13.8,,,,False,,4.335032294041692
2019-05-13,,,13.980416666666665,3.1329709902010627,,,,,109.04791666666664,,,1.969459642753144,75.58833333333334,,,102.08541666666667,,,,,,,435.63541666666674,,,,,1.9064583333333331,,,,105.5666666666667,,,,,,455.11458333333326,24.28807705377292,,,0.2655579166666667,,,,,,,,,,,26.06214331506332,1.1341666666666668,91.67208333333332,,,,,,,,,2.261458333333333,,3.3985289068677287,,,,,23.716683068397998,31.8711854133498,48.0,0.0,14.0,50.155,48.0,345.92571306437003,,,0.8311097986474945,0.8311097986474945,,1.2032104562205244,,,,,,5.5,4.4,18.9,,,,False,,2.5714298598652476
2019-05-14,,,16.039375,3.0112839266844422,,,,,121.78020833333336,,,1.2679887816807165,81.7491666666667,,,115.29583333333336,,,,,,,434.40625,,,,,1.225833333333333,,,,118.53802083333328,,,,,,458.39791666666673,23.65267939325983,,,0.31462687500000003,,,,,,,,,,,25.719292348994607,,89.72333333333334,,,,,,,,,1.460208333333333,,3.3259108016844423,,,,,22.979384251371002,28.8056321464442,48.0,0.0,10.0,13.04,48.0,346.4774751452275,,,0.8438946650668796,0.8438946650668796,,1.1849820142194512,,,,,,5.5,4.6,8.1,,,,False,,2.3546230394766066
2019-05-15,,2.212147873971562,29.9525,2.6226110222992416,,,,,243.17500000000004,,,1.6095473851595568,161.71416666666673,,,231.68541666666667,,,,,,,413.44583333333327,,,,,1.5829166666666663,,,104.00578330783684,237.4302083333334,,,,,,464.95416666666665,21.421555452055518,,,0.7390145833333334,,,,,,,,,,,25.897868493892805,0.7235416666666667,76.32895833333333,,,,,,,103.27760711971969,,1.9195833333333332,,3.3616256056325757,,,,,23.2305881794532,29.126278698689397,48.0,0.0,12.0,0.0,48.0,347.0108402732286,,,0.8482021088384141,0.8482021088384141,,1.1789642935095603,,,,,,5.2000003,4.6,0.0,,,,False,,4.36630426211422
2019-05-16,,2.4956784237596312,42.479583333333345,2.332977571809645,,,,,320.65124999999995,,,1.8002216892732408,193.46541666666667,,,303.8,,,,,,,381.7937500000001,,,,,1.7970833333333325,,,88.61486353767118,312.225625,,,,,,466.50000000000006,19.576845360833552,,,1.071485625,,,,,,,,86.66479166666667,,,26.02753815154877,0.7456249999999996,66.87354166666667,,,,,,,89.37897550002968,,2.162499999999999,,3.4044631968096435,,,,,22.4590590560121,30.265980666691398,48.0,0.0,11.0,0.0,48.0,347.5259941257751,,,0.8502240445287188,0.8502240445287188,,1.176160573715958,,,,,,6.5,5.3,0.0,,,,False,,5.640100792346949
2019-05-17,,,47.76187499999998,2.1204653396390145,,,,,,,,1.4635252454297747,,,,329.73541666666665,,,,,,,368.1479166666666,,,,,1.4779166666666663,36.13312499999999,,,337.65791666666667,,,,,7.768262152777775,470.0916666666666,18.047565608304094,,,1.2028208333333337,,,,,,,,,,,25.427342695397225,0.6399999999999998,64.75916666666669,,,,,,,,,1.7566666666666668,,3.3232861729723484,,,,,19.8609388891715,30.570572634271496,48.0,7.0,11.0,0.0,48.0,348.02312446564963,,,0.8421334504970257,0.8421334504970257,,1.1874602527779912,,,,,,8.1,6.7000003,0.0,,,,False,,5.784016507673916
2019-05-18,,,50.19958333333334,,,,,,,,,1.4597643680648194,,,,337.66875,,,,,,,366.8583333333332,,,,,1.5235416666666663,33.42309375000001,,,344.90281249999987,,,,,12.67913541666666,474.99374999999986,,,,1.110896875,,,,,,,,,,,,0.6797916666666666,67.38520833333332,,,,,,,,,1.7991666666666664,,,,,,,19.4680874227967,30.4752907608961,48.0,3.0,11.0,0.0,48.0,348.50242063454283,,,0.8339043985823649,0.8339043985823649,,1.1991782291831021,,,,,,8.1,6.6,0.0,,,,False,,
2019-05-19,,,46.96354166666666,,,,,,,,,1.2625331739763923,,,,315.68333333333334,,,,,,,381.29791666666665,,,,,1.3881249999999998,33.14908928571429,,,323.2025000000001,,,,,,484.33541666666673,,,,1.12846875,,,,,,,,,,,,0.6093750000000001,70.05791666666667,,,,,,,,,1.6495833333333334,,,,,,,25.312401775969402,28.5792879235219,48.0,1.0,11.0,0.0,48.0,348.9640730550415,,,0.8256753466677043,0.8256753466677043,,1.2111297788360071,,,,,,7.7000003,6.1,0.0,,,,False,,
