date,ws,vpd,t_avg,sw_in,es,t_dew,vp,wd,theta_2,rh,H,LE,theta_mean,Rn,theta_1,G,t_min,t_max,G_subday_gaps,LE_subday_gaps,H_subday_gaps,ppt,Rn_subday_gaps,ASCE_ETo,rso,flux,energy,H_corr,ebr,flux_corr,ebr_5day_clim,ebc_cf,LE_corr,ebr_corr,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,ET_fill_val
1997-03-31,2.780208333333333,0.025425000000000003,7.0910416666666665,,1.0230100864450835,6.57854370695645,0.9975850864450836,259.8541666666667,,78.09479166666667,156.02314583333333,17.041666666666668,,143.15916666666666,,-6.0545833333333325,4.23,12.04,,,,,,,301.6874467709309,173.0648125,149.21375,140.21205931247707,1.1598449372125557,155.5267561460006,1.0307821894377371,0.8986619168815764,15.314696833523529,1.11276552529351,0.5926920513066537,0.532629774947711,5.3,3.8,0.0,0.14016573024939766,0.2834995145174653,1.0772981551663678,False,
1997-04-01,2.7960416666666674,0.024197916666666663,4.235416666666667,,0.8384599317031906,3.6662116552061583,0.8142620150365238,268.5833333333333,,72.4379166666667,98.1554375,21.15,,101.96750000000002,,-15.224375000000002,-0.42,8.93,,,,,,,303.46774880715776,119.3054375,117.191875,89.02602867734791,1.0180350600244257,108.20887330096755,1.019275321076639,0.9069902895328432,19.18284462361964,1.1025476364416895,0.7335848522833183,0.6653543375693548,4.8,3.5,1.5,0.19010123930552994,0.2799761775765372,0.9799166215178802,False,
1997-04-02,1.3260416666666666,0.04991874999999999,2.69375,,0.7487609549763993,1.5841042960844476,0.6988422049763994,243.5625,,34.834166666666654,59.807916666666664,30.919583333333325,,63.87979166666665,,-11.916875,-0.28,6.68,,,,,,,305.23123312272344,90.7275,75.79666666666667,54.245199653856154,1.1969853555565328,82.28896149359103,1.0101843213511357,0.9069902895328432,28.043761839734863,1.1025476364416895,1.0708767356264564,0.9712748004998256,3.9,2.9,2.1000001,0.3349223449999399,0.23578654569023705,0.6837809825016873,False,
1997-04-03,,0.01958958333333333,1.6831250000000004,,0.6923404692811537,1.1369842864623578,0.6727508859478205,282.4375,,72.82562500000002,,,,46.67877083333335,,-15.047062500000004,0.12,5.44,,,,,,,306.97740422776377,,61.725833333333355,,,,1.0009489615534533,0.9140290163117653,16.77148784314359,1.0940571712210403,,0.5803129271844625,2.8,2.3,1.9,,0.2523099683410707,0.5803129271844625,True,0.5803129271844625
1997-04-04,2.9670833333333344,0.011477083333333334,3.7733333333333348,,0.8072522619571824,3.4175860502519613,0.7957751786238492,261.8333333333333,,86.72708333333333,63.65835416666666,12.297291666666668,,91.22416666666668,,-6.617083333333336,0.97,7.18,,,,,,,308.70578412733624,75.95564583333334,97.84125000000004,58.54181519936065,0.7763151618906474,69.85071228956537,0.991253004097214,0.9196250196178464,11.308897090204717,1.087399732138164,0.4263431519094189,0.3920758294386339,3.6000001000000004,2.9,0.4,0.13519856187539098,0.2956463773741217,0.8573744943849531,False,
1997-04-05,3.159583333333334,0.010791666666666666,3.9535416666666663,,0.8170012278278281,3.617777893670616,0.8062095611611615,237.08333333333331,,88.24666666666668,62.82729166666668,14.522083333333331,,86.31750000000002,,-3.523333333333332,1.98,7.34,,,,,,,310.4159124514311,77.34937500000002,89.84083333333334,58.09413381303927,0.8609601239228637,71.52218124323551,0.9831020896774594,0.9246639839460308,13.428047430196251,1.0814739379514604,0.5035619368921752,0.4656255867302986,3.0,2.5,0.0,0.18625023469211946,0.3284384925306563,0.8210962313266407,False,
1997-04-06,1.2739583333333333,0.041320833333333334,7.181041666666667,,1.066104289713367,6.502945051438768,1.0247834563800342,170.375,,68.19541666666665,139.66083333333333,50.817916666666676,,179.92939583333336,,5.826458333333335,0.68,14.5,,,,,,,312.10734655583,190.47875,174.10293750000002,129.13934255122265,1.0940582205857383,176.12883983206,0.9743652014103426,0.9246639839460308,46.98949728083742,1.0814739379514604,1.7675472904350773,1.634387319386711,3.8,3.1000001,0.0,0.5272216989240455,0.3058287114533403,0.948069036088226,False,
1997-04-07,1.7412500000000006,0.05942291666666665,10.421249999999997,,1.3140988956673711,9.591304879554446,1.2546759790007045,228.85416666666663,,60.78166666666666,136.5802083333333,48.66708333333335,,171.07358333333337,,4.857083333333334,4.27,17.64,,,,,,,313.77966159386403,185.24729166666665,166.21650000000002,128.75930239365718,1.1144939982893791,174.63959336700634,0.967074378965022,0.9427376335479832,45.88029097334918,1.0607405119030948,1.6979663066663224,1.6007367377908177,5.1,4.0,0.0,0.4001841844477044,0.30126093462973985,1.2050437385189594,False,
1997-04-08,2.502291666666667,0.05169583333333335,9.709375,,1.246790220302927,8.942728732942783,1.1950943869695931,282.5208333333333,,64.04229166666666,125.2823125,54.13958333333335,,172.48772916666667,,2.030416666666665,2.98,16.4,,,,,,,315.4324505591865,179.42189583333337,170.45731250000003,118.10835081166893,1.0525913684890071,169.14777348460944,0.9606425817517712,0.9427376335479832,51.039422672940525,1.0607405119030948,1.8876175255978225,1.7795280791257906,6.2000003,4.6,0.0,0.3868539302447371,0.3281305239556063,1.509400410195789,False,
1997-04-09,3.640625,0.019775,4.57375,,0.8563061105309931,4.095336301193363,0.8365311105309935,263.8541666666667,,78.795,111.00541666666668,20.496458333333333,,109.94916666666666,,-8.00583333333333,1.16,8.67,,,,,,,317.0653242997481,131.501875,117.95499999999998,102.64271081458915,1.1148478233224537,121.59504763387298,0.9570508862034632,0.9246639839460308,18.952336819283826,1.0814739379514604,0.71114489650905,0.6575700731689459,4.5,3.3,0.0,0.19926365853604425,0.3446328293319009,1.137288336795273,False,
1997-04-10,2.383541666666667,0.0453875,6.009166666666667,,0.9679487840611344,5.189956895960129,0.9225612840611346,252.95833333333331,,57.235625,156.44625,33.44397916666667,,177.1756249999999,,-0.4762291666666661,1.22,12.45,,,,,,,318.6779115032327,189.89022916666667,177.6518541666666,147.48776750245614,1.0688896553171827,179.0166652784675,0.9531500416122448,0.9427376335479832,31.52889777601139,1.0607405119030948,1.1619532898352185,1.0954170947525477,5.4,4.0,0.0,0.2738542736881369,0.3396024605578563,1.3584098422314252,False,
