date,rh,es,sw_in,H,vpd,vp,Rn,t_avg,G,t_dew,LE,ws,t_min,t_max,Rn_subday_gaps,G_subday_gaps,H_subday_gaps,ppt,LE_subday_gaps,ASCE_ETo,rso,flux,energy,ebc_cf,ebr_5day_clim,flux_corr,LE_corr,ebr_corr,ebr,H_corr,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,ET_fill_val
2004-01-01,91.18341666666667,0.4755037689312598,30.539804129187488,,,,-2.038410416666667,-3.7108443749999993,-2.786720191041665,,,,-9.0686,0.5045,0,0,48,0.0,48,,95.4542485270178,,0.7483097743749982,1.4205404816213114,0.7039574112373523,,,0.7039574112373523,,,,,1.2,0.7,0.0,,,,False,
2004-01-02,97.7691875,0.5370681891489592,23.08584230975,,,,-13.812298749999998,-2.036057291666668,-1.7620867486666665,,,,-6.8523,1.7223,0,0,48,1.4800000000000002,48,,95.93773111593477,,-12.050212001333332,1.4517037991545394,0.6888457552996637,,,0.6888457552996637,,,,,1.3000001,0.8,0.7,,,,False,
2004-01-03,78.48918749999999,0.27700380057988344,77.2622987420625,,,,-8.06544375,-10.459158333333333,-33.94050358612501,,,,-12.571,-7.3163,0,0,48,0.0,48,,96.46058737348514,,25.87505983612501,1.4846209937409718,0.6735725846636346,,,0.6735725846636346,,,,,1.6,1.0,0.0,,,,False,
2004-01-04,79.36177083333331,0.20703516321264567,44.99522755039583,,,,9.113985416666667,-14.01820833333334,-23.58725278083334,,,,-15.456,-12.193,0,0,48,0.5,48,,97.0227718536697,,32.701238197500004,1.4598418774572106,0.6850056950974891,,,0.6850056950974891,,,,,0.90000004,0.6,0.4,,,,False,
2004-01-05,74.76947916666667,0.13078129354918847,78.6764715812292,,,,-25.310814583333336,-19.53085416666666,-34.96305712339583,,,,-20.819000000000006,-15.282,0,0,48,0.09,48,,97.62423271318649,,9.652242540062492,1.5334337795975286,0.6521311929508062,,,0.6521311929508062,,,,,1.0,0.6,0.0,,,,False,
2004-01-06,77.73964583333336,0.19272387016415493,70.94575846852084,,,,-23.17555416666666,-15.120729166666665,-13.516159628395831,,,,-20.14,-11.636,0,0,48,0.0,48,,98.26491126950592,,-9.659394538270828,1.5790612921437177,0.6332876405591642,,,0.6332876405591642,,,,,0.90000004,0.5,0.0,,,,False,
2004-01-07,79.3883125,0.2568037838141977,82.96392418997915,,,,-8.244531249999996,-11.670004166666667,-7.741725044854168,,,,-16.437,-6.1056,0,0,48,0.0,48,,98.94474154111269,,-0.502806205145828,1.6069863950174006,0.6222828040738776,,,0.6222828040738776,,,,,0.7,0.4,0.0,,,,False,
2004-01-08,82.64987500000002,0.2813822294902942,44.43131945581251,,,,-4.785354166666669,-10.313187499999996,-5.811570396166668,,,,-13.171,-7.4464,0,0,48,0.0,48,,99.66364977226662,,1.0262162294999992,1.6500713398059694,0.6060344034080304,,,0.6060344034080304,,,,,0.7,0.4,0.0,,,,False,
2004-01-09,83.07918749999997,0.3185477782801972,54.28549824145834,,,,15.10587291666667,-8.698181250000003,3.8636221573124985,,,,-10.552,-6.6474,0,0,48,0.0,48,,100.42155394469677,,11.242250759354171,1.6886496772855717,0.5921891399093832,,,0.5921891399093832,,,,,0.4,0.3,0.0,,,,False,
2004-01-10,90.5853125,0.4256765504886773,34.48715964231249,,,,14.838787499999993,-4.9295874999999985,5.762675987479168,,,,-7.2305,-3.024,0,0,48,0.0,48,,101.21836327868698,,9.076111512520825,1.6335286895223513,0.6121716786574486,,,0.6121716786574486,,,,,0.8,0.5,0.0,,,,False,
2004-01-11,94.86629166666664,0.5155217964770794,57.9551666845625,,,,5.778522916666668,-2.6317664583333333,-1.8541584204166668,,,,-7.5883,2.3633,0,0,48,0.03,48,,102.05397772604208,,7.6326813370833335,1.5595731061537716,0.6412011056449965,,,0.6412011056449965,,,,,1.3000001,0.8,0.0,,,,False,
2004-01-12,88.5675,0.4801052754296769,59.89336063660418,,,,10.334420833333334,-3.5456933333333343,-3.3172028229166663,,,,-8.7668,0.32205,0,0,48,0.0,48,,102.9282874574402,,13.65162365625,1.4919368655604517,0.6702696495299393,,,0.6702696495299393,,,,,1.2,0.7,0.0,,,,False,
2004-01-13,77.01010416666666,0.3768535714722999,99.02088808175002,,,,7.618921458333326,-6.675558333333335,-9.485726333333336,,,,-9.6562,-1.4562,0,0,48,0.0,48,,103.8411723466778,,17.104647791666665,1.4341319680394151,0.6972858999629498,,,0.6972858999629498,,,,,0.90000004,0.6,0.0,,,,False,
2004-01-14,82.90293750000002,0.4268165932378213,76.16956637931249,,,,4.284858541666668,-5.216385833333334,-6.334428145833335,,,,-11.372,1.1005,0,0,48,0.25,48,,104.7925014543046,,10.619286687500002,1.383118891666699,0.7230036448963332,,,0.7230036448963332,,,,,1.0,0.6,0.0,,,,False,
2004-01-15,85.2035625,0.3481363926205364,46.594834778145845,,,,2.8691625000000003,-8.003881250000001,-7.0104882604166665,,,,-13.702,-2.6808,0,0,48,0.0,48,,105.7821325131193,,9.879650760416666,1.3850125681132168,0.7220151087598331,,,0.7220151087598331,,,,,0.8,0.5,0.0,,,,False,
2004-01-16,86.35652083333336,0.4395217484717812,73.79968334383334,,,,22.860529999999994,-4.5407166666666665,-0.8359073229166668,,,,-7.73,-2.1992,0,0,48,0.0,48,,106.80991141796345,,23.696437322916665,1.3170112604124284,0.7592949506649208,,,0.7592949506649208,,,,,1.2,0.8,0.0,,,,False,
2004-01-17,81.28147916666667,0.4709767846352903,57.406585320479174,,,,-2.97499125,-3.90382375,-3.02705690625,,,,-14.427,-0.02808,0,0,48,0.36000000000000004,48,,107.8756717222013,,0.052065656249999925,1.2671025950178203,0.7892020771892873,,,0.7892020771892873,,,,,1.1,0.7,0.0,,,,False,
2004-01-18,66.68535416666666,0.14419016474132004,107.75977448227086,,,,-2.4850000000000048,-18.391083333333327,-27.592596510416666,,,,-20.884,-15.111,0,0,48,0.3200000000000001,48,,108.97923414321579,,25.107596510416666,1.217737880247714,0.8211947876636461,,,0.8211947876636461,,,,,1.1,0.7,0.0,,,,False,
2004-01-19,71.863,0.16713658720008162,64.97007351154168,,,,14.064018749999995,-16.925062500000006,-10.6945346875,,,,-20.979,-12.92,0,0,48,0.0,48,,110.12040607918478,,24.7585534375,1.2089082249833272,0.8271926514635071,,,0.8271926514635071,,,,,0.4,0.2,0.0,,,,False,
2004-01-20,86.51614583333333,0.2679482739891627,75.54310059222918,,,,25.472122916666674,-11.083420833333333,-2.325753677083335,,,,-14.880999999999998,-7.4067,0,0,48,0.07,48,,111.29898113932293,,27.797876593750008,1.1953589757044618,0.8365687800274969,,,0.8365687800274969,,,,,0.7,0.4,0.0,,,,False,
2004-01-21,76.28552083333334,0.3348979254272148,79.36089877887501,,,,9.119258333333333,-9.189833333333334,-9.0260491875,,,,-22.062,-1.1118,0,0,48,0.4,48,,112.51473868969049,,18.14530752083333,1.2024620467603937,0.8316270793694858,,,0.8316270793694858,,,,,1.4,0.90000004,0.0,,,,False,
