date,rh,es,H,sw_out,sw_in,vpd,t_dew,vp,Rn,theta_1,ws,lw_in,t_avg,G,lw_out,LE,wd,t_min,t_max,Rn_subday_gaps,G_subday_gaps,H_subday_gaps,ppt,LE_subday_gaps,ASCE_ETo,rso,flux,energy,ebc_cf,ebr_5day_clim,flux_corr,LE_corr,ebr_corr,ebr,H_corr,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,ET_fill_val
2005-01-01,86.98902083333333,2.1891153350821573,,9.53675,66.56133333333331,,,,,16.14079166666667,,,18.809604166666666,7.2525208333333335,,,,16.226,23.708,13.0,0.0,13.0,0.0,14.0,,175.0131217330563,,,1.378420970644657,0.7254677789270153,,19.776682690337807,0.7254677789270153,,,,0.6955597065772668,3.8,2.6000001,0.0,,0.2675229537788352,0.6955597065772668,True,0.6955597065772668
2005-01-02,94.40597916666668,2.3643882675066616,,3.135166666666666,28.62170833333333,,,2.3524746146107263,22.0148125,16.21227083333333,2.734104166666667,,20.160625,10.664041666666664,,4.916062499999999,,18.525,21.475,5.0,0.0,12.0,3.24,6.0,0.3801872275247502,175.4697877369527,,11.350770833333335,1.3544551224734884,0.7383042696710489,,6.658586035524823,0.7383042696710489,,,0.1731261382843026,0.2344915848332272,2.3,1.6,5.9,0.14655724052076696,0.2675229537788352,0.4280367260461363,False,
2005-01-03,88.47031250000002,2.519535251940984,,9.092354166666665,72.84912500000002,0.0307875,20.57155698582493,2.488747751940984,,21.95679166666666,,,21.155125,11.844958333333333,,,,19.767,24.778,5.0,0.0,16.0,7.776,7.0,,175.96230363147717,,,1.3317961149090634,0.7508656834220313,,20.82735250114942,0.7508656834220313,,,,0.7341674944331903,3.1000001,2.1000001,5.1,,0.3496035521299215,0.7341674944331903,True,0.7341674944331903
2005-01-04,83.80550000000002,2.4945232748511885,5.9541666666666675,11.084416666666668,78.89874999999998,0.042587500000000014,20.290235275834025,2.451935774851188,46.0728125,22.318354166666666,3.9367083333333337,,20.940666666666672,7.049875,,27.78081250000001,164.47250000000003,19.27,25.03,0.0,0.0,0.0,0.0,0.0,1.4397299704780653,176.49047870329727,33.734979166666676,39.0229375,1.3094109638904252,0.7637021741660647,44.17295158744841,36.376500473284175,0.7637021741660647,0.8644910231749385,7.7964511141642365,0.9790758108613664,1.2820126012217812,4.9,3.3,0.0,0.3884886670369033,0.3496035521299215,1.1536917220287408,False,
2005-01-05,88.02931249999997,1.8012861898609804,,2.297895833333333,20.68545833333332,0.02376875,14.305618660643956,1.7775174398609808,,22.360312500000006,,,14.794562499999996,-10.149354166666667,,,,4.847,21.643,4.0,0.0,7.0,2.592,5.0,,177.0541067831987,,,1.3041383274712832,0.7667898250785975,,27.93994405300389,0.7667898250785975,,,,0.97888994596378,4.2000003,2.8,1.6,,0.3496035521299215,0.97888994596378,True,0.97888994596378
2005-01-06,75.34527083333333,0.7634641316683526,18.6723125,2.7882708333333337,23.5675625,0.01836875,2.5915753471972507,0.7450953816683525,15.918187500000002,21.2940625,2.6058125000000008,,3.091708333333333,-25.16283333333334,,24.356166666666667,32.79662500000001,1.625,4.59,0.0,0.0,0.0,0.0,0.0,0.2226887238954434,177.6529662026916,43.02847916666666,41.08102083333335,1.1567500103441095,0.7786637142678573,49.77319372113296,28.173996043609513,0.8644910231749385,1.0474053052681969,21.59919767752345,0.8438755254392378,0.9761530227809789,2.9,1.9,0.0,0.5137647488320942,0.3527604568947884,0.670244868100098,False,
2005-01-07,90.20545833333333,1.0827003944475002,,16.07677083333333,113.54333333333334,,,,,21.634729166666666,,,7.218479166666665,-9.006166666666667,,,,1.529,17.524,16.0,0.0,28.0,0.324,23.0,,178.286819753303,,,1.1567500103441095,0.7823257637829406,,19.269207711038607,0.8644910231749385,,,,0.670244868100098,2.7,1.9,0.90000004,,0.3527604568947884,0.670244868100098,True,0.670244868100098
2005-01-08,80.50647916666664,1.2533548827472527,,20.814979166666664,151.43870833333338,,,,,21.68610416666667,,,9.7084375,-3.4282499999999985,,,,4.192,16.94,17.0,0.0,32.0,0.324,23.0,,178.9554146494004,,,1.1422121481926917,0.7775131183022193,,19.317733067951806,0.8754941028969861,,,,0.6735267742832525,3.1000001,2.1000001,0.0,,0.32072702010026216,0.6735267742832525,True,0.6735267742832525
2005-01-09,81.63791666666667,1.8370530044589772,,8.145270833333337,58.83085416666668,0.032516666666666666,15.356801790594297,1.80453633779231,39.72249999999999,22.14579166666667,1.685979166666666,,15.925770833333333,6.904145833333333,,9.675624999999998,195.88210416666672,12.591,21.11,0.0,0.0,14.0,0.0,0.0,1.004816696118915,179.65848249542077,,32.81835416666666,1.1494351129972402,0.7727004728214979,,11.12150311519392,0.8699925630359624,,,0.3393579007877024,0.3900698870384189,3.6000001000000004,2.5,0.0,0.15602795481536758,0.32072702010026216,0.8018175502506554,False,
2005-01-10,84.13910416666667,2.267518831041972,,15.567854166666665,108.4328958333333,,,,,22.36860416666667,,,19.37972916666667,10.113229166666667,,,,16.514,23.461,2.0,0.0,4.0,0.0,3.0,,180.39573925839645,,,1.1422121481926917,0.7678878273407768,,20.00183424720889,0.8754941028969861,,,,0.7038641192391782,4.8,3.2,0.0,,0.2199575372622432,0.7038641192391782,True,0.7038641192391782
