date,Rn,LE,H,G,rso,flux,energy,ebr_5day_clim,ebc_cf,ebr_corr,flux_corr,H_corr,ebr,LE_corr,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,ET_fill_val
2000-05-18,154.60526388888894,46.890857869011676,99.90555126769615,5.6412461045125015,360.81469549265717,146.79640913670784,148.96401778437644,0.9837180934096692,1.0124133673412097,0.987738835003918,148.6186468876923,101.14571557500813,0.9854487769603114,47.47293131268418,1.6510730871889938,1.6715684639274555,8.7,6.4,0.0,0.2611825724886649,0.30501608222045035,1.9521029262108824,False,
2000-05-19,151.62417361111108,59.03178093563936,86.2188720633634,4.291864278247267,361.6365107569506,145.25065299900274,147.33230933286384,0.9820873809331157,1.0143314765949822,0.9858710126564428,147.33230933286384,87.45451581038526,0.9858710126564428,59.877793522478584,2.0785668938695565,2.1083558266601528,7.1,5.7000003,0.0,0.369886967665625,0.32703635935372743,1.8641073464271545,False,
2000-05-20,170.36703611111108,65.40076509836584,96.02872156058146,8.908001015606944,362.4313163297646,161.42948665894733,161.45903509550413,0.9804641425787124,1.0143314765949822,0.9858710126564428,163.74300956873998,97.404954936073,0.9998169911238516,66.338054632667,2.3028250717255863,2.3358279553433587,9.7,7.1,0.0,0.3289898528652619,0.33891073142569256,2.406266193122417,False,
2000-05-21,167.25479166666668,71.0935714781053,79.93057140553253,10.015992567019444,363.1991287135232,151.02414288363784,157.23879909964725,0.9789165712047052,1.0143314765949822,0.9858710126564428,153.18854185265198,81.07609451885449,0.9604763184939424,72.11244733379745,2.50327436677628,2.539149984774552,9.400001,7.0,0.0,0.3627357121106503,0.34098790085386577,2.3869153059770603,False,
2000-05-22,165.6640680555556,78.23451199238802,77.12303920126689,9.242755274898196,363.9399679397201,155.3575511936549,156.42131278065742,0.9775130574639124,1.0143314765949822,0.9858710126564428,157.58405430244048,78.22832623251375,0.9931993820529166,79.35572806992677,2.754713884758341,2.7941930023236283,8.900001,6.8,0.0,0.4109107356358277,0.3473016330114977,2.361651104478184,False,
2000-05-23,170.94225000000003,84.89733999240997,72.60620051229945,13.331089380325974,364.6538572310012,157.5035405047094,157.61116061967402,0.9764749017639192,1.0129131929839172,0.9872514317383144,159.53741411889695,73.54377839134376,0.9993171796049116,85.9936357275532,2.9893185922716063,3.0279202401440215,10.1,7.5,0.0,0.4037226986858695,0.3546633018437753,2.659974763828315,False,
2000-05-24,100.44719055555555,51.764126064997704,36.68390891565762,4.854224549066665,365.34082267463486,88.44803498065531,95.59296600648891,0.975448517105648,1.0129131929839172,0.9872514317383144,89.59018152540878,37.157615310889945,0.9252567283522872,52.43256621451884,1.822665639142792,1.8462020722861985,10.2,7.4,1.1,0.2494867665251619,0.35474857407116483,2.62513944812662,False,
2000-05-25,166.8801527777778,68.40229965251609,88.49343927498579,6.712202079051948,366.00089290770063,156.89573892750187,160.16795069872586,0.97428192831925,1.0143314765949822,0.9858710126564428,159.14428653779382,89.76168092876472,0.9795701215071484,69.38260560902907,2.4085120467105408,2.443029580736705,11.2,8.0,0.0,0.3053786975920882,0.34559783417613377,2.7647826734090697,False,
2000-05-26,186.31830083333335,79.05521977299314,97.86754166168836,5.055252248941531,366.6340988142583,176.92276143468155,181.26304858439187,0.9731661236351709,1.0143314765949822,0.9858710126564428,179.45832584930233,99.27012804442131,0.9760553119700534,80.18819780488097,2.7836118105073018,2.823505078019104,8.7,6.7000003,0.0,0.4214186494915684,0.33127445212119266,2.2195389285943263,False,
2000-05-27,180.12953194444438,79.47267995412587,85.15361072051418,13.377390208096251,367.2404732347083,164.62629067464002,166.75214173634814,0.9724150114299146,1.0129131929839172,0.9872514317383144,166.7521417363481,86.25321572902556,0.9872514317383144,80.49892600732255,2.798310992850408,2.8344461227301023,12.1,8.6,0.0,0.32958675845698865,0.3157948053295997,2.7158353258345573,False,
2000-05-28,181.50350277777775,83.74455314214869,88.22739479428422,9.966032774171381,367.8200506874912,171.9719479364329,171.53747000360642,0.9720710211866064,1.0129131929839172,0.9872514317383144,174.19265488795625,89.36669216973108,1.002532845639016,84.82596271822518,2.94872783684016,2.9868053284543263,14.5,10.0,0.0,0.2986805328454326,0.3391345975623511,3.391345975623511,False,
2000-05-29,181.65103666666664,91.83569141196745,84.88850613544841,6.6765541609925,368.37286710322337,176.72419754741588,174.97448250567413,0.9718669558363788,1.0087113984311835,0.9913638346461314,178.26371244468262,85.62800373462228,1.0099998297848087,92.63570871006034,3.233624749567601,3.261794143138021,15.6,10.5,0.0,0.3106470612512401,0.34577436447298765,3.6306308269663705,False,
2000-05-30,179.17127916666664,86.12759415744854,90.37655227425077,4.558744008319855,368.89895957131137,176.5041464316993,174.61253515834682,0.971736823211247,1.0129131929839172,0.9872514317383144,178.78337853703343,91.54360213498926,1.0108331928841023,87.23977640204416,3.032637047821546,3.0717980752702427,15.5,10.400001,0.0,0.29536517114471844,0.3295737794774601,3.4275676361393637,False,
2000-05-31,175.36994861111125,77.15352674578929,90.63014285790848,2.4416255087769443,369.398366099036,167.78366960369775,172.9283231023343,0.971811632432722,1.0182380346234603,0.9820886334989396,170.84371397918125,92.28305854128016,0.9702497924785172,78.56065543790108,2.71665133420119,2.7661977152942208,8.8,6.7000003,0.0,0.412865312154422,0.3367448397797964,2.256190527548088,False,
2000-06-01,178.0185763888889,76.61959528629525,92.70529309002363,4.622076592944028,369.8711253830541,169.32488837631888,173.39649979594486,0.9720592076002336,1.0172856207233278,0.9830080949035364,172.25177417581176,94.30776162542273,0.9765184912935526,77.94401255038903,2.6978510839341383,2.7444851145390428,10.8,7.8,0.0,0.3518570659665439,0.3405389024307336,2.6562034389597216,False,
