date,rh,H,sw_in,vp,theta_1,G,lw_out,LE,wd,es,ws,sw_out,vpd,Rn,lw_in,t_avg,theta_mean,t_dew,theta_2,t_min,t_max,Rn_subday_gaps,G_subday_gaps,H_subday_gaps,ppt,LE_subday_gaps,ASCE_ETo,rso,flux,energy,ebc_cf,ebr_5day_clim,flux_corr,LE_corr,ebr_corr,ebr,H_corr,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,ET_fill_val
1996-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.74029485294531,,,1.050305298191102,0.9521041184141976,,,0.9521041184141976,,,,,0.6,0.5,0.4,,,,False,
1996-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.22531355302162,,,1.0244999743555565,0.9760859199913914,,,0.9760859199913914,,,,,1.3000001,0.8,6.8,,,,False,
1996-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.7493679662459,,,0.9984171967584352,1.001585312479296,,,1.001585312479296,,,,,0.6,0.4,0.0,,,,False,
1996-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.31235322061843,,,0.97216566935531,1.0286312626768117,,,1.0286312626768117,,,,,0.5,0.4,5.1,,,,False,
1996-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.91415429780905,,,0.9265348182943774,1.0792902546726326,,,1.0792902546726326,,,,,0.7,0.5,0.4,,,,False,
1996-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.5546457525125,,,0.9039996509990114,1.1061951173265372,,,1.1061951173265372,,,,,0.8,0.5,0.3,,,,False,
1996-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.23369142188407,,,0.8941578913996642,1.1183707146336948,,,1.1183707146336948,,,,,0.6,0.4,0.90000004,,,,False,
1996-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.95114412673868,,,0.8846289207835227,1.1304174852369648,,,1.1304174852369648,,,,,0.5,0.4,0.0,,,,False,
1996-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.706845366246,,,0.8665450852635711,1.1540080452892267,,,1.1540080452892267,,,,,1.2,0.8,0.0,,,,False,
1996-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.50062500789244,,,0.8575596645644108,1.1660996211942178,,,1.1660996211942178,,,,,0.6,0.4,1.5,,,,False,
1996-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.33230097450924,,,0.8511152629031081,1.1749289944455397,,,1.1749289944455397,,,,,0.90000004,0.6,3.2,,,,False,
