date,lw_in,theta_1,theta_mean,es,sw_out,vpd,H,vp,Rn,rh,theta_2,ws,LE,wd,t_avg,sw_in,t_dew,lw_out,G,t_min,t_max,H_subday_gaps,ppt,LE_subday_gaps,G_subday_gaps,Rn_subday_gaps,rso,flux,energy,flux_corr,ebr,ebr_corr,LE_corr,ebc_cf,ebr_5day_clim,H_corr,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,ET_fill_val,ASCE_ETo
2018-05-03,,,,,,,,,,,,,,,,,,,,20.153,29.478,,,,,,335.44667935076137,,,,,,,,,,,,7.1,5.3,0.6,,,,False,,
2018-05-04,,,,2.851716930532457,,0.4013575541666667,12.784649791666665,2.4503593763657894,,86.81881249999998,,4.681295208333334,29.95028604166666,276.93918750000006,23.1339375,,20.343291233709248,,,19.343,25.959,2.0,0.0,2.0,48.0,48.0,336.59272195419044,42.73493583333333,,,,,,,,,1.057768578777579,,4.7000003,3.8,5.5,,,,False,,
2018-05-05,,,,,,,,,,,,,,,,,,,,18.472,26.367,7.0,4.3180000000000005,7.0,48.0,48.0,337.7138252961637,,,,,,,,,,,,5.1,4.1,1.6,,,,False,,
2018-05-06,,,,2.98528499439012,,1.3671691666666663,,1.6181158277234535,,63.55014583333334,,1.9388629166666664,,229.68378125000004,23.21214583333333,,13.59880635866616,,,15.52,31.141,13.0,0.0,13.0,48.0,48.0,338.809935216326,,,,,,,,,,,,7.5,5.9,5.5,,,,False,,
2018-05-07,,,,3.0531916674377477,,1.2296732062499998,53.62100479166667,1.823518461187748,,65.10820833333334,,2.575769791666667,81.71856697916662,133.19651874999997,23.745916666666673,,15.675254081430849,,,16.167,31.22,1.0,1.524,1.0,48.0,48.0,339.8810069684088,135.3395717708333,,,,,,,,,2.8877993135575215,,8.0,6.1,0.0,,,,False,,
2018-05-08,,,,3.352810466746275,,1.6885910416666663,48.99535822916666,1.6642194250796072,,54.16833333333333,,3.1374366666666664,65.22773739583333,167.89335416666663,25.12489583333333,,14.282952083083716,,,16.53,32.903,10.0,0.0,10.0,48.0,48.0,340.92700478163005,114.22309562499998,,,,,,,,,2.3081141803440417,,8.0,6.2000003,0.0,,,,False,,
2018-05-09,,,,3.7223530641387903,,1.98478125,52.35277666666667,1.7375718141387897,,49.73937500000003,,6.555686875000003,56.41405833333332,261.2768333333334,27.325375000000005,,14.932844610586136,,,21.801,33.061,0.0,0.0,0.0,48.0,48.0,341.94790142070184,108.766835,,,,,,,,,2.0004945898924262,,9.5,6.8,0.0,,,,False,,
2018-05-10,,,,3.7500797008805375,,2.022577708333334,54.65103854166666,1.7275019925472055,,49.455625,,4.518453541666667,45.15837729166666,280.607,27.29447916666668,,14.885346427570724,,,21.064,34.928000000000004,0.0,0.0,0.0,48.0,48.0,342.9436777455433,99.80941583333332,,,,,,,,,1.601309807871394,,8.400001,6.3,0.0,,,,False,,
2018-05-11,,,,3.538396574260468,,1.9304699999999997,-41.39990437500001,1.6079265742604676,,48.99104166666667,,5.662561041666666,289.0303833333333,253.71985416666658,26.46847916666667,,13.71662833500374,,,20.276,31.861,2.0,0.0,2.0,48.0,48.0,343.9143222717585,247.63047895833333,,,,,,,,,10.240780810324154,,9.900001,7.4,0.0,,,,False,,
2018-05-12,,,,3.681367354146166,,1.7977235416666668,-5.936668749999999,1.8836438124795,,53.55916666666664,,4.787652083333335,196.3082875,250.81922916666667,27.2025,,16.217478854508865,,,22.187,32.667,0.0,0.0,0.0,48.0,48.0,344.85983073291413,190.37161875,,,,,,,,,6.960444338704042,,6.9,5.3,0.0,,,,False,,
2018-05-13,,,,3.9333893855058126,,1.7147281250000006,33.387958229166664,2.218661260505813,,60.279375,,3.1106575000000007,80.60614239583334,250.97470833333333,28.033041666666666,,18.75134204293948,,,20.551,34.975,12.0,0.0,12.0,48.0,48.0,345.7802056456152,113.99410062500002,,,,,,,,,2.8603296742733737,,8.3,6.6,0.0,,,,False,,
2018-05-14,,,,4.223055033950373,,1.7234327083333334,,2.4996223256170373,,62.32041666666668,,2.763985,,264.7267083333334,29.35689583333333,,20.609505708151566,,,22.405,37.037,3.0,0.0,3.0,48.0,48.0,346.6754558783391,,,,,,,,,,,,8.5,6.7000003,0.0,,,,False,,
2018-05-15,,,,4.119394879414775,,1.8227949999999995,,2.2965998794147757,,60.25083333333331,,2.2987652083333345,,220.49106666666668,28.825979166666674,,19.32183933590041,,,21.555,36.63800000000001,9.0,0.0,9.0,48.0,48.0,347.54559622494804,,,,,,,,,,,,7.3,6.0,0.0,,,,False,,
