date,rh,H,sw_in,g_2,vp,theta_1,g_3,lw_out,g_1,wd,es,LE,ws,sw_out,G,vpd,Rn,lw_in,t_avg,t_dew,t_min,t_max,Rn_subday_gaps,H_subday_gaps,LE_subday_gaps,G_subday_gaps,ASCE_ETo,rso,flux,energy,ebc_cf,ebr_5day_clim,flux_corr,LE_corr,ebr_corr,ebr,H_corr,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,ET_fill_val
2014-06-26,84.0998891666667,,329.74414241666665,,,38.03915875000001,5.2938938125,413.96496875000014,4.45573195833333,,,,,58.86887612500002,4.874812885416668,0.4967464552812499,221.8206079583334,364.9103104166666,,,17.273333800000003,25.15407194,0,15,21,0,,366.0269604169785,,216.94579507291672,0.9934494033328144,0.8418520347246411,,120.2427667083909,1.0065937899254958,,,,4.233865727002819,6.0,5.2000003,0.0,,0.8142049005271822,4.233865727002819,True,4.233865727002819
2014-06-27,77.87315208333331,,343.1153318125,,,36.61794895833333,9.658673839583333,424.92289166666654,11.471884312499995,,,,,61.629641645833324,10.565279076041673,0.7616630480562497,222.43560058333324,365.87280208333334,,,15.83467366,28.00085666,0,1,14,0,,365.8060522092289,,211.8703215072916,0.9502644626220292,0.8439487015497861,,152.04662517915875,1.0523386271235875,,,,5.3537107709245815,7.7000003,6.2000003,0.0,,0.86350169546356,5.3537107709245815,True,5.3537107709245815
2014-06-28,84.52492749999998,8.6378495791875,219.80785079791667,,2.428796203527277,36.661843125,8.463042952083336,429.299,10.88381822916667,,,126.82927154799995,1.1355156312083337,43.55138023541666,9.673430590624998,0.4799600942541664,126.9677080625,380.0102375,23.62846056708333,,18.22125081,27.91602527,0,4,4,0,3.7507801293202885,365.55215540708974,135.46712112718745,117.294277471875,0.9502644626220292,0.8454687349814936,128.72959106088015,120.52134957230363,1.0523386271235875,1.1549337618765756,8.208241488576533,4.4814288754565945,4.2585426021146064,7.1,5.4,22.4,0.7886190003915937,0.86350169546356,4.6629091555032245,False,
2014-06-29,78.74544708333333,-1.3206895140833312,292.3955270833333,,2.4710312775627385,36.530930208333345,15.0621843125,441.8062875,19.477455604166668,211.38959653958332,3.2312061254273208,161.92278455845832,2.1102001093333334,52.02180300000001,17.269819958333326,0.7601748478645832,184.41585741666665,385.84842083333336,25.19312920520833,20.46046536143812,22.23499294,28.89516309,0,0,0,0,5.247074912298142,365.26531671433486,160.60209504437495,167.14603745833332,0.9934494033328144,0.8473149850593117,159.55005549583427,160.86209370558825,1.0065937899254958,0.9608489527274038,-1.3120382097539898,5.730091987854822,5.692556466376513,9.2,6.9,0.0,0.8250081835328278,0.86350169546356,5.9581616986985635,False,
2014-06-30,83.7719227083333,8.019220566562499,257.1554287708334,,2.587155250610268,35.19491312500001,12.520087879166665,440.5261041666667,16.028674741666666,210.95450616458342,3.1243163381040184,152.90545695133338,2.131836179041667,48.39517442291666,14.27438131041666,0.5371610874937502,167.19538351458334,398.96123333333327,24.67059733520833,21.22527447570091,20.15502536,27.70866666,0,0,1,0,4.284124445947024,364.9455864024366,160.92467751789587,152.92100220416668,0.9934494033328144,0.8477382114538112,159.87052486167926,151.9038349746335,1.0065937899254958,1.0523386271235875,7.966689887045747,5.408255765758907,5.37282846356444,6.7000003,5.5,20.800001,0.9768779024662618,0.86350169546356,4.7492593250495805,False,
2014-07-01,76.84873291666662,,329.77501045833327,,,37.442538125,7.857746104166666,425.1533020833333,9.77246902791666,,,,,56.87568325000001,8.815107566041664,0.7337645111624999,217.400800125,369.654775,,,19.66679456,28.97518675,0,8,10,0,,364.59301830003153,,208.58569255895833,1.0407463078993473,0.8473643350280843,,117.71351057192078,0.9608489527274038,,,,4.1448081382250885,5.7000003,4.8,1.4,,0.86350169546356,4.1448081382250885,True,4.1448081382250885
2014-07-02,77.376740625,52.43193562393749,352.3945530208332,,1.6655849986454758,36.20551625,3.772428281249997,413.0824708333333,4.700946514583333,268.82314339374994,2.2077648438496427,158.84922391395133,2.1921822026458337,62.00133465416666,4.236687397916668,0.5421798452041667,232.46648294999991,355.15573541666674,18.94583787479166,14.214658203099633,14.22555818,21.96793346,0,0,2,0,4.800700928786277,364.2076697850325,211.28115953788878,228.2297955520833,1.0407463078993473,0.8468912775137518,219.89008671775082,165.32174330112156,0.9608489527274038,0.9257387232320126,54.5683434166292,5.5875694537849965,5.815242279157907,4.2000003,3.4,6.2000003,1.710365376222914,0.9009430429995432,3.063206346198448,False,
2014-07-03,74.50792979166668,43.342445400895826,363.11280215000005,,1.3183168828433909,36.85277916666666,-3.1826310125,394.55165,-4.6122702083333325,271.1472481083333,1.8904781282183905,,1.7497541611458336,62.97644964374999,-3.897450610416667,0.5721612453750001,235.2890233395834,329.7043208333334,16.312257780625004,10.627508814001088,10.97815762,20.94106334,0,0,14,0,4.791846102459317,363.7896017799266,,239.18647395000005,1.0407463078993473,0.8469161790858218,,107.35650035567566,0.9608489527274038,,45.10849002631139,,3.766762032485397,5.4,4.4,0.0,,0.8560822801103173,3.766762032485397,True,3.766762032485397
2014-07-04,67.83848104166664,40.82677346977084,388.60076104166666,,1.1420076468774751,36.62499833333333,-5.2816958479166685,395.24340833333343,-7.933634422916667,126.73733440208336,2.0196463380337253,,0.7382729455833333,70.00688249999999,-6.607665135416671,0.8776386911562499,239.86281187500006,316.51234166666666,16.936589372666663,8.392932993569552,9.67564731,23.06302813,0,0,17,0,5.269358668586556,363.33887875083167,,246.47047701041674,1.0407463078993473,0.8471035729107963,,133.450846000375,0.9608489527274038,,42.49031375210702,,4.685125369694301,7.0,5.5,0.0,,0.8518409763080548,4.685125369694301,True,4.685125369694301
2014-07-05,73.04154270833331,18.994978053354174,314.89672533333334,,1.4453463067357033,35.34673041666667,-0.6451124854166649,401.09286875,-2.1196164645833377,178.13410504166663,2.18363673205237,,1.0886082808749995,60.96793008333334,-1.3823644749999984,0.7382904253166666,198.566139,345.73021249999994,18.175916661354172,12.107471225417891,9.446282408,24.47600506,0,0,15,0,4.455025759533037,362.8555687109178,,199.948503475,1.0407463078993473,0.8453105884116033,,147.09708375907925,0.9608489527274038,,19.768953277657484,,5.170358002285332,8.1,6.1,0.0,,0.8475996725057923,5.170358002285332,True,5.170358002285332
