date,rh,H,sw_in,vp,theta_1,G,lw_out,LE,wd,es,ws,sw_out,vpd,Rn,lw_in,t_avg,theta_mean,t_dew,theta_2,t_min,t_max,Rn_subday_gaps,G_subday_gaps,H_subday_gaps,ppt,LE_subday_gaps,ASCE_ETo,rso,flux,energy,ebc_cf,ebr_5day_clim,flux_corr,LE_corr,ebr_corr,ebr,H_corr,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,ET_fill_val
2004-01-01,48.78127083333334,-14.239583333333336,91.3125,0.623355600473346,11.020833333333336,0.0,310.6041666666667,16.802083333333332,263.625,0.6580722671400129,3.652708333333333,17.520833333333332,0.034716666666666667,-3.1041666666666665,233.70833333333331,0.9145833333333332,9.885416666666666,0.02508907762254845,8.75,-2.6,3.7,0.0,0.0,3.0,0.0,3.0,0.16698537809532227,102.27663438948916,2.5624999999999982,-3.1041666666666665,1.1671048574321754,0.8568210419414809,2.9907061971699487,19.609793073313533,0.8568210419414809,-0.8255033557046975,-16.61908687614358,0.5809494051200097,0.6780288726378961,2.6000001,1.5,0.0,0.4520192484252641,0.41581969198423296,0.6237295379763496,False,
2004-01-02,53.850020833333346,11.583333333333336,83.79166666666667,0.4688057036105986,11.0,0.0,293.1041666666667,13.333333333333336,284.0833333333333,0.4913557036105984,3.5720833333333317,16.583333333333332,0.02255,-10.25,215.54166666666663,-3.375,9.989583333333334,-4.180060125930588,8.979166666666666,-9.4,1.3,0.0,0.0,2.0,0.0,2.0,0.14300082633356714,102.77969409811644,24.91666666666667,-10.25,1.1574972920378035,0.8639329066934354,28.84097419327528,15.433297227170716,0.8639329066934354,-2.4308943089430897,13.40767696610456,0.4591528579948722,0.5314681897604827,2.3,1.4,0.0,0.379620135543202,0.41581969198423296,0.5821475687779262,False,
2004-01-03,75.17083333333333,19.729166666666668,72.5,0.2394311824560813,10.979166666666664,-0.4166666666666667,259.4791666666667,,190.125,0.2463145157894145,1.222291666666667,13.020833333333336,0.006883333333333334,15.354166666666664,215.54166666666663,-12.314583333333335,9.729166666666666,-12.885421837531144,8.479166666666666,-17.2,-6.2,0.0,0.0,0.0,0.0,10.0,0.15408202635658533,103.32366183578364,,15.770833333333332,1.1280006784729184,0.8865242894656721,,4.870624515951231,0.8865242894656721,,22.25451338570529,,0.1663278767936932,0.6,0.4,0.0,,0.41581969198423296,0.1663278767936932,True,0.1663278767936932
2004-01-04,78.4,,96.3125,0.11948114016018975,9.0,-2.9166666666666665,231.47916666666663,19.151315789473685,155.52083333333334,0.122133223493523,1.1722916666666665,17.479166666666668,0.002652083333333332,77.04166666666667,229.70833333333331,-20.525,8.21875,-21.18468545621555,7.4375,-25.4,-16.9,0.0,0.0,3.0,0.0,15.0,0.06181683132692889,103.9084821212512,,79.95833333333334,1.096666851783216,0.9118539494231704,,21.002613194348303,0.9118539494231704,,,0.6490292032428036,0.7117688130356543,0.5,0.3,0.4,2.372562710118848,0.41581969198423296,0.1247459075952699,False,
2004-01-05,54.19791666666668,,99.47916666666669,0.08934664975557068,7.604166666666668,-4.875,218.3125,,309.7916666666667,0.09391331642223738,3.7525,19.479166666666668,0.004566666666666667,27.04166666666667,165.39583333333334,-23.347916666666666,7.145833333333332,-24.364224365893694,6.6875,-27.1,-21.0,0.0,0.0,36.0,0.0,32.0,0.04301400828056463,104.53409230583121,,31.91666666666667,1.0946535511986166,0.9135310426801488,,4.31854501585251,0.9135310426801488,,,,0.14597188024496602,0.4,0.3,0.0,,0.4865729341498867,0.14597188024496602,True,0.14597188024496602
2004-01-06,27.783354166666676,,99.83333333333331,0.20534485616132503,7.0,-3.7291666666666665,248.70833333333331,,291.0416666666667,0.22164485616132495,3.6679166666666654,19.916666666666668,0.0163,-8.666666666666666,160.22916666666666,-13.762499999999996,6.6875,-14.971836967095111,6.375,-21.1,-6.3,0.0,0.0,8.0,0.0,6.0,0.21857142684119574,105.20042213705948,,-4.9375,1.1062061513020631,0.9039906339545728,,9.805431338266033,0.9039906339545728,,,,0.33439570578932426,0.90000004,0.6,0.6,,0.5573261763155405,0.33439570578932426,True,0.33439570578932426
2004-01-07,57.21666666666666,2.4166666666666665,60.97916666666666,0.5272775846156201,7.0,2.2916666666666665,296.9375,,236.39583333333331,0.5519796679489533,1.14625,11.625,0.024702083333333333,6.333333333333332,253.97916666666663,-1.7812499999999998,6.645833333333332,-2.544384667219384,6.291666666666668,-6.5,4.8,0.0,0.0,0.0,0.0,5.0,0.3135548896135146,105.90739330491807,,4.041666666666666,1.0910287632238302,0.9165661197099392,,14.569148455957142,0.9165661197099392,,2.6366528444575894,,0.5024635347849554,1.3000001,0.8,2.3,,0.6280794184811942,0.5024635347849554,True,0.5024635347849554
2004-01-08,82.2375,-28.41666666666667,63.27083333333334,0.5266008562476421,7.041666666666668,5.854166666666668,300.5833333333333,,317.0833333333333,0.5364216895809751,3.0272916666666663,14.291666666666664,0.00982083333333333,14.020833333333336,265.625,-1.7937500000000002,6.822916666666668,-2.197093893192991,6.604166666666668,-3.2,0.1,0.0,0.0,7.0,2.5,28.0,0.22721540357530512,106.65491897295091,,8.166666666666668,1.0775998218192189,0.9279882751945766,,11.936623350123405,0.9279882751945766,,-30.621794936696137,,0.4116676636883173,1.3000001,0.8,3.7,,0.5145845796103966,0.4116676636883173,True,0.4116676636883173
2004-01-09,57.92291666666668,-15.479166666666664,95.47916666666669,0.6017055612587153,7.041666666666668,5.020833333333333,303.25,25.875,298.75,0.6289472279253819,2.2862500000000003,18.3125,0.02724166666666666,3.25,229.5,0.2520833333333334,6.833333333333332,-0.5014821075295153,6.625,-3.8,3.9,0.0,0.0,0.0,0.0,0.0,0.20896806850085406,107.44290329667945,10.395833333333334,-1.770833333333333,1.0851003993770345,0.9215737092845128,11.280522901857085,28.076972833880767,0.9215737092845128,-5.870588235294119,-16.79644993202368,0.8940952169262851,0.9701830769678084,1.6,1.0,0.4,0.9701830769678084,0.437293557482998,0.437293557482998,False,
2004-01-10,42.806270833333336,-36.97916666666666,87.6875,0.8897164994116102,7.770833333333332,4.958333333333333,325.7083333333333,9.875,302.3125,0.9472664994116102,2.4662500000000005,16.833333333333332,0.057550000000000025,-9.958333333333334,244.8125,5.622916666666668,7.322916666666668,4.590829666521536,6.875,-2.3,12.5,0.0,0.0,0.0,0.0,0.0,0.40027459937065973,108.2712409317698,-27.104166666666664,-14.916666666666668,1.0839868382251079,0.9225204262049658,-29.38055992772637,10.704370027472944,0.9225204262049658,1.817039106145251,-40.084929955199314,0.34296405037468386,0.3717685165905303,2.2,1.3000001,0.5,0.2859757599945802,0.4294953409139571,0.5583439861376784,False,
