date,H,G,Rn,LE,Rn_subday_gaps,H_subday_gaps,LE_subday_gaps,G_subday_gaps,rso,flux,energy,ebr_5day_clim,ebc_cf,ebr_corr,flux_corr,H_corr,ebr,LE_corr,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,ET_fill_val
2007-10-01,21.972569484132578,-2.122245895833333,36.20418239583333,17.410967468845524,0,1,1,0,239.7005425892124,39.3835369529781,38.32642829166666,0.9425531943709315,1.060948078020582,0.9425531943709315,41.783887835914676,23.311755363364156,1.0275817160228649,18.47213247255053,0.6130572379383047,0.650421898307251,7.7000003,4.9,0.0,0.1327391629198471,0.12064025701263086,0.5911372593618911,False,
2007-10-02,,-3.3377651427083315,85.44198577083334,,0,1,1,0,237.45868639822964,,88.77975091354168,0.9391612620278356,1.064779863088477,0.9391612620278356,,,,11.991739288004473,,0.4222408995442079,5.2000003,3.5,0.0,,0.12064025701263086,0.4222408995442079,True,0.4222408995442079
2007-10-03,53.34377512497369,2.197087828125001,84.35756214583334,19.653496487545965,0,0,0,0,235.2195812909993,72.99727161251965,82.16047431770833,0.936159944211223,1.0681935348585831,0.936159944211223,77.97521359880945,56.98147571344699,0.8884718864967202,20.993737885362467,0.6920188837320262,0.7392100976026038,8.900001,5.8,0.0,0.12745001682803514,0.12064025701263086,0.6997134906732588,False,
2007-10-04,54.51762387602474,1.1985574595833313,85.38853937500002,18.61222629608869,0,3,3,0,232.98406467552215,73.12985017211344,84.1899819154167,0.9336229435459416,1.0710962138547662,0.9336229435459416,78.32910563911702,58.393620521968295,0.8686288856266171,19.93548511714872,0.655354739211365,0.7019479799010706,10.900001,6.9,0.0,0.10173159129001023,0.12064025701263086,0.8324177733871527,False,
2007-10-05,,-9.667838796875,13.48555325000001,,0,16,16,0,230.75297657899654,,23.15339204687501,0.9297234860194656,1.0755886185917682,0.9297234860194656,,,,23.16441586241158,,0.8156417977619674,7.3,4.6,4.4,,0.1773134342960799,0.8156417977619674,True,0.8156417977619674
2007-10-06,,-13.810278282916665,82.17170062916666,,0,16,16,0,228.52715896995082,,95.98197891208332,0.9270925367351668,1.1231634651808104,0.8903423508696633,,,,8.70585641750741,,0.30654174150601937,2.4,1.7,4.3,,0.18031867147412906,0.30654174150601937,True,0.30654174150601937
2007-10-07,56.935826855020224,-11.179907916666664,90.76504964583336,35.401876212887956,0,2,2,0,226.3074550760754,92.3377030679082,101.94495756250002,0.924599066421473,1.1373502806977451,0.8792366054427112,105.0203125032704,64.75597865531546,0.90576037575275,40.26433384795492,1.2465347768722213,1.4177466783751216,3.2,2.4,0.0,0.5907277826563007,0.1878548589967418,0.4508516615921803,False,
2007-10-08,51.00292186366718,-3.8448724635416665,89.09694887499997,29.856585791962164,0,2,2,0,224.09470869915737,80.85950765562936,92.94182133854164,0.919678509372615,1.1231634651808104,0.8903423508696633,90.81844481131094,57.284618454742564,0.8700013243887021,33.533826356568376,1.0512796633869097,1.1807589096037574,5.9,3.9,0.0,0.30275869477019424,0.20055565501384068,0.7821670545539786,False,
2007-10-09,47.845671942031316,-2.349885367708334,83.74991625000001,26.2759089482859,0,0,0,0,221.88976352852882,74.12158089031722,86.09980161770834,0.9144486424882584,1.1255280163596844,0.8884718864967202,83.42591590892262,53.851644232310726,0.8608798103789412,29.574271676611904,0.9252005204753082,1.041339106545521,8.6,5.5,0.0,0.18933438300827654,0.1810413676562184,0.9957275221092012,False,
2007-10-10,45.58029939706231,-0.9526413958333344,76.43023479166666,23.46169441775712,0,1,1,0,219.69346245444692,69.04199381481942,77.38287618749997,0.9120834895502372,1.1255280163596844,0.8884718864967202,77.7086983439113,51.30190396545606,0.8922128152426065,26.40679437845525,0.8261092672098618,0.9298091248190684,9.3,5.9,0.0,0.15759476691848615,0.16943839802433158,0.9996865483435564,False,
