date,rh,H,sw_in,vp,theta_1,G,lw_out,LE,wd,es,ws,sw_out,vpd,Rn,lw_in,t_avg,theta_mean,t_dew,theta_2,t_min,t_max,Rn_subday_gaps,G_subday_gaps,H_subday_gaps,ppt,LE_subday_gaps,ASCE_ETo,rso,flux,energy,ebc_cf,ebr_5day_clim,flux_corr,LE_corr,ebr_corr,ebr,H_corr,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,ET_fill_val
2005-12-10,32.33979166666668,26.335187500000004,157.20372916666662,0.2337638112557016,14.782187500000004,6.773791666666669,317.06041666666664,3.8906458333333327,100.23437499999994,0.8202638112557015,2.038625,14.545354166666666,0.5864999999999999,33.63812500000001,208.0395833333334,3.461875,15.55459375000001,-13.316619768442528,16.327,-3.1630000000000003,11.8,0.0,0.0,0.0,0.0,0.0,1.6341593776434844,154.1874782643918,30.225833333333334,26.864333333333338,0.8082546676580178,1.021149112084043,24.430170875519966,3.1446326549958847,1.2372338076284541,1.125128733264675,21.28553822052409,0.13484765114223735,0.10899124345843336,2.8,1.8000001,0.0,0.06055068744631367,0.05523681950766615,0.09942628063748103,False,
2005-12-11,26.99127083333332,33.75491666666668,153.95079166666662,0.1903767723681695,14.676125000000004,5.860958333333333,317.5041666666668,4.996895833333333,112.73479166666662,0.8127101057015031,2.5784583333333333,14.4514375,0.6223333333333331,37.18229166666666,215.17499999999995,3.621124999999999,15.5015625,-15.374412179879803,16.327,-0.653,9.13,0.0,0.0,0.0,0.0,0.0,1.7574522573278966,153.797994859422,38.751812500000014,31.32133333333333,0.8082546676580178,1.0284680083544195,31.32133333333333,4.038764381092569,1.2372338076284541,1.2372338076284541,27.282568952240762,0.17321579540475246,0.14000247514798742,3.1000001,2.0,0.0,0.07000123757399371,0.05638372384416264,0.11276744768832528,False,
2005-12-12,33.91106249999999,10.165937499999997,62.87964583333332,0.23043084952160145,14.5015625,2.618583333333333,320.96458333333334,3.1645,148.64208333333337,0.7566808495216013,2.14325,7.111770833333334,0.5262500000000002,2.8319791666666707,268.0250416666666,2.881541666666668,15.414281250000002,-13.189215416189597,16.327,-0.768,5.903,0.0,0.0,0.0,0.0,0.0,1.404660323826639,153.44858177054252,13.330437499999995,0.21339583333333725,0.8082546676580178,1.0361025201434928,10.774388331298479,2.5577218958037973,1.2372338076284541,62.46812457287788,8.216666435494679,0.10961958300188963,0.0886005396280028,3.2,2.0,0.0,0.0443002698140014,0.05400407611967315,0.1080081522393463,False,
2005-12-13,51.58416666666668,51.25383333333334,154.9853958333333,0.2932727165550393,14.305187499999995,8.165895833333334,305.6958333333334,4.1094375,223.5785625,0.6126893832217061,1.9657708333333328,15.342624999999993,0.3194166666666666,36.01795833333333,202.08125000000007,-0.3588541666666667,15.316093750000002,-9.94031692297744,16.327,-4.695,5.675,0.0,0.0,0.0,0.0,0.0,1.1693184945184065,153.13936047105983,55.36327083333334,27.85206249999999,0.8082546676580178,1.0422592354148756,44.74762206785668,3.321472040823896,1.2372338076284541,1.987761977531587,41.42615002703277,0.1419172970431199,0.11470531775651108,3.1000001,1.9,0.0,0.06037121987184794,0.05679851105427362,0.10791717100311987,False,
2005-12-14,44.494375,26.707187499999996,158.43843749999994,0.24166548264953136,13.818062499999995,11.3316875,301.90625000000006,4.310645833333334,139.9670833333333,0.5596446493161978,2.6705416666666664,16.020812500000005,0.3179791666666667,16.635229166666665,176.14375000000007,-1.39725,15.07253125,-12.950643014195073,16.327,-3.802,3.315,0.0,0.0,0.0,0.0,0.0,1.343445322657286,152.8704396014814,31.01783333333333,5.303541666666664,0.8082546676580178,1.0501613285597853,25.070308572305105,3.4840996154122528,1.2372338076284541,5.8485131790863045,21.586208956892857,0.14872018628518294,0.120203784739969,2.9,1.9,0.5,0.06326514986314159,0.05282732751837045,0.10037192228490384,False,
2005-12-15,21.11291666666667,6.328124999999999,84.758625,0.0892164508086296,13.48299999999999,12.781395833333335,293.76458333333335,3.6110624999999987,72.98666666666666,0.4398622841419628,3.822125,10.10147916666667,0.3506458333333333,-24.48027083333333,194.62500000000003,-4.501625,14.904999999999983,-24.341321620312076,16.327,-6.855,-1.41,0.0,0.0,0.0,0.0,0.0,1.5173294675927003,152.6419150529951,9.9391875,-37.26166666666667,0.8036698417907797,1.058256841154085,7.9878252456538945,2.9021020280716168,1.2442920562649795,-0.2667402826855123,5.085723217582277,0.12422052875038199,0.0998322926879865,3.0,1.9,0.0,0.05254331194104553,0.0463724259689134,0.08810760934093545,False,
2005-12-16,30.5525,45.24145833333333,150.41289583333332,0.13340233645798494,13.45166666666666,13.253458333333333,290.67083333333335,2.342375,147.15750000000003,0.4824440031246517,1.7527708333333332,15.452625,0.3490416666666665,26.919520833333326,182.63333333333333,-3.628625,14.889333333333326,-19.905263327625814,16.327,-9.22,1.913,0.0,0.0,0.0,0.0,0.0,1.0453269959228604,152.45387004025866,47.58383333333333,13.66606249999999,0.8082546676580178,1.0665347709451676,38.459855396727846,1.8932355271554493,1.2372338076284541,3.4818978278003168,36.56661986957239,0.0806438661298025,0.0651807812174012,2.2,1.4,0.0,0.04655770086957229,0.06327622805055491,0.08858671927077688,False,
2005-12-17,38.426041666666656,35.539291666666664,130.3309791666667,0.15685254947237434,13.404999999999983,12.669104166666665,290.26041666666663,1.7667083333333322,167.60895833333333,0.4548733828057078,1.6377291666666665,13.667708333333335,0.2980208333333334,29.00129166666665,202.60004166666675,-4.347375000000002,14.865999999999987,-17.773729033605974,16.327,-9.62,-0.042,0.0,0.0,0.0,0.01,0.0,0.901305581366972,152.30637516280026,37.306,16.332187499999982,0.8082546676580178,1.0691945849747406,30.152748631650013,1.4279502568069828,1.2372338076284541,2.2842010600233458,28.724798374843026,0.060783569842956964,0.04912860404248708,2.4,1.5,0.0,0.03275240269499139,0.05982383141177437,0.08973574711766158,False,
2005-12-18,66.96666666666667,22.97822916666666,90.93395833333334,0.3530039321083096,13.404999999999983,5.050333333333335,304.18541666666675,1.0699375000000009,194.90708333333333,0.5529830987749763,1.5131666666666663,9.396208333333336,0.19997916666666668,17.788354166666668,240.4229375,-1.541687500000001,14.865999999999987,-7.518037294535468,16.327,-5.85,2.383,0.0,0.0,0.0,0.0,0.0,0.7607554539506993,152.19948845441417,24.048166666666663,12.738020833333335,0.8068678139048812,1.0776814628655336,19.403691666753566,0.8632981316398545,1.239360379441144,1.887904485423396,18.540393535113708,0.036908538871106684,0.029780312073353188,1.9,1.2,0.0,0.024816926727794324,0.059980837195252636,0.07197700463430316,False,
2005-12-19,58.04895833333333,36.66079166666667,117.23102083333332,0.3984332488482685,12.709083333333325,1.8789166666666668,317.79166666666663,9.321270833333333,179.30104166666663,0.8142457488482684,1.946958333333332,12.249354166666665,0.4158125,23.350624999999994,236.16668750000008,3.3589583333333333,14.518041666666667,-6.220885182057646,16.327,-3.073,11.34,0.0,0.0,6.0,0.0,6.0,1.336698822021891,152.1332554200421,45.9820625,21.47170833333333,0.8054857112997076,1.0831532273984985,37.03789431984011,7.508150467404716,1.2414869512538342,2.141518587443555,29.529743852435395,0.3230386478202469,0.2602030150167873,2.4,1.6,0.0,0.16262688438549205,0.06323796332368871,0.10118074131790196,False,
