date,vpd,g_3,LE,G,TA_1_6_1,TA_1_5_1,rh,g_1,lw_in,TA_1_3_1,sw_out,TA_1_1_1,TA_1_2_1,ws,g_2,vp,Rn,H,sw_in,lw_out,t_dew,TA_1_4_1,wd,H_subday_gaps,LE_subday_gaps,Rn_subday_gaps,G_subday_gaps,ppt,rso,flux,energy,LE_corr,H_corr,flux_corr,ebr_corr,ebr,ebr_5day_clim,ebc_cf,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,ET_fill_val
2017-04-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329.20133909420525,,,117.94631306567447,,,0.8632778403876523,,0.8632778403876523,1.1583756158399166,,4.153005342318495,6.6,4.9,30.1,,0.8475521106772438,4.153005342318495,True,4.153005342318495
2017-04-27,0.6027339554794829,-1.6582225947222218,117.08772481935257,-0.301810493388889,,,72.77749319576397,-0.0025190184027772955,347.3799166666667,,34.220139275,,,2.460215774028768,0.7553101329583335,1.3907828510625262,187.44396066458327,40.91439153175431,286.7657569979861,412.48160833333327,11.493193556585949,,202.77567467598087,1.0,0.0,0.0,0.0,,330.388757317416,158.00211635110688,187.74577115797214,136.94430061741815,47.85294737042523,184.79724798784335,0.8550025396563308,0.8415748348236375,0.8550025396563308,1.1695871691819195,4.122773608225701,4.821943113622627,4.8,4.0,0.0,1.2054857784056567,0.8475521106772438,3.390208442708975,False,
2017-04-28,0.9955105700427316,-3.2446830593055562,98.98999179671615,0.19214334092824048,,,73.36712986698011,1.8639348601458328,396.9237527777778,,24.87632873472223,,,4.201478165728009,1.9571782219444451,2.2025889624793185,118.42965155277773,-15.003492626695778,182.82787276583332,436.4456222222223,18.345523851202625,,156.00307592586182,1.0,0.0,0.0,0.0,,331.5529140100656,83.98649917002037,118.2375082118495,116.4536955032621,-17.65039202571819,98.80330347754386,0.8500373592175379,0.7103202734917196,0.8500373592175379,1.1764188822483088,3.485534681689588,4.10044881427098,8.5,6.1,0.0,0.6722047236509803,0.8475521106772438,5.170067875131187,False,
2017-04-29,,-11.961215465277775,112.83935829030744,2.0059257384259257,,,,9.58106398611111,414.4723256944445,,35.420634801388886,,,5.590918058947502,8.397928694444444,2.4075702510111783,145.80146266041666,-25.975499148664074,224.38824019006938,457.6384701388888,,,162.78777967953863,2.0,3.0,0.0,0.0,0.003599999999999999,332.6937407591193,86.86385914164335,143.79553692199073,132.196284489977,-30.4314427807315,101.76484170924549,0.8535743551768492,0.6040789651821191,0.8535743551768492,1.1715441003295057,3.9731844567494083,4.654760809825662,10.0,7.0,24.2,0.6649658299750946,0.8475521106772438,5.932864774740707,False,
2017-04-30,,-5.068272490277777,,0.7893470093819444,,,,4.053016481604168,392.7124659722222,,15.705325502777775,,,4.281722997961208,3.3832970368194446,2.1876684463762253,59.03035780416667,-20.127578643326267,108.53463594798608,426.5114104166667,,,183.3984153622553,0.0,11.0,0.0,0.0,,333.8111812054754,,58.24101079478473,55.36255511245945,-23.67485718636549,,0.8501668451422751,,0.8501668451422751,1.1762397060222345,,1.9493698545576603,3.0,2.3,4.9,,0.8475521106772438,1.9493698545576603,True,1.9493698545576603
2017-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334.90519060963766,,,110.13026443428366,,,0.7759475541576786,,0.8441485654946611,1.2887468935778001,,3.877794605515617,7.9,5.8,0.0,,0.6685852768130374,3.877794605515617,True,3.877794605515617
2017-05-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,335.9757354081995,,,143.56814289155238,,,0.7458978705102312,,0.8394676813242947,1.3406661146732466,,5.055175095497611,6.4,5.2000003,0.0,,0.9721490007409443,5.055175095497611,True,5.055175095497611
2017-05-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,337.0227927622998,,,132.4726151781253,,,0.7458978705102312,,0.8357229739880017,1.3406661146732466,,4.6644906843278635,6.0,4.7000003,21.1,,0.9924447631051988,4.6644906843278635,True,4.6644906843278635
2017-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,338.0463500991981,,,43.14309803101449,,,0.7458978705102312,,0.8326591225310346,1.3406661146732466,,1.5191107882041797,1.7,1.5,0.5,,1.012740525469453,1.5191107882041797,True,1.5191107882041797
2017-05-05,0.9527751996499916,10.294603496805557,171.49189469943278,-3.052224127405092,,,56.95528975347093,-12.449870113548615,318.5632368055556,,49.47958931527778,,,5.102465811818231,-7.001405765472224,0.9941668345593292,201.29803557152775,14.513568470269322,328.8954858520833,396.68110208333326,6.665164591873842,,301.63969780102417,4.0,5.0,0.0,0.0,,339.04640464812246,186.0054631697021,204.3502596989329,207.09999083124515,17.527125129671603,224.62711596091674,0.8280632655323124,0.9102286605543934,0.8187029867161094,1.207637195881597,6.0383977789496175,7.292193761388379,7.9,5.7000003,0.0,1.2793321715067945,1.012740525469453,5.77262129899804,False,
2017-05-06,1.1726531413639611,-2.9213124202777787,,-0.3374045631944446,,,60.37196410143804,0.2494512438194442,332.46749375,,58.82395381111112,,,2.217972496599164,1.6596474868749993,1.1529229688668647,192.7683525527777,,336.8436644656251,417.7188604166668,8.823228401807416,,241.329860426915,7.0,6.0,0.0,0.0,0.0,340.02296297152895,,193.10575711597212,147.93323493547166,,,0.8280632655323124,,0.8110426622764941,1.207637195881597,,5.208874266814771,7.7000003,5.9,0.0,,0.8828600452228427,5.208874266814771,True,5.208874266814771
