date,rh,RH_1_1_1,H,sw_in,g_4,TA_1_1_1,g_2,RH_1_3_1,theta_1,g_3,lw_out,LE,ws,g_1,wd,sw_out,TA_1_2_1,TA_1_4_1,Rn,RH_1_2_1,lw_in,t_avg,TA_1_3_1,G,RH_1_4_1,t_min,t_max,Rn_subday_gaps,G_subday_gaps,H_subday_gaps,ppt,LE_subday_gaps,rso,flux,energy,ebc_cf,ebr_5day_clim,flux_corr,LE_corr,ebr_corr,ebr,H_corr,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,ET_fill_val
2004-01-01,83.06484949264359,,,,-3.877208333333335,,-3.2488958333333327,88.70020833333334,19.769029999999987,-6.2085000000000035,,,,-3.0964791666666653,,,,-0.05339583333333342,,,,0.7463719444444444,,-4.107770833333333,85.16687499999998,-4.78613,5.908096666666666,0,0,3,,12,112.40701503260746,,,1.2034328516699253,0.8309562088257482,,13.967808125573992,0.8309562088257482,,,,0.4828746645882439,1.5,0.90000004,4.4,,0.5365273812523874,0.4828746645882439,True,0.4828746645882439
2004-01-02,94.93806696921774,92.59753424098652,3.1093545208333317,,6.549708333333332,10.7629425,3.33025,97.75625,19.93489999999999,11.40916666666667,,7.312573189370543,3.1330287500000007,6.058833333333332,78.32441666666669,,,10.3871875,22.74740260416668,,,10.757831250000002,11.12336375,6.836989583333334,94.46041666666667,6.230306666666666,13.765466666666667,0,0,0,0.2,3,112.89276404355095,10.421927710203876,15.910413020833348,1.1838879056459162,0.8446745635554163,12.338394169626405,8.65726695804637,0.8446745635554163,0.6550381625264685,3.6811272115800353,0.2552133339362621,0.3021439794067132,1.6,1.0,0.4,0.3021439794067132,0.5365273812523874,0.5365273812523874,False,
2004-01-03,82.65438211159827,78.80022966812814,1.8030011041666665,,4.579020833333332,10.637766041666666,2.0563125,86.56687499999998,19.83110999999999,8.732291666666663,,23.11638436221209,2.6944453125000014,3.6100208333333335,,,,10.749250000000002,12.966573958333335,,,10.817142777777775,11.064412291666667,4.7444114583333326,82.59604166666666,4.3115966666666665,15.425566666666667,0,0,2,0.1,2,113.41775566471443,24.91938546637876,8.222162500000003,1.1465889643173202,0.8721521234903921,28.572292373319296,26.50499120462985,0.8721521234903921,3.030758084187553,2.0673011686894425,0.8068217718007383,0.9250929397176736,1.8000001,1.2,1.5,0.7709107830980615,0.5709043723264532,0.6850852467917438,False,
2004-01-04,96.65631441590463,94.55019324771395,,,-5.714250000000003,-0.4008620562499999,-5.0988333333333316,98.33541666666666,19.878639999999987,-9.946291666666667,,,,-5.507041666666662,,,,-0.2154166666666666,1.7297076458333331,,,-0.2026745377777778,0.008255109583333338,-6.566604166666667,97.08333333333331,-1.4901633333333333,4.0222500000000005,0,0,24,0.2,37,113.9819028455919,,8.2963118125,1.1097350892166302,0.9011159597610876,,21.848314410059714,0.9011159597610876,,,,0.7546314525684893,2.3,1.4,15.6,,0.5390224661203495,0.7546314525684893,True,0.7546314525684893
2004-01-05,94.0964088752594,91.2413099591114,,,-5.288541666666666,-2.9604150000000007,-4.195125,96.96666666666664,19.932959999999987,-7.888958333333336,,,,-5.054958333333335,,,,-2.7394583333333338,16.175745187500002,,,-2.713536604166667,-2.440736479166667,-5.606895833333334,94.08125,-4.6822300000000014,-0.9427446666666668,0,0,37,0.0,32,114.58510951229536,,21.78264102083333,1.08176208163042,0.9244176857195908,,9.969670753855329,0.9244176857195908,,,,0.343534045315069,1.1,0.7,0.3,,0.49076292187867,0.343534045315069,True,0.343534045315069
2004-01-06,74.72371493268872,71.66322813139952,56.08778455357146,,-4.848375000000002,-11.932849375000002,-4.663604166666668,78.2539583333333,19.67784999999999,-9.079583333333334,,19.505075885016414,5.091146979166668,-5.7530416666666655,,,,-11.6075625,48.29216166666666,,,-11.64899645833333,-11.4065775,-6.086151041666668,74.2539583333333,-14.913033333333333,-4.35236,0,0,4,0.0,8,115.22727023889256,75.59286043858788,54.37831270833333,1.1516790248394209,0.9482230144867893,87.05871179473532,22.46358677467461,0.8682974843094242,1.3901288339717734,64.5951250200607,0.6664964880093454,0.7675900253695016,1.9,1.2,0.0,0.6396583544745847,0.4801707674929171,0.5762049209915004,False,
2004-01-07,69.13251400668612,65.59754202005834,18.575847083333347,,-5.208458333333335,-9.773979791666667,-5.037125,72.89999999999998,18.977509999999988,-8.533958333333329,,7.872814984005707,3.7929335416666663,-6.05577083333333,51.03341666666665,,,-10.184520833333332,20.81460270833333,,,-9.778414375000002,-9.3767425,-6.208828125000001,68.89999999999999,-12.625866666666667,-6.593633333333332,0,0,0,0.0,0,115.908269906403,26.448662067339054,27.02343083333333,1.1516790248394209,0.9571358684147468,30.46036933802042,9.066955883520873,0.8682974843094242,0.9787307255862828,21.393413454499548,0.26948804012012034,0.3103637232514269,1.1,0.7,0.0,0.4433767475020385,0.36719915992137264,0.2570394119449608,False,
2004-01-08,76.99653185579885,72.25501223406319,8.091990616666669,,-5.0306250000000015,-4.594148333333334,-4.1710625000000014,81.36729166666666,18.68748,-7.194729166666673,,4.0443566127900406,1.8056755208333335,-5.281416666666661,,,,-5.199374999999998,16.627351875000002,,,-4.694516874999999,-4.290027291666666,-5.419458333333332,77.36729166666666,-9.001393333333333,-1.4890266666666667,0,0,5,0.0,5,116.6279833513239,12.13634722945671,22.04681020833333,1.0701776233063034,0.9658121877319392,12.98804723364002,4.328179947678777,0.9344243219275224,0.55048086842374,8.659867285961244,0.1391006214426975,0.14886237245597586,0.7,0.5,0.0,0.2977247449119517,0.35122864200660325,0.17561432100330165,False,
2004-01-09,71.59608282502491,66.75949847507474,42.906721875,,-4.6108125000000015,-9.72443875,-3.8546458333333335,76.014375,18.53228,-7.1102500000000015,,4.535010561206517,2.5455695833333327,-5.215937499999996,217.17708541666664,,,-9.712750000000002,24.60027160416667,,,-9.589864791666667,-9.332405625000002,-5.1979114583333335,72.01437500000002,-13.7364,-5.245446666666667,0,0,0,0.0,0,117.38627500561294,47.441732436206514,29.7981830625,1.1234466574327069,0.9639611776161008,53.29825572827302,5.094842456409483,0.8901179182687622,1.5921015162803775,48.20341327186354,0.15526170653546326,0.174428245234564,1.0,0.7,0.0,0.24918320747794856,0.35122864200660325,0.24586004940462225,False,
2004-01-10,72.67254394853812,67.76679851228103,39.44964530208333,,-5.633583333333334,-11.198090625,-3.997,77.12541666666667,18.22964,-8.85375,,2.2532632615835757,1.6089890520833332,-5.9302708333333305,,,,-11.797499999999996,34.659751875,,,-11.352203055555556,-11.061018541666668,-6.103651041666668,73.12541666666667,-15.9743,-7.1983,0,0,6,0.0,6,118.18299853009528,41.70290856366691,40.76340291666666,1.0701776233063034,0.969417870146426,44.62951957162514,2.41139192196492,0.9344243219275224,1.0230477727514775,42.21812764966022,0.07701627870100339,0.08242109809613568,0.7,0.4,0.0,0.2060527452403392,0.3141983748242925,0.125679349929717,False,
