date,Rn,LE,H,G,rso,flux,energy,ebr_5day_clim,ebc_cf,ebr_corr,flux_corr,H_corr,ebr,LE_corr,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,ET_fill_val
1999-04-29,63.023488888888906,33.79696598424353,1.0852718011509717,-18.87265272398754,338.8875137616181,34.8822377853945,81.89614161287645,0.9680550725834588,1.0579005162430004,0.945268467730192,36.901937360879934,1.1481095987015841,0.4259326153640186,35.75382776217835,1.1900243139314204,1.258927336049772,5.4,3.9,0.0,0.3228018810384031,0.15086689504504386,0.588380890675671,False,
1999-04-30,119.15898833333335,46.80742123409712,5.354049925824786,2.206667910744075,340.24600014545024,52.1614711599219,116.95232042258928,0.9678411568642452,1.0520639499992015,0.9505125615232409,54.87720338627688,5.632802913456158,0.4460062953128628,49.24440047282072,1.648135201454895,1.733943630175366,4.4,3.4,7.5,0.5099834206398136,0.16779745162079476,0.5705113355107021,False,
1999-05-01,194.530875,73.09909815578766,92.3474814330554,10.688246133481954,341.5784612720898,165.44657958884306,183.84262886651803,0.9678297752066656,1.046291432487141,0.9557566553162902,173.10533875810842,96.6223786351712,0.8999358886940649,76.4829601229372,2.573890927736005,2.693040025846561,5.5,4.4,1.8000001,0.6120545513287639,0.18722746615988092,0.8238008511034762,False,
1999-05-02,106.16083333333329,30.14930263563652,55.98568135169086,0.3138051000454125,342.88475931236746,86.13498398732736,105.84702823328787,0.9678846665645491,1.0458505797183169,0.956159531191668,90.08432293717426,58.55265729759083,0.8137685622829678,31.531665639583434,1.061586510493604,1.1102608674208807,8.6,6.1,1.1,0.18200997826571816,0.19887386956257447,1.2131306043317045,False,
1999-05-03,134.65686666666662,25.718658656772433,102.69979673399094,0.40691659334902297,344.1647681109056,128.41845539076337,134.24995007331756,0.9676338651152622,1.0505955411407122,0.9518410852136524,134.91585663371345,107.89594852478837,0.9565624070670458,27.019908108925094,0.9055791912661844,0.9513974604940656,7.8,5.4,0.4,0.17618471490630844,0.1559512173092403,0.8421365734698977,False,
1999-05-04,165.66885694444446,25.435898659917463,125.53964906380187,8.763120456944451,345.41837277545096,150.97554772371936,156.90573648749995,0.967691382478482,1.0443155057610352,0.9575650217615598,157.66610547864528,131.10300210512713,0.9622054049996249,26.563103373518143,0.8956229344997795,0.9353129178133196,7.9,5.7000003,0.90000004,0.16408997694496955,0.1496371152146298,0.8529316016145244,False,
1999-05-05,167.2918222222222,23.177945770074476,132.65368655392626,6.1327199903991705,346.6454692600074,155.83163232400076,161.15910223182303,0.9673889821283642,1.0426332689228086,0.9591100052208624,162.4752442115501,138.30914684638176,0.9669427923459212,24.16609736516833,0.8161181990783342,0.8509119857324392,7.9,5.7000003,0.0,0.14928279665747368,0.14412932896573358,0.8215372183434801,False,
1999-05-06,161.63065972222228,18.27105361942548,117.72037844004065,9.493764452409724,347.8459639429843,135.99143205946612,152.13689526981256,0.9666399372091408,1.0426332689228086,0.9591100052208624,141.78919135365518,122.7391829917697,0.8938754259332512,19.0500083618855,0.6433417147088824,0.6707694750413269,8.400001,6.2000003,0.0,0.1081886197717324,0.13614484634720195,0.844098088196106,False,
1999-05-07,168.2686944444444,20.915885362691103,133.62141768448194,7.2340247698986175,349.0197732015578,154.53730304717303,161.0346696745458,0.9661051315249822,1.042044001669871,0.9596523739856514,161.03466967454574,139.23939679273886,0.9596523739856514,21.795272881806923,0.7364688339364209,0.767432930820252,8.8,6.5,0.0,0.11806660474157725,0.1260680934014158,0.8194426071092028,False,
1999-05-08,158.4332013888889,20.606460068754753,132.77533213328925,1.7770692422740262,350.16682298342806,153.38179220204398,156.6561321466149,0.9656886241047388,1.0410545386360786,0.960564468899136,159.67881091607381,138.22636213627356,0.9790985523534664,21.452448779800253,0.7255736659115368,0.7553617580120232,9.6,6.8,0.0,0.11108261147235636,0.1208923397370311,0.8220679102118115,False,
1999-05-09,154.94040277777773,21.0152293661988,131.50232543570354,-4.169449257051953,351.28704837713286,152.51755480190238,159.10985203482971,0.9653501458717616,1.0396728941816074,0.9618409844061228,158.5683676143957,136.7194032773495,0.9585676364560738,21.84896433704621,0.7399668337176015,0.7693234596095792,8.400001,6.1,0.0,0.12611859993599658,0.11412189909330515,0.6961435844691615,False,
1999-05-10,147.36445833333332,17.033373877227675,122.08153922465151,0.4823865155968231,352.3803931820553,139.11491310187918,146.88207181773646,0.9647113245984724,1.0392791339603726,0.9622054049996249,144.57922640949351,126.87679635794508,0.9471197633602594,17.702430051548408,0.5997617973055739,0.6233199212862534,8.2,5.9,0.0,0.10564744428580564,0.1104065579710862,0.6513986920294086,False,
1999-05-11,174.39862777777782,21.313422420447484,140.5038294660695,6.09785168309071,353.4468094792305,161.81725188651703,168.3007760946871,0.9646781804843428,1.0392791339603726,0.9622054049996249,168.1732934004669,146.0226982056126,0.9614765638126208,22.15059519485425,0.7504665035686422,0.7799441778950873,8.2,6.1,0.0,0.12785970129427662,0.10540543536937587,0.6429731557531928,False,
1999-05-12,173.78855555555558,21.701288499350554,142.34276920765663,9.65802975668569,354.4862572040274,164.04405770700717,164.13052579886983,0.9647174167469555,1.0400669528902704,0.9614765638126208,170.61680323908263,148.04601023577044,0.9994731748317884,22.5707930033122,0.7641236485519842,0.7947397547808581,11.1,7.8,0.0,0.10188971215139207,0.10692752633051103,0.834034705377986,False,
1999-05-13,165.82206666666667,16.830402144069637,143.5473144137716,-2.7872181433958367,355.49870372173746,160.37771655784124,168.60928481006255,0.9649208384191068,1.0400669528902704,0.9614765638126208,166.80356297181342,149.298817897913,0.9511796265461055,17.50474507390038,0.5926149635450679,0.6163592393714974,10.6,7.5,0.0,0.08218123191619965,0.10539415729396928,0.7904561797047696,False,
