date,LE,sw_in,Rn,ws,sw_out,vpd,rh,wd,vp,t_dew,G,H,lw_in,lw_out,t_avg,es,t_min,t_max,G_subday_gaps,H_subday_gaps,ppt,Rn_subday_gaps,LE_subday_gaps,rso,flux,energy,flux_corr,LE_corr,ebc_cf,H_corr,ebr_corr,ebr_5day_clim,ebr,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,ET_fill_val,ASCE_ETo
2019-12-29,,,,,,,,,,,,,,,,,,,0,0,0.0,0,0,136.07258769517432,,,,15.841452480604582,1.2864756239718838,,0.7773174876898058,0.7773174876898058,,,0.5577930761210198,1.6,1.1,0.0,,0.5070846146554725,0.5577930761210198,True,0.5577930761210198,
2019-12-30,,,,,,,,,,,,,,,,,,,0,0,0.0,0,0,136.43556920108878,,,,11.535595295027258,1.2998029644466862,,0.7693473759891681,0.7693473759891681,,,0.4061796222523434,1.1,0.8,0.0,,0.5077245278154292,0.4061796222523434,True,0.4061796222523434,
2019-12-31,,,,,,,,,,,,,,,,,,,0,0,0.0,0,0,136.83708954022006,,,,10.106367460458424,1.2917626467333552,,0.7741360245466359,0.7741360245466359,,,0.3558551086827702,0.8,0.7,0.0,,0.508364440975386,0.3558551086827702,True,0.3558551086827702,
2020-01-01,,91.4525,55.16916666666666,0.8962499999999999,10.620833333333335,0.09583333333333333,92.95708270506823,164.84166666666667,1.0087686827543538,6.775217915866822,-1.2445833333333338,,328.33624999999995,353.99958333333336,8.132361111111113,1.104602016087687,3.6266666666666665,12.716666666666667,0,11,0.0,0,11,137.27704750332128,,56.41374999999999,,16.08300259471965,1.2663099408074951,,0.7896960829055202,0.7896960829055202,,,0.5599047895488771,1.6,1.1,0.0,,0.5090043541353427,0.5599047895488771,True,0.5599047895488771,0.6435937012267394
2020-01-02,,59.40416666666667,24.785416666666674,1.1025000000000005,6.845416666666666,0.025625,97.82409597455948,199.1291666666667,1.0464346227851682,7.393685720265819,-4.495833333333334,,323.6325,351.40624999999994,7.910277777777778,1.072059622785168,4.716666666666667,10.936666666666667,0,14,0.0,0,14,137.75533030327136,,29.28125000000001,,14.642385551545479,1.245754842709635,,0.8027261590449892,0.8027261590449892,,,0.5096442672952995,1.4,1.0,0.0,,0.5096442672952995,0.5096442672952995,True,0.5096442672952995,0.5131788952694153
2020-01-03,,96.93958333333332,50.27541666666666,1.2091666666666667,11.750833333333338,0.12020833333333335,91.79248669553705,121.80833333333332,0.9685820160854818,6.17515907210792,-4.046249999999998,,315.67625,350.5904166666667,7.830694444444443,1.0887903494188151,3.4,13.873333333333333,0,10,0.0,0,10,138.27181340579037,,54.32166666666666,,20.526632515702783,1.2258563978660622,,0.8157562351844583,0.8157562351844583,,,0.7143978526373587,2.1000001,1.4,0.0,,0.5102841804552563,0.7143978526373587,True,0.7143978526373587,0.7877366417501356
2020-01-04,,122.67083333333332,57.630416666666676,1.665,15.14375,0.17583333333333329,88.6186458567859,257.12500000000006,0.9981395461828412,6.5590937047627556,-0.8183333333333328,,306.8087500000001,356.7066666666667,8.884583333333332,1.1739728795161744,3.296666666666667,14.236666666666665,0,11,0.0,0,11,138.82636035101504,,58.44875000000002,,23.464884411912465,1.2008097773500463,,0.832771367174246,0.832771367174246,,,0.817478549784341,2.5,1.6,0.0,,0.5109240936152131,0.817478549784341,True,0.817478549784341,0.864426252972934
2020-01-05,,122.83541666666666,60.55708333333333,,15.28,0.14333333333333334,89.08432947429903,,0.9555857286117714,6.039024382700991,-3.4691666666666667,,306.88249999999994,353.88166666666666,8.157083333333334,1.0989190619451046,4.233333333333333,12.933333333333335,0,13,0.0,0,13,139.41882256712458,,64.02625,,29.38818135007345,1.1872016239600651,,0.8423169071015671,0.8423169071015671,,,1.0231280135503398,3.2,2.0,0.0,,0.5115640067751699,1.0231280135503398,True,1.0231280135503398,
2020-01-06,,69.65166666666666,35.04958333333334,0.8849999999999999,8.451666666666666,0.025416666666666667,97.96495719473265,,0.9741373228926188,6.33570233724857,-4.673333333333333,,320.5441666666667,346.69541666666663,6.832777777777778,0.9995539895592858,3.31,11.12,0,24,0.0,0,24,140.04903917726222,,39.72291666666667,,11.784805867187838,1.1608900952189989,,0.8614079869562095,0.8614079869562095,,,0.4097631359481013,1.0,0.8,0.0,,0.5122039199351266,0.4097631359481013,True,0.4097631359481013,0.5718653892047788
2020-01-07,,38.8825,29.82291666666667,1.0700000000000005,3.985,0.0008333333333333334,99.9006730669002,160.325,0.8636371429029966,4.5972310022549685,-5.4212500000000015,,332.3016666666667,337.3775,4.779305555555554,0.8644704762363298,2.3233333333333333,6.859999999999999,0,13,0.254,0,13,140.71683680106221,,35.24416666666667,,8.866913384132664,1.1357195455322602,,0.880499066810852,0.880499066810852,,,0.3077062998570501,0.8,0.6,0.0,,0.5128438330950834,0.3077062998570501,True,0.3077062998570501,0.3710638847537741
