date,Rn,ws,g_1,t_avg,theta_1,sw_out,rh,lw_out,sw_in,LE,wd,G,H,lw_in,g_2,t_min,t_max,Rn_subday_gaps,G_subday_gaps,ppt,LE_subday_gaps,H_subday_gaps,rso,flux,energy,ebr_5day_clim,ebr_corr,ebc_cf,H_corr,ebr,flux_corr,LE_corr,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,ET_fill_val
2018-01-10,28.424131750000008,1.7937177249999996,-15.17562047916667,24.263263333333335,0.42489108125,7.775252477083334,84.33603645833338,442.8104854166667,56.34748888541665,,93.2152118125,-15.29481173958333,,422.6623770833333,-15.414003000000006,22.60379,25.97174,0.0,0.0,,14.0,14.0,165.0859323597909,,43.71894348958334,0.7712836451090901,0.7712836451090901,1.2965398739377656,,,,,,,2.7,1.9,0.0,,,,False,
2018-01-11,86.2575377083333,2.0873825416666665,-10.752355208333327,18.454057729166667,0.2592095,36.61217862708333,35.331042083333344,390.1080416666666,198.221783375,89.18877104610418,226.57998162500007,-14.802510760416661,-10.167037294999998,314.75597708333333,-18.852666312500006,9.605174,26.74382,0.0,0.0,,0.0,0.0,165.8751626353641,79.02173375110418,101.06004846874997,0.7699530362167466,0.7699530362167466,1.2987805138266821,-13.204749922095134,0.7819285162478372,102.63188796473436,115.8366378868295,3.1357596812085844,4.072663569997078,2.7,1.9,0.0,2.143507169001196,,,False,
2018-01-12,49.94953692291664,1.3659491770833334,-4.822635812499997,13.925451145833335,0.3042135354166667,41.081688997916665,59.76851854166666,369.52146875000017,153.32751405000005,39.93477424625,222.43547604166667,-6.667685632291668,3.4318220229166667,307.22518750000006,-8.512735452083334,7.784222,19.43426,0.0,0.0,,0.0,0.0,166.69912732168268,43.36659626916666,56.61722255520831,0.7659612095397164,0.7659612095397164,1.305549142104628,4.480412297874624,0.7659612095397164,56.6172225552083,52.136810257333686,1.397971608013464,1.8251206335286048,3.7,2.5,0.0,0.7300482534114421,,,False,
2018-01-13,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,167.55752376758474,,,,,,,,,,,,6.0,3.7,0.0,,,,False,
2018-01-14,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,168.45003428355008,,,,,,,,,,,,5.1,3.2,0.0,,,,False,
2018-01-15,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,169.37632608103755,,,,0.7739448628937768,1.2920817075534343,,,,,,,2.7,1.8000001,0.0,,,,False,
2018-01-16,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,170.3360512213391,,,,0.7739448628937768,1.2920817075534343,,,,,,,2.3,1.6,0.0,,,,False,
2018-01-17,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,171.32884657502643,,,,0.7659612095397164,1.305549142104628,,,,,,,4.6,2.9,0.0,,,,False,
2018-01-18,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,172.35433379304837,,,,,,,,,,,,3.9,2.6000001,0.0,,,,False,
2018-01-19,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,173.4121192905063,,,,,,,,,,,,5.2000003,3.3,0.0,,,,False,
2018-01-20,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,174.50179424410405,,,,,,,,,,,,5.1,3.3,0.0,,,,False,
2018-01-21,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,175.6229346042313,,,,,,,,,,,,4.9,3.1000001,0.0,,,,False,
2018-01-22,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,176.77510112259472,,,0.7122543810942737,0.7122543810942737,1.4039927679541229,,,,,,,5.1,3.2,0.0,,,,False,
2018-01-23,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,177.95783939627086,,,0.7330124237313448,0.7330124237313448,1.3642333576142884,,,,,,,6.1,3.8,0.0,,,,False,
2018-01-24,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,179.17067992899777,,,0.7399317712770351,0.7399317712770351,1.3514759587551128,,,,,,,5.5,3.5,0.0,,,,False,
2018-01-25,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,180.41313821047515,,,0.7433914450498803,0.7433914450498803,1.3451863169247282,,,,,,,4.2000003,2.7,0.0,,,,False,
2018-01-26,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,181.6847148143813,,,0.7454672493135874,0.7454672493135874,1.341440554123312,,,,,,,6.0,3.8,0.0,,,,False,
2018-01-27,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,182.9848955157587,,,0.7468511188227255,0.7468511188227255,1.3389549467051982,,,,,,,7.5,4.6,0.0,,,,False,
2018-01-28,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,184.31315142835456,,,0.7478395970435384,0.7478395970435384,1.3371851449874228,,,,,,,9.2,5.6,0.0,,,,False,
2018-01-29,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,185.66893916244203,,,0.7485809557091482,0.7485809557091482,1.335860860970844,,,,,,,8.900001,5.4,0.0,,,,False,
2018-01-30,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,187.05170100357608,,,0.7491575680046224,0.7491575680046224,1.3348326743377834,,,,,,,6.2000003,3.9,0.0,,,,False,
2018-01-31,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,188.46086511267384,,,0.7496188578410018,0.7496188578410018,1.3340112639110069,,,,,,,3.5,2.4,0.0,,,,False,
2018-02-01,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,189.8958457477367,,,0.7499962767980393,0.7499962767980393,1.3333399523919,,,,,,,3.2,2.2,0.0,,,,False,
2018-02-02,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,191.3560435074621,,,0.7575446559387924,0.7575446559387924,1.3200541937171255,,,,,,,3.2,2.3,0.0,,,,False,
2018-02-03,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,192.84084559692008,,,0.7579220748958301,0.7579220748958301,1.3193968524237023,,,,,,,3.7,2.5,0.0,,,,False,
2018-02-04,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,194.34962611539768,,,0.7583833647322095,0.7583833647322095,1.3185943237996882,,,,,,,3.5,2.4,0.0,,,,False,
2018-02-05,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,195.8817463664416,,,0.7589599770276836,0.7589599770276836,1.3175925348742392,,,,,,,3.8,2.7,0.0,,,,False,
2018-02-06,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,197.4365551900582,,,0.7597013356932933,0.7122543810942737,1.4039927679541229,,,,,,,4.4,3.0,0.0,,,,False,
2018-02-07,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,199.01338931695423,,,0.7606898139141062,0.7537704663684158,1.3266638116214493,,,,,,,7.3,4.6,0.0,,,,False,
2018-02-08,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,200.6115737446347,,,0.7620736834232442,0.7537704663684158,1.3266638116214493,,,,,,,7.7000003,4.8,0.0,,,,False,
2018-02-09,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,202.230422135098,,,0.7641494876869513,0.7537704663684158,1.3266638116214493,,,,67.45153795321937,,2.3750347949523407,4.8,3.2,0.0,,0.7421983623629891,2.3750347949523407,True,2.3750347949523407
2018-02-10,147.65320203125,3.061058933333334,0.22431356250000065,25.50877625,0.4254520145833333,19.12353290833333,78.04378604166669,452.43303541666677,203.15051508333332,,184.00029333333333,0.33218726041666685,,416.0592625,0.4400609583333336,21.52073,30.18324,0.0,0.0,,5.0,5.0,203.8692372338021,,147.32101477083333,0.7676091614597965,0.7537704663684158,1.3266638116214493,,,,94.35095322268236,,3.3398926306334515,7.0,4.5,0.0,,0.7421983623629891,3.3398926306334515,True,3.3398926306334515
2018-02-11,89.85948291666666,1.5996480062500007,-0.07832305416666692,20.127016875,0.2521040312500001,38.00270938125001,43.24975145833334,402.3287687499998,197.18998031250007,71.35375554166664,114.68326560416666,-5.349591493749998,-3.5406751729166674,333.00097291666674,-10.62085993333333,11.50648,29.07123,0.0,0.0,,0.0,0.0,205.52731130950426,67.81308036874998,95.20907441041666,0.7745285090054869,0.7537704663684158,1.3266638116214493,-4.69728562061506,0.7122543810942737,89.96515967979751,94.6624453004126,2.5127427957280006,3.3335649350048464,5.1,3.5,0.0,0.9524471242870991,0.7421983623629891,2.5976942682704616,False,
2018-02-12,45.74394502083336,1.6681110458333337,-5.4241620562499975,13.598598979166667,0.2972280229166666,42.98748585624998,51.56588458333332,367.258725,157.27121708333337,43.53934044166667,220.32578166666667,-6.911966393749998,-1.6628022291666698,298.71892916666667,-8.399770731249998,8.543215,19.17519,0.0,0.0,,0.0,0.0,207.20392661451007,41.8765382125,52.65591141458336,0.7952865516425579,0.7537704663684158,1.3266638116214493,-2.2059795433188967,0.7952865516425579,55.55608780250653,57.762067345825436,1.5236779948281245,2.021408456302407,5.6,3.8,0.0,0.5319496004388791,0.7421983623629891,2.820353741588583,False,
2018-02-13,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,208.89835586480183,,,,0.7537704663684158,1.3266638116214493,,,,56.912235305076706,,2.0039356137708464,3.7,2.7,0.0,,0.7421983623629891,2.0039356137708464,True,2.0039356137708464
2018-02-14,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,210.60986273944906,,,,0.7537704663684158,1.3266638116214493,,,,61.127957369440004,,2.15237532163422,4.3,2.9,0.6,,0.7421983623629891,2.15237532163422,True,2.15237532163422
2018-02-15,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,212.33770239864532,,,,0.7537704663684158,1.3266638116214493,,,,44.2190955178908,,1.5569977148504612,2.7,2.1000001,0.0,,0.7414274327563887,1.5569977148504612,True,1.5569977148504612
2018-02-16,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,214.08112201965258,,,,0.7537704663684158,1.3266638116214493,,,,61.00096880542035,,2.1479039297688947,3.9,2.9,0.0,,0.7406565031497884,2.1479039297688947,True,2.1479039297688947
2018-02-17,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,215.8393613498749,,,,0.7952865516425579,1.2574084120178242,,,,52.532303896088074,,1.84971393385797,3.3,2.5,0.0,,0.739885573543188,1.84971393385797,True,1.84971393385797
2018-02-18,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,217.61165327623124,,,,,,,,,88.16231931801876,,3.104281715996064,6.2000003,4.2000003,0.0,,0.7391146439365877,3.104281715996064,True,3.104281715996064
2018-02-19,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,219.39722440993918,,,0.7762025430046903,0.7762025430046903,1.288323529743908,,,,83.87652959947391,,2.9533748573199485,6.0,4.0,0.0,,0.7383437143299872,2.9533748573199485,True,2.9533748573199485
2018-02-20,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,221.19529568577306,,,0.7998267855241032,0.7998267855241032,1.2502707062313865,,,,69.12588380908869,,2.433990154416966,4.9,3.3,0.0,,0.7375727847233869,2.433990154416966,True,2.433990154416966
2018-02-21,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,223.00508297481153,,,0.8077015330305741,0.8077015330305741,1.238081096921908,,,,50.22082577472036,,1.7683245225471882,3.2,2.4,0.0,,0.7368018551167865,1.7683245225471882,True,1.7683245225471882
2018-02-22,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,224.82579770964355,,,0.8116389067838097,0.8116389067838097,1.2320749925143284,,,,66.89103671521279,,2.355298996729285,4.7000003,3.2,0.0,,0.7360309255101861,2.355298996729285,True,2.355298996729285
2018-02-23,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,226.65664752096072,,,0.814001331035751,0.814001331035751,1.2284992196850348,,,,75.17359768497613,,2.646936090432695,5.3,3.6000001000000004,0.0,,0.7352599959035858,2.646936090432695,True,2.646936090432695
2018-02-24,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,228.49683688442158,,,0.8155762805370452,0.8155762805370452,1.2261268796850178,,,,79.26670511844993,,2.7910584169053765,5.8,3.8,0.0,,0.7344890662969854,2.7910584169053765,True,2.7910584169053765
2018-02-25,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,230.3455677766421,,,0.8167012444665411,0.8167012444665411,1.2244379530157166,,,,70.84840272941602,,2.4946417347201235,5.0,3.4,0.0,,0.7337181366903851,2.4946417347201235,True,2.4946417347201235
2018-02-26,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,232.20204033912918,,,0.817544967413663,0.817544967413663,1.2231743082751043,,,,79.10030631798429,,2.7851993519687355,5.7000003,3.8,0.0,,0.7329472070837847,2.7851993519687355,True,2.7851993519687355
2018-02-27,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,234.0654535489466,,,0.8182011963725356,0.8182011963725356,1.2221932752402007,,,,56.14373555865795,,1.9768759841012835,4.0,2.7,0.0,,0.7321762774771844,1.9768759841012835,True,1.9768759841012835
2018-02-28,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,235.93500589487687,,,0.8187261795396334,0.8187261795396334,1.2214095811157475,,,,74.77949524221513,,2.6330593569624767,5.1,3.6000001000000004,0.0,,0.7314053478705841,2.6330593569624767,True,2.6330593569624767
2018-03-01,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,237.80989605781625,,,0.8191557112218046,0.8191557112218046,1.22076912399043,,,,70.55063644280997,,2.4841570917762725,4.7000003,3.4,0.0,,0.7306344182639837,2.4841570917762725,True,2.4841570917762725
2018-03-02,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,239.6893235941277,,,0.8277463448652275,0.8277463448652275,1.2080995660123617,,,,74.6218542651107,,2.6275086635743894,5.0,3.6000001000000004,0.0,,0.7298634886573833,2.6275086635743894,True,2.6275086635743894
2018-03-03,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,241.57248962065205,,,0.8281758765473988,0.8281758765473988,1.207472987705127,,,,82.82558979387177,,2.9163702362031314,5.7000003,4.0,0.0,,0.7290925590507829,2.9163702362031314,True,2.9163702362031314
