date,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,LE_corr,ET_fill_val,LE
2015-02-13,,1.719901658786538,5.6,3.7,0.0,,0.4648382801679247,1.719901658786538,True,48.845605234921656,1.719901658786538,
2015-02-14,,2.084009583183111,7.1,4.5,0.0,,0.4631132407073581,2.084009583183111,True,59.18635457202609,2.084009583183111,
2015-02-15,,0.5536658634968535,1.5,1.2,0.0,,0.4613882012467914,0.5536658634968535,True,15.724238686704972,0.5536658634968535,
2015-02-16,,0.9193263235724494,3.0,2.0,1.5,,0.4596631617862247,0.9193263235724494,True,26.109080396476912,0.9193263235724494,
2015-02-17,,0.686907183488487,2.2,1.5,0.0,,0.457938122325658,0.686907183488487,True,19.508323017365502,0.686907183488487,
2015-02-18,,1.0492900688357751,3.3,2.3,0.0,,0.4562130828650913,1.0492900688357751,True,29.800080846155648,1.0492900688357751,
2015-02-19,,2.045196195320361,7.0,4.5,0.0,,0.4544880434045247,2.045196195320361,True,58.08404537214346,2.045196195320361,
2015-02-20,,1.9468810033167088,6.7000003,4.3,0.0,,0.4527630039439579,1.9468810033167088,True,55.29187116109346,1.9468810033167088,
2015-02-21,,1.172698772178316,3.7,2.6000001,1.3000001,,0.4510379644833914,1.172698772178316,True,33.30491658791329,1.172698772178316,
2015-02-22,,0.13479388286307487,0.3,0.3,1.4,,0.4493129250228247,0.13479388286307487,True,3.828177475599026,0.13479388286307487,
2015-02-23,,0.22379394278112905,0.7,0.5,2.2,,0.4475878855622581,0.22379394278112905,True,6.355799779137486,0.22379394278112905,
2015-02-24,,0.7579668596332726,2.3,1.7,0.0,,0.44586284610169136,0.7579668596332726,True,21.526434268876518,0.7579668596332726,
2015-02-25,,1.3768272641219097,4.6,3.1000001,2.7,,0.4441378066411247,1.3768272641219097,True,39.10221301107708,1.3768272641219097,
2015-02-26,,0.221206383590279,0.6,0.5,3.6000001000000004,,0.442412767180558,0.221206383590279,True,6.28231249914531,0.221206383590279,
2015-02-27,,0.26441264713880896,0.8,0.6,0.8,,0.4406877277199913,0.26441264713880896,True,7.509380385373457,0.26441264713880896,
2015-02-28,,0.3072738765487543,0.90000004,0.7,0.0,,0.4389626882594247,0.3072738765487543,True,8.726649222196786,0.3072738765487543,
2015-03-01,,0.4809614241033017,1.3000001,1.1,0.0,,0.437237648798858,0.4809614241033017,True,13.659415778196756,0.4809614241033017,
2015-03-02,,0.5226151519728091,1.6,1.2,0.0,,0.4355126093382913,0.5226151519728091,True,14.8423912917574,0.5226151519728091,
2015-03-03,,0.9109539587970316,3.0,2.1000001,0.0,,0.4337875698777247,0.9109539587970316,True,25.871303298807646,0.9109539587970316,
2015-03-04,,0.12961876427573413,0.3,0.3,0.0,,0.432062530417158,0.12961876427573413,True,3.681202909774431,0.12961876427573413,
2015-03-05,,0.9467425006245916,3.2,2.2,0.0,,0.43033749095659135,0.9467425006245916,True,26.887706171095033,0.9467425006245916,
2015-03-06,,1.5001435802360863,5.2000003,3.5,0.0,,0.4286124514960247,1.5001435802360863,True,42.60442493416323,1.5001435802360863,
2015-03-07,,1.4087284393614334,4.8,3.3,0.0,,0.42688741203545794,1.4087284393614334,True,40.00821377241085,1.4087284393614334,
2015-03-08,,1.275487117724674,4.3,3.0,0.0,,0.4251623725748913,1.275487117724674,True,36.224129395028356,1.275487117724674,
2015-03-09,,1.01624963985651,3.0,2.4,0.0,,0.42343733311432463,1.01624963985651,True,28.86172501489707,1.01624963985651,
2015-03-10,,1.2229656918135166,3.8,2.9,0.0,,0.421712293653758,1.2229656918135166,True,34.732508741414016,1.2229656918135166,
2015-03-11,,1.5119541751751475,5.1,3.6000001000000004,0.0,,0.4199872541931913,1.5119541751751475,True,42.93984856436659,1.5119541751751475,
2015-03-12,,1.7148750405151678,6.0,4.1,0.0,,0.4182622147326247,1.7148750405151678,True,48.70284811244571,1.7148750405151678,
2015-03-13,,1.8744172887242607,6.6,4.5,0.0,,0.41653717527205797,1.8744172887242607,True,53.23388489265993,1.8744172887242607,
2015-03-14,,1.6177673692243844,5.8,3.9,0.0,,0.41481213581149134,1.6177673692243844,True,45.94496776915984,1.6177673692243844,
