date,rh,H,sw_out,sw_in,theta_2,Rn,theta_1,wd,lw_in,t_avg,theta_mean,G,lw_out,LE,ws,t_min,t_max,Rn_subday_gaps,G_subday_gaps,H_subday_gaps,ppt,LE_subday_gaps,rso,flux,energy,ebc_cf,ebr_5day_clim,flux_corr,LE_corr,ebr_corr,ebr,H_corr,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,ET_fill_val
2015-01-31,,,,,,,,,,,,,,,,,,,,,,,168.73479046391432,,,0.9158820744736704,1.0918436203423565,,,1.0918436203423565,,,,,1.9,1.3000001,19.6,,,,False,
2015-02-01,,,,,,,,,,,,,,,,,,,,,,,170.25610768056075,,,0.9175019376697215,1.089915954335538,,,1.089915954335538,,,,,0.2,0.2,0.0,,,,False,
2015-02-02,,,,,,,,,,,,,,,,,,,,,,,171.8057212709364,,,0.9516434734863172,1.0508137005726843,,,1.0508137005726843,,,,,2.1000001,1.4,0.0,,,,False,
2015-02-03,,,,,,,,,,,,,,,,,,,,,,,173.38305928256665,,,0.988424123452631,1.0117114468098307,,,1.0117114468098307,,,,,4.1,2.6000001,0.0,,,,False,
2015-02-04,,,,,,,,,,,,,,,,,,,,,,,174.98753496572843,,,1.0173852270054076,0.982911854286916,,,0.982911854286916,,,,,0.90000004,0.7,0.0,,,,False,
2015-02-05,,,,,,,,,,,,,,,,,,,,,,,176.6185469784613,,,1.0480946950112138,0.954112261764001,,,0.954112261764001,,,,,2.3,1.5,0.0,,,,False,
2015-02-06,,,,,,,,,,,,,,,,,,,,,,,178.27547961737332,,,1.08673112429955,0.9201908159615356,,,0.9201908159615356,,,,,5.0,3.2,0.0,,,,False,
2015-02-07,,,,,,,,,,,,,,,,,,,,,,,179.95770307425022,,,1.1262313186029564,0.8879170588511592,,,0.8879170588511592,,,,,5.0,3.2,0.0,,,,False,
2015-02-08,,,,,,,,,,,,,,,,,,,,,,,181.66457371839687,,,1.192701271444179,0.8384329118632974,,,0.8384329118632974,,,,,6.0,3.9,0.0,,,,False,
2015-02-09,,,,,,,,,,,,,,,,,,,,,,,183.39543440455498,,,1.2349161074603592,0.8097716063130225,,,0.8097716063130225,,,,,3.0,2.1000001,0.0,,,,False,
2015-02-10,,,,,,,,,,,,,,,,,,,,,,,185.14961480616157,,,1.2274951448335172,0.814667173396949,,,0.814667173396949,,,,,3.9,2.6000001,0.0,,,,False,
2015-02-11,,,,,,,,,,,,,,,,,,,,,,,186.9264317736319,,,1.2201628388001795,0.8195627404808754,,,0.8195627404808754,,,,,0.90000004,0.7,0.0,,,,False,
2015-02-12,,,,,,,,,,,,,,,,,,,,,,,188.72518971727462,,,1.2228927314137648,0.8177332110265451,,,0.8177332110265451,,,,,1.9,1.3000001,0.0,,,,False,
