date,rh,theta_14,theta_6,theta_3,theta_9,theta_11,theta_15,theta_4,sw_out,Rn,theta_7,theta_8,lw_in,H,sw_in,theta_1,theta_5,theta_13,lw_out,LE,wd,ws,theta_12,t_avg,theta_mean,theta_10,G,theta_2,t_min,t_max,Rn_subday_gaps,G_subday_gaps,H_subday_gaps,ppt,LE_subday_gaps,rso,flux,energy,ebc_cf,ebr_5day_clim,flux_corr,LE_corr,ebr_corr,ebr,H_corr,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,ET_fill_val
2008-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191.0083383257004,,,1.045556560937715,0.9564284108199202,,,0.9564284108199202,,,,,2.6000001,1.9,0.0,,,,False,
2008-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.3078310318462,,,1.0462885463404148,0.955759291734276,,,0.955759291734276,,,,,2.8,2.0,0.0,,,,False,
2008-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193.63630364851508,,,1.046576729997711,0.9554961154183004,,,0.9554961154183004,,,,,1.8000001,1.3000001,6.8,,,,False,
2008-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194.99320018687618,,,1.0472233086774343,0.9549061711230684,,,0.9549061711230684,,,,,3.3,2.3,6.8,,,,False,
2008-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196.37794986433792,,,1.0473184593452984,0.954819416269166,,,0.954819416269166,,,,,2.5,1.9,0.0,,,,False,
2008-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197.78996731384171,,,1.0473432945802936,0.9547967750160984,,,0.9547967750160984,,,,,2.8,2.0,0.0,,,,False,
2008-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199.228652814728,,,1.0480704372478171,0.9541343448499052,,,0.9541343448499052,,,,,3.4,2.3,0.0,,,,False,
2008-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.69339254545918,,,1.0486722373890272,0.953586797043268,,,0.953586797043268,,,,,4.1,2.8,0.0,,,,False,
2008-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202.1835588584172,,,1.0485179047394957,0.9537271566654364,,,0.9537271566654364,,,,,3.7,2.6000001,0.0,,,,False,
2008-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203.6985105769201,,,1.0492560907451058,0.9530561783919425,,,0.9530561783919425,,,,,3.5,2.4,0.0,,,,False,
2008-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.23759331452968,,,1.049029156535244,0.9532623509748972,,,0.9532623509748972,,,,,1.3000001,1.0,8.7,,,,False,
2008-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206.80013981664828,,,1.049393170822278,0.9529316826184652,,,0.9529316826184652,,,,,2.5,1.9,0.0,,,,False,
2008-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208.38547032433368,,,1.048638337514483,0.9536176241374436,,,0.9536176241374436,,,,,1.9,1.5,0.0,,,,False,
2008-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209.99289296018418,,,1.0480021597588314,0.9541965068374688,,,0.9541965068374688,,,,,3.0,2.2,0.0,,,,False,
2008-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211.62170413607544,,,1.0484137560013362,0.9538218992986252,,,0.9538218992986252,,,,,3.8,2.7,0.0,,,,False,
2008-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213.27118898246064,,,1.0484951314251434,0.953747871619368,,,0.953747871619368,,,,,4.8,3.3,0.0,,,,False,
2008-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214.9406217988734,,,1.049653851939898,0.952695022413216,,,0.952695022413216,,,,,5.8,3.9,0.0,,,,False,
2008-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216.6292665252031,,,1.0509852639129704,0.95148812674771,,,0.95148812674771,,,,,4.7000003,3.2,0.0,,,,False,
2008-02-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218.3363772332461,,,1.0531005299838023,0.9495769601553432,,,0.9495769601553432,,,,,4.4,3.1000001,0.0,,,,False,
2008-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220.0611986379677,,,1.0552608791255107,0.9476329690423992,,,0.9476329690423992,,,,,6.3,4.2000003,0.0,,,,False,
2008-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221.80296662784644,,,1.056266706077747,0.9467305882557984,,,0.9467305882557984,,,,,6.5,4.2000003,0.0,,,,False,
2008-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223.56090881360896,,,1.059144984144819,0.9441578017833184,,,0.9441578017833184,,,,,1.7,1.4,22.2,,,,False,
2008-02-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.33424509460275,,,1.0618272742403199,0.9417727574528972,,,0.9417727574528972,,,,,2.6000001,2.1000001,2.0,,,,False,
2008-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227.12218824199437,,,1.0658231072712905,0.938241996423018,,,0.938241996423018,,,,,2.9,2.3,0.0,,,,False,
2008-02-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228.92394449792832,,,1.0691621929233912,0.9353117858252336,,,0.9353117858252336,,,,,4.0,2.9,0.0,,,,False,
2008-02-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230.73871418972158,,,1.071729734602491,0.933071060467408,,,0.933071060467408,,,,,4.5,3.2,0.0,,,,False,
2008-02-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232.5656923581256,,,1.0740963634769969,0.9310151621432392,,,0.9310151621432392,,,,,3.9,2.9,0.0,,,,False,
2008-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.40406939863223,,,1.0751348885273857,0.9301158493421248,,,0.9301158493421248,,,,,3.3,2.5,0.0,,,,False,
2008-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236.25303171475926,,,1.0758884703892808,0.9294643706314442,,,0.9294643706314442,,,,,2.6000001,1.9,0.0,,,,False,
2008-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238.1117623822068,,,1.0755608703136847,0.92974747185471,,,0.92974747185471,,,,,3.1000001,2.5,0.0,,,,False,
2008-02-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239.97944182273815,,,1.0755940319757522,0.9297188067909844,,,0.9297188067909844,,,,,6.7000003,4.6,0.0,,,,False,
2008-02-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,241.85524848660054,,,1.0768041001837492,0.9286740269927992,,,0.9286740269927992,,,,,5.6,3.9,0.0,,,,False,
2008-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243.73835954227002,,,1.076870285118595,0.9286169502670144,,,0.9286169502670144,,,,,5.8,4.0,0.0,,,,False,
2008-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245.6279515722761,,,1.076333755230963,0.9290798464138262,,,0.9290798464138262,,,,,6.8,4.6,0.0,,,,False,
2008-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247.5232012738341,,,1.0752662768266852,0.9300021971777908,,,0.9300021971777908,,,,,6.9,4.7000003,0.0,,,,False,
2008-02-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249.42328616299085,,,1.0750483545508005,0.930190717251822,,,0.930190717251822,,,,,4.7000003,3.5,0.0,,,,False,
2008-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251.3273852809734,,,1.0742101060577198,0.93091658173831,,,0.93091658173831,,,,,5.4,3.7,0.0,,,,False,
2008-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253.23467990141182,,,1.0729503739962185,0.9320095544358556,,,0.9320095544358556,,,,,6.4,4.3,0.0,,,,False,
2008-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255.14435423709637,,,1.0722158669425,0.9326480150415712,,,0.9326480150415712,,,,,5.5,3.8,0.0,,,,False,
2008-03-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257.0555961449243,,,1.0721515441531495,0.9327039684393316,,,0.9327039684393316,,,,,5.4,3.8,0.0,,,,False,
2008-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258.9675978276833,,,1.0722324356824715,0.9326336032387456,,,0.9326336032387456,,,,,6.0,4.1,0.0,,,,False,
2008-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260.87955653132025,,,1.0719722981491762,0.9328599271889388,,20.683790751640345,0.9328599271889388,,,,0.7282965550871414,5.3,3.7,0.0,,0.1968369067803085,0.7282965550871414,True,0.7282965550871414
2008-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4997,17.9781,23.0,2.0,5.0,,6.0,262.7906752363479,,,1.0717854563353602,0.9330225504451156,,20.045619324739864,0.9330225504451156,,,,0.7058259133490061,4.8,3.5,0.0,,0.2016645466711446,0.7058259133490061,True,0.7058259133490061
2008-03-08,18.574285416666672,,14.495266666666653,16.430087499999996,11.978427083333333,9.33375,,11.78871666666666,,,5.580150000000002,10.625275,,31.16105520833333,,6.131989583333335,10.428958333333327,,,21.873771875,200.90508333333332,2.1653166666666666,,12.373254166666667,10.611048295454543,12.285785416666668,1.717656249999992,7.643125000000001,6.9128,17.5481,48.0,0.0,2.0,0.0,2.0,264.7001633420483,53.03482708333333,,1.0716173268545444,0.9331689353467636,56.833039629234655,23.44031294491361,0.9331689353467636,,33.39272668432105,0.7645861409203929,0.8193437564831434,5.8,4.1,0.0,0.19983994060564475,0.19821962472468516,0.8127004613712092,False,
