date,lw_in,ws,es,sw_out,LE,H,wd,t_avg,sw_in,Rn,t_dew,vpd,rh,vp,lw_out,G,t_min,t_max,H_subday_gaps,ppt,LE_subday_gaps,G_subday_gaps,Rn_subday_gaps,rso,flux,energy,flux_corr,ebr,ebr_corr,LE_corr,ebc_cf,ebr_5day_clim,H_corr,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,ET_fill_val,ASCE_ETo
2017-05-11,,,,,,,,,,,,,,,,,19.543,31.61,,,,,,343.903688348626,,,,,0.7481569426775828,,1.336617951336647,0.7481569426775828,,,,6.8,5.5,28.0,,,,False,,
2017-05-12,-25.169583333333332,4.0565058333333335,2.2435883391923395,10.067604166666667,77.22336041666667,15.21096402083333,71.31152104166667,19.226020833333333,117.71602083333332,77.91241666666666,16.58902999753077,0.31280629395833337,89.36585416666668,1.9307820452340072,4.566416666666665,-8.458870416666667,16.192,24.009,0.0,1.4,0.0,0.0,0.0,344.84930866820616,92.4343244375,86.37128708333331,123.49617661951136,1.0701973718223845,0.7484792401491736,103.17368375010092,1.3360423995202564,0.7484792401491736,20.322492869410446,2.7170867931117537,3.6301431587738255,3.2,2.7,0.0,1.3444974424678493,,,False,,2.6335154935437197
2017-05-13,-86.45979166666667,3.6336300000000006,2.2417933603151456,32.57125,145.10048770833333,25.586559333333334,29.882912708333336,18.916895833333328,355.6866666666667,234.86266666666666,13.685620848502927,0.6469330320833332,75.1077083333333,1.594860328231812,1.7929583333333332,0.052641874999997285,13.793,24.761,0.0,0.0,0.0,0.0,0.0,345.76979376228013,170.68704704166663,234.81002479166665,,0.7269155019812606,,132.13287595844204,,,,5.1038115175655365,4.6476845448054585,7.0,5.5,0.0,,0.8450335536009923,4.6476845448054585,True,4.6476845448054585,5.38171262356306
2017-05-14,-82.2347916666667,1.5165154166666663,2.704211267882092,44.58720833333332,100.33767958333338,45.51755677083332,195.9221270833333,21.4995625,339.58802083333336,195.386875,13.409443424920358,1.13771531875,63.4022291666667,1.5664959491320924,17.37914583333333,13.004817916666667,13.492,29.687,0.0,0.0,0.0,0.0,0.0,346.66515242748955,145.8552363541667,182.3820570833333,,0.799723605965926,,102.58216256388405,,,,3.538093071907486,3.617237713446712,6.4,5.4,0.0,,0.6698588239933326,3.617237713446712,True,3.617237713446712,5.524725192942289
2017-05-15,-89.70624999999997,2.571815208333333,3.0269432306727837,48.15691666666669,65.9613464583333,65.30576993750002,171.7223958333333,23.46827083333333,332.7420833333333,170.42275,14.93316670536374,1.292190458333333,62.38995833333333,1.734752772339449,24.456166666666665,14.478804166666672,15.385,31.482,0.0,0.0,0.0,0.0,0.0,347.5353993867389,131.2671163958333,155.94394583333334,,0.8417583362686382,,107.77019602559638,,,,2.330340344149516,3.8074000786807902,6.9,5.7000003,0.0,,0.66796489255693,3.8074000786807902,True,3.8074000786807902,6.204063484267686
2017-05-16,-73.02458333333334,4.442906250000001,3.341555057560237,41.528833333333345,57.49753583333333,69.91360770833336,171.72927083333332,25.274229166666668,285.75056250000006,155.84822916666667,16.119044876667527,1.470557479166667,59.122770833333355,1.8709975783935704,15.348916666666666,8.713556875000004,18.157,32.148,0.0,0.0,0.0,0.0,0.0,348.3805548683227,127.41114354166668,147.13467229166667,147.13467229166667,0.8659491441221834,0.8659491441221834,66.39828242063665,1.1548022268833174,,80.73638987103004,2.0348711938721764,2.349873786104304,8.8,6.8,0.0,0.3455696647341355,0.44806744745631105,3.0468587281649984,False,,6.717393320813934
2017-05-17,-56.07118749999999,6.730287708333331,3.197900860294832,34.9636875,59.37835833333333,63.58240591666668,183.29366666666667,24.89783333333333,227.74966666666668,128.31641666666667,17.107645754089898,1.1999277708333334,65.43868749999999,1.9979730894614975,8.398375000000001,2.7064654166666675,21.44,31.259,0.0,1.7000000000000002,0.0,0.0,0.0,349.20064419143637,122.96076425,125.60995125,144.00682278660454,0.9789094178157324,0.8538537401954107,69.54160360033576,1.1711607655090237,,74.46521918626881,2.100669927355169,2.4602222002030643,10.7,7.7000003,3.4,0.3195093647780132,0.5854337221229251,4.5078398278404554,False,,6.908496410909034
2017-05-18,-48.22458333333333,5.551416041666669,3.3975139225792033,29.237979166666666,106.248625,29.490902333333334,174.48070833333333,25.91495833333333,228.07004166666667,147.95700000000005,18.89254305679021,1.1594963124999995,68.77125,2.2380176100792024,2.6504791666666674,7.598795,22.275,31.414,0.0,0.0,0.0,0.0,0.0,349.99569735885484,135.73952733333334,140.35820500000003,152.91489203125337,0.9670936396866384,0.8876802352617842,119.69245318238542,1.1265317850690817,,33.222438848867945,3.7625320014257206,4.23861189194566,8.400001,6.4,0.0,0.6622830982477222,0.6299051197716975,4.031392826611297,False,,6.166884174468769
2017-05-19,-39.87897916666665,2.9207452083333347,3.1993821975500114,22.371499999999994,52.71483874999999,25.50221229166667,156.69618125000005,25.0235625,178.31033333333332,107.55543749999998,21.21988351456232,0.6078739791666666,83.27408333333334,2.591508218383344,8.504416666666668,8.61518875,22.58,31.408,0.0,0.7,0.0,0.0,0.0,350.76574865750786,78.21705104166666,98.94024874999998,87.73347881375317,0.7905483565065999,0.8915302584514101,59.128490873171,1.1216669210274504,,28.604987940582145,1.8651566165273212,2.092084479294177,5.8,4.5,10.7,0.4649076620653728,0.5852520433428811,2.6336341950429647,False,,4.224308326558776
2017-05-20,-32.93206250000001,2.996583124999999,2.8333938658143154,13.026375,109.89829479166669,6.960078291666665,205.62564,23.01210416666667,146.89735416666662,98.51352083333336,19.350065375545707,0.5273096429166668,84.23875,2.3060842228976486,2.4253958333333334,-0.2569079166666661,19.101,27.266,0.0,2.9000000000000004,0.0,0.0,0.0,351.51083626763426,116.85837308333336,98.77042875,133.2760210990358,1.1831311715687307,0.8768146896919837,125.33810859199093,1.14049184138474,,7.937912507044871,3.880874328690481,4.426105509310973,4.9,3.9,3.1000001,1.134898820789381,0.64206286590371,2.504045238256356,False,,3.110205639013854
