date,rh,es,H,vpd,t_dew,vp,theta_2,Rn,theta_1,ws,t_avg,theta_mean,G,LE,wd,t_min,t_max,Rn_subday_gaps,G_subday_gaps,H_subday_gaps,ppt,LE_subday_gaps,rso,flux,energy,ebc_cf,ebr_5day_clim,flux_corr,LE_corr,ebr_corr,ebr,H_corr,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,ET_fill_val
2003-04-29,41.52316666666668,1.7451085940685986,41.85147916666666,0.10278541666666664,13.91239485717422,1.6423231774019316,,91.51741666666668,,3.0971875,15.117458333333332,,,5.021,322.13939583333337,7.451,19.65,0.0,48.0,0.0,0.0,0.0,324.4561440900985,46.87247916666666,,0.9779705580306408,1.0225256699074057,45.839904606904575,4.910390171871848,1.0225256699074057,,40.92951443503272,0.1759676503526847,0.17209118121075573,7.0,5.0,0.0,0.034418236242151144,0.2108094337300448,1.0540471686502235,False,
2003-04-30,48.371125000000006,1.2486317578723856,44.49758333333339,0.06776666666666667,8.890101879255619,1.1808650912057188,,128.7966875,,2.364895833333333,9.891270833333335,,,23.60404166666666,284.23545833333327,5.22,16.39,0.0,48.0,0.0,0.0,0.0,326.0632369234532,68.10162500000004,,0.9794824322005364,1.0209473566089065,66.70434529180889,23.119744141429468,1.0209473566089065,,43.58460115037943,0.8231154151756012,0.8062270888379521,4.6,3.4,0.0,0.2371256143641036,0.1886397974334504,0.6413753112737314,False,
2003-05-01,81.94418749999998,1.4613792000870032,103.23306250000002,0.0268375,11.600434992497293,1.434541700087003,,92.47452083333332,,3.1354791666666664,12.118479166666667,,,43.56610416666666,,6.9910000000000005,18.441,0.0,48.0,0.0,4.9,0.0,327.64266184394563,146.79916666666668,,0.9824177262942076,1.017896942649961,144.2181035385511,42.800112998913264,1.017896942649961,,101.41799053963786,1.522459657581739,1.49569135517611,4.3,3.2,3.0,0.4674035484925344,0.20353282310670812,0.6513050339414661,False,
2003-05-02,92.46254166666664,1.5747745051628754,-8.245583333333334,0.01754583333333333,12.70481388534805,1.5572286718295425,,122.72995833333336,,2.876458333333334,13.08516666666666,,,0.8701250000000004,,6.189,21.272,0.0,48.0,0.0,9.499999999999998,0.0,329.19413440008856,-7.375458333333333,,0.9837006981772728,1.0165693710016963,-7.255243511877387,0.8559425700015001,1.0165693710016963,,-8.111186081878886,0.030435455963907343,0.029939379281039305,5.5,4.1,13.6,0.007302287629521781,0.24288660832325065,0.9958350941253276,False,
2003-05-03,59.27281249999999,1.1183268321714197,71.10470833333328,0.05099791666666667,7.557666762717987,1.067328915504753,,200.52027083333337,,2.5237499999999997,8.375624999999998,,,35.85806250000001,,4.288,12.394,0.0,48.0,2.0,0.2,2.0,330.71738209634793,106.96277083333328,,0.9871471923558068,1.013020153168364,105.58799891472252,35.39718572019405,1.013020153168364,,70.19081319452849,1.2486317901381887,1.2325833659211178,5.6,4.1,0.0,0.3006300892490532,0.318660756974867,1.3065091035969547,False,
2003-05-04,39.421958333333336,1.2797849334620368,117.86393749999996,0.08084583333333334,9.080316037590967,1.1989391001287042,,170.9837291666667,,1.882645833333333,10.227979166666668,,,38.5524375,,4.039,15.532,0.0,48.0,0.0,0.0,0.0,332.2121440857244,156.41637499999996,,0.9926547077133968,1.0073996448407756,155.26745100721402,38.2692585782015,1.0073996448407756,,116.99819242901256,1.3448243770953452,1.3349462489714308,4.6,3.7,0.0,0.3607962835057921,0.3226489386848629,1.1938010731339928,False,
2003-05-05,43.07633333333333,1.2939654392809532,92.79375,0.07950625,9.286987757439864,1.2144591892809526,,108.87170833333334,,2.669229166666666,10.387666666666668,,,35.162625,175.86635416666667,1.913,14.463,0.0,48.0,0.0,3.3000000000000007,0.0,333.6781708565104,127.95637499999998,,1.0015183133159744,0.9984839884645272,128.1506528680263,35.21601288176211,0.9984839884645272,,92.93463998626422,1.22676431004584,1.2286269226333444,5.7000003,4.2000003,1.9,0.2925301987795916,0.4136923702597087,1.7375080791984876,False,
2003-05-06,99.10022916666668,0.9723765137264566,65.59402083333335,0.0006979166666666668,6.027296167853095,0.9716785970597898,,47.9354375,,2.4999375,6.221354166666664,,,41.87813541666666,177.1866041666666,1.6969999999999998,10.417,0.0,48.0,0.0,0.2,1.0,335.1152239144826,107.47215625,,1.009139379916147,0.9909433918663382,108.45438511637629,42.26087560641943,0.9909433918663382,,66.19350950995684,1.455276649985423,1.4685769761727374,3.3,2.6000001,0.0,0.5648372768034653,0.43250112082608144,1.1245029573979235,False,
2003-05-07,73.00454166666667,1.7163863601500278,60.25027083333333,0.05448333333333335,13.992208802217348,1.6619030268166943,,174.73683333333335,,2.1012083333333336,14.699791666666668,,,31.941312499999995,224.01133333333337,8.548,19.545,0.0,48.0,0.0,1.7,0.0,336.52307546176536,92.19158333333333,,1.0185044186322592,0.9818317738305856,93.89753498570411,32.5323679181638,0.9818317738305856,,61.36516706754031,1.1189783670914222,1.1396844112365234,5.3,4.3,1.7,0.26504288633407525,0.4496357510461057,1.9334337294982544,False,
2003-05-08,99.88920833333331,1.0871027992903428,124.24824999999994,0.00015,7.944622463751965,1.0869527992903427,,25.57895833333333,,1.9625624999999995,8.136895833333334,,,43.54925,125.022125,6.545,11.282,0.0,48.0,0.0,6.1,0.0,337.90150807359345,167.79749999999996,,1.0201070790415403,0.980289246634351,171.1714175954728,44.424898211949795,0.980289246634351,,126.74651938352301,1.5161061315015705,1.5465905973230358,1.8000001,1.4,5.2000003,1.1047075695164543,0.4788641021743147,0.6704097430440406,False,
2003-05-09,71.02512500000002,1.3596807730629832,14.155104166666666,0.0448125,10.637616527841864,1.3148682730629828,,168.0984791666667,,2.2913333333333337,11.314208333333335,,,15.600458333333338,239.58295833333332,7.688,15.66,0.0,48.0,0.0,1.4,0.0,339.25031437416936,29.755562500000003,,1.020375131007471,0.9800317252074212,30.361835984138487,15.918319715651592,0.9800317252074212,,14.443516268486896,0.5447547176377192,0.5558541663765256,4.9,4.0,0.0,0.1389635415941314,0.4525658994357475,1.8102635977429904,False,
2003-05-10,56.71585416666667,1.6052124375883383,81.1842916666667,0.07646041666666667,12.649698529171387,1.5287520209216707,,187.0907083333333,,1.5624791666666669,13.59375,,,49.55158333333333,,7.0120000000000005,18.434,0.0,48.0,0.0,0.0,0.0,340.56929671278937,130.73587500000002,,1.0186460895695524,0.9816952229430029,133.17358783520382,50.47552659447981,0.9816952229430029,,82.69806124072403,1.7340709865512882,1.7664046294864857,5.0,4.2000003,0.3,0.4205725007892227,0.3775591265079705,1.5857484446012142,False,
2003-05-11,68.11381249999998,1.4218687971568795,156.8945,0.05098958333333332,11.18345407895574,1.3708792138235468,,84.32820833333334,,4.077229166666666,11.915895833333332,,,44.49208333333331,,7.138,15.836,0.0,48.0,0.0,8.7,0.0,341.8582668413721,201.38658333333333,,1.0183896931145664,0.981942380957996,205.09002079822437,45.31027909186103,0.981942380957996,,159.77974170636332,1.5545181639530008,1.583105275929116,3.6000001000000004,2.8,11.5,0.5653947414032557,0.3777923025420297,1.0578184471176832,False,
2003-05-12,90.45325,1.1348087266184803,-1.750541666666666,0.012360416666666664,8.355431855300703,1.1224483099518134,,76.1427916666667,,2.5212708333333333,8.696354166666667,,,8.573833333333331,,6.138,12.559,0.0,48.0,0.0,4.0,0.0,343.11704559448896,6.823291666666665,,1.0167250066360105,0.9835501177537204,6.9374112650711,8.717230752729378,0.9835501177537204,,-1.7798194876582785,0.2986449442328345,0.3036397829069397,3.8,2.8,2.6000001,0.10844277960962133,0.2987644890989216,0.8365405694769803,False,
2003-05-13,90.49766666666666,0.9928229686402924,11.760187500000002,0.009685416666666669,6.534444153546403,0.9831375519736256,,60.38133333333335,,3.0486041666666663,6.8535,,,2.8824166666666664,309.12714583333326,5.545,8.333,0.0,48.0,2.0,2.4,2.0,344.34546257294625,14.642604166666667,,1.0322147987663122,0.9687906055940926,15.1143127133106,2.975273139543997,0.9687906055940926,,12.139039573766606,0.10022493041768013,0.10345365638245334,3.6000001000000004,2.6000001,1.4,0.03978986630902566,0.3621887623019144,0.9416908182038536,False,
