date,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,LE_corr,ET_fill_val,LE
2015-09-21,4.996014,4.996014,9.5,6.5,0.0,0.7686175384615385,0.7190599089587649,4.673889408231972,False,141.8879540847222,,141.8879540847222
2015-09-22,2.325822,2.325822,6.9,4.8,2.5,0.4845462307458627,0.688011562112966,3.3024556293700282,False,66.05388318472222,,66.05388318472222
2015-09-23,3.3843624,3.3843624,7.3,5.0,5.2000003,0.6768724799999999,0.7401590959486885,3.700795479743442,False,96.1166755772222,,96.1166755772222
2015-09-24,1.798671,1.798671,4.2000003,3.3,0.8,0.5450518260576049,0.7436772564575149,2.4541349108485044,False,51.08267275902778,,51.08267275902778
2015-09-25,3.822507,3.822507,5.8,4.4,0.0,0.8687515720794077,0.7455468763242393,3.280406326927544,False,108.56008363958334,,108.56008363958334
2015-09-26,3.690057,3.690057,4.7000003,3.7,0.0,0.9973126898498446,0.7923774147891162,2.9317964725032293,False,104.79847297986113,,104.79847297986113
2015-09-27,4.063566000000002,4.063566000000002,6.6,4.7000003,0.0,0.8645884580083529,0.796357622918029,3.74288105555448,False,115.4062150402778,,115.4062150402778
2015-09-28,4.143036,4.143036,7.7000003,5.3,0.0,0.7817048775286091,0.8073880866163322,4.2791570130636165,False,117.66318143611113,,117.66318143611113
2015-09-29,3.65562,3.65562,6.2000003,4.5,0.0,0.8123600000000001,0.7777932548907025,3.500069647008161,False,103.82045420833332,,103.82045420833332
2015-09-30,3.73509,3.73509,7.6,5.3,0.0,0.7047339369023904,0.7051190598699341,3.737131151801437,False,106.07742060416668,,106.07742060416668
2015-10-01,3.2980050000000003,3.2980050000000003,7.7000003,5.3,0.0,0.6222650719457277,0.6437483786785947,3.4118665297818107,False,93.66410542708334,,93.66410542708334
2015-10-02,2.646351,2.646351,5.7000003,4.0,0.0,0.6615877499999999,0.6165346281101555,2.4661385124406223,False,75.15698098124999,,75.15698098124999
2015-10-03,1.319202,1.319202,3.8,2.7,16.2,0.4885933247044647,0.5850830090625364,1.5797241523677803,False,37.46564217083333,,37.46564217083333
2015-10-04,0.8264879999999999,0.8264879999999999,2.5,1.9,9.900001,0.4349936896689777,0.5594246294176635,1.062906782555838,False,23.47245051666666,,23.47245051666666
2015-10-05,1.300659,1.300659,3.1000001,2.2,0.0,0.5912086235495345,0.5158008881814528,1.1347619785944991,False,36.93901667847222,,36.93901667847222
2015-10-06,2.664894,2.664894,6.4,4.5,2.9,0.5921986666666667,0.4950062381814528,2.2275280718165376,False,75.68360647361109,,75.68360647361109
