date,rh,sw_in,H,Rn,theta_1,wd,t_avg,G,LE,ws,t_min,t_max,Rn_subday_gaps,G_subday_gaps,H_subday_gaps,ppt,LE_subday_gaps,rso,flux,energy,ebc_cf,ebr_5day_clim,flux_corr,LE_corr,ebr_corr,ebr,H_corr,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,ET_fill_val
2015-01-01,,,,,,,,,,,,,,,,,,84.6585008543823,,,1.2013568371808383,0.8323921494854502,,,0.8323921494854502,,,,,0.2,0.1,0.0,,,,False,
2015-01-02,,,,,,,,,,,,,,,,,,85.13563738770065,,,1.2352221551424496,0.8095709713729,,,0.8095709713729,,,,,0.2,0.2,0.0,,,,False,
2015-01-03,,,,,,,,,,,,,,,,,,85.65183737635813,,,1.2710521293636765,0.7867497932603499,,,0.7867497932603499,,,,,0.3,0.2,0.0,,,,False,
2015-01-04,,,,,,,,,,,,,,,,,,86.20708541476395,,,1.278275653095813,0.7823038775542142,,,0.7823038775542142,,,,,0.4,0.3,3.7,,,,False,
2015-01-05,,,,,,,,,,,,,,,,,,86.80136160771654,,,1.2872166836120411,0.776869980580048,,,0.776869980580048,,,,,1.3000001,0.90000004,1.8000001,,,,False,
2015-01-06,,,,,,,,,,,,,,,,,,87.43464104715557,,,1.2985704139976828,0.7700776093623403,,,0.7700776093623403,,,,,0.6,0.3,0.0,,,,False,
2015-01-07,,,,,,,,,,,,,,,,,,88.10689326734631,,,1.313465744263253,0.7613445606538589,,,0.7613445606538589,,,,,0.5,0.3,0.0,,,,False,
2015-01-08,,,,,,,,,,,,,,,,,,88.8180816812216,,,1.333865998119688,0.7497004957092174,,,0.7497004957092174,,,,,0.3,0.2,0.0,,,,False,
2015-01-09,,,,,,,,,,,,,,,,,,89.5681630006743,,,1.3635146300665324,0.7333988047867189,,,0.7333988047867189,,,,,0.4,0.2,0.0,,,,False,
2015-01-10,,,,,,,,,,,,,,,,,,90.35708664363506,,,1.4105441336939109,0.7089462684029713,,,0.7089462684029713,,,,,0.5,0.3,0.0,,,,False,
2015-01-11,,,,,,,,,,,,,,,,,,91.18479413079928,,,1.4965757424447432,0.6681920410967254,,,0.6681920410967254,,,,,0.5,0.4,0.4,,,,False,
2015-01-12,,,,,,,,,,,,,,,,,,92.05121847487776,,,1.7044962958527805,0.5866835864842334,,,0.5866835864842334,,,,,0.6,0.4,0.0,,,,False,
2015-01-13,,,,,,,,,,,,,,,,,,92.9562835652401,,,1.7044962958527805,0.5866835864842334,,,0.5866835864842334,,,,,0.4,0.3,0.0,,,,False,
2015-01-14,,,,,,,,,,,,,,,,,,93.89990355079796,,,,,,,,,,,,0.7,0.4,0.0,,,,False,
2015-01-15,,,,,,,,,,,,,,,,,,94.88198222394058,,,,,,,,,,,,0.7,0.5,1.6,,,,False,
2015-01-16,,,,,,,,,,,,,,,,,,95.90241240828564,,,,,,,,,,,,0.90000004,0.6,0.6,,,,False,
2015-01-17,,,,,,,,,,,,,,,,,,96.96107535294368,,,,,,,,,,,,0.6,0.4,12.0,,,,False,
2015-01-18,,,,,,,,,,,,,,,,,,98.05784013592405,,,,,,,,,,,,2.3,1.4,1.0,,,,False,
2015-01-19,,,,,,,,,,,,,,,,,,99.1925630792222,,,,,,,,,,,,1.5,0.90000004,0.0,,,,False,
