date,rh,theta_4,H,sw_out,sw_in,theta_3,theta_2,Rn,theta_1,ws,t_avg,theta_mean,G,LE,wd,t_min,t_max,Rn_subday_gaps,G_subday_gaps,H_subday_gaps,ppt,LE_subday_gaps,rso,flux,energy,ebc_cf,ebr_5day_clim,flux_corr,LE_corr,ebr_corr,ebr,H_corr,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,ET_fill_val
2016-02-20,64.76041666666667,63.32083333333333,-7.6083333333333325,23.341666666666665,193.44375,63.3,42.93749999999999,90.35625000000003,39.03958333333333,4.1204166666666655,7.177083333333331,52.14947916666667,29.90625,,265.33541666666673,3.2,12.4,0.0,0.0,3.0,0.0,11.0,178.7518154688771,,60.45000000000003,1.3866079655984436,0.8307665455784509,,66.10338054277315,0.7211843756922396,,-10.549775604928156,,2.2991971975038146,4.9,3.1000001,0.0,,0.7416764913987631,2.2991971975038146,True,2.2991971975038146
2016-02-21,79.65416666666665,62.59166666666665,3.0854166666666667,8.789583333333333,83.43541666666668,63.18750000000001,42.99375000000001,41.97708333333333,39.225,2.9866666666666664,2.525,51.99947916666665,13.7625,17.2625,95.65416666666664,-0.9,4.5,0.0,0.0,0.0,0.0,6.0,180.8515866797393,20.347916666666666,28.21458333333333,1.3866079655984436,0.8305658093207584,28.21458333333333,23.93632000614313,0.7211843756922396,0.7211843756922396,4.2782633271901975,0.5977783569048969,0.8288842313466795,3.4,2.2,0.0,0.3767655597030361,0.8020660794729595,1.764545374840511,False,
2016-02-22,77.46666666666665,62.2875,14.633333333333338,18.635416666666664,161.70833333333331,62.39583333333334,42.63958333333332,82.14999999999998,39.24583333333332,1.2604166666666667,1.3749999999999998,51.6421875,17.406249999999996,,161.66666666666669,-3.9,7.0,0.0,0.0,0.0,0.0,12.0,182.97002325165138,,64.74374999999999,1.3866079655984436,0.8293518433787626,,44.87920603532457,0.7211843756922396,,20.290696563257228,,1.5524202878304474,2.5,1.8000001,0.0,,0.8624556675471559,1.5524202878304474,True,1.5524202878304474
2016-02-23,72.11458333333336,62.20625000000002,14.808333333333335,22.69791666666667,187.7458333333333,62.50833333333333,42.55625000000001,93.74583333333334,39.185416666666654,2.7579166666666666,1.7604166666666663,51.6140625,11.04583333333334,,66.61041666666668,-2.4,7.0,0.0,0.0,0.0,0.0,16.0,185.1063414780856,,82.7,1.6586133159969667,0.8258555910262907,,42.6703763370108,0.6029132832560888,,24.56129885438843,,1.4765524089941635,2.3,1.6,0.0,,0.9228452556213522,1.4765524089941635,True,1.4765524089941635
2016-02-24,76.17083333333333,62.65208333333336,-6.545833333333332,4.6125,42.26458333333334,62.62708333333334,42.70000000000001,17.764583333333327,39.28958333333333,7.981666666666668,0.9375000000000004,51.81718749999998,0.4187500000000002,,156.85625000000005,-0.4,1.6,0.0,0.0,0.0,15.599999999999993,40.0,187.2597475195146,,17.34583333333333,1.6586133159969667,0.8255741443280531,,8.530881997250779,0.6029132832560888,,-10.857006330963475,,0.2949704531086645,0.3,0.3,0.90000004,,0.9832348436955486,0.2949704531086645,True,0.2949704531086645
2016-02-25,67.39583333333336,62.42291666666667,4.19375,23.804166666666664,134.21458333333337,62.99166666666664,42.70416666666667,63.431249999999984,39.31875,6.168125,0.004166666666666638,51.85937500000001,3.5645833333333337,,330.5375,-1.4,2.0,0.0,0.0,0.0,0.4,19.0,189.4294379987711,,59.86666666666665,1.6586133159969667,0.8265503301058517,,6.041885271298113,0.6029132832560888,,6.955809593962278,,0.20872488635394892,0.2,0.2,0.0,,1.0436244317697447,0.20872488635394892,True,0.20872488635394892
2016-02-26,65.66458333333333,62.22916666666668,7.587499999999999,9.104166666666666,81.71458333333334,62.77916666666665,42.70416666666667,25.29791666666665,39.22708333333333,3.317499999999999,-1.4979166666666668,51.73489583333335,-0.7437500000000002,,268.6062500000001,-3.4,-0.4,0.0,0.0,0.0,0.0,16.0,191.6146006141724,,26.04166666666665,1.5294849967362267,0.8294788084152411,,41.603666957059815,0.6538148475688897,,11.604967412736121,,1.4352183361985256,1.9,1.3000001,0.0,,1.1040140198439412,1.4352183361985256,True,1.4352183361985256
2016-02-27,70.21249999999999,62.46041666666668,-6.64166666666667,25.01041666666667,210.9083333333334,62.49375,42.70833333333334,96.47499999999997,39.19166666666668,4.998333333333334,3.6687499999999993,51.71354166666666,11.406249999999998,,204.6625,-4.0,11.7,0.0,0.0,2.0,0.0,17.0,193.81441476910683,,85.06874999999997,1.7567637008335848,0.8308831521698271,,43.66567106893281,0.569228519194414,,-11.667838913036398,,1.51372480673394,1.9,1.3000001,0.0,,1.1644036079181377,1.51372480673394,True,1.51372480673394
2016-02-28,69.03541666666665,62.52291666666667,-15.059375,14.856249999999996,127.89583333333331,62.30208333333334,42.40625000000001,66.40208333333335,38.925,7.189374999999997,8.799999999999997,51.5390625,26.575000000000006,34.36125992063492,235.28958333333333,1.8,16.1,0.0,0.0,1.0,1.2000000000000002,18.0,196.0280522167361,19.301884920634922,39.82708333333335,1.7567637008335848,0.8332523645246662,33.90885078623857,60.36461414347935,0.569228519194414,0.4846421908199382,-26.455763357240766,1.1969942290447315,2.1028360116930664,3.0,2.0,0.4,1.0514180058465332,1.224793195992334,2.449586391984668,False,
2016-02-29,73.09374999999999,61.16041666666667,28.368749999999995,18.110416666666666,153.29999999999995,61.50833333333333,41.90208333333333,84.85000000000005,38.91875000000001,6.0614583333333325,2.545833333333333,50.87239583333334,-7.333333333333332,,197.70416666666677,-2.8,11.0,0.0,0.0,0.0,0.4,23.0,198.25467771844052,,92.18333333333337,1.7567637008335848,0.8336823511354962,,60.1265976364166,0.569228519194414,,49.83719023802275,,2.082148433186968,2.6000001,1.7,1.1,,1.224793195992334,2.082148433186968,True,2.082148433186968
