date,rh,H,sw_in,vp,theta_1,G,lw_out,LE,wd,es,ws,sw_out,vpd,Rn,lw_in,t_avg,theta_mean,t_dew,theta_2,t_min,t_max,Rn_subday_gaps,G_subday_gaps,H_subday_gaps,ppt,LE_subday_gaps,ASCE_ETo,rso,flux,energy,ebc_cf,ebr_5day_clim,flux_corr,LE_corr,ebr_corr,ebr,H_corr,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,ET_fill_val
2000-01-01,86.34583333333335,,63.91666666666666,0.5210143620362503,,-6.9375,300.9166666666667,,207.02083333333331,0.5297081120362503,2.732291666666665,28.29166666666667,0.008693750000000005,-24.35416666666667,240.9375,-2.297916666666667,,-2.6531201578303634,,-6.0,4.8,0.0,0.0,48.0,0.254,48.0,0.2546508068524174,77.21180894885937,,-17.416666666666668,1.2252264487304672,0.8161756555583352,,,0.8161756555583352,,,,,1.2,0.7,0.0,,,,False,
2000-01-02,88.22916666666664,,9.145833333333334,0.2497972983369996,,-19.27083333333333,267.7916666666667,,97.52083333333331,0.2527660483369996,2.5977083333333333,4.6875,0.00296875,-15.583333333333336,247.75,-11.775,,-12.164141420975714,,-17.5,-6.3,0.0,0.0,48.0,1.016,48.0,0.08528028662569746,77.68983911524789,,3.6874999999999982,1.2802316840889556,0.7811086168451022,,,0.7811086168451022,,,,,0.6,0.4,2.1000001,,,,False,
2000-01-03,75.48125000000002,,71.79166666666667,0.11607663955033565,,-11.604166666666664,221.5625,,316.6666666666667,0.11912663955033564,2.3593750000000004,54.58333333333334,0.003049999999999999,-40.4375,163.89583333333334,-21.725000000000005,,-22.464771077699083,,-34.1,-16.3,0.0,0.0,48.0,0.254,48.0,-0.0019572543890309757,78.20718875899463,,-28.833333333333336,1.3273563609102166,0.7533771859986896,,1.3434747570261203,0.7533771859986896,,,,0.045479195184030784,0.6,0.3,0.6,,0.15159731728010262,0.045479195184030784,True,0.045479195184030784
2000-01-04,81.75625000000002,,33.645833333333336,0.2197667414233517,,-10.375,242.29166666666663,,209.25,0.2232979914233517,1.153541666666667,26.04166666666667,0.003531250000000001,-14.041666666666664,220.64583333333331,-17.087500000000002,,-17.702805561650464,,-34.3,0.9,0.0,0.0,21.0,0.508,23.0,0.33349261627994575,78.76387006212029,,-3.666666666666666,1.3438746307794622,0.7441170307828409,,2.143662631975102,0.7441170307828409,,,,0.07287973665333784,0.5,0.3,1.0,,0.24293245551112616,0.07287973665333784,True,0.07287973665333784
2000-01-05,80.07916666666667,-11.208333333333336,51.66666666666666,0.4684907522741072,,-2.1875,286.5833333333333,2.552083333333333,294.0,0.4785011689407738,4.581666666666667,37.958333333333336,0.01001041666666667,-53.97916666666666,218.89583333333331,-3.6458333333333335,,-4.087778138004805,,-12.6,1.2,0.0,0.0,3.0,0.0,3.0,0.01281425730128255,79.35989240004044,-8.65625,-51.79166666666666,1.3174405051883489,0.7590475593104938,-11.404094373036642,3.3622179559494314,0.7590475593104938,0.16713596138374898,-14.766312328986075,0.08786233406738728,0.11575339778076615,0.90000004,0.5,0.0,0.2315067955615323,0.16814048828221465,0.08407024414110732,False,
2000-01-06,79.38333333333334,-6.125,74.72916666666667,0.34513822836614394,,-7.104166666666668,265.5416666666667,0.6458333333333334,259.5625,0.3536840616994772,2.292708333333332,51.70833333333334,0.008545833333333329,-53.89583333333334,188.625,-7.720833333333334,,-8.195227715120822,,-12.7,-1.2,0.0,0.0,0.0,0.0,0.0,0.09010439346652178,79.9952617316664,-5.479166666666668,-46.79166666666667,1.2946098558272825,0.7724334829514945,-7.0933831683869855,0.8361021985551199,0.7724334829514945,0.11709706144256456,-7.929485366942107,0.02214963486520436,0.02867513559946917,0.6,0.4,0.0,0.07168783899867293,0.20341324854361492,0.08136529941744597,False,
2000-01-07,72.13124999999998,-26.8125,55.10416666666666,0.5932690353582498,,-0.04166666666666666,300.0416666666667,4.958333333333333,243.5625,0.6118002853582499,3.6525,38.458333333333336,0.01853125,-51.39583333333334,231.97916666666663,-0.4083333333333338,,-0.9650383329382776,,-8.7,3.9,0.0,0.0,2.0,0.0,2.0,0.014207700789937392,80.66997996419646,-21.85416666666667,-51.35416666666667,1.2428136620199972,0.8046258506481639,-27.16065690539536,6.162284407515818,0.8046258506481639,0.4255578093306288,-33.322941312911176,0.17122548012604855,0.21280136598658664,0.90000004,0.5,0.0,0.4256027319731733,0.22302569942996436,0.11151284971498217,False,
2000-01-08,81.6437708333333,-12.791666666666664,64.3125,0.4834001978137605,,-4.083333333333333,284.8958333333333,-0.5416666666666666,167.08333333333334,0.49380436448042697,1.8660416666666664,42.47916666666666,0.01040416666666667,-47.91666666666666,215.14583333333331,-3.364583333333333,,-3.789266677750192,,-10.6,2.0,0.0,0.0,0.0,0.0,0.0,-0.004885843368531303,81.38404429575411,-13.333333333333332,-43.83333333333333,1.205910177327291,0.8292491586863803,-16.078802364363884,-0.6532013460522827,0.8292491586863803,0.3041825095057034,-15.425601018311601,-0.018653267701631563,-0.022494165361807955,0.6,0.4,0.0,-0.05623541340451989,0.2567293393223678,0.10269173572894713,False,
2000-01-09,76.66666666666667,-11.541666666666664,62.72916666666666,0.6082415921301035,,0.22916666666666666,303.2083333333333,4.25,254.625,0.6240228421301034,3.0404166666666685,38.6875,0.01578124999999999,-45.29166666666666,233.85416666666663,0.08750000000000008,,-0.4011811178995248,,-6.9,3.5,0.0,0.0,0.0,0.0,0.0,-0.0019537112985515215,82.1374465390977,-7.291666666666666,-45.52083333333333,1.1731128240505229,0.85243292844349,-8.553947675368395,4.985729502214722,0.85243292844349,0.16018306636155608,-13.539677177583119,0.1468334002179398,0.17225214479460807,0.90000004,0.5,0.6,0.3445042895892161,0.2567775343889677,0.12838876719448386,False,
2000-01-10,77.87916666666669,8.104166666666666,69.14583333333333,0.3902521021398643,,-7.833333333333332,279.5625,5.791666666666668,291.9375,0.4000583521398645,4.988541666666669,42.16666666666666,0.009806249999999996,-54.27083333333334,198.35416666666663,-6.770833333333332,,-7.271922763301394,,-19.4,1.3,0.0,0.0,0.0,0.0,0.0,0.05095200302166174,82.93017242966751,13.895833333333332,-46.4375,1.1305389792154346,0.8845338536615294,15.709781232014475,6.547704921289389,0.8845338536615294,-0.2992373261552265,9.162076310725084,0.19880921563551648,0.22476156770319794,1.1,0.7,0.4,0.3210879538617113,0.28762581695401673,0.2013380718678117,False,
2000-01-11,80.65000000000002,6.5625,38.25,0.17265464380526574,,-18.70833333333333,247.70833333333331,3.7083333333333335,115.72916666666669,0.17618381047193235,2.264375,25.08333333333333,0.0035291666666666666,-25.4375,209.14583333333331,-15.999999999999995,,-16.54406079545461,,-19.6,-13.5,0.0,0.0,0.0,0.0,0.0,0.04546209557947133,83.76220092125989,10.270833333333334,-6.729166666666668,1.0909871138542528,0.9166011104083416,11.205346815211387,4.045743880542855,0.9166011104083416,-1.526315789473684,7.159602934668534,0.12620254799950842,0.13768535360303652,0.6,0.3,0.0,0.4589511786767884,0.29886927976233696,0.08966078392870107,False,
2000-01-12,84.96041666666666,13.260416666666664,28.29166666666667,0.20650078338738773,,-10.8125,253.66666666666663,2.5416666666666665,153.79166666666666,0.2098445333873877,1.8431250000000008,21.79166666666667,0.0033437500000000012,-15.979166666666664,231.1875,-14.110416666666667,,-14.574127633025505,,-20.7,-10.0,0.0,0.0,2.0,0.508,3.0,0.07085078233465053,84.63350347262123,15.802083333333332,-5.166666666666666,1.0702478396224409,0.9343630166567559,16.91214554903378,2.7202132590403703,0.9343630166567559,-3.058467741935484,14.19193228999341,0.08665064387685023,0.09273766441109244,0.6,0.4,0.0,0.2318441610277311,0.3548130843265426,0.14192523373061705,False,
2000-01-13,89.62916666666666,14.197916666666664,62.91666666666666,0.21875328613822365,,-9.6875,249.8125,-1.979166666666666,198.64583333333331,0.22066786947155706,1.815208333333333,45.39583333333334,0.0019145833333333328,-27.08333333333333,205.1875,-14.408333333333333,,-14.830769230643492,,-24.1,-8.3,0.0,0.0,16.0,0.0,14.0,0.020789935739255135,85.54404332823705,12.21875,-17.395833333333332,1.061223378982127,0.9423086786489292,12.966823161937866,-2.1003379375687925,0.9423086786489292,-0.7023952095808383,15.067161099506658,-0.06745514033465025,-0.07158497195565111,0.3,0.2,0.0,-0.3579248597782556,0.37129985703308,0.07425997140661597,False,
