date,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,LE_corr,ET_fill_val,LE
2016-01-07,,0.32684965218349177,2.2,1.4,0.4,,0.2334640412497916,0.32684965218349177,True,9.282605781652878,0.32684965218349177,
2016-01-08,,0.06978506003842852,0.3,0.3,2.4,,0.2326168575513983,0.06978506003842852,True,1.9819118590404532,0.06978506003842852,
2016-01-09,,0.16223876893419364,0.90000004,0.7,0.0,,0.2317696738530049,0.16223876893419364,True,4.607618593001686,0.16223876893419364,
2016-01-10,,0.1616457403554175,1.0,0.7,0.0,,0.2309224901546116,0.1616457403554175,True,4.590776444089309,0.1616457403554175,
2016-01-11,,0.32210542355328275,2.1000001,1.4,0.0,,0.23007530645621824,0.32210542355328275,True,9.147868590353866,0.32210542355328275,
2016-01-12,,0.5501475164796771,3.7,2.4,0.0,,0.2292281227578249,0.5501475164796771,True,15.624316816984978,0.5501475164796771,
2016-01-13,,0.4567618781188631,3.1000001,2.0,0.0,,0.22838093905943155,0.4567618781188631,True,12.972143070491944,0.4567618781188631,
2016-01-14,,0.6826012660831147,4.9,3.0,0.0,,0.2275337553610382,0.6826012660831147,True,19.38603396631279,0.6826012660831147,
2016-01-15,,0.4307044807543962,2.9,1.9,2.1000001,,0.2266865716626449,0.4307044807543962,True,12.23210695353614,0.4307044807543962,
2016-01-16,,0.1806715130636165,1.1,0.8,0.0,,0.2258393879642515,0.1806715130636165,True,5.1311127931162135,0.1806715130636165,
2016-01-17,,0.2024929918856206,1.3000001,0.90000004,0.0,,0.22499220426585814,0.2024929918856206,True,5.750847842929376,0.2024929918856206,
2016-01-18,,0.42587553373414944,2.9,1.9,0.0,,0.22414502056746485,0.42587553373414944,True,12.094963740349321,0.42587553373414944,
2016-01-19,,0.4689254893680619,3.2,2.1000001,0.0,,0.22329783686907148,0.4689254893680619,True,13.317592445619939,0.4689254893680619,
2016-01-20,,0.6673519595120344,4.7000003,3.0,0.0,,0.22245065317067814,0.6673519595120344,True,18.95295012976204,0.6673519595120344,
2016-01-21,,0.4653673175924287,3.2,2.1000001,0.0,,0.2216034694722848,0.4653673175924287,True,13.216539543541089,0.4653673175924287,
2016-01-22,,0.3973613301827246,2.7,1.8000001,0.0,,0.22075628577389145,0.3973613301827246,True,11.285153758978774,0.3973613301827246,
2016-01-23,,0.7696818572642434,5.6,3.5,0.0,,0.21990910207549813,0.7696818572642434,True,21.859142913401104,0.7696818572642434,
2016-01-24,,0.9200601198579575,6.9,4.2000003,0.0,,0.2190619183771048,0.9200601198579575,True,26.12992038084559,0.9200601198579575,
2016-01-25,,0.5237153840394863,3.7,2.4,0.0,,0.21821473467871144,0.5237153840394863,True,14.873638137134384,0.5237153840394863,
2016-01-26,,0.30431456618999897,2.1000001,1.4,0.0,,0.21736755098031807,0.30431456618999897,True,8.64260412298259,0.30431456618999897,
