date,rh,sw_in,sw_out,H,Rn,theta_1,ws,t_avg,G,LE,wd,t_min,t_max,Rn_subday_gaps,H_subday_gaps,LE_subday_gaps,G_subday_gaps,rso,flux,energy,ebc_cf,ebr_5day_clim,flux_corr,LE_corr,ebr_corr,ebr,H_corr,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,ET_fill_val
2006-01-01,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,155.62375580932095,,,1.250909865746735,0.7994181094758946,,,0.7994181094758946,,,,,3.6000001000000004,2.3,8.6,,,,False,
2006-01-02,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,156.09852911535498,,,1.2483287782754544,0.8010710138249664,,,0.8010710138249664,,,,,3.9,2.5,43.2,,,,False,
2006-01-03,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,156.61093598940298,,,1.250181128820469,0.7998840943499829,,,0.7998840943499829,,,,,2.8,1.9,3.0,,,,False,
2006-01-04,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,157.1608116715527,,,1.2530792024063229,0.7980341530524744,,,0.7980341530524744,,,,,5.3,3.3,0.0,,,,False,
2006-01-05,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,157.7479774973445,,,1.2464166710459,0.8022999236369924,,,0.8022999236369924,,,,,8.3,5.0,0.4,,,,False,
2006-01-06,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,158.37224077638686,,,1.2515014806574527,0.7990402052698083,,,0.7990402052698083,,,,,8.7,5.2000003,0.0,,,,False,
2006-01-07,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,159.0333946694501,,,1.2578677916471133,0.7949961090032772,,,0.7949961090032772,,,,,4.3,2.7,0.0,,,,False,
2006-01-08,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,159.7312180651485,,,1.261952237624282,0.7924230174373109,,,0.7924230174373109,,,,,4.8,3.0,0.0,,,,False,
2006-01-09,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,160.465475457355,,,1.2664366000070788,0.7896171036074056,,,0.7896171036074056,,,,,6.4,3.9,0.0,,,,False,
2006-01-10,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,161.2359168245197,,,1.2731484977023717,0.7854543298010266,,,0.7854543298010266,,,,,5.1,3.2,0.0,,,,False,
2006-01-11,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,162.04227751208373,,,1.2818588219854758,0.7801171102844979,,,0.7801171102844979,,,,,4.0,2.6000001,0.0,,,,False,
2006-01-12,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,162.88427811919345,,,1.2922146573313895,0.7738652354130889,,,0.7738652354130889,,,,,2.6000001,1.8000001,0.0,,,,False,
2006-01-13,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,163.76162439092755,,,1.302849750441517,0.7675482147201659,,,0.7675482147201659,,,,,3.8,2.5,0.0,,,,False,
