date,rh,es,H,sw_out,sw_in,vpd,t_dew,vp,Rn,ws,lw_in,t_avg,G,lw_out,LE,wd,t_min,t_max,Rn_subday_gaps,G_subday_gaps,H_subday_gaps,ppt,LE_subday_gaps,ASCE_ETo,rso,flux,energy,ebc_cf,ebr_5day_clim,flux_corr,LE_corr,ebr_corr,ebr,H_corr,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,ET_fill_val
2004-01-01,,2.5798598172615006,,,,,,,,,,,,,,,16.871,25.989,,,,,,,197.547841762377,,,0.9630846090133344,1.0383303716425132,,,1.0383303716425132,,,,,3.7,2.9,0.0,,,,False,
2004-01-02,,2.5798381860959383,,,,,,,,,,,,,,,17.755,25.642,,,,,,,197.9758260198605,,,0.9658226794259048,1.03538674469149,,,1.03538674469149,,,,,3.4,2.7,0.0,,,,False,
2004-01-03,,2.657510710675865,,,,,,,,,,,,,,,16.726,26.005,,,,,,,198.4369779541437,,,0.970392754330856,1.0305105799038656,,,1.0305105799038656,,,,,3.7,2.9,0.0,,,,False,
2004-01-04,,2.805733525761769,,,,,,,,,,,,,,,18.457,26.865,,,,,,,198.93108323947342,,,0.9716835435044516,1.029141644607279,,,1.029141644607279,,,,,3.7,2.9,0.0,,,,False,
2004-01-05,,2.618307858526017,,,,,,,,,,,,,,,17.195,26.344,,,,,,,199.45791075631664,,,0.9639521478365914,1.0373958938151766,,59.20060645630574,1.0373958938151766,,,,2.0845114060041308,3.1000001,2.6000001,0.0,,0.8017351253194686,2.0845114060041308,True,2.0845114060041308
2004-01-06,,2.708671919625891,,,,,,,,,,,,,,,17.622,28.491,,,,,,,200.01721262726082,,,0.8747847428247194,1.03442683571366,,54.94093097175743,1.1431383642688542,,,,1.9345240551149008,3.0,2.6000001,0.0,,0.7440476848885126,1.9345240551149008,True,1.9345240551149008
2004-01-07,73.0428333333333,2.355795220406624,55.07933333333335,,181.5700833333333,0.06579374999999997,19.233217686847663,2.290001470406624,,,,20.040770833333326,-7.643583333333333,,93.40579166666664,54.16577083333333,17.384,23.273000000000003,,,,,,,200.60872425991715,148.48512499999995,,0.8747847428247194,1.0310525074918837,129.89252188642132,81.70996144146432,1.1431383642688542,,48.182560444957005,3.2890385456906657,2.8772007383325984,4.7000003,3.2,0.0,0.8991252307289369,0.7061655470105588,2.259729750433788,False,
2004-01-08,71.10839583333333,2.1952457596214403,9.282791666666666,,175.2452708333333,0.07161875000000001,17.844885651841977,2.123627009621441,,,,18.661458333333336,-9.316729166666667,,70.97850000000003,79.37375000000002,14.401,24.149,,,,,,,201.23216439741745,80.2612916666667,,0.8747847428247194,1.0271047739033696,70.21135338940479,62.09090886858436,1.1431383642688542,,8.120444520820449,2.4960079037329583,2.1834696321555027,4.2000003,3.1000001,0.0,0.7043450199100002,0.6847989763100811,2.1228768950411494,False,
2004-01-09,66.87977083333331,2.396746695374758,21.929500000000008,,183.9308333333333,0.090175,18.987609239478928,2.3065716953747577,,,,19.90825,2.9617500000000008,,57.15335416666665,181.2515833333333,14.204,26.214,,,,,,,201.88723517710983,79.08285416666666,,0.8747847428247194,1.0240029146544638,69.18047424403228,49.996882226257604,1.1431383642688542,,19.183592017774693,2.0122480023947893,1.7602838512744812,3.4,2.8,0.0,0.6286728040266004,0.6776040459800924,1.8972913287442583,False,
2004-01-10,74.89389583333336,2.135879445623268,52.66958333333333,28.09633333333333,173.9917291666667,0.05484375,17.6244270707768,2.0810356956232665,97.24545833333332,,351.0127083333333,18.36435416666666,-5.238625,399.6625,63.57991666666667,229.6835208333334,13.058,21.363000000000003,,,,,,,202.5736221980697,116.2495,102.48408333333332,0.8747847428247194,1.0160131200709392,101.69328896100221,55.618741050067094,1.1431383642688542,1.1343176054167765,46.07454791093512,2.2351934646565814,1.9553131401431012,4.7000003,3.3,0.0,0.5925191333766975,0.6490888266561923,2.1419931279654345,False,
