date,H,G,Rn,LE,Rn_subday_gaps,H_subday_gaps,LE_subday_gaps,G_subday_gaps,rso,flux,energy,ebr_5day_clim,ebc_cf,ebr_corr,flux_corr,H_corr,ebr,LE_corr,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,ET_fill_val
2005-08-24,39.826582967031605,-3.0165300663888903,180.26586111111115,143.45580821046175,0.0,0.0,0.0,0.0,315.8450039133393,183.28239117749337,183.28239117750005,1.0000000000000142,1.0000000000000075,0.9999999999999925,183.28239117749473,39.82658296703191,0.9999999999999636,143.45580821046283,5.051219681219953,5.05121968121999,10.400001,7.2000003,0.0,0.7015582598267378,0.7733455364484118,5.568088094432227,False,
2005-08-25,45.1556880350208,-3.72065225097222,178.96384722222226,137.52881143816364,0.0,0.0,0.0,0.0,314.0543833724765,182.68449947318445,182.68449947319442,1.0000000000000056,1.0000000000000075,0.9999999999999925,182.68449947318584,45.15568803502114,0.9999999999999452,137.52881143816472,4.842524312797943,4.842524312797981,6.4,5.1,0.0,0.9495145711368592,0.8030535024776849,4.0955728626361925,False,
2005-08-26,,,,,,,,,312.24212487696275,,,0.999999999999998,1.0000000000000075,0.9999999999999925,,,,148.1705014144967,,5.21722865220701,9.3,6.6,0.0,,0.7904891897283348,5.21722865220701,True,5.21722865220701
2005-08-27,39.263271336339,-2.7180465847916664,185.28862500000008,148.7434002485026,0.0,0.0,0.0,0.0,310.4086173038934,188.00667158484163,188.00667158479172,0.9999999999999916,1.0000000000000075,0.9999999999999925,188.00667158484302,39.263271336339294,1.0000000000002651,148.74340024850375,5.237400981942401,5.237400981942441,7.1,5.5,0.0,0.9522547239895348,0.7892212409114823,4.3407168250131525,False,
2005-08-28,19.03243210675663,-2.6327101456944457,183.52647222222217,167.1267502611237,0.0,0.0,0.0,0.0,308.55426430518975,186.15918236788033,186.15918236791663,0.9999999999999876,1.0000000000000229,0.9999999999999768,186.15918236788463,19.03243210675707,0.9999999999998048,167.12675026112754,5.884696762774611,5.884696762774747,10.5,7.3,0.0,0.8061228442157188,0.7950857807815028,5.804126199704971,False,
2005-08-29,-2.0593666885170783,-5.089423043749998,173.73440416666665,180.88319389892877,0.0,0.0,0.0,0.0,306.6794844345485,178.82382721041165,178.82382721041665,0.999999999999984,1.0000000000000229,0.9999999999999768,178.8238272104158,-2.0593666885171253,0.999999999999972,180.8831938989329,6.369074632961164,6.36907463296131,14.3,9.3,0.0,0.6848467347270226,0.7877683412222515,7.326245573366939,False,
2005-08-30,61.31789949146988,-10.467068402777775,174.64761388888894,123.79678280017185,0.0,0.0,0.0,0.0,304.7847112513963,185.11468229164169,185.11468229166672,0.9999999999999832,1.0000000000000322,0.9999999999999678,185.11468229164768,61.31789949147186,0.9999999999998648,123.79678280017582,4.3590061186963975,4.359006118696538,10.0,6.8,0.0,0.6410303115730203,0.7943602656762873,5.401649806598753,False,
2005-08-31,47.97889906623925,-7.675974602083333,178.39962638888886,138.09670192473908,0.0,0.0,0.0,0.0,302.8703934011605,186.0756009909784,186.07560099097213,0.9999999999999832,1.000000000000042,0.999999999999958,186.07560099098615,47.978899066241254,1.0000000000000329,138.09670192474488,4.8625202937090775,4.862520293709281,9.7,6.6,0.0,0.7367454990468606,0.7730866585377195,5.102371946348948,False,
2005-09-01,28.605673939772693,-3.1776071059027786,177.17330416666667,151.74523733277925,0.0,0.0,0.0,0.0,300.93699467123383,180.35091127255197,180.35091127256948,0.9999999999999856,1.0000000000000375,0.9999999999999624,180.35091127255882,28.60567393977377,0.9999999999999029,151.74523733278497,5.343098609309772,5.343098609309972,8.3,5.9,0.0,0.9056099337813512,0.7750150776488417,4.572588958128167,False,
2005-09-02,19.516328989992193,-2.251744249375,173.5742888888889,156.3097041482813,0.0,0.0,0.0,0.0,298.9849940220719,175.82603313827352,175.82603313826388,0.999999999999989,1.000000000000028,0.999999999999972,175.82603313827838,19.516328989992736,1.0000000000000546,156.3097041482857,5.5038179618431595,5.503817961843311,9.6,6.6,0.0,0.8339118124005019,0.8164502151931251,5.3885714202746255,False,
