date,H,G,Rn,LE,Rn_subday_gaps,H_subday_gaps,LE_subday_gaps,G_subday_gaps,rso,flux,energy,ebr_5day_clim,ebc_cf,ebr_corr,flux_corr,H_corr,ebr,LE_corr,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,ET_fill_val
2005-10-01,50.137604861111114,,,33.445930555555556,72.0,0.0,0.0,72.0,242.867576042684,83.58353541666669,,0.8666057293512048,1.1539272891129655,0.8666057293512048,96.44932243783173,57.85515045999899,,38.594171977832715,1.1776640122586377,1.358938641151508,10.6,6.8,0.0,0.1998439178163982,0.19326863556998505,1.3142267218758978,False,
2005-10-02,36.818845694444406,,,42.52209180555556,72.0,0.0,0.0,72.0,240.72313416949197,79.34093749999997,,0.8528840076668095,1.1724923799845282,0.8528840076668095,93.02664463957865,43.16981601656222,,49.85682862301643,1.4972445500411609,1.7555078258966248,12.900001,8.1,0.0,0.21672936122180556,0.19326863556998505,1.5654759481168787,False,
2005-10-03,45.280069861111116,,,39.4169427777778,72.0,0.0,0.0,72.0,238.58025225086726,84.6970126388889,,0.8417270079436521,1.188033638653238,0.8417270079436521,100.62290010843849,53.79424615556866,,46.82865395286984,1.3879092078344435,1.6488828263038875,12.2,7.7000003,0.0,0.21414061844957166,0.19326863556998505,1.4881685518694754,False,
2005-10-04,53.45534736111111,,,18.017532916666667,72.0,0.0,0.0,72.0,236.43974099215257,71.47288027777778,,0.8408288960654464,1.1893026092221315,0.8408288960654464,85.00288300298214,63.57458409344483,,21.428298909537308,0.6344150021599329,0.7545114173984724,8.1,5.3,0.0,0.1423606447921646,0.19326863556998505,1.0243237685209206,False,
2005-10-05,56.19358416666667,,,17.844851805555546,72.0,0.0,0.0,72.0,234.3024148352356,74.0384359722222,,,,,,,,22.249172650286322,0.6283347309049706,0.7834151867668405,6.2000003,4.1,0.0,,0.19107687482118066,0.7834151867668405,True,0.7834151867668405
2005-10-06,39.8792951388889,,,17.369957500000005,72.0,0.0,0.0,72.0,232.16909129917497,57.249252638888905,,,,,,,,22.274380478912935,0.6116132367204886,0.7843027791318201,6.5,4.4,0.0,,0.17825063162086818,0.7843027791318201,True,0.7843027791318201
2005-10-07,50.1491929166667,,,28.43869708333333,72.0,0.0,0.0,72.0,230.04059031534038,78.58789000000003,,,,,,,,28.4132697609583,1.0013544115609387,1.0004590906058397,8.7,5.6,0.0,,0.17865340903675708,1.0004590906058397,True,1.0004590906058397
2005-10-08,9.349287361111118,,,21.317929722222217,72.0,0.0,0.0,72.0,227.917733558416,30.667217083333334,,,,,,,,33.562565146746614,0.7506252100840335,1.1817708305874637,10.5,6.6,0.0,,0.17905618645264604,1.1817708305874637,True,1.1817708305874637
2005-10-09,42.896017638888885,,,14.893237361111117,72.0,0.0,0.0,72.0,225.8013437746305,57.78925500000001,,,,,,,,24.464045353407418,0.5244054919348924,0.8614030265689675,7.3,4.8,0.0,,0.1794589638685349,0.8614030265689675,True,0.8614030265689675
2005-10-10,53.99990374999999,,,18.25169458333333,72.0,0.0,0.0,72.0,223.69224410857444,72.2515983333333,,,,,,,,20.943271857273878,0.642660064064423,0.7374331392661375,6.2000003,4.1,0.0,,0.1798617412844238,0.7374331392661375,True,0.7374331392661375
2005-10-11,50.47475847222225,,,19.838892083333327,72.0,0.0,0.0,72.0,221.5912574299771,70.31365055555557,,,,,,,,15.870618094814265,0.6985468444603833,0.5588200259974213,4.3,3.1000001,0.0,,0.18026451870031274,0.5588200259974213,True,0.5588200259974213
2005-10-12,43.626769027777776,,,21.130242499999994,72.0,0.0,0.0,72.0,219.49920566181243,64.75701152777778,,,,,,,,22.06327003258399,0.7440165589417143,0.776869373299667,6.6,4.3,0.0,,0.18066729611620164,0.776869373299667,True,0.776869373299667
2005-10-13,40.99783583333336,,,17.795836805555556,72.0,0.0,0.0,72.0,217.41690911109157,58.7936726388889,,,,,,,,19.54124161018493,0.626608864690396,0.688066279421944,5.7000003,3.8,0.0,,0.18107007353209054,0.688066279421944,True,0.688066279421944
2005-10-14,42.60801430555553,,,25.470769583333336,72.0,0.0,0.0,72.0,215.3451858037056,68.07878388888885,,,,,,,,25.769354872635013,0.8968507739080114,0.9073642547398972,7.8,5.0,0.0,,0.18147285094797946,0.9073642547398972,True,0.9073642547398972
2005-10-15,25.940541527777768,,,23.1393075,72.0,0.0,0.0,72.0,213.28485082465653,49.079849027777755,,,,,,,,31.508390672879933,0.8147577076999568,1.109441333019597,9.7,6.1,0.0,,0.1818756283638684,1.109441333019597,True,1.109441333019597
2005-10-16,18.396072083333326,,,15.100387083333342,72.0,0.0,0.0,72.0,211.2367156650078,33.49645916666667,,,,,,,,25.36606969928055,0.5316994367873243,0.8931641883208108,7.6,4.9,0.0,,0.1822784057797573,0.8931641883208108,True,0.8931641883208108
2005-10-17,14.103945972222226,,,,72.0,0.0,2.0,72.0,209.20158757686426,,,,,,,,,22.82802671629602,,0.8037972060608433,6.7000003,4.4,0.6,,0.1826811831956462,0.8037972060608433,True,0.8037972060608433
2005-10-18,-5.604649305555557,,,,72.0,0.0,66.0,72.0,207.18026893766955,,,,,,,,,11.439179096210875,,0.4027847133453773,3.0,2.2,27.1,,0.1830839606115351,0.4027847133453773,True,0.4027847133453773
2005-10-19,9.84869152777778,,,,72.0,0.0,50.0,72.0,205.17355662508092,,,,,,,,,11.464344834273744,,0.4036708236603329,2.8,2.2,0.7,,0.183486738027424,0.4036708236603329,True,0.4036708236603329
2005-10-20,29.74720138888889,,,34.31634083333334,72.0,0.0,0.0,72.0,203.18224140365658,64.06354222222224,,,,,,,,12.011761052897365,1.2083120116717885,0.4229458855196197,2.9,2.3,0.0,,0.18388951544331286,0.4229458855196197,True,0.4229458855196197
2005-10-21,25.360950555555547,,,50.182799027777754,72.0,0.0,0.0,72.0,201.20710732455154,75.54374958333331,,,,,,,,16.225226233502735,1.7669855634979497,0.5713061262927549,4.5,3.1000001,0.0,,0.18429229285920185,0.5713061262927549,True,0.5713061262927549
2005-10-22,7.250657222222228,,,39.37746916666664,72.0,0.0,0.0,72.0,199.24893113938887,46.628126388888866,,,,,,,,13.113456873252664,1.3865193032790215,0.4617376756877268,3.6000001000000004,2.5,0.0,,0.18469507027509074,0.4617376756877268,True,0.4617376756877268
2005-10-23,22.519143611111108,,,37.058722499999995,72.0,0.0,0.0,72.0,197.30848172942424,59.577866111111106,,,,,,,,14.719100819213908,1.30487395936066,0.5182739735347429,3.9,2.8,0.0,,0.18509784769097964,0.5182739735347429,True,0.5182739735347429
2005-10-24,25.178235972222232,,,40.14389319444447,72.0,0.0,0.0,72.0,195.38651955109054,65.32212916666671,,,,,,,,19.492564564079952,1.4135058448597686,0.6863523128954137,5.6,3.7,0.0,,0.18550062510686852,0.6863523128954137,True,0.6863523128954137
2005-10-25,-0.5981602777777789,,,29.34140000000001,72.0,0.0,1.0,72.0,193.48379609895,28.74323972222223,,,,,,,,15.839098994524019,1.033139466455836,0.5577102075682724,4.5,3.0,1.7,,0.18590340252275747,0.5577102075682724,True,0.5577102075682724
2005-10-26,30.55800055555556,,,33.43346333333333,72.0,0.0,0.0,72.0,191.6010533870404,63.991463888888894,,,,,,,,13.75696098450292,1.1772250291387163,0.4843960864710986,3.6000001000000004,2.6000001,0.0,,0.1863061799386464,0.4843960864710986,True,0.4843960864710986
2005-10-27,16.316292083333327,,,,72.0,0.0,8.0,72.0,189.7390234495488,,,,,,,,,17.498506108165024,,0.6161395592699663,5.1,3.3,2.8,,0.18670895735453527,0.6161395592699663,True,0.6161395592699663
2005-10-28,0.007967083333333156,,,,72.0,0.0,72.0,72.0,187.89842786168347,,,,,,,,,11.690836476839552,,0.4116458164949333,3.1000001,2.2,2.4,,0.1871117347704242,0.4116458164949333,True,0.4116458164949333
2005-10-29,17.67929625,,,,72.0,0.0,37.0,72.0,186.07997728156425,,,,,,,,,13.31363888057093,,0.4687862804657828,3.6000001000000004,2.5,0.0,,0.1875145121863131,0.4687862804657828,True,0.4687862804657828
2005-10-30,20.11795861111111,,,41.30948416666665,72.0,0.0,0.0,72.0,184.28437101388408,61.427442777777756,,,,,,,,11.741167952965286,1.4545474459813017,0.4134180371248444,3.1000001,2.2,0.0,,0.187917289602202,0.4134180371248444,True,0.4134180371248444
2005-10-31,19.88479277777779,,,35.04474986111113,72.0,0.0,0.0,72.0,182.5122965960324,54.92954263888892,,,,,,,,13.370833739804723,1.2339600078246629,0.4708001675452273,3.8,2.5,0.0,,0.18832006701809093,0.4708001675452273,True,0.4708001675452273
2005-11-01,14.277914861111116,,,40.24556027777777,72.0,0.0,0.0,72.0,180.764429407304,54.523475138888905,,,,,,,,21.439089871074586,1.4170856425596432,0.7548913777359193,6.4,4.0,0.0,,0.18872284443397985,0.7548913777359193,True,0.7548913777359193
2005-11-02,-13.99953416666667,,,50.690974027777784,72.0,0.0,0.0,72.0,179.0414323017425,36.691439861111114,,,,,,,,30.078784061846267,1.7848789035691877,1.0591034823592649,9.0,5.6,0.0,,0.18912562184986875,1.0591034823592649,True,1.0591034823592649
2005-11-03,23.704933055555554,,,40.63481125000001,72.0,0.0,0.0,72.0,177.3439552651057,64.33974430555557,,,,,,,,24.760191892725945,1.4307915509947922,0.8718306366224852,7.4,4.6,0.0,,0.18952839926575765,0.8718306366224852,True,0.8718306366224852
2005-11-04,21.578229166666674,,,28.815549444444446,72.0,0.0,0.0,72.0,175.6726350963509,50.39377861111112,,,,,,,,15.642859211595868,1.0146237527406694,0.550800412376775,4.4,2.9,0.0,,0.18993117668164652,0.550800412376775,True,0.550800412376775
2005-11-05,17.182356388888895,,,25.83216541666667,72.0,0.0,0.0,72.0,174.02809511397442,43.01452180555556,,,,,,,,12.43271521685806,0.9095758755878688,0.4377680944243316,3.5,2.3,0.0,,0.19033395409753548,0.4377680944243316,True,0.4377680944243316
2005-11-06,16.59825041666668,,,24.6376275,72.0,0.0,0.0,72.0,172.41094488745475,41.23587791666668,,,,,,,,17.334295446407793,0.8675150241667958,0.610357540842958,5.1,3.2,0.0,,0.1907367315134244,0.610357540842958,True,0.610357540842958
2005-11-07,26.04659416666665,,,24.78698708333333,72.0,0.0,0.0,72.0,170.82177999396626,50.83358124999998,,,,,,,,23.88498771493645,0.8727741215593898,0.8410138392889785,7.0,4.4,0.0,,0.19113950892931328,0.8410138392889785,True,0.8410138392889785
2005-11-08,-4.217690277777779,,,19.019025138888885,72.0,0.0,0.0,72.0,169.2611818004535,14.801334861111117,,,,,,,,24.479303718131785,0.6696785253771733,0.86194028855341,7.2000003,4.5,0.0,,0.1915422863452022,0.86194028855341,True,0.86194028855341
2005-11-09,-7.807297777777778,,,15.885912222222226,72.0,0.0,0.0,72.0,167.72971727106966,8.078614444444451,,,,,,,,22.35026539442511,0.5593585472210224,0.7869747614204735,6.6,4.1,0.0,,0.1919450637610911,0.7869747614204735,True,0.7869747614204735
2005-11-10,18.43149930555556,,,17.844754583333334,72.0,0.0,0.0,72.0,166.22793879989518,36.276253888888895,,,,,,,,20.212075893241032,0.6283313076151897,0.7116870123548259,6.0,3.7,0.0,,0.19234784117698003,0.7116870123548259,True,0.7116870123548259
2005-11-11,-3.2843606944444437,,,,72.0,0.0,40.0,72.0,164.75638406877408,,,,,,,,,10.948324372472452,,0.38550123718573787,3.0,2.0,5.5,,0.19275061859286893,0.38550123718573787,True,0.38550123718573787
2005-11-12,16.51621805555554,,,26.37848833333333,72.0,0.0,0.0,72.0,163.31557593001077,42.89470638888887,,,,,,,,12.068322547782564,0.9288124412131484,0.4249374712192673,3.3,2.2,0.0,,0.19315339600875786,0.4249374712192673,True,0.4249374712192673
2005-11-13,17.670803333333325,,,29.191378055555553,72.0,0.0,0.0,72.0,161.9060223135911,46.862181388888885,,,,,,,,12.643192298838404,1.0278570466790014,0.44517919887668733,3.6000001000000004,2.3,0.0,,0.19355617342464676,0.44517919887668733,True,0.44517919887668733
2005-11-14,6.529274305555553,,,30.713537083333332,72.0,0.0,0.0,72.0,160.5282161584984,37.24281138888888,,,,,,,,16.5254373053295,1.081453758690673,0.5818768525216069,4.8,3.0,0.0,,0.1939589508405357,0.5818768525216069,True,0.5818768525216069
2005-11-15,16.806144444444435,,,30.72430833333333,72.0,0.0,0.0,72.0,159.18263536761287,47.53045277777776,,,,,,,,17.66373783559443,1.081833024965563,0.6219575304205587,5.1,3.2,0.0,,0.19436172825642456,0.6219575304205587,True,0.6219575304205587
2005-11-16,11.47054902777777,,,17.68228902777777,72.0,0.0,0.0,72.0,157.8697427855974,29.152838055555538,,,,,,,,14.934664022769038,0.6226107360888097,0.5258641653152464,4.4,2.7,0.0,,0.19476450567231346,0.5258641653152464,True,0.5258641653152464
2005-11-17,7.313510416666668,,,18.555485694444453,72.0,0.0,0.0,72.0,156.58998619908257,25.868996111111127,,,,,,,,18.291226857145354,0.6533568469870978,0.6440520341910678,5.4,3.3,0.0,,0.1951672830882024,0.6440520341910678,True,0.6440520341910678
2005-11-18,10.279675138888896,,,12.53487833333334,72.0,0.0,0.0,72.0,155.3437983583889,22.814553472222237,,,,,,,,14.996434470741534,0.4413653579375496,0.5280391633610465,4.3,2.7,0.0,,0.1955700605040913,0.5280391633610465,True,0.5280391633610465
2005-11-19,8.347007638888893,,,17.545549166666664,72.0,0.0,0.0,72.0,154.13159701993533,25.892556805555557,,,,,,,,17.810156675232932,0.6177959914906797,0.6271130813439367,5.3,3.2,0.0,,0.1959728379199802,0.6271130813439367,True,0.6271130813439367
2005-11-20,12.195275416666668,,,11.824837916666667,72.0,0.0,0.0,72.0,152.9537850084076,24.02011333333333,,,,,,,,13.385071038856914,0.416364138594332,0.4713014768060858,3.9,2.4,0.0,,0.1963756153358691,0.4713014768060858,True,0.4713014768060858
2005-11-21,3.975788750000001,,,12.573069861111113,72.0,0.0,0.0,72.0,151.8107502976842,16.548858611111115,,,,,,,,15.647945333170656,0.4427101190815804,0.5509794997049224,4.5,2.8,0.0,,0.19677839275175799,0.5509794997049224,True,0.5509794997049224
2005-11-22,9.901242499999997,,,12.856232916666665,72.0,0.0,0.0,72.0,150.7028661094403,22.75747541666666,,,,,,,,14.559976839030552,0.4526805679400761,0.5126710621539989,4.3,2.6000001,0.0,,0.1971811701676469,0.5126710621539989,True,0.5126710621539989
2005-11-23,10.208825694444453,,,12.019765138888893,72.0,0.0,0.0,72.0,149.63049102828538,22.228590833333346,,,,,,,,15.7120035755125,0.4232277172362641,0.5532350532339003,4.6,2.8,0.0,,0.19758394758353584,0.5532350532339003,True,0.5532350532339003
2005-11-24,14.642721249999996,,,12.379587222222224,72.0,0.0,0.0,72.0,148.5939691322204,27.022308472222218,,,,,,,,16.868606460732238,0.43589740563538704,0.5939601749982742,4.9,3.0,0.0,,0.19798672499942474,0.5939601749982742,True,0.5939601749982742
2005-11-25,-3.67911694444444,,,10.957204722222222,72.0,0.0,0.0,72.0,147.5936301371414,7.278087777777783,,,,,,,,14.649200822866955,0.3858139230085825,0.5158127261187657,4.2000003,2.6000001,0.0,,0.19838950241531367,0.5158127261187657,True,0.5158127261187657
2005-11-26,21.107715833333327,,,9.307500833333334,72.0,0.0,0.0,72.0,146.6297895540589,30.41521666666666,,,,,,,,17.501815532781222,0.3277262313654851,0.6162560873559559,5.1,3.1000001,0.0,,0.19879227983120254,0.6162560873559559,True,0.6162560873559559
2005-11-27,12.12282208333334,,,7.049380972222225,72.0,0.0,0.0,72.0,145.70274885765318,19.172203055555567,,,,,,,,11.880090610865713,0.2482156167219556,0.4183096401383978,3.3,2.1000001,0.0,,0.19919505724709147,0.4183096401383978,True,0.4183096401383978
2005-11-28,34.14421069444445,,,6.664990694444443,72.0,0.0,0.0,72.0,144.81279566473754,40.8092013888889,,,,,,,,5.668624707631111,0.2346808581046385,0.1995978346629804,1.5,1.0,0.0,,0.1995978346629804,0.1995978346629804,True,0.1995978346629804
2005-11-29,18.945757916666665,,,10.547390138888897,72.0,0.0,0.0,72.0,143.96020392116742,29.493148055555558,,,,,,,,6.2480700474256565,0.37138394966133903,0.22000067328675624,1.6,1.1,0.0,,0.2000006120788693,0.22000067328675624,True,0.22000067328675624
2005-11-30,25.61062125,,,4.5212999999999965,72.0,0.0,0.0,72.0,143.1452340956969,30.13192125,,,,,,,,8.537253976986939,0.15919940662977108,0.3006050842421373,2.3,1.5,0.0,,0.2004033894947582,0.3006050842421373,True,0.3006050842421373
