date,lw_in,ws,es,sw_out,LE,H,wd,t_avg,sw_in,Rn,t_dew,vpd,rh,vp,lw_out,G,t_min,t_max,H_subday_gaps,ppt,LE_subday_gaps,G_subday_gaps,Rn_subday_gaps,rso,flux,energy,flux_corr,ebr,ebr_corr,LE_corr,ebc_cf,ebr_5day_clim,H_corr,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,ET_fill_val,ASCE_ETo
2017-09-24,-63.15312500000001,1.6227708333333333,2.7731606882744746,49.32604166666666,106.4413399518333,11.418696815083331,191.73750000000004,22.34052083333333,250.2158333333333,145.15701041666662,,65.46882099118747,80.20374999999999,-62.695660302913026,-7.420343750000002,7.096493470833331,16.62,29.09,0.0,0.1778,0.0,0.0,0.0,255.8727134136517,117.86003676691664,138.06051694583329,146.7955913586539,0.8536838726538877,0.8028853978247796,132.57351577225083,1.2455077682434552,0.7731179340001604,14.222075586403092,3.756363374867817,4.678579763743069,6.0,4.7000003,0.0,0.9954424423286601,0.952657375154642,4.477489935784279,False,,
2017-09-25,-55.59229166666666,1.028145833333333,2.9774891705219737,46.35583333333334,97.51377698777084,11.160810182374997,159.28333333333333,23.508125000000003,237.01716666666672,144.75806250000005,,76.84339670037501,78.29062499999998,-73.86590752985303,-9.689020833333334,4.7104807499999986,17.6,29.76,0.0,0.0,0.0,0.0,0.0,253.88565419088883,108.67458717014584,140.04758175000003,136.4162232717173,0.7759833180421611,0.7966397585548534,122.40636491036553,1.255272523447804,0.7766022550479186,14.009858361351807,3.4451848601942463,4.324645893200201,6.2000003,4.8,0.0,0.9009678586154624,0.9155284252794844,4.3945366159647135,False,,
2017-09-26,-53.85979166666667,1.057625,3.235064967304188,41.204645833333345,87.96573938831249,9.2201308088125,137.398125,25.008958333333336,212.7315,127.9260416666667,,74.93196419202081,79.64791666666667,-71.69689922471666,-10.258979166666668,8.239379241666667,19.92,30.65,0.0,0.0,0.0,0.0,0.0,251.8937504353109,97.185870197125,119.68666242500004,119.64177301603543,0.8120025091185508,0.8123071712093344,108.29122591316313,1.2310613957909975,0.7815246324441165,11.350547102872296,3.1123601640118728,3.8315064477127545,4.1,3.5,0.0,1.0947161279179298,0.8844328234159756,3.0955148819559146,False,,
2017-09-27,-48.44812500000001,0.6808541666666666,3.2546827000661818,39.19041666666666,75.326742192875,12.658181687375,184.00125000000003,25.14312500000001,208.82874999999996,130.27658333333332,,55.35075247614168,85.7189583333333,-52.09606977607547,-9.086375,8.374843752083335,20.18,30.43,0.0,0.0,0.0,0.0,0.0,249.89772031289002,87.98492388025001,121.90173958124998,108.27423411117735,0.7217692231668792,0.8126118333001181,92.69707762802777,1.230599849794059,0.787273511275437,15.577156483149581,2.6655192017589084,3.2801875293076916,6.2000003,4.3,0.0,0.7628342753043256,0.8921242424565391,3.8361344127223136,False,,
2017-09-28,-41.66958333333332,0.8303958333333333,3.2519469437209176,40.088645833333345,94.58537001504169,10.628234304458335,206.02812500000005,25.037916666666664,215.07937499999997,140.98570833333332,,64.43877459383542,84.34208333333333,-61.18682765011453,-7.664562500000002,5.5672454147916675,20.28,31.92,0.0,0.0,0.0,0.0,0.0,247.89829088183706,105.2136043195,135.41846291854165,129.47584567186823,0.7769516951524491,0.8126118333001181,116.39674213322573,1.230599849794059,0.7934874930199493,13.079103538642487,3.3466663528720986,4.118407111155235,7.4,5.0,0.0,0.8236814222310469,0.8792340954495373,4.3961704772476855,False,,
2017-09-29,-53.12687500000001,1.0768541666666664,3.328649200779328,44.64264583333333,102.78306035397915,15.69085253666667,191.5083333333334,25.438125000000007,236.8436875,146.86533333333333,,70.15734791856458,82.77812499999997,-66.82869871778526,-7.791166666666667,5.8331483125,20.47,31.8,0.0,0.0,0.0,0.0,0.0,245.89619754402858,118.47391289064585,141.03218502083334,142.42837284148902,0.8400487652740033,0.8318139885126502,123.56495775908205,1.2021918527579465,0.8019276420623506,18.863415082407023,3.6381288681642814,4.373728884590587,9.0,6.0,0.0,0.7289548140984312,0.9066407276560248,5.439844365936148,False,,
2017-09-30,-53.84749999999999,1.958666666666666,3.5805838778615056,44.954395833333336,124.029192097875,-5.174705745687497,184.34999999999994,26.739166666666666,235.8432708333333,145.92289583333334,,85.00253593772919,79.3333333333333,-81.42195205986766,-8.881520833333333,5.981844216666667,22.11,32.23,0.0,0.0,0.0,0.0,0.0,243.89218348151118,118.85448635218752,139.94105161666667,144.60797360710413,0.8493182306344209,0.8219082488156004,150.90393882359203,1.2166808174039332,0.8114560645706121,-6.295965216487893,4.3956926953472015,5.3481549816315335,8.5,5.7000003,0.0,0.93827275669992,0.8965955465041102,5.110594871591472,False,,
2017-10-01,-51.55562499999999,0.8767708333333336,3.5150625125935573,40.198625,95.6428775712083,4.06856994725,161.91937499999997,26.341354166666665,217.6115208333333,135.7139375,,80.23802788792919,81.295,-76.72296537533563,-9.856666666666666,4.1797494791666665,21.26,33.16,0.0,0.0,0.0,0.0,0.0,241.88699907919332,99.71144751845831,131.53418802083334,119.87228983339214,0.7580648728577342,0.8318139885126502,114.98108819043236,1.2021918527579465,0.8198888528859388,4.8912016429597776,3.3883538225729235,4.073451359758412,6.8,4.5,0.0,0.9052114132796469,0.8997734913250905,4.048980710962908,False,,
2017-10-02,-58.158020833333346,0.6416249999999998,3.4110161006987703,44.25416666666667,107.81879216602086,5.886380725791668,115.47579166666664,25.84489583333333,239.48568750000007,147.97469791666666,,84.59374538592083,79.47541666666667,-81.18272928522207,-10.901197916666668,2.2418203958333307,20.42,31.61,0.0,47.34560000000001,1.0,0.0,0.0,239.88140133485874,113.70517289181251,145.7328775208333,136.69543246697071,0.7802300676836478,0.8318139885126502,129.61887351619254,1.2021918527579465,0.8282745744672559,7.076558950778148,3.817876735050941,4.589820305712349,6.0,4.2000003,0.0,1.092814284060875,0.9386490635873648,3.942326335616584,False,,
2017-10-03,-58.54208333333333,0.9614166666666664,3.3850947604104937,44.12125,119.09078454135418,9.846440232395834,90.55704166666668,25.76041666666666,236.54500000000007,143.46275000000006,,87.29765706679164,77.72479166666666,-83.91256230638119,-9.581083333333334,1.222666979166668,20.33,31.33,0.0,1.2954,1.0,0.0,0.0,237.87615325766853,128.93722477375002,142.2400830208334,153.4877855950349,0.9064760230410231,0.8400487652740033,141.76651340295666,1.1904070827052815,0.8366831165112063,11.72127219207824,4.21667468541457,5.019559410981568,7.0,4.9,0.0,1.0243998598545274,0.9544859167127042,4.676981082919121,False,,
