date,rh,sw_in,H,vp,theta_1,G,lw_out,LE,wd,es,ws,sw_out,vpd,Rn,lw_in,t_avg,theta_mean,t_dew,theta_2,t_min,t_max,Rn_subday_gaps,G_subday_gaps,H_subday_gaps,ppt,LE_subday_gaps,ASCE_ETo,rso,flux,energy,ebc_cf,ebr_5day_clim,flux_corr,LE_corr,ebr_corr,ebr,H_corr,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,ET_fill_val
2018-09-01,59.34520833333334,277.2404761250001,-23.137692833333336,2.1064694675114866,7.652083291666668,-0.464820416666665,405.0880741875,129.42028625,255.82179804166665,3.1282035362614877,2.1062255625,65.08631547916667,1.0217340687500005,146.66725258333332,339.60116610416674,24.36364577083333,14.437446229166666,17.933738291448726,21.22280916666666,18.902569,31.025142,0.0,0.0,0.0,0.0,0.0,5.043174703384261,292.9971845598336,106.28259341666669,147.13207299999996,1.3949418471575823,0.7934672033859544,148.2580371813433,180.5337731612381,0.7168757622675527,0.7223618294066086,-32.27573597989476,4.576229182241401,6.383573588492252,8.5,6.2000003,0.0,1.029608593485431,1.0477107316122878,6.495806850309403,False,
2018-09-02,59.24708333333333,275.3642857291666,-20.913841395833327,2.168387972412343,7.708333270833332,0.2854425833333317,409.10645385416655,123.68354922916667,267.9518988749999,3.339296807829008,1.6345007708333332,61.46778389583333,1.1709088354166663,150.89421804166662,346.1041700833332,25.064061604166657,14.4674271875,18.287721480360528,21.226521104166668,17.887538,34.648385,0.0,0.0,0.0,0.0,0.0,5.206509192665954,291.16732270229596,102.76970783333334,150.60877545833333,1.4017022514578317,0.7918380388325953,144.0525308516469,173.36750942281844,0.7134182733600921,0.6823620172236584,-29.31497857117158,4.376343153752107,6.134330051766397,9.0,6.5,0.0,0.943743084887138,1.0124127858036358,6.580683107723633,False,
2018-09-03,64.06208333333332,269.7226189791666,-24.69488610416667,2.1133523570897084,7.73125,-2.9348728749999995,400.16534529166665,129.76963383333336,278.266556875,2.9906493091730417,2.407145229166667,62.266884999999995,0.8772969520833334,143.20195016666662,335.91156152083335,23.55536995833333,14.482043614583338,17.985134794359244,21.232837229166666,18.01234,30.933492,0.0,0.0,0.0,0.0,0.0,4.956739511310012,289.3198238167932,105.07474772916667,146.13682304166662,1.4017022514578317,0.7902127112111619,147.28351046333663,181.89838791504172,0.7134182733600921,0.7190162311056105,-34.61487745170514,4.585001063530521,6.426806313687284,8.7,6.2000003,0.0,1.036581613340774,0.998178212973187,6.188705219887224,False,
2018-09-04,64.87145833333332,273.91190472916674,-0.947250854166666,2.1348335296847623,7.755555583333333,-1.854942562500001,401.7927315833333,107.676923375,265.6303996041666,3.0516428692680955,1.5629714583333332,60.90599793749998,0.9168093395833332,150.8330201458334,339.6198450416667,23.783205291666665,14.483689874999996,18.140231487546252,21.211824166666673,17.861810000000006,32.47325,0.0,0.0,0.0,0.0,0.0,4.849241825025481,287.4551544293957,106.72967252083332,152.6879627083334,1.4229547859251457,0.7881840425969922,151.87149831374327,153.21939345015141,0.7027630181164484,0.699005151602617,-1.3478951364081395,3.805261816527208,5.414715513525604,8.7,6.2000003,0.0,0.8733411696005247,0.9901172248381191,6.138727091031506,False,
2018-09-05,69.16145833333333,274.66309527083325,-9.199749770833334,2.0350006765524227,7.7652778125,-3.8748306666666665,394.7865909375,119.7639490625,288.4915034791666,2.7036039953024216,2.326650375,61.22206825000003,0.6686033187499999,148.667355625,330.01291954166663,22.054636062499995,14.482199927083338,17.410544718592266,21.199122041666676,17.437846,27.616134,0.0,0.0,0.0,0.0,0.0,4.41879737069617,285.57379596333413,110.56419929166668,152.54218629166667,1.4306046210207302,0.7858423573527358,158.1736544261153,171.3348589605038,0.699005151602617,0.7248106374997377,-13.16120453438857,4.2253594044641645,6.0448186894998335,7.4,5.4,0.0,1.119410868425895,0.9943038119583446,5.369240584575062,False,
2018-09-06,64.38645833333334,277.49880952083333,-7.233514708333334,2.0380942145590444,7.788888854166664,-3.702366124999999,394.35935197916655,111.198010125,280.8359593958333,2.9115792041423787,1.8190691041666665,59.88743279166669,0.8734849895833338,151.56883524999995,328.31681039583333,23.07523610416667,14.477078177083332,17.435607311466327,21.165267499999988,17.788313,30.528257,0.0,0.0,0.0,0.0,0.0,4.76294202587357,283.67624468599223,103.96449541666668,155.27120137499998,1.4306046210207302,0.7832854039204359,148.73208756517187,159.08038713313496,0.699005151602617,0.6695671476488355,-10.348299567963087,3.927010839235463,5.617999853408749,7.9,5.7000003,0.0,0.9856139574955372,0.990558453872789,5.6461834842424325,False,
2018-09-07,56.62437499999998,280.7964286041666,-13.532058187500004,2.1234321016979756,7.819444437499996,-1.7925337499999998,402.03912831250005,124.74382272916668,221.2820643750001,3.387499589197976,1.2282853124999995,56.70992939583331,1.2640674874999998,159.6409261458334,337.59355539583333,25.1304733125,14.480137739583334,17.943618796238752,21.140831041666654,15.88502,35.144958,0.0,0.0,0.0,0.0,0.0,4.9320222264547935,281.76301163009236,111.21176454166668,161.43345989583338,1.4306046210207302,0.7821039280495597,159.10006426517768,178.45908924013665,0.699005151602617,0.6889015735240218,-19.359024974958913,4.414142671146894,6.314892903187535,9.7,6.7000003,0.0,0.9425212866315148,0.9723759233549438,6.5149189781909005,False,
2018-09-08,50.03541666666666,282.9666666041667,-25.227602541666666,1.9765243777387775,7.859722249999997,-3.6699487499999988,398.28274047916665,138.03453339583334,207.9678448333333,3.3282712256554454,1.6953338333333332,58.112819229166696,1.3517468479166663,154.4517802083334,327.8806732708333,25.29767589583333,14.505837718749996,16.940289323414948,21.151953187499995,19.33346,33.028725,0.0,0.0,0.0,0.0,0.0,5.229527454412573,279.83462248889913,112.80693085416668,158.12172895833336,1.4306046210207302,0.7811340771818581,161.38211656313683,197.47284133651948,0.699005151602617,0.7134182733600921,-36.09072477338265,4.885233096040022,6.988837041958264,9.5,6.6,0.0,1.05891470332701,1.0115253014846524,6.676066989798706,False,
2018-09-09,53.6566666666667,278.4226190208334,-17.14605627083333,1.9833214783804785,7.854861083333333,-2.9220009166666667,398.27889012499986,121.4888278541667,237.74465675,3.2402217346304787,1.5579074375,55.45719922916669,1.2569002562500002,152.020546875,327.3340172291667,24.677267354166666,14.486838854166665,16.968710786517374,21.118816625000008,17.326001,33.658881,0.0,0.0,0.0,0.0,0.0,5.027263427083916,277.8916174853471,104.34277158333336,154.94254779166667,1.4306046210207302,0.7806854297275619,149.27325119722724,173.8024785305629,0.699005151602617,0.6734287842202713,-24.52922733333563,4.297079402275924,6.1474216497889325,9.7,6.7000003,0.0,0.9175255782882475,1.0039253373167487,6.726300061199818,False,
2018-09-10,52.84479166666665,272.29404754166666,-14.301331229166665,1.9582860185999984,7.900694458333331,-3.5533152916666677,396.6881248958332,119.2416668125,260.01431772916663,3.179563358183332,1.6310072083333331,53.34656416666667,1.2212773395833332,152.6855641875,330.4262056875001,24.44273766666667,14.51022183333333,16.77423585170077,21.11974920833333,16.600355,33.365349,0.0,0.0,0.0,0.0,0.0,4.925423046966898,275.9345512150581,104.94033558333336,156.23887947916668,1.4017022514578317,0.7807513058076709,147.09510465589875,167.14131283866584,0.7134182733600921,0.6716659510946273,-20.046208182767113,4.216641117616756,5.9104753481530725,9.5,6.5,0.0,0.9093038997158576,1.0057782651920637,6.537558723748415,False,
