date,LE,sw_in,Rn,ws,sw_out,vpd,rh,wd,vp,t_dew,G,H,lw_in,lw_out,t_avg,es,t_min,t_max,G_subday_gaps,H_subday_gaps,ppt,Rn_subday_gaps,LE_subday_gaps,rso,flux,energy,flux_corr,LE_corr,ebc_cf,H_corr,ebr_corr,ebr_5day_clim,ebr,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,ET_fill_val,ASCE_ETo
2013-04-08,106.72333333333331,298.0275000000001,153.47708333333333,5.517083333333333,52.64249999999999,0.75375,48.124996492849284,288.7416666666667,0.5974294560676247,-3.0533280290652542,5.358749999999998,24.11875000000001,,,11.310833333333335,1.351179456067625,8.686666666666666,14.496666666666664,0,0,2.286,0,0,292.49905019367475,130.8420833333333,148.1183333333333,143.4521492333059,117.00892518660231,1.0963762237555266,26.44322404670361,0.9120956641823192,0.9120956641823192,0.8833618390701129,3.7266758989862567,4.085838849291285,5.0,3.7,3.2,1.1042807700787256,0.6614501854100291,2.447365686017108,False,,4.689730226780166
2013-04-09,91.17916666666665,306.1275,134.65750000000003,5.242916666666667,58.54166666666668,1.053333333333333,34.18053625759109,297.2750000000001,0.4213054519810706,,20.11375,21.64583333333333,,,12.461805555555555,1.4746387853144036,7.8566666666666665,17.206666666666667,0,0,0.0,0,0,294.36447480127134,112.82499999999996,114.54375000000003,124.06898060396807,100.26595400534134,1.0996585916593669,23.803026598626708,0.9093731523445072,0.9093731523445072,0.9849948163911164,3.187389202064872,3.505039921012932,7.8,5.4,0.0,0.6490814668542466,0.6614501854100291,3.5718310012141568,False,,5.686315965934902
2013-04-10,61.73916666666665,292.7608333333334,136.37416666666664,1.7129166666666666,54.21791666666668,1.0837500000000002,45.44503063788411,196.05833333333337,0.6864385712144941,-3.487956677840176,11.848749999999995,48.40916666666666,,,14.93638888888889,1.7701885712144942,6.88,22.286666666666665,0,0,0.0,0,0,296.210828291629,110.14833333333333,124.52541666666664,121.6679578250398,68.19602347882193,1.1045828306529664,53.47193434621788,0.9053191596404384,0.9053191596404384,0.8845449891421096,2.1633564020368232,2.3896063382730515,8.5,5.9,0.0,0.4050180234361104,0.6614501854100291,3.902556093919172,False,,4.2349381938271105
2013-04-11,59.00000000000001,290.89208333333335,133.60250000000005,1.87375,55.045000000000016,0.8783333333333334,54.41380664429194,233.01250000000005,0.8293206268931835,,12.723750000000004,62.41124999999999,,,14.779583333333335,1.7076539602265173,10.11,19.213333333333328,0,0,0.0,0,0,298.03763607913965,121.41125,120.87875000000004,134.5570542747426,65.38822557390533,1.108275009727209,69.16882870083725,0.9023031208166828,0.9023031208166828,1.0044052407888064,2.0670649325241763,2.290876408200004,6.2000003,4.7000003,0.0,0.4874204812710339,0.6614501854100291,3.1088160698621925,False,,4.012224065218295
2013-04-12,,292.4683333333333,135.95833333333334,,54.09,0.86125,57.99810406562133,,0.8279694727318153,,8.235416666666664,,,,14.343541666666667,1.6892194727318153,7.705,20.093333333333334,0,4,0.0,0,4,299.8444395797095,,127.72291666666668,,61.515876240240935,1.1091321953199618,,0.901605781726966,0.901605781726966,,,2.1543093209844937,5.9,4.6,0.0,,0.4683281132574986,2.1543093209844937,True,2.1543093209844937,
2013-04-13,,274.11541666666665,122.93666666666662,1.6424999999999998,50.919166666666676,0.6825,62.662026447917974,201.1375,0.9641322631379228,6.12620033202726,5.91875,,,,14.141388888888883,1.646632263137923,8.983333333333333,19.61,0,2,0.0,0,2,301.63079621030016,,117.01791666666662,,55.91764569345313,1.1069803413188677,,0.9033584090649612,0.9020012926325468,,,1.95787839979084,5.7000003,4.5,0.0,,0.4350840888424088,1.95787839979084,True,1.95787839979084,3.6607743645663944
2013-04-14,,306.18458333333336,140.1966666666667,,58.39041666666666,0.8070833333333329,52.24191282428915,,0.6634862360041665,,-6.182499999999997,,,,12.423402777777774,1.4705695693375,7.0749999999999975,17.403333333333332,0,7,0.0,0,7,303.3962793623125,,146.3791666666667,,57.2429043264826,1.1069803413188677,,0.9033584090649612,0.9020616453709748,,,2.0009913311098906,5.9,4.5,0.0,,0.4446647402466424,2.0009913311098906,True,2.0009913311098906,
2013-04-15,34.4575,199.71041666666667,94.895,2.47875,39.21083333333333,0.3904166666666666,72.07186848582442,211.20416666666665,0.9009870773165768,4.843251379920929,-2.0279166666666675,54.92208333333334,,,10.668194444444444,1.291403743983243,8.06,13.62,0,0,1.016,0,0,305.1404783493042,89.37958333333334,96.92291666666668,101.1134545180953,38.98112666360907,1.1312813368238863,62.13232785448623,0.8839534141061113,0.902580341264394,0.9221718289878126,1.2024852967525343,1.3603491740212748,5.2000003,4.1,0.0,0.33179248146860363,0.44709092817346896,1.8330728055112224,False,,2.6344871629196573
2013-04-16,63.72624999999999,315.72125,154.23000000000005,4.236666666666666,59.82083333333333,0.8529166666666667,38.04805988310644,294.41666666666663,0.40385873932093,,3.735833333333333,51.2425,,,10.098888888888894,1.2567754059875964,6.2,14.296666666666667,0,0,0.0,0,0,306.86299832959617,114.96875,150.49416666666667,130.80839300948296,72.50603624915955,1.1377734646108877,58.3023567603234,0.8789095818313839,0.904166101775934,0.7639415702712729,2.222688775673745,2.528916309050049,6.8,4.9,0.0,0.5161053691938875,0.4526985160176309,2.218222728486391,False,,4.82472058783217
2013-04-17,54.01416666666666,321.80583333333334,137.07499999999996,4.269166666666667,62.02000000000001,1.0420833333333337,26.71706407726095,343.6208333333333,0.26836122352438113,,8.513333333333327,58.25541666666667,,,10.654583333333333,1.3104445568577148,5.91,15.286666666666667,0,0,0.0,0,0,308.5634602043894,112.26958333333332,128.56166666666664,129.38909372869557,62.25055679382484,1.1524857391207526,67.13853693487074,0.8676896954602786,0.9068231686007546,0.8732741745206583,1.884942267500204,2.17236908235992,6.9,4.9,0.0,0.4433406290530449,0.4614516794505229,2.261113229307562,False,,5.399061962637345
2013-04-18,62.97458333333332,310.50625,141.03625,1.4466666666666663,57.35458333333332,1.0629166666666667,33.441397871992805,128.0875,0.3592288159033765,,11.9425,69.97333333333336,,,11.727916666666665,1.4221454825700433,4.376666666666666,17.01,0,0,0.0,0,0,310.2415004920684,132.94791666666669,129.09375,153.22057800414757,72.5773092187381,1.1524857391207526,80.64326878540949,0.8676896954602786,0.9074153646730856,1.0298555636246272,2.199887254243839,2.5353386881895337,6.9,5.1,0.0,0.49712523297834,0.4657278688233362,2.375212130999014,False,,3.8974202809377743
2013-04-19,59.61583333333334,301.90208333333334,148.36583333333337,1.4416666666666669,53.758750000000006,1.1679166666666667,41.86329155682503,149.5583333333333,0.5938532082898157,,8.648333333333326,50.24083333333335,,,14.967500000000005,1.7617698749564823,7.899999999999999,20.85,0,0,0.0,0,0,311.89677117943256,109.85666666666668,139.71750000000003,127.42837483969959,69.1514587770221,1.1599512228634243,58.27691606267751,0.8621052163998991,0.90823621548229,0.7862770709944471,2.0890164827181947,2.42315722371082,6.5,5.1,0.0,0.4751288673942785,0.4855896874720189,2.4765074061072965,False,,4.210685200792436
