date,rh,sw_in,H,sw_out,Rn,theta_1,ws,lw_in,t_avg,G,lw_out,LE,wd,t_min,t_max,Rn_subday_gaps,G_subday_gaps,H_subday_gaps,ppt,LE_subday_gaps,rso,flux,energy,ebc_cf,ebr_5day_clim,flux_corr,LE_corr,ebr_corr,ebr,H_corr,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,ET_fill_val
2016-09-13,58.22213012416668,179.73010416666668,42.13198927435417,28.926312499999995,52.959583333333356,6.0072916666666645,2.0816339746250008,291.3979166666667,10.599879476979167,-2.878666201624997,387.3083333333332,9.534314302760414,140.7892945597916,6.497015563,14.63039751,0.0,0.0,0.0,2.3000000000000003,4.0,260.4822546102998,51.66630357711459,55.838249534958365,1.0835010316410965,0.8807832622951146,55.98049322688573,10.33043938303137,0.9229340543269959,0.9252851586038372,45.65005384385436,0.3327033566217413,0.3604844301301123,3.5,2.6000001,1.9,0.1386478524097412,0.1759190741716883,0.45738961043829707,False,
2016-09-14,62.79715396124999,68.93706250000001,-3.8715907386458337,10.213270833333333,23.995312499999994,5.915625,1.6856941956875,333.99791666666664,10.893133800499998,-11.537781607125002,367.42291666666665,41.8818932319375,186.71340863854164,8.155608362,14.53809824,0.0,0.0,0.0,0.0,6.0,258.1088833714117,38.010302493291654,35.53309410712499,1.0835010316410965,0.8763054139574108,41.18420196447165,45.37907452388653,0.9229340543269959,1.0697155271279892,-4.194872559414876,1.4618926580250693,1.5839622031187066,3.6000001000000004,2.7,0.0,0.5866526678217433,0.18118932191416534,0.4892111691682465,False,
2016-09-15,41.49950808395833,243.30452083333333,41.6065263788125,37.11266666666667,79.56743749999998,6.213541666666668,1.8490581355625,258.6020833333333,12.408038343645835,-0.3758608918958384,383.3,22.868153329666672,134.560446750625,6.076390912000001,17.93275284,0.0,0.0,0.0,0.0,0.0,255.7274110047385,64.47467970847916,79.94329839189581,1.0835010316410965,0.8713666300844967,69.85838197886645,24.77766772442061,0.9229340543269959,0.8065051230737712,45.08071425444583,0.7993707785793611,0.8661190632544842,4.6,3.4,0.0,0.2547409009572013,0.1828665038267506,0.6217461130109521,False,
2016-09-16,30.76580160833333,243.0933125,38.51704767933333,37.63158333333333,67.62166666666666,6.545833333333333,2.2311399571041672,259.90208333333334,14.418733906875005,-0.4655945659583307,395.60416666666674,13.049552378333333,139.6218044404166,7.446172967000001,20.45872984,0.0,0.0,0.0,0.0,0.0,253.3386205820251,51.566600057666655,68.08726123262498,1.0821227189974283,0.8627635460110071,55.80138946385518,14.121217101341422,0.9241096064654166,0.7573604683772738,41.68017236251376,0.4570331613929198,0.4945659672784969,3.5,2.9,0.0,0.17053998871672307,0.18529765443280696,0.5373631978551402,False,
2016-09-17,19.751595477916666,176.31460416666667,25.901965036062503,26.958187499999994,36.57831250000001,6.847916666666666,2.6087415414166673,312.5729166666667,20.60179898291666,5.245444216354167,423.5187500000001,12.373836394874994,223.24492862839577,14.05973092,25.14872779,0.0,0.0,0.0,0.0,0.0,250.94330475315516,38.2758014309375,31.332868283645844,1.0725564104944108,0.8544404877907398,41.052956191563155,13.271637547732228,0.9323518933041808,1.2215862615717026,27.78131864383093,0.4359473462046354,0.4675781208098078,7.3,4.9,0.0,0.09542410628771587,0.17191636086668818,0.8423901682467722,False,
2016-09-18,45.30626838583333,126.58227083333333,26.36196999514584,18.9160625,35.68787500000003,7.130208333333335,2.7553185089791663,353.98958333333326,19.986108488333333,4.853431287479169,424.6166666666666,3.252098496583333,201.70137274770832,17.664160199999994,23.61355341,0.0,0.0,0.0,0.0,0.0,248.5422652667136,29.614068491729174,30.83444371252085,1.0725564104944108,0.8496773152118259,31.76275900162467,3.4880590900696897,0.9323518933041808,0.9604216884154092,28.27469991155498,0.1145080465591982,0.1228163393902605,6.3,4.4,0.0,0.027912804406877385,0.10279364304084564,0.4522920293797209,False,
2016-09-19,51.60625756916667,196.71297916666663,44.11553972416665,30.13347916666667,65.69904166666667,7.037500000000001,2.0576520362500004,317.2270833333334,17.841795293333334,1.3249057539166644,416.68125,2.454673567770833,134.50481937208335,12.54053499,23.04894523,0.0,0.0,0.0,0.0,0.0,246.13631246883975,46.57021329193748,64.37413591274999,1.1548742484353092,0.8475446896844617,53.78274007499833,2.83483929173336,0.8658951408388043,0.7234304994020702,50.94790078326497,0.08625235170188647,0.09961061984749407,6.0,4.3,0.0,0.023165260429649785,0.13636487918514276,0.5863689804961139,False,
2016-09-20,44.11487675458335,216.7570625,41.15710645033333,33.285979166666664,66.48616666666666,6.9729166666666655,2.0922025544375007,293.4083333333333,15.879352163958336,-0.9000272114375033,408.71875,4.426620997749999,145.55908446791662,11.3892008,21.32039533,0.0,0.0,0.0,0.0,0.0,243.72626478123382,45.58372744808332,67.38619387810417,1.2457885644135622,0.8446133837406191,56.78768637816682,5.5146338179899015,0.8027044304028719,0.6764549950771871,51.27305256017693,0.1552501239347592,0.19340882902171128,6.1,4.3,0.0,0.0449787974469096,0.15864544442930475,0.6821754110460104,False,
2016-09-21,57.76395807375001,101.27891666666665,19.646235993770837,16.01172916666667,23.300645833333327,6.580208333333335,2.0500679316874995,320.2937500000001,12.244622066687498,-6.781687850458332,381.19791666666674,,137.44693245374998,9.287618723,17.46806072,0.0,0.0,0.0,1.4,5.0,241.31294815923,,30.082333683791656,1.2457885644135622,0.8402850019669514,,14.042800216991479,0.8027044304028719,,24.475056134809822,,0.4907983605830235,4.3,3.1000001,1.3000001,,0.15832204669381253,0.4907983605830235,True,0.4907983605830235
2016-09-22,80.11563930854166,76.14191666666666,15.286814660041664,11.119604166666667,42.364020833333335,6.504166666666669,2.1692493188749995,349.27083333333326,10.406481473020834,-7.8263734239375005,371.31875,24.810478910333327,247.85354076575004,7.274274444,12.72598858,0.0,0.0,0.0,0.0,5.0,238.89719553091615,40.097293570375,50.19039425727084,1.2647758936652238,0.8351348226355466,50.71409030902786,31.37969563607903,0.7906539055722168,0.7989037377319725,19.334394672948843,0.865611029004121,1.0948039627751611,3.2,2.4,1.3000001,0.4561683178229838,0.16890757199266015,0.4053781727823844,False,
