date,rh,es,H,sw_in,vpd,t_dew,vp,theta_2,Rn,theta_1,ws,t_avg,theta_mean,G,LE,wd,t_min,t_max,Rn_subday_gaps,G_subday_gaps,H_subday_gaps,ppt,LE_subday_gaps,ASCE_ETo,rso,flux,energy,ebc_cf,ebr_5day_clim,flux_corr,LE_corr,ebr_corr,ebr,H_corr,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,ET_fill_val
2004-01-01,,,,,,,,,,,,,,,,,,,,,,,,,161.4910211847134,,,0.8433696706955565,1.185719660958717,,,1.185719660958717,,,,,2.4,1.6,0.0,,,,False,
2004-01-02,,,,,,,,,,,,,,,,,,,,,,,,,161.9765262215507,,,0.8640753900167103,1.1573064243626483,,,1.1573064243626483,,,,,1.9,1.3000001,1.6,,,,False,
2004-01-03,,,,,,,,,,,,,,,,,,,,,,,,,162.500482053532,,,0.8824440944027624,1.1332162641722925,,,1.1332162641722925,,,,,2.0,1.4,5.6,,,,False,
2004-01-04,,,,,,,,,,,,,,,,,,,,,,,,,163.06271694739544,,,0.8978679600646111,1.1137495093688825,,,1.1137495093688825,,,,,2.9,1.9,0.3,,,,False,
2004-01-05,12.326666666666664,0.9425384511817227,,151.00060416666668,,,,0.12002083333333335,42.25458333333332,0.08116666666666665,,6.010875000000001,0.10059374999999997,,,,2.441,8.49,0.0,48.0,35.0,0.0,35.0,,163.66304474174117,,,0.9170436089123574,1.090460682874211,,20.52965454128076,1.090460682874211,,,,0.7132685439239743,3.8,2.4,0.0,,0.2971952266349893,0.7132685439239743,True,0.7132685439239743
2004-01-06,13.67054166666666,1.2253772509147527,20.851729166666672,115.87541666666664,,,,0.11781249999999995,32.916458333333345,0.07852083333333333,1.9018750000000009,9.892708333333333,0.09816666666666672,,15.993437500000004,,8.05,13.04,0.0,48.0,2.0,0.0,2.0,,164.30126473048202,36.84516666666667,,0.9314128903772168,1.0736377071129066,34.31806318143029,14.896493848942372,1.0736377071129066,,19.421569332487923,0.5577207143924287,0.5194682626154982,3.0,1.9,0.0,0.27340434874499897,0.333941541437836,0.6344889287318883,False,
2004-01-07,19.41145833333333,1.3249847113343174,,141.2105208333334,,,,0.1152291666666667,52.56625000000002,0.07643750000000002,,10.982499999999995,0.09583333333333333,,,,7.25,14.85,0.0,48.0,12.0,0.0,12.0,,164.9771615451605,,,0.9269951835879988,1.078754256445466,,17.673658022039486,1.078754256445466,,,,0.6169538062444208,3.2,2.0,0.0,,0.3084769031222104,0.6169538062444208,True,0.6169538062444208
2004-01-08,33.263562500000006,1.5359182909575375,32.63070833333335,170.14602083333332,,,,0.11339583333333343,45.053791666666676,0.0744375,2.808854166666665,13.230833333333333,0.09391666666666668,,15.8355,,10.24,17.52,0.0,48.0,2.0,0.0,2.0,,165.6905050372416,48.466208333333356,,0.9270769781050872,1.0786590796850168,44.93190596187829,14.680727486783109,1.0786590796850168,,30.251178475095173,0.5539753217577491,0.5135777672399674,2.3,1.6,0.0,0.3209861045249796,0.29101085380671354,0.4656173660907417,False,
2004-01-09,28.731875,1.5714557565047609,16.761614583333348,152.946875,,,,0.11135416666666677,23.68104166666667,0.07183333333333336,2.9484375000000007,13.621666666666664,0.09159374999999996,,22.510906250000005,,11.27,17.24,0.0,48.0,8.0,0.0,8.0,,166.44105016152838,39.27252083333335,,0.9309279503028453,1.0741969877203543,36.5598873226008,20.95603181477201,1.0741969877203543,,15.603855507828786,0.787796250379194,0.7333815486217701,2.7,1.8000001,0.0,0.4074341710435294,0.3057542786682433,0.5503577321782658,False,
2004-01-10,20.507291666666664,1.6336316148559018,26.460093749999995,169.62220833333333,,,,0.1091666666666666,35.30022916666667,0.06975000000000002,2.9284375,14.22627083333333,0.08945833333333332,,17.080468749999998,,10.71,17.61,0.0,48.0,5.0,0.0,5.0,,167.2285368618723,43.54056249999999,,0.9312850999600008,1.0737850310747488,40.54867710012716,15.90678604720742,1.0737850310747488,,24.641891052919735,0.5980973728074502,0.5569991716208001,3.7,2.4,0.0,0.2320829881753334,0.2998506145467033,0.7196414749120881,False,
2004-01-11,20.825,1.575976694642294,61.85140625,172.283875,,,,0.10670833333333336,45.32583333333333,0.06739583333333331,1.9255208333333336,13.623541666666664,0.08705208333333335,,16.364541666666664,,10.76,17.54,0.0,48.0,8.0,0.0,8.0,,168.05268996037074,78.21594791666666,,0.9267574041598254,1.0790310339161244,72.48720885515009,15.1659601552653,1.0790310339161244,,57.32124869988481,0.5726978531005198,0.5307519757073427,3.7,2.4,0.0,0.22114665654472607,0.2929368235064415,0.7030483764154596,False,
2004-01-12,29.75464583333333,1.5047552768836538,65.49568749999999,171.1977916666667,,,,0.1046666666666667,49.84208333333334,0.06545833333333333,1.7830208333333335,12.881250000000005,0.08506249999999999,,19.960916666666666,,10.05,17.33,0.0,48.0,7.0,0.0,7.0,,168.91321905125764,85.45660416666666,,0.9241319109530334,1.0820966013052464,78.97317491209861,18.44652006354092,1.0820966013052464,,60.52665484855769,0.6980620162696686,0.6451013850590163,2.4,1.7,0.0,0.379471402975892,0.2876825746159404,0.4890603768470986,False,
2004-01-13,34.40208333333333,1.5215753166743795,24.92110416666665,169.67591666666667,,,,0.10285416666666672,42.34983333333333,0.06393750000000005,3.361354166666666,13.182291666666664,0.08339583333333334,,16.257104166666664,,10.87,15.99,0.0,48.0,3.0,0.0,3.0,,169.80981840070146,41.17820833333332,,0.9206313959878792,1.0862110551063215,37.909951422196386,14.966800503678698,1.0862110551063215,,22.94315091851768,0.5686979643713602,0.5235612008346706,3.3,2.2,0.0,0.2379823640157593,0.2677239752113422,0.5889927454649531,False,
2004-01-14,30.461666666666666,1.4860912696733155,52.99294791666667,176.53910416666668,,,,0.10116666666666664,46.91479166666666,0.062187500000000014,1.9717708333333341,12.640833333333333,0.0816770833333333,,20.342635416666663,,8.76,17.71,0.0,48.0,3.0,0.0,3.0,,170.74216685372474,73.33558333333333,,0.9192022399724546,1.087899872861457,67.41023246968662,18.698996041942987,1.087899872861457,,48.711236427743636,0.7112478599417513,0.6537806260340726,4.0,2.6000001,0.0,0.2514540772648711,0.26550640080384114,0.6903166686406271,False,
2004-01-15,33.715,1.2680455380314342,39.61670833333334,154.40372916666666,,,,0.09864583333333334,42.476250000000014,0.06025000000000005,1.6396875000000002,10.339375000000002,0.07944791666666662,,15.8833125,,7.16,14.22,0.0,48.0,8.0,0.0,8.0,,171.70992774945253,55.50002083333335,,0.9232204063062476,1.0831649659921874,51.238751783755205,14.663798219739098,1.0831649659921874,,36.574953564016106,0.5541163053274073,0.5115714805452857,2.7,1.8000001,0.0,0.2842063622914719,0.2743783496556641,0.4938810568180304,False,
2004-01-16,33.80647916666667,1.2267388709362703,,177.6687916666667,,,,0.09672916666666667,52.35979166666666,0.059083333333333314,,9.810291666666666,0.07790624999999997,,,,6.894,13.91,0.0,48.0,48.0,0.0,48.0,,172.71274884588684,,,0.9282680440641198,1.0772750461405791,,14.230652463460777,1.0772750461405791,,,,0.4962101726512144,3.0,2.0,0.0,,0.2481050863256072,0.4962101726512144,True,0.4962101726512144
2004-01-17,29.99854166666667,1.2101770214908183,52.27183333333333,180.63233333333332,,,,0.0952916666666667,48.65,0.057666666666666665,2.852395833333332,9.603937500000002,0.07647916666666668,,15.481781249999996,,6.313,14.82,0.0,48.0,15.0,0.0,15.0,,173.7502622553856,67.75361458333333,,0.9322967727088062,1.0726198237225264,63.16647621539797,14.433614695158706,1.0726198237225264,,48.73286152023926,0.5397297949640313,0.5031883459797521,3.5,2.3,0.0,0.21877754173032704,0.2307317977361747,0.5306831347932018,False,
2004-01-18,42.097708333333344,1.148393236361965,,169.2804166666666,,,,0.09333333333333334,61.1798125,0.056333333333333374,,8.834583333333333,0.07483333333333332,,,,5.432,12.89,0.0,48.0,12.0,0.0,12.0,,174.8220843919997,,,0.9393684877518942,1.064544971476752,,13.392634972266094,1.064544971476752,,,,0.4665554924423507,2.4,1.7,0.0,,0.27444440731902986,0.4665554924423507,True,0.4665554924423507
