date,rh,es,H,sw_out,sw_in,vpd,t_dew,vp,Rn,theta_1,ws,t_avg,G,LE,wd,t_min,t_max,Rn_subday_gaps,G_subday_gaps,H_subday_gaps,ppt,LE_subday_gaps,ASCE_ETo,rso,flux,energy,ebc_cf,ebr_5day_clim,flux_corr,LE_corr,ebr_corr,ebr,H_corr,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,ET_fill_val
2012-10-03,84.57070833333334,3.744412052629496,,,204.48125,0.06247916666666666,26.897974463870522,3.6819328859628295,149.26187500000006,80.49708333333331,2.1787499999999995,27.72916666666666,2.353541666666667,,98.95377083333332,24.7,30.9,0,0,16,0.0,16,3.278829425142812,273.0136996929377,,146.9083333333334,1.158450258763581,0.8632222164353472,,165.2768882919687,0.8632222164353472,,,,5.863165192022325,6.0,5.0,0.0,,1.172633038404465,5.863165192022325,True,5.863165192022325
2012-10-04,80.51177083333334,3.831512707124797,,,210.4958333333333,0.07853541666666665,27.23370416328214,3.752977290458132,147.4914791666666,80.43387499999993,2.3664583333333336,28.14583333333333,4.220833333333333,,76.06979166666666,25.6,30.8,0,0,2,0.0,2,3.3705161327380146,271.51394551042307,,143.27064583333328,1.162462132316432,0.8602430756237242,,132.52947419676522,0.8602430756237242,,,,4.703356861478818,5.0,4.0,0.0,,1.1758392153697048,4.703356861478818,True,4.703356861478818
2012-10-05,80.13797916666667,3.81350650802008,,,234.0979166666667,0.08032083333333337,27.16243520111548,3.733185674686746,166.27250000000004,80.36912500000003,2.2035416666666663,28.07916666666667,4.604583333333334,,64.26312500000002,25.8,30.7,0,0,47,0.0,47,3.754261386634881,270.01007099519717,,161.66791666666668,1.1652208115967144,0.8582064361086114,,149.5118653703814,0.8582064361086114,,,,5.3057042655072495,5.5,4.5,0.0,,1.1790453923349444,5.3057042655072495,True,5.3057042655072495
2012-10-06,85.45014583333334,3.6367510501014384,,,108.00833333333328,0.05537083333333333,26.485499027098278,3.5813802167681046,54.37689583333333,80.32133333333337,1.25625,27.285416666666666,2.0552083333333333,,100.94854166666669,25.6,31.7,0,0,48,2.032,48,2.190663462579019,268.50273681710246,,52.3216875,1.1543213665599852,0.8663098760617409,,110.02480735447331,0.8663098760617409,,,,3.901430178690608,4.0,3.3,9.6,,1.1822515693001845,3.901430178690608,True,3.901430178690608
2012-10-07,88.49695833333334,3.443206578523064,,,123.38333333333334,0.04156041666666666,25.633602246578764,3.401646161856396,77.97354166666666,80.40689583333328,1.9106249999999996,26.35416666666666,-0.8077083333333337,,74.45525000000002,24.6,29.7,0,0,48,2.286,48,2.2329188376484597,266.99261295823396,,78.78124999999999,1.149864885089145,0.8696673956805572,,110.42273799212526,0.8696673956805572,,,,3.9120105626758988,3.9,3.3,19.0,,1.185457746265424,3.9120105626758988,True,3.9120105626758988
2012-10-08,85.93922916666668,3.5594076470620344,,,193.34166666666667,0.053800000000000014,26.108369725948396,3.5056076470620354,143.28374999999997,80.42924999999994,1.86625,26.88958333333333,0.4531250000000005,,62.95041666666669,23.9,29.9,0,0,48,2.286,48,3.0412868397833326,265.48037812670634,,142.83062499999997,1.147582120376706,0.8713973337888354,,140.8450943033451,0.8713973337888354,,,,4.992388834167966,5.0,4.2000003,16.4,,1.1886639232306642,4.992388834167966,True,4.992388834167966
2012-10-09,,3.7050839505660815,,,210.23958333333337,,,,152.24897916666666,80.35602083333337,1.8412500000000005,27.58958333333333,4.460416666666666,,117.04397916666667,25.1,31.0,0,0,26,5.08,26,,263.96671915957603,,147.78856249999995,1.1480804827621145,0.8710190748945977,,104.16681642411709,0.8710190748945977,,,,3.694797429794312,3.7,3.1000001,7.4,,1.1918701001959038,3.694797429794312,True,3.694797429794312
2012-10-10,,3.554554332133548,,,152.5875,,,,98.08645833333335,80.34600000000005,2.2535416666666674,26.89583333333333,2.38875,,58.05645833333333,24.4,30.3,0,0,48,6.35,48,,262.45233041601244,,95.69770833333335,1.149488751522945,0.8699519666243893,,97.77421009090341,0.8699519666243893,,,,3.465721203767316,3.5,2.9,1.4,,1.1950762771611436,3.465721203767316,True,3.465721203767316
2012-10-11,,3.4633891255222635,,,235.76875,,,,147.88210416666666,80.43079166666662,3.414375,26.44791666666666,-0.6706249999999998,,31.24749999999999,24.3,29.0,0,0,48,0.0,48,,260.9379131618241,,148.55272916666667,1.1517762345300817,0.8682242001702654,,145.42756421953618,0.8682242001702654,,,,5.152614552743449,5.4,4.3,0.0,,1.1982824541263837,5.152614552743449,True,5.152614552743449
2012-10-12,,3.373219203799137,,,205.20208333333332,,,,121.62895833333334,80.50556250000002,3.7368749999999986,25.9875,-3.166875,,44.64687499999999,24.1,28.6,0,0,48,0.0,48,,259.4241749464513,,124.79583333333336,1.153529648828229,0.8669044623307373,,132.31128914724792,0.8669044623307373,,,,4.685805661257331,5.1,3.9,0.0,,1.2014886310916233,4.685805661257331,True,4.685805661257331
2012-10-13,,3.2718583407706023,,,210.69375,,,,144.62022916666666,80.58033333333339,4.5095833333333335,25.460416666666664,-4.383958333333333,,71.15520833333333,22.5,28.3,0,0,48,0.0,48,,257.9118289735481,,149.0041875,1.1550409477387735,0.8657701720079295,,139.5388043584016,0.8657701720079295,,,,4.9392487130331375,5.5,4.1,0.3,,1.2046948080568631,4.9392487130331375,True,4.9392487130331375
2012-10-14,,3.3970707278070686,,,169.49999999999997,,,,120.26627083333331,80.57879166666667,3.5010416666666675,26.10833333333333,-2.0864583333333333,,44.99479166666666,23.8,29.3,0,0,48,0.254,48,,256.4015934662717,,122.35272916666663,1.1557338026305544,0.8652511484252773,,129.59157604904192,0.8652511484252773,,,,4.590023743083991,5.1,3.8,0.6,,1.207900985022103,4.590023743083991,True,4.590023743083991
2012-10-15,,3.5599810756684995,,,187.94166666666663,,,,126.5143958333333,80.50941666666667,2.0397916666666664,26.887500000000006,1.3914583333333332,,64.52064583333335,24.6,29.7,0,0,48,0.0,48,,254.89419102840245,,125.12293749999996,1.1548744386785912,0.8658949981992858,,126.4207884442354,0.8658949981992858,,,,4.481096499353168,4.7000003,3.7,0.0,,1.2111071619873426,4.481096499353168,True,4.481096499353168
2012-10-16,,3.5108551405179487,,,215.925,,,,143.5642083333333,80.44929166666661,2.255833333333333,26.660416666666674,2.32625,,164.49895833333332,24.4,29.8,0,0,48,0.0,48,,253.3903480024128,,141.23795833333332,1.1552728980883764,0.8655963466767848,,154.1959589380814,0.8655963466767848,,,,5.464410025286621,5.4,4.5,7.6,,1.2143133389525824,5.464410025286621,True,5.464410025286621
2012-10-17,,3.3951028776442764,,,146.29583333333332,,,,95.24085416666668,80.4454375,2.016458333333333,26.064583333333346,1.3997916666666663,,124.39104166666664,23.1,29.4,0,0,48,4.3180000000000005,48,,251.89079382559223,,93.8410625,1.1690024223136521,0.8554302205985443,,110.00340768180206,0.8554302205985443,,,,3.896062450937032,3.8,3.2,1.3000001,,1.2175195159178225,3.896062450937032,True,3.896062450937032
2012-10-18,,3.5670891530107216,,,217.13125,,,,155.60543750000005,80.46625,2.2158333333333338,26.86666666666667,1.0308333333333342,,145.27543749999995,23.3,30.1,0,0,48,0.0,48,,250.39626038533316,,154.5746041666667,1.1759869629704651,0.8503495629526934,,137.75933525946488,0.8503495629526934,,,,4.882902771532248,4.8,4.0,0.0,,1.220725692883062,4.882902771532248,True,4.882902771532248
2012-10-19,,3.5769048780208315,,,138.4291666666667,,,,85.21689583333331,80.40997916666659,1.2637499999999997,27.00000000000001,2.929375,,189.28629166666667,23.8,30.4,0,0,48,2.032,48,,248.90748137466352,,82.28752083333332,1.174812521000889,0.8511996443041343,,127.74556712799209,0.8511996443041343,,,,4.528547918438717,4.2000003,3.7,2.9,,1.2239318698483015,4.528547918438717,True,4.528547918438717
2012-10-20,,3.5619116498506003,,,217.4916875,,,,146.49775000000002,80.41460416666659,1.545208333333333,26.912499999999994,2.0112499999999995,,173.40166666666673,24.8,30.0,0,0,48,0.0,48,,247.4251916490986,,144.48650000000004,1.1743794066313298,0.8515135690845163,,131.55298275565306,0.8515135690845163,,,,4.663124577891458,4.3,3.8,0.0,,1.2271380468135415,4.663124577891458,True,4.663124577891458
2012-10-21,,3.3151447613597766,,,165.81666666666666,,,,89.03750000000002,80.43156249999997,2.871458333333333,25.68333333333333,0.3241666666666669,,35.79979166666667,22.9,28.5,0,0,48,0.0,48,,245.95012658586845,,88.71333333333334,1.1760817238896857,0.8502810473856137,,135.52883048650637,0.8502810473856137,,,,4.798342472737248,4.7000003,3.9,0.0,,1.2303442237787814,4.798342472737248,True,4.798342472737248
