date,lw_in,H,sw_out,sw_in,lw_out,t_avg,es,vp,LE,ws,vpd,rh,wd,G,Rn,t_dew,t_min,t_max,LE_subday_gaps,H_subday_gaps,Rn_subday_gaps,ppt,G_subday_gaps,ASCE_ETo,rso,flux,energy,flux_corr,ebr_5day_clim,LE_corr,H_corr,ebc_cf,ebr,ebr_corr,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,ET_fill_val
2016-01-01,,,,,,,,,,,,,,,,,,,,,,,,,130.61281096856905,,,,,,,,,,,,2.1000001,1.4,0.0,,,,False,
2016-01-02,,,,,,,,,,,,,,,,,,,,,,,,,131.0925826059811,,,,,,,,,,,,2.6000001,1.6,0.0,,,,False,
2016-01-03,,,,,,,,,,,,,,,,,,,,,,,,,131.61078437635462,,,,,,,,,,,,2.3,1.5,7.7000003,,,,False,
2016-01-04,,,,,,,,,,,,,,,,,,,,,,,,,132.16729150700752,,,,,,,,,,,,1.5,1.1,12.6,,,,False,
2016-01-05,,,,,,,,,,,,,,,,,,,,,,,,,132.76196784977546,,,,,,,,,,,,1.3000001,0.90000004,13.5,,,,False,
2016-01-06,,,,,,,,,,,,,,,,,,,,,,,,,133.39466565722574,,,,,,,,,,,,1.5,1.0,11.7,,,,False,
2016-01-07,,,,,,,,,,,,,,,,,,,,,,,,,134.06522535186002,,,,,,,,,,,,0.8,0.7,0.0,,,,False,
2016-01-08,,,,,,,,,,,,,,,,,,,,,,,,,134.77347528976514,,,,,,,,,,,,1.0,0.7,0.3,,,,False,
2016-01-09,,,,,,,,,,,,,,,,,,,,,,,,,135.5192315202267,,,,,,,,,,,,1.3000001,0.90000004,1.7,,,,False,
2016-01-10,,,,,,,,,,,,,,,,,,,,,,,,,136.30229754284298,,,,,,,,,,,,1.5,1.1,0.6,,,,False,
2016-01-11,,,,,,,,,,,,,,,,,,,,,,,,,137.12246406371415,,,,,,,,,,,,1.8000001,1.2,3.1000001,,,,False,
2016-01-12,,,,,,,,,,,,,,,,,,,,,,,,,137.97950875228932,,,,,,,,,,,,1.5,1.0,1.4,,,,False,
2016-01-13,,,,,,,,,,,,,,,,,,,,,,,,,138.87319600047056,,,,,,,,,,,,2.2,1.5,2.2,,,,False,
2016-01-14,,,,,,,,,,,,,,,,,,,,,,,,,139.80327668557027,,,,,,,,,,,,1.1,0.8,5.5,,,,False,
2016-01-15,,,,,,,,,,,,,,,,,,,,,,,,,140.76948793870952,,,,,,,,,,,,1.0,0.8,5.5,,,,False,
2016-01-16,,,,,,,,,,,,,,,,,,,,,,,,,141.7715529202345,,,,,,,,,,,,1.3000001,1.0,18.4,,,,False,
2016-01-17,,,,,,,,,,,,,,,,,,,,,,,,,142.8091806036992,,,,,,,,,,,,0.90000004,0.7,22.9,,,,False,
2016-01-18,,,,,,,,,,,,,,,,,,,,,,,,,143.8820655699372,,,,,,,,,,,,1.3000001,1.0,1.5,,,,False,
2016-01-19,,,,,,,,,,,,,,,,,,,,,,,,,144.98988781270546,,,,,,,,,,,,1.8000001,1.3000001,5.0,,,,False,
2016-01-20,,,,,,,,,,,,,,,,,,,,,,,,,146.13231255734055,,,,,,,,,,,,1.2,1.0,1.4,,,,False,
2016-01-21,,,,,,,,,,,,,,,,,,,,,,,,,147.308990093818,,,,1.0780561890202156,,,0.9275954353630153,,1.0780561890202156,,,1.8000001,1.3000001,4.5,,,,False,
2016-01-22,,,,,,,,,,,,,,,,,,,,,,,,,148.5195556255499,,,,0.8931625472334188,,,1.1196170317458018,,0.8931625472334188,,,1.2,0.90000004,4.8,,,,False,
2016-01-23,,,,,,,,,,,,,,,,,,,,,,,,,149.76362913519569,,,,0.8622373362621055,,,1.159773484566455,,0.8622373362621055,,,2.1000001,1.4,0.8,,,,False,
2016-01-24,,,,,,,,,,,,,,,,,,,,,,,,,151.0408152686959,,,,0.8306460959641606,,,1.2038821404912092,,0.8306460959641606,,,1.7,1.2,0.0,,,,False,
2016-01-25,,,,,,,,,,,,,,,,,,,,,,,,,152.35070323866918,,,,0.8066303405906219,,,1.2397252491987731,,0.8066303405906219,,,1.4,1.1,0.0,,,,False,
2016-01-26,,,,,,,,,,,,,,,,,,,,,,,,,153.6928667482394,,,,0.7803335938610981,,,1.28150320307497,,0.7803335938610981,,,1.3000001,1.0,0.0,,,,False,
2016-01-27,,,,,,,,,,,,,,,,,,,,,,,,,155.06686393628326,,,,0.7707869887041351,,,1.2973752990838925,,0.7707869887041351,,,1.9,1.4,0.0,,,,False,
2016-01-28,,,,,,,,,,,,,,,,,,,,,,,,,156.47223734501011,,,,0.7640283459768421,,,1.3088519624510244,,0.7640283459768421,,,0.90000004,0.8,4.5,,,,False,
2016-01-29,,,,,,,,,,,,,,,,,,,,,,,,,157.9085139107024,,,,0.7597800863619288,,,1.3161703207941673,,0.7597800863619288,,,1.0,0.7,1.4,,,,False,
2016-01-30,,,,,,,,,,,,,,,,,,,,,,,,,159.37520497836144,,,,0.7492921412508724,,,1.3345929377166488,,0.7492921412508724,,,2.3,1.6,5.4,,,,False,
