date,rh,es,H,sw_out,sw_in,vpd,t_dew,vp,Rn,ws,lw_in,t_avg,G,lw_out,LE,wd,t_min,t_max,Rn_subday_gaps,G_subday_gaps,H_subday_gaps,ppt,LE_subday_gaps,ASCE_ETo,rso,flux,energy,ebc_cf,ebr_5day_clim,flux_corr,LE_corr,ebr_corr,ebr,H_corr,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,ET_fill_val
2016-10-02,72.75192291666669,1.7693408121336265,,49.483714189583324,192.51742354125,0.60576064608125,8.934258150421018,1.163580166052377,85.95131541666666,0.6108294854166668,326.7057812500001,14.803041541666666,-4.804820256979165,383.3315395833334,44.149811235791674,130.14459152291667,8.051502000000001,22.64368,0.0,0.0,16.0,0.0,0.0,2.1096264672470983,201.50967761158844,,90.75613567364584,1.1644681136072768,0.8164136103353314,,51.411047405859684,0.8587611702841831,,,1.5468233253609251,1.8012264397667714,2.5,2.1000001,0.0,0.8577268352352801,0.9565287755119816,2.008710524228039,False,
2016-10-03,69.13228937499998,1.8887698250737008,,49.40471775,191.7529354520833,0.6943480124958331,9.328615373826402,1.1944218125778678,76.838004375,2.44436221875,323.61289166666666,15.817354729166668,-3.9354200017916665,387.9980333333333,75.49572653474999,136.14257104166668,8.186223,23.19215,0.0,0.0,10.0,0.0,0.0,2.975943781935227,199.1352317466621,,80.77342437679167,1.1654381892275605,0.8326663211925776,,87.98560282707814,0.8580463633706641,,,2.6476232165642384,3.0856412072694748,4.3,3.0,0.0,1.028547069089825,1.0183243770816388,3.0549731312449167,False,
2016-10-04,72.54376083333334,2.0585105255881304,-34.300051156249985,29.045254162500004,114.39725540208336,0.6194871326166665,12.108935674614628,1.4390233929714642,50.46738572916667,4.259873104166667,367.0498770833333,17.596283958333334,0.8764279590624992,400.42176666666666,75.40459074583333,134.72950625,12.83997,23.3254,0.0,0.0,2.0,1.9930000000000003,0.0,3.0950911509124936,196.76980601017465,41.10453958958335,49.59095777010418,1.2064593902584777,0.8326663211925776,49.59095777010417,90.97257657390811,0.828871662050519,0.828871662050519,-41.381618803803946,2.6489430303263806,3.195842193197009,5.5,3.7,18.2,0.8637411332964888,1.1379786039174926,4.210520834494723,False,
2016-10-05,68.3371925,1.6546436746739532,0.5732611458333344,46.0415279125,174.4552119583333,0.5451549410812497,7.89500303597277,1.1094887335927033,73.65195855208337,2.79563455625,328.31993541666674,14.400984791666666,-2.2231271995625,382.14288750000014,84.74903158116669,213.39191416666657,10.01896,17.72285,0.0,0.0,8.0,15.292000000000002,0.0,2.4062133716368708,194.4142503581144,85.322292727,75.87508575164588,1.2064593902584777,0.8313401984052983,102.93788125887177,102.2462649664108,0.828871662050519,1.1245100006381108,0.6916162924609608,2.9681063967435524,3.580899833637513,3.4,2.4,0.0,1.4920415973489638,1.1697305416418218,2.807353299940372,False,
2016-10-06,66.70781645833334,1.320095329123299,-2.4529798237179503,34.50407639583333,136.67006881479168,0.4796442010166666,4.1840571283582415,0.8404511281066323,57.44876255416665,2.216831079166667,320.2925354166667,10.821633625,-10.766693746708334,364.14402708333336,60.985004028354176,162.56929162500003,5.940568,15.60425,0.0,0.0,10.0,15.958,0.0,2.046083166962999,192.0694112410961,58.53202420463623,68.21545630087499,1.2064593902584777,0.831340198405298,70.61651023251987,73.57593077495898,0.828871662050519,0.8580463633706641,-2.9594205424391054,2.128543935936773,2.5680018190886598,3.1000001,2.2,23.5,1.1672735541312087,1.1902287475097952,2.6185032445215497,False,
2016-10-07,71.34985541666664,0.9179493560337941,,41.11494455604166,155.55743791666671,0.2760093173604166,0.39325500663978136,0.6419400386733776,56.89362127083336,3.7915945958333315,285.0744708333333,5.6215037916666635,-16.04578606702083,341.65717916666665,64.98631211447916,282.54340416666673,1.6734369999999998,7.988911999999999,0.0,0.0,10.0,2.325,0.0,1.536737170126372,189.73613092152974,,72.93940733785419,1.2526161568530858,0.8312752159586144,,81.40290452889406,0.7983291565648276,,,2.257006474503581,2.8271627760852094,2.2,1.6,0.0,1.7669767350532557,1.1655188851514722,1.864830216242356,False,
2016-10-08,68.45133124999998,0.909691854909944,,30.02528889666667,123.4985711666667,0.3209493308458334,-0.7087492553353649,0.5887425240641108,41.230326395833345,1.0957156687500005,287.34883333333335,5.2723553124999984,-15.837830457791664,338.30264375000013,32.57171465152083,238.382934125,1.216839,10.06934,0.0,0.0,8.0,0.0,0.0,1.3089505344724635,187.41524679428025,,57.06815685362501,1.2526161568530858,0.8268234507314822,,40.799856028903385,0.7983291565648276,,,1.1308568922115148,1.4165296142728123,1.9,1.4,0.0,1.0118068673377232,1.1859650133254842,1.6603510186556778,False,
2016-10-09,71.28981062499999,1.1127634226657797,,46.76971850000001,180.37838518895836,0.39112344111874997,2.069979514061421,0.7216399815470296,69.4418895,1.930063358333333,287.20465625,7.7162776525,-11.767431582958341,350.22359583333326,45.309863011125,146.73830541666666,-0.0531523,15.11639,0.0,0.0,19.0,0.0,0.0,1.8874122398991313,185.107590712304,,81.20932108295834,1.2064593902584777,0.8250239310789085,,54.66450970109701,0.828871662050519,,,1.5767684684219014,1.9023071249910803,2.7,1.9,0.0,1.001214276311095,1.1945579011559453,2.269660012196296,False,
2016-10-10,60.17864687500001,1.83342458814218,-43.50499885416665,40.73274900416667,157.11279660208334,0.7984407872104167,7.235267227480089,1.0349838009317625,57.279539000000035,4.200372416666666,328.64659791666674,15.566253812499996,-0.2298503291666669,386.59812083333327,78.8827800125,171.34764166666662,9.36586,22.44238,0.0,0.0,0.0,0.0,0.0,3.7044589349660253,182.8139883187458,35.377781158333356,57.5093893291667,1.2064593902584777,0.8276189260384531,42.68185628498071,95.16887067577436,0.828871662050519,0.6151653072829798,-52.48701439079366,2.7657411049311933,3.3367543270680957,6.1,3.9,0.0,0.855578032581563,1.1646736869135164,4.542227378962714,False,
2016-10-11,72.87557791666666,1.7898854154632733,-10.984346520833334,39.32690406625,151.9998859375,0.5306943495041668,10.107073532330732,1.259191065959106,70.63819956249998,3.3415748125,349.4563895833333,15.38166329166666,4.3255221478958354,390.9485875,61.89833503708332,211.20557083333333,9.289184,21.56945,0.0,0.0,0.0,0.0,0.0,2.613618950488936,180.5352583869797,50.913988516249994,66.31267741460415,1.2064593902584777,0.8258194063858795,61.4256595409421,74.6778275468545,0.828871662050519,0.7677866510791361,-13.252168005912413,2.169858845778005,2.6178465800242963,3.8,2.6000001,0.5,1.0068640305145742,1.0284305626087362,2.6739195656257704,False,
