date,H_qc_flag,vpd,vp,Rn_qc_flag,rh,LE_qc_flag,G,t_avg,es,LE,sw_in,t_avg_qc_flag,vpd_qc_flag,wd,G_qc_flag,t_dew,Rn,ws,H,t_min,t_max,H_subday_gaps,Rn_subday_gaps,G_subday_gaps,LE_subday_gaps,ppt,rso,flux,energy,ebr_5day_clim,LE_corr,flux_corr,ebr_corr,H_corr,ebr,ebc_cf,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,ET_fill_val,ASCE_ETo
2016-09-27,0.2307692307692308,,,0.07692307692307693,,0.3076923076923077,,,,,,0.07692307692307693,1.0,,0.07692307692307693,,,,,22.438,32.042,,,,,,249.403264625184,,,0.7763060295646432,133.22617260383186,,0.7763060295646432,,,1.2881517879756847,,4.691024180232568,8.0,5.4,0.0,,0.8687081815245495,4.691024180232568,True,4.691024180232568,
2016-09-28,0.2708333333333333,2.62228378125,0.8174770657563721,0.0,25.220004182344326,0.3333333333333333,-0.5422033333333319,25.605395833333336,3.4397608470063723,96.69102732083331,234.67155152083333,0.0,1.0,219.5235416666668,0.0,3.7205796645642613,111.41610416666668,1.386386144375,-20.12105688125,16.874000000000002,33.847,0.0,0.0,0.0,0.0,0.0,247.3464448078716,76.56997043958332,111.95830749999999,0.7747211745857631,124.80751848887209,98.83552037999304,0.7747211745857631,-25.971998108879067,0.6839150407805451,1.2907869731774038,3.4230479256931474,4.4184256710466485,8.5,5.7000003,0.0,0.7751623576312179,0.7655574741193831,4.363677832147726,False,,4.201708363721689
2016-09-29,0.25,2.2354672208333333,0.9725465733965376,0.0,32.865567950358795,0.2708333333333333,-0.6427145833333362,24.55333333333333,3.208013794229871,83.27893747708332,238.17075466666665,0.0,1.0,209.96717520833337,0.0,6.329597312919612,118.5464375,1.0443285378125,1.1304648729166678,15.524,32.435,0.0,0.0,0.0,0.0,0.0,245.28804067164185,84.40940234999998,119.18915208333334,0.772540393861136,107.79881303145514,109.26212146412705,0.772540393861136,1.4633084326718953,0.7081970202370729,1.294430696370486,2.945236626246661,3.812404697088328,4.7000003,3.5,0.0,1.0892584848823792,0.7084954159570918,2.4797339558498206,False,,3.708983215117684
2016-09-30,0.22916666666666666,1.742243125,0.90626699242749,0.0,36.49159456953422,0.2708333333333333,-6.404431250000003,21.370375,2.6485101174274903,69.75339994375,240.21754310416668,0.0,1.0,136.403131875,0.0,5.301649905288007,119.35991666666666,1.5219684271874998,26.01459041875,13.449000000000002,28.954,0.0,0.0,0.0,0.0,0.0,243.22882051195572,95.7679903625,125.76434791666668,0.7711122809918755,90.4581624014946,124.1946117617455,0.7711122809918755,33.73644936025094,0.7614875912683721,1.296828003716538,2.4593283841172733,3.1893259188582226,6.1,4.3,0.0,0.7417037020600518,0.6506491139524653,2.7977911899956007,False,,3.8894616793365047
2016-10-01,0.4375,1.0416241041666667,0.8753879482593625,0.0,50.013486992189456,0.4583333333333333,-14.73116791666667,16.351260416666662,1.9170120524260288,51.04944572083333,244.37735961666667,0.0,0.9583333333333334,107.1234875,0.0,4.783672744103508,119.8558541666667,1.265820457229167,45.07686419166666,8.5987,22.774,0.0,0.0,0.0,0.0,0.0,241.1695589636275,96.1263099125,134.58702208333338,0.7700373060574304,66.29476951214879,124.83331542034506,0.7700373060574304,58.538545908196255,0.7142316430255857,1.2986383804181802,1.7912124959380586,2.326137294709807,7.6,5.1,0.0,0.4561053519038837,0.6082367137902984,3.1020072403305217,False,,3.137505226899162
2016-10-02,0.25,0.9458245916666664,0.8373648879355624,0.0,50.11580562645839,0.2708333333333333,-13.83171666666667,15.122431250000005,1.7831894796022298,47.9573648375,242.79377322687492,0.0,1.0,167.48833333333332,0.0,4.143833194585995,121.6526041666667,1.3263985466875,41.24703580416666,7.4615,21.402,0.0,0.0,0.0,0.0,0.0,239.1110363859136,89.20440064166668,135.48432083333338,0.7681362532869894,67.14539366296603,124.89561546697126,0.7142316430255857,57.75022180400522,0.6584112470947974,1.4001059876930952,1.6807379004829064,2.3532111982088386,7.3,4.9,0.4,0.4802471833079262,0.5954564211934896,2.9177364638481,False,,3.015814986314983
2016-10-03,0.3125,0.7232853395833333,0.9298801502354532,0.0,60.652736816892826,0.3541666666666667,-14.53164583333334,14.005154166666665,1.6531654898187862,48.12405313125001,193.18154563958333,0.0,0.9791666666666666,146.21370416666667,0.0,5.710596287296963,101.05676041666668,0.9510833790208334,32.52460176666668,6.6454,19.521,0.0,0.0,0.0,0.0,0.0,237.0540382375287,80.64865489791669,115.58840625000002,0.7653520434573142,67.10307589229629,112.4546345975233,0.7171661282485986,45.351558705227006,0.6977227000040644,1.3943770635711894,1.6847770139907536,2.3492144255406635,9.900001,6.5,0.0,0.3614176039293329,0.5242333135694449,3.407516538201392,False,,2.284708423941126
2016-10-04,0.2916666666666667,0.8358196124999999,1.033972802264853,0.0,57.20587014026113,0.2916666666666667,-5.173370833333336,16.062304166666667,1.869792414764853,45.75194101458334,236.62839829375,0.0,1.0,103.28018541666664,0.0,7.214658793654975,130.508675,1.633713952708333,51.95278342708333,9.7986,21.219,0.0,0.0,0.0,0.0,0.0,234.99935444283417,97.70472444166666,135.68204583333335,0.7640289547460495,63.535484012453225,135.68204583333335,0.7201006134716115,72.14656182088012,0.7201006134716115,1.3886948313777865,1.6048900884420918,2.228702570748971,9.7,6.3,0.0,0.35376231281729703,0.5686733201534727,3.582641916966878,False,,3.02317561626687
2016-10-05,0.6458333333333334,0.9871402020833332,0.94381829458532,0.4166666666666667,53.7016258596821,0.6458333333333334,,16.39908125,1.9309584966686533,69.692706025,,0.02083333333333333,1.0,,0.4166666666666667,5.818523540309965,,1.6634050022187503,41.56752346458335,9.2277,22.602,0.0,1.0,1.0,0.0,,232.94777875047376,111.26022948958335,,0.7631320014426958,95.75345044324341,152.86464650853262,0.7278349312989973,57.11119606528922,,1.3739379040454385,2.445475524351871,3.3599315163224284,7.2000003,4.9,0.0,0.6857003094535568,0.656835365097589,3.2184932889781863,False,,
2016-10-06,0.25,1.070732825,0.8709928073860985,0.0,48.898611306995036,0.25,-8.191967708333337,16.182025000000007,1.9417256323860992,75.98074715625,235.3118129375,0.0,1.0,144.36926458333332,0.0,4.7080099640141535,114.89518750000002,1.5140204262083332,24.26918026666668,7.2272,24.378,0.0,0.0,0.0,0.0,0.0,230.90010808574317,100.24992742291668,123.08715520833336,0.7617760585221852,104.39282849566452,137.73717516414945,0.7278349312989973,33.344346668484924,0.8144629490643186,1.3739379040454385,2.6655643619794254,3.662319912596228,9.5,6.2000003,0.0,0.5906967315140658,0.7270118344478427,4.507473591680175,False,,3.2367447005083347
