date,H,sw_out,sw_in,LE,theta_1,ws,rh,wd,G,Rn,t_avg,t_min,t_max,LE_subday_gaps,H_subday_gaps,Rn_subday_gaps,G_subday_gaps,rso,flux,energy,flux_corr,ebr_5day_clim,LE_corr,H_corr,ebc_cf,ebr,ebr_corr,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,ET_fill_val
2006-02-05,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,197.57119043232268,,,,,,,,,,,,6.0,3.9,0.0,,,,False,
2006-02-06,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,199.20024028488385,,,,,,,,,,,,5.5,3.6000001000000004,0.0,,,,False,
2006-02-07,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,200.85277601212087,,,,,,,,,,,,5.4,3.5,0.0,,,,False,
2006-02-08,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,202.52810748948863,,,,,,,,,,,,5.9,3.8,0.0,,,,False,
2006-02-09,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,204.22553240175753,,,,,,,,,,,,5.6,3.6000001000000004,0.0,,,,False,
2006-02-10,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,205.94433665611498,,,,,,,,,,,,5.0,3.3,0.0,,,,False,
2006-02-11,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,207.68379481772868,,,,,,,,,,,,6.2000003,4.0,0.0,,,,False,
2006-02-12,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,209.44317056730839,,,,,,,,,,,,5.8,3.7,0.0,,,,False,
2006-02-13,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,211.2217171801356,,,,,,,,,,,,5.8,3.8,0.0,,,,False,
2006-02-14,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,213.01867802596072,,,,,,,,,,,,6.8,4.4,0.0,,,,False,
2006-02-15,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,214.83328708910025,,,,,,,,,,,,3.5,2.5,0.0,,,,False,
2006-02-16,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,216.6647695080029,,,,,,,,,,,,3.2,2.3,0.0,,,,False,
