date,rh,H,sw_in,g_2,vp,theta_1,G,lw_out,g_1,ws,es,LE,wd,sw_out,vpd,Rn,lw_in,t_avg,t_dew,t_min,t_max,Rn_subday_gaps,G_subday_gaps,H_subday_gaps,ppt,LE_subday_gaps,ASCE_ETo,rso,flux,energy,ebc_cf,ebr_5day_clim,flux_corr,LE_corr,ebr_corr,ebr,H_corr,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,ET_fill_val
2009-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.71412625411747,,,0.8484963713049474,1.1785554232389317,,,1.1785554232389317,,,,,1.8000001,1.2,0.0,,,,False,
2009-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.18919830914209,,,0.8495901153664014,1.177038176307797,,,1.177038176307797,,,,,1.7,1.1,1.1,,,,False,
2009-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.7021177254159,,,0.8593534846228166,1.1636654972533396,,,1.1636654972533396,,,,,1.8000001,1.2,0.0,,,,False,
2009-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.25273877981155,,,0.8747782462419024,1.1431468538410248,,,1.1431468538410248,,,,,1.5,1.1,0.3,,,,False,
2009-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.8409030662324,,,0.8816779611198218,1.1342009714407482,,,1.1342009714407482,,,,,2.0,1.4,1.6,,,,False,
2009-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.46643932864745,,,0.9034163357933472,1.106909362140144,,,1.106909362140144,,,,,1.5,1.0,10.8,,,,False,
2009-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.12916329010667,,,0.9227583743077789,1.0837073147671676,,,1.0837073147671676,,,,,3.3,2.1000001,1.9,,,,False,
2009-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.82887747899323,,,0.93986266849517,1.063985232652252,,,1.063985232652252,,,,,3.6000001000000004,2.2,0.0,,,,False,
2009-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.56537105381318,,,0.9549272312803451,1.0472002130038982,,,1.0472002130038982,,,,,2.3,1.5,0.0,,,,False,
2009-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.3384196278511,,,0.9535674136277432,1.048693554025309,,,1.048693554025309,,,,,2.7,1.8000001,0.0,,,,False,
2009-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.1477850950411,,,0.9479863778117528,1.0548674784845653,,,1.0548674784845653,,,,,2.6000001,1.7,2.3,,,,False,
2009-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.99321545842466,,,0.948820438187838,1.0539401974834253,,,1.0539401974834253,,,,,2.2,1.4,0.0,,,,False,
2009-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.87444466256778,,,0.9461450436125849,1.0569204021634837,,,1.0569204021634837,,,,,1.6,1.0,12.6,,,,False,
2009-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.79119243131578,,,0.9390408778374336,1.0649163669029535,,,1.0649163669029535,,,,,2.1000001,1.4,0.0,,,,False,
2009-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.7431641122568,,,0.9264331799365044,1.0794086628768391,,,1.0794086628768391,,,,,2.3,1.5,0.0,,,,False,
2009-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.7300505292518,,,0.9191867034909452,1.0879182610041431,,,1.0879182610041431,,,,,2.0,1.3000001,0.0,,,,False,
2009-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,154.75152784436898,,,0.906938670778386,1.102610388353761,,,1.102610388353761,,,,,1.5,1.0,0.0,,,,False,
2009-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.80725743053566,,,0.8863914527332001,1.1281697233389223,,,1.1281697233389223,,,,,1.6,1.0,4.3,,,,False,
2009-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.89688575618698,,,0.8853642610225431,1.1294786157790688,,,1.1294786157790688,,,,,2.2,1.5,0.0,,,,False,
2009-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.02004428315402,,,0.8863427776511579,1.1282316787756066,,,1.1282316787756066,,,,,1.9,1.2,3.2,,,,False,
2009-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.17634937899038,,,0.8802900731830055,1.1359891818206471,,,1.1359891818206471,,,,,1.7,1.1,0.90000004,,,,False,
2009-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.36540224488496,,,0.8752542065057838,1.1425252144656697,,,1.1425252144656697,,,,,2.6000001,1.7,0.0,,,,False,
