date,Rn,ws,g_1,t_avg,theta_1,sw_out,rh,lw_out,sw_in,LE,wd,G,H,lw_in,g_2,t_min,t_max,Rn_subday_gaps,G_subday_gaps,ppt,LE_subday_gaps,H_subday_gaps,rso,flux,energy,ebr_5day_clim,ebr_corr,ebc_cf,H_corr,ebr,flux_corr,LE_corr,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,ET_fill_val
2017-12-18,,,,,,,,,,,,,,,,7.02185,20.60559,,,,,,156.8162524067084,,,,,,,,,,,,4.7000003,2.9,0.0,,,,False,
2017-12-19,41.58936395833336,1.0986934781249995,-6.191657374999999,11.555008270833332,,22.66028340208333,42.237439375,369.3038229166668,150.31092370208333,11.447088018125005,172.67816654166668,-7.963901374999999,35.85490638541667,283.2425437500001,-9.736145375,3.3375760000000003,21.98357,,,,,,156.75631599129744,47.30199440354167,49.55326533333336,,,,,0.954568666370462,,,0.39981443102772574,,2.3,1.5,0.0,,,,False,
2017-12-20,40.17997322916669,2.104601914583333,-2.4365574166666653,12.857334916666668,,22.53464465833333,47.376040416666676,379.5362083333334,150.66371902916669,10.24324423125,170.43092170833333,-3.790417216666668,24.452931951041673,291.5871041666668,-5.144277016666666,4.10065,22.4472,,,,,,156.73414287199512,34.69617618229167,43.97039044583335,,,,,0.7890804659793393,,,0.3582128229182319,,4.0,2.6000001,0.0,,,,False,
2017-12-21,33.180412,3.803928477083333,-9.992659650000002,10.753847104166665,,24.39855777291666,30.795811874999995,362.77979583333337,156.78897587500003,26.71397687708333,299.96563274999994,-11.480391274999995,25.64026537916667,263.56978958333326,-12.968122900000001,3.789158,14.88724,,,,,,156.74975341226926,52.35424225624999,44.66080327499999,,,,,1.1722637842825498,,29.34872046015875,0.9323307978610598,1.024284631551591,5.1,3.2,0.0,,0.3200889425901753,1.024284631551591,True,1.024284631551591
2017-12-22,34.914028854166666,1.3247846354166666,-10.428559520833332,8.223214604166666,,23.08395741145834,37.69431083333333,354.78759791666664,148.53977585624997,10.491289246666664,176.18351570416667,-11.852464321875004,35.62674045416667,264.2458041666667,-13.276369122916664,0.2785689,16.90992,,,,,,156.8031546280761,46.11802970083333,46.76649317604167,,,,,0.9861340153779042,,25.300876281136784,0.3652695331604473,0.8808869005968316,4.1,2.5,0.0,,0.35235476023873263,0.8808869005968316,True,0.8808869005968316
2017-12-23,40.621733125,1.8592043124999995,-9.914630725,8.634202187499998,,21.187094581041666,42.03494000000001,353.79521875000006,139.47585543395832,18.713282860416665,128.06909691666667,-10.972697808333338,33.669141306250005,276.12818541666667,-12.030764891666667,1.554976,17.15675,,,,,,156.89434017196004,52.38242416666667,51.59443093333334,,0.9945524930689588,1.0054773448048293,33.85355880246686,1.0152728350536808,52.66934076554033,18.815781963073466,0.6517850888405754,0.6553551405108015,4.1,2.5,0.0,0.2621420562043206,0.32586100849179706,0.8146525212294926,False,
2017-12-24,42.93861501249999,1.7545676604166662,-6.158285791666668,10.821241583333334,,23.052148634375,34.366911249999994,362.16794374999984,148.73289263958333,20.640277019791665,124.3642400625,-7.412852898958333,32.38657951458333,279.4258166666666,-8.667420006249998,2.695795,20.10671,,,,,,157.02329030860557,53.026856534375,50.35146791145832,,1.002970970760013,0.9970378297611528,32.290644952607174,1.0531342726218285,52.86978195808925,20.579137005482078,0.7204020194634404,0.7182680660413805,3.1000001,1.9,0.0,0.37803582897603005,0.3156524022764044,0.5997395567994286,False,
2017-12-25,41.484397395833334,1.6166884875000005,-5.542052187499999,10.474503979166668,,22.93086553125,38.52000229166666,362.9928208333334,148.14263870833332,19.17389195,144.8928270625,-6.716382229166666,37.15107470916666,279.2654395833334,-7.890712270833338,2.346295,21.19976,,,,,,157.18997188193916,56.32496665916666,48.200779625,,1.002970970760013,0.9970378297611528,37.04102690132199,1.1685488719761896,56.158122519224825,19.11709561790284,0.6689999344924462,0.667018242796702,2.6000001,1.6,0.0,0.4168863955358473,0.30238442231240603,0.4838150829092561,False,
2017-12-26,30.146242979166654,1.3530078354166666,-6.118854237500004,11.035742854166665,,16.91244203958333,38.925492708333344,364.3956604166669,111.17468232083333,13.336383123749998,120.22863614583328,-6.857107650000002,22.057607385416674,300.2796666666667,-7.595361062499994,3.096474,19.57389,,,,,,157.39433827396243,35.39399050916667,37.003350629166654,,0.9945524930689588,1.0054773448048293,22.178424506636148,0.9565077190947281,35.587855599204225,13.409431092568084,0.4655714300490744,0.4681215253027306,3.1000001,1.9,0.0,0.2463797532509904,0.29965587492459805,0.5693461552123835,False,
2017-12-27,46.36495416666665,1.4064764354166668,-0.9665640749999972,13.273502833333335,,23.07165918541667,39.09621020833333,376.5866708333333,148.01087383124997,16.406495377083335,128.69040489583332,-2.2528722249999995,32.35577315520833,298.01242291666665,-3.5391803750000017,5.829791,23.67744,,,,,,157.63632935558286,48.76226853229167,48.617826391666654,,0.9945524930689588,1.0054773448048293,32.53299688120625,1.002970970760013,49.02935629050871,16.496359409302453,0.5739739387128615,0.5771177918841778,3.5,2.1000001,0.0,0.2748179774148337,0.3009137444164329,0.6319189063205655,False,
