date,rh,sw_in,sw_out,H,Rn,theta_1,ws,t_avg,G,LE,wd,t_min,t_max,Rn_subday_gaps,H_subday_gaps,LE_subday_gaps,G_subday_gaps,rso,flux,energy,ebc_cf,ebr_5day_clim,flux_corr,LE_corr,ebr_corr,ebr,H_corr,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,ET_fill_val
2006-01-01,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,155.59127582229115,,,0.9338405949059048,1.0708465721612386,,,1.0708465721612386,,,,,3.6000001000000004,2.3,8.6,,,,False,
2006-01-02,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,156.06599424954894,,,0.9376759254826628,1.0664665401164652,,,1.0664665401164652,,,,,3.9,2.5,43.2,,,,False,
2006-01-03,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,156.5783421017906,,,0.9418608230770964,1.0617279915443991,,,1.0617279915443991,,,,,2.8,1.9,3.0,,,,False,
2006-01-04,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,157.12815465836655,,,0.9424973342625488,1.0610109584898124,,,1.0610109584898124,,,,,5.3,3.3,0.0,,,,False,
2006-01-05,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,157.71525329698915,,,0.9417401664850528,1.061864021083858,,,1.061864021083858,,,,,8.3,5.0,0.4,,,,False,
2006-01-06,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,158.33944537231477,,,0.9409842142926228,1.062717083677904,,,1.062717083677904,,,,,8.7,5.2000003,0.0,,,,False,
2006-01-07,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,159.00052409300181,,,0.9402294747602904,1.0635701462719491,,,1.0635701462719491,,,,,4.3,2.7,0.0,,,,False,
2006-01-08,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,159.69826839835494,,,0.9418647660871928,1.061723546740494,,,1.061723546740494,,,,,4.8,3.0,0.0,,,,False,
2006-01-09,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,160.43244283569877,,,0.943505755675966,1.0598769472090388,,,1.0598769472090388,,,,,6.4,3.9,0.0,,,,False,
2006-01-10,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,161.20279743965392,,,0.946162608437027,1.056900781200715,,,1.056900781200715,,,,,5.1,3.2,0.0,,,,False,
2006-01-11,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,162.0090676145052,,,0.9509985787667109,1.0515262822966946,,,1.0515262822966946,,,,,4.0,2.6000001,0.0,,,,False,
2006-01-12,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,162.85097402086862,,,0.9558842377126155,1.0461517833926746,,,1.0461517833926746,,,,,2.6000001,1.8000001,0.0,,,,False,
2006-01-13,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,163.72822246786822,,,0.958282022123744,1.0435341339116435,,,1.0435341339116435,,,,,3.8,2.5,0.0,,,,False,
2006-01-14,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,164.6405038120377,,,0.9603610948885396,1.041275000957906,,,1.041275000957906,,,,,2.9,1.9,0.0,,,,False,
2006-01-15,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,165.58749386415252,,,0.9644070770196806,1.036906534417305,,,1.036906534417305,,,,,3.9,2.5,4.2000003,,,,False,
2006-01-16,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,166.56885330519026,,,0.9699622364008598,1.0309679722280718,,,1.0309679722280718,,,,,4.9,3.1000001,0.0,,,,False,
2006-01-17,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,167.58422761259467,,,0.9768150268306376,1.0237352748806374,,,1.0237352748806374,,,,,5.4,3.4,0.0,,,,False,
2006-01-18,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,168.63324699800032,,,0.9837653362638288,1.0165025775332028,,,1.0165025775332028,,,,,3.5,2.4,0.0,,,,False,
2006-01-19,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,169.71552635753932,,,0.9888097903541428,1.0113168475423868,,,1.0113168475423868,,,,,4.5,2.9,0.0,,,,False,
