date,H_qc_flag,vpd,vp,Rn_qc_flag,rh,LE_qc_flag,G,lw_out,sw_out,t_avg,es,LE,sw_in,t_avg_qc_flag,vpd_qc_flag,wd,G_qc_flag,t_dew,Rn,ws,lw_in,H,t_min,t_max,H_subday_gaps,Rn_subday_gaps,G_subday_gaps,LE_subday_gaps,ppt,rso,flux,energy,ebr_5day_clim,LE_corr,flux_corr,ebr_corr,H_corr,ebr,ebc_cf,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,ET_fill_val,ASCE_ETo
2016-10-04,1.0,,,0.043478260869565216,,1.0,,,,,,,,1.0,1.0,,0.043478260869565216,,,,,,17.777402,22.500425,,,,,,234.99935444283417,,,0.8939283816813571,96.99818056546587,,0.8939283816813571,,,1.1186578483156968,,3.4154010550482328,9.7,6.3,0.0,,0.5421271515949576,3.4154010550482328,True,3.4154010550482328,
2016-10-05,1.0,0.7102307458333335,1.3462508993281446,0.4375,66.95183646849706,1.0,,,,17.752434458333337,2.056481645161477,67.45811604166663,,1.0,1.0,,0.4375,11.140256583662081,,,,16.523304812500005,14.074799,22.115369,0.0,1.0,1.0,0.0,,232.94777875047376,83.98142085416663,,0.8892097291868791,75.86299815157491,94.44500897551113,0.8892097291868791,18.582010823936244,,1.1245940830116996,2.37014079036329,2.6654463087472293,7.2000003,4.9,0.0,0.5439686344382101,0.5868107106222369,2.8753724820489617,False,,
2016-10-06,1.0,0.9651524104166668,1.339194641681553,0.0,59.18165462534432,1.0,-8.702126458333334,34.39681039166667,34.39681039166667,19.619468687499992,2.3043470520982194,72.56199999999997,219.66616270833333,1.0,1.0,217.59114583333331,0.0,11.07381245246416,115.14641666666668,,-77.90966875000002,11.779761979166672,16.654497,23.564097,0.0,0.0,0.0,0.0,0.0,230.90010808574317,84.34176197916666,123.848543125,0.8839757203871403,82.08596494960426,95.41185355433615,0.8839757203871403,13.325888604731906,0.681007300134655,1.1312527900223848,2.5540440295833844,2.8892694343062173,9.5,6.2000003,0.0,0.4660111765327201,0.6105049602029704,3.785130936409905,False,,
2016-10-07,1.0,0.9768080437499996,1.3320317352657047,0.0,58.17447927674355,1.0,-5.591738125000003,29.3514203125,29.3514203125,19.72495535416667,2.3088397790157043,56.8617395833333,187.12332733333332,1.0,1.0,179.66779354166673,0.0,10.989727996998,84.40712291666667,,-85.125825,13.406350895833334,17.33555,22.568809,0.0,0.0,0.0,0.0,0.0,228.85714189799683,70.26809047916663,89.99886104166669,0.8776428746337036,64.7891542525943,80.06455986837926,0.8776428746337036,15.275405615784967,0.7807664415512402,1.1394156198412295,2.001627889241493,2.2806860821115884,5.5,3.7,0.0,0.6164016438139428,0.5859013438287652,2.1678349721664314,False,,
2016-10-08,1.0,0.9842255020833336,1.4634654315530795,0.0,60.62357358404372,1.0,0.4482409166666669,33.55492490333333,33.55492490333333,20.5572475625,2.4476909336364137,69.5244875,217.09794079166662,1.0,1.0,192.99941666666663,0.0,12.353189921883613,96.52982499999996,,-101.68585687499996,14.200680999999996,18.345762,25.749729,0.0,0.0,0.0,0.0,0.0,226.8196815044056,83.72516850000001,96.08158408333333,0.8712292888996196,79.80044792549484,96.10003883793509,0.8712292888996196,16.29959091244022,0.8713966292165171,1.1478034688928105,2.449338661397994,2.8113594120458907,5.8,3.9,1.8000001,0.7208613877040746,0.5683277412880932,2.2164781910235627,False,,
2016-10-09,1.0,1.0031083708333337,1.5282150298365045,0.0,61.21726300930235,1.0,-2.1151583333333304,32.10247925833332,32.10247925833332,21.1324361875,2.5313234006698386,68.2587083333333,207.9876899375,1.0,1.0,204.88514583333335,0.0,13.028405583231573,90.64758958333331,,-101.03466583333336,10.410703166666668,19.064231,25.880625,0.0,0.0,0.0,0.0,0.0,224.7885294313862,78.66941149999997,92.76274791666664,0.8641895515421755,86.03588631829311,99.15793471344898,0.7933748491973168,13.122048395155852,0.8480711629055294,1.2604382417866316,2.4060777601944343,3.032712421661389,6.5,4.3,0.0,0.7052819585259045,0.6938020619717566,2.983348866478553,False,,
2016-10-10,1.0,0.9362871583333328,1.4868729727902474,0.0,61.9839593053171,1.0,-1.4692504375000002,29.455319817916664,29.455319817916664,20.486359395833333,2.4231601311235806,63.64349999999996,191.32860629166663,1.0,1.0,215.6703875,0.0,12.636392548007867,87.24785833333333,,-85.6558375,5.66390720833333,18.825874,25.749729,0.0,0.0,0.0,0.0,0.0,222.7644887550249,69.30740720833329,88.71710877083332,0.8577141556098578,81.46701109571505,88.71710877083332,0.7812180555541145,7.250097675118308,0.7812180555541145,1.28005233992026,2.2419992319858904,2.8698763630029647,9.7,6.2000003,0.0,0.4628832619577397,0.8316168922580699,5.156024981485102,False,,
2016-10-11,1.0,0.8789605395833333,1.4243362248811129,0.0,62.49014493801591,1.0,-4.646685208333333,31.36567469166667,31.36567469166667,19.667576354166666,2.3032967644644464,67.78374999999997,199.66081166666663,1.0,1.0,304.76520833333336,0.0,11.994890443093778,87.76571333333334,,-84.74767229166662,8.77256,17.777402,22.575879,0.0,0.0,0.0,0.0,0.0,220.74836244182376,76.55630999999997,92.41239854166668,0.8503949301759487,86.79183452283394,98.02441719731907,0.7809922485526773,11.232582674485148,0.8284203332898284,1.2804224393432642,2.385969144259727,3.0550484318908,10.2,6.6,0.3,0.4628861260440607,0.7878974768053256,5.200123346915149,False,,
2016-10-12,1.0,0.8538330083333333,1.3587003392004628,0.0,62.23444429497375,1.0,-4.588349999999998,30.98654494791667,30.98654494791667,19.00126658333333,2.212533347533795,69.48991666666663,201.51970062500004,1.0,1.0,296.1194000000001,0.0,11.290465179430747,92.71808749999998,,-84.16851583333334,8.893497791666663,16.984548999999998,22.150761,0.0,0.0,0.0,0.0,0.0,218.7409526910864,78.3834144583333,97.3064375,0.8426319881954408,88.9507304300305,100.33487308832909,0.7812180555541145,11.384142658298574,0.8055316428405191,1.28005233992026,2.444459055859701,3.1290355342924796,3.0,2.2,0.0,1.4222888792238544,0.7422970049893369,1.633053410976541,False,,
2016-10-13,1.0,0.9335879104166666,1.3422337945492575,0.0,60.02872041448507,1.0,-6.306687708333333,23.19856123979167,23.19856123979167,19.425957916666672,2.275821704965925,48.38207666666668,150.55720885416662,1.0,1.0,162.69753541666662,0.0,11.103630318701997,59.03760416666666,,-76.60935770833333,0.3792185208333325,16.662495,24.24288,0.0,0.0,0.0,0.0,0.0,216.74306028026155,48.76129518750001,65.344291875,0.8344970613441229,60.98261964771935,61.46060117337145,0.7933748491973168,0.4779815256520927,0.7462211891557057,1.2604382417866316,1.7026399324122214,2.1460724828053697,1.9,1.5,0.0,1.430714988536913,0.6735638460537045,1.0103457690805566,False,,
