date,rh,H,sw_in,g_2,vp,theta_1,g_3,lw_out,g_1,ws,es,LE,wd,sw_out,G,vpd,Rn,lw_in,t_avg,t_dew,t_min,t_max,Rn_subday_gaps,G_subday_gaps,H_subday_gaps,ppt,LE_subday_gaps,ASCE_ETo,rso,flux,energy,ebc_cf,ebr_5day_clim,flux_corr,LE_corr,ebr_corr,ebr,H_corr,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,ET_fill_val
2013-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.74726104293092,,,0.7826018165309102,1.2777890095281976,,,1.2777890095281976,,,,,2.2,1.5,0.0,,,,False,
2013-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.12387601659054,,,0.7799915771662218,1.28206512643776,,,1.28206512643776,,,,,1.8000001,1.3000001,0.0,,,,False,
2013-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.53003031725189,,,0.7858533922942958,1.2725019829468496,,,1.2725019829468496,,,,,5.6,3.6000001000000004,0.0,,,,False,
2013-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.96520351395756,,,0.7896538287568372,1.2663777006872918,,,1.2663777006872918,,,,,5.4,3.5,0.4,,,,False,
2013-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.42886021771545,,,0.7929212748280335,1.2611592496580155,,,1.2611592496580155,,,,,4.5,2.9,8.6,,,,False,
2013-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.92045021462204,,,0.8002651681967564,1.2495858119794312,,,1.2495858119794312,,,,,3.3,2.1000001,0.0,,,,False,
2013-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.4394086229381,,,0.8079933711429217,1.2376339159632972,,,1.2376339159632972,,,,,2.4,1.6,0.3,,,,False,
2013-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.98515607442314,,,0.8159519748370189,1.2255623257725965,,,1.2255623257725965,,,,,2.7,1.8000001,0.0,,,,False,
2013-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.5570989201516,,,0.822277986428162,1.2161337364068725,,,1.2161337364068725,,,,,2.7,1.8000001,0.0,,,,False,
2013-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.15462946095462,,,0.8268244776720229,1.2094465355156925,,,1.2094465355156925,,,,,3.9,2.5,0.0,,,,False,
2013-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.7771262025476,,,0.8324064873893806,1.2013361442391342,,,1.2013361442391342,,,,,3.6000001000000004,2.4,0.0,,,,False,
2013-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183.4239541353262,,,0.8384276253930839,1.192708791687494,,,1.192708791687494,,,,,3.6000001000000004,2.4,16.1,,,,False,
2013-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185.09446503873184,,,0.8421555487037591,1.1874290937573162,,,1.1874290937573162,,,,,2.8,1.9,26.1,,,,False,
2013-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186.78799781000782,,,0.8428167283854162,1.1864975697809177,,,1.1864975697809177,,,,,3.7,2.4,0.0,,,,False,
2013-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188.50387881709202,,,0.8488403978223819,1.17807776652172,,,1.17807776652172,,,,,2.8,1.9,0.0,,,,False,
2013-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.24142227531382,,,0.860319135981115,1.162359359657381,,,1.162359359657381,,,,,4.1,2.7,3.1000001,,,,False,
2013-02-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191.99993064748952,,,0.8707337880915151,1.1484566393039741,,,1.1484566393039741,,,,,4.4,2.9,0.4,,,,False,
2013-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193.77869506693457,,,0.8721977545736571,1.1465289778105592,,,1.1465289778105592,,,,,2.2,1.5,13.1,,,,False,
2013-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195.57699578284576,,,0.8725983882768077,1.1460025751076424,,,1.1460025751076424,,,,,2.7,1.9,0.0,,,,False,
2013-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197.39410262743027,,,0.875168536506691,1.1426370559339167,,,1.1426370559339167,,,,,2.8,2.1000001,0.0,,,,False,
2013-02-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199.2292755040982,,,0.8757311597771477,1.1419029559876297,,,1.1419029559876297,,,,,2.7,1.8000001,3.2,,,,False,
2013-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201.0817648959673,,,0.8768126437785971,1.1404945025547657,,,1.1404945025547657,,,,,2.5,1.7,0.0,,,,False,
2013-02-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202.9508123938676,,,0.8771880717625853,1.1400063819730717,,,1.1400063819730717,,,,,3.5,2.4,0.0,,,,False,
2013-02-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204.8356512429764,,,0.8782252154463362,1.1386600867429828,,,1.1386600867429828,,,,,4.5,2.9,3.8,,,,False,
2013-02-20,,,,,,,,,,,,,,,,,,,,,0.25647,8.255394,0.0,13.0,6.0,,5.0,,206.7355069071546,,,0.8790465715130826,1.13759615520566,,20.28652379162269,1.13759615520566,,,,0.7143083958611615,3.1000001,2.1000001,0.0,,0.34014683897451314,0.7143083958611615,True,0.7143083958611615
2013-02-21,56.02543804166667,,218.27355914583333,,0.4637744763789246,,,338.86986666666667,,1.5152268958333333,0.8528418766205914,48.86938144791668,206.26365891666663,27.7592788125,,0.3890674002416666,96.37423339583331,244.72983541666667,4.308549541666667,-4.1797788029111835,-2.144727,10.151598,0.0,48.0,7.0,0.0,4.0,1.8456820198249992,208.64959765000611,,,0.877972951527538,1.138987252694008,,42.90599506915253,1.138987252694008,,,1.6951453010960964,1.4882917232713773,3.2,2.2,0.0,0.676496237850626,0.34014683897451314,0.7483230457439289,False,
2013-02-22,71.6237086875,,61.531825229166664,,0.6743590505063373,,,341.66534166666673,,1.7168399791666669,0.9113363865646704,,69.05670135416668,6.728987395833332,,0.23697733605833346,41.98269302083335,328.84519791666673,5.500201541666668,0.8008050570458446,1.864061,9.009305,0.0,48.0,4.0,1.778,7.0,1.0390248371585014,210.5771351316279,,,0.8709878880281551,1.1481215912932128,,23.151965294394287,1.1481215912932128,,,,0.8039865459001643,2.7,1.8000001,2.3,,0.4466591673523597,0.8039865459001643,True,0.8039865459001643
2013-02-23,95.19456270833336,5.98141453125,23.8357656875,,1.0866998207213754,,,352.36428333333333,,1.356079833333334,1.1331172032359589,0.17667721875000128,246.6423153541666,1.4927295416666668,,0.04641738251458333,20.75650625,350.77775416666674,8.784670770833333,7.97540044386605,6.532095,10.141674,0.0,48.0,10.0,38.35399999999999,15.0,0.2555019972470134,212.51732501997355,6.158091750000001,,0.8638170543174015,1.157652531866498,5.319464675701293,0.15261679466561728,1.157652531866498,,5.166847881035676,0.006154562602334382,0.005316416137760527,2.1000001,1.4,16.4,0.0037974400984003773,0.3884214828105827,0.5437900759348158,False,
2013-02-24,86.83521258333332,21.021941520833327,123.76759452083336,,1.0520044167238818,,,358.4292416666669,,1.4460605624999998,1.2233526098926322,,233.81831725,14.634178937500002,,0.17134819316875002,70.63851754166667,319.93433958333327,9.661709708333333,7.456426901458534,3.26181,15.218758,0.0,48.0,8.0,6.35,13.0,1.324225294953524,214.4693676157087,,,0.8661819623123017,1.1544918314051087,,38.10339144639647,1.1544918314051087,,18.208826558129864,,1.328443236175011,3.5,2.6000001,1.4,,0.5109396865696316,1.328443236175011,True,1.328443236175011
2013-02-25,66.29476575000001,9.008675239583333,117.6052347708333,,0.5704986143008649,,,332.99554166666667,,2.1773344791666664,0.8415339076071149,45.9265416875,26.879759187500003,13.591161458333332,,0.27103529330625004,38.06786420833332,267.04933125,4.4058814375000015,-1.2290639823633285,1.221641,6.762038,0.0,48.0,2.0,0.0,3.0,1.3213820685153634,216.43245848939446,54.93521692708333,,0.8695233505524449,1.1500553715603583,47.76745388576289,39.93420040740153,1.1500553715603583,,7.833253478361349,1.5932132193058772,1.3853360965952934,2.8,2.1000001,0.0,0.6596838241080529,0.469550548749383,0.9860561993287592,False,
2013-02-26,90.62205397916668,-15.855508208333333,18.403987937499995,,1.3795630904904153,,,359.861625,,3.2092463541666683,1.4877305782612489,17.525778825000007,91.15964985416666,1.8218779374999996,,0.10816748777083332,4.689390916666663,347.9689083333333,11.713594333333333,10.148298852188336,0.99944,20.821866,0.0,48.0,7.0,72.902,13.0,0.5974464009666299,218.40578912980016,1.6702706166666754,,0.8726802573616639,1.1458950647322494,1.4576121916162992,15.294401175464607,1.1458950647322494,,-13.836788983848304,0.612218585737653,0.5342710729631289,4.0,2.5,24.800001,0.2137084291852516,0.510428183597685,1.276070458994213,False,
2013-02-27,75.8650934166667,20.453268541666667,188.57336191666664,,1.1820364356747155,,,367.8858166666667,,2.510833354166667,1.5320439186122163,81.66600599791667,228.20892760416658,22.30388366666666,,0.3500074829375,96.0577277083334,297.67406249999993,13.060000895833335,8.967173297540947,7.680053,20.18937,0.0,48.0,4.0,0.0,11.0,2.4632461446558502,220.38854760211044,102.11927453958332,,0.8760935331092443,1.1414306374925671,89.46603602993645,71.54705972963555,1.1414306374925671,,17.918976300300912,2.856465844614921,2.5025312540145683,3.3,2.5,0.0,1.001012501605827,0.6807717077926998,1.7019292694817496,False,
2013-02-28,70.93406724999998,,110.53273366666666,,0.7309087589307399,,,340.79875833333324,,1.7948774583333331,1.0449924442015734,,249.0998908541667,13.742672958333335,,0.31408368527083336,54.80810952083333,298.8168083333333,7.396602687500002,2.1585372834056167,2.79333,11.41291,0.0,48.0,12.0,0.0,19.0,1.4351521251116408,222.37991921476168,,,0.8727568650407445,1.145794481895385,,48.21564720282421,1.145794481895385,,,,1.6773788970966297,3.6000001000000004,2.5,0.0,,0.670951558838652,1.6773788970966297,True,1.6773788970966297
