date,lw_in,theta_1,es,sw_out,vpd,H,vp,Rn,rh,ws,LE,wd,t_avg,sw_in,t_dew,lw_out,G,t_min,t_max,H_subday_gaps,G_subday_gaps,LE_subday_gaps,Rn_subday_gaps,rso,flux,energy,flux_corr,ebr,ebr_corr,LE_corr,ebc_cf,ebr_5day_clim,H_corr,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,ET_fill_val,ASCE_ETo
2018-05-03,,,,,,,,,,,,,,,,,,20.757,29.752,,,,,335.44164686265765,,,,,,,,,,,,7.1,5.3,0.6,,,,False,,
2018-05-04,-25.965333333333326,,2.8104340109327044,14.22275,0.3978976520833333,8.646965625000002,2.4125363588493705,55.41264583333333,86.732975,5.035615625,34.884603645833344,222.5679375,22.89277083333333,96.14489583333332,20.09715101506586,0.01418749999999961,8.235209375000002,18.982,25.779,1.0,0.0,1.0,0.0,336.58743396927093,43.53156927083334,47.17743645833333,,0.9227201081449184,,,,,,1.231749544530576,,4.7000003,3.8,5.5,,,,False,,2.154760087818285
2018-05-05,-41.63695833333335,,,28.01312500000001,,8.992744166666666,2.236993251170023,129.48327083333336,,1.8537089583333335,54.55592625000001,,21.52440625,208.23341666666667,,8.291291666666666,7.883644208333334,18.061,26.673,2.0,0.0,4.0,0.0,337.7082850378282,63.54867041666667,121.59962662500004,,0.522605802176053,,,,,,1.9237894118543448,,5.1,4.1,1.6,,,,False,,3.537157985146289
2018-05-06,-72.13229166666666,,3.0921031195981694,49.14374999999999,1.445575625,44.36806458333333,1.6465274945981696,166.15739583333334,63.44566875,2.0291218749999995,67.55466677083335,245.0001958333333,23.6015,304.7191666666667,13.895203590120568,16.133062499999998,10.61575625,15.185,32.885,7.0,0.0,7.0,0.0,338.8041460242726,111.92273135416669,155.54163958333334,,0.7195676453841333,,,,,,2.3869375726151545,,7.5,5.9,5.5,,,,False,,5.874456169072115
2018-05-07,-75.95229166666667,,3.0810094052150285,51.80204166666666,1.2624366208333335,40.39983999999999,1.8185727843816952,187.10008333333332,64.36947916666666,2.677533541666667,67.00995729166665,87.51221458333332,23.86339583333334,334.1083124999999,15.613506720938625,18.04370833333334,11.599866666666665,16.102999999999998,31.689,0.0,0.0,1.0,0.0,339.8749722974237,107.40979729166664,175.50021666666663,,0.6120208814082186,,,,,,2.3682899909584485,,8.0,6.1,0.0,,,,False,,6.234104520027967
2018-05-08,-77.55374999999998,,3.336895231034976,50.61277083333334,1.6841804166666672,53.8008059375,1.652714814368308,165.95160416666667,54.16833333333333,2.8583302083333333,55.69260385416666,112.02175,25.01541666666667,315.88441666666665,14.179591702897172,20.408500000000004,9.362131458333332,16.57,32.9,2.0,0.0,2.0,0.0,340.9207282003181,109.49340979166666,156.58947270833337,134.99699271376298,0.6992386390853442,0.8110803625368743,68.66471736533346,1.232923451471847,,66.33227534842953,1.9705003928177696,2.4294761454395153,8.0,6.2000003,0.0,0.3918509731177504,,,False,,6.579993554918765
2018-05-09,-67.13166666666666,,3.6668585084557823,39.18866666666667,1.956236875,48.76639374999999,1.7106216334557824,128.28516666666664,49.73937500000003,6.901760000000002,68.93018333333333,206.20316666666668,27.05204166666667,240.0354166666667,14.686757113629286,4.21375,9.065280416666663,21.615,33.033,0.0,0.0,0.0,0.0,341.9413866101586,117.69657708333332,119.21988624999996,138.9661474331996,0.9872226923327848,0.8469442325146814,81.38692098849431,1.1807152839696151,,57.5792264447053,2.443680691320484,2.8852911413835303,9.5,6.8,0.0,0.4243075088901905,0.6469681847622731,4.399383779782847,False,,8.40073722761437
2018-05-10,-63.85375000000001,,3.703416148986765,40.26322916666667,2.00143625,55.50871458333333,1.7019798989867667,132.24266666666668,49.455625,4.7186547916666655,43.41745041666668,225.2880208333333,27.039791666666652,248.0465,14.652812158174367,10.466833333333335,15.439031666666665,20.686,35.05,0.0,0.0,0.0,0.0,342.93692849796867,98.926165,116.803635,118.6570849418343,0.8469442325146814,0.8337147760581983,52.07710318143128,1.1994509737826622,,66.57998176040303,1.5391969240226675,1.8461912493622663,8.400001,6.3,0.0,0.2930462211854183,0.7853568357504913,4.947748215023023,False,,7.8044041089766
2018-05-11,-80.68958333333333,,3.7735891097147034,56.300291666666666,2.0918481249999994,89.96715208333332,1.6817409847147025,182.4933541666668,48.99104166666667,6.145444583333334,64.34953229166668,199.6568125000001,27.34747916666667,333.5333958333334,14.463940508792426,12.713791666666667,13.264180624999995,19.941,34.361,0.0,0.0,0.0,0.0,343.90734248901106,154.316684375,169.22917354166682,187.7231095417068,0.9118799149427086,0.8220441518987048,78.27989791428631,1.2164796716700244,,109.44321162742048,2.2819427002204877,2.775936906734028,9.900001,7.4,0.0,0.3751266041836712,0.8595681294154142,6.3608042396488695,False,,9.162263657599166
2018-05-12,-73.11645833333334,,3.799706990819197,53.5090625,1.8696316666666664,59.0097375,1.9300753241525308,177.50277083333333,53.55916666666664,5.191644583333334,106.71069604166664,196.60575000000003,27.646145833333332,319.42404166666677,16.604107289660362,14.139229166666668,12.466950000000002,22.272,33.843,0.0,0.0,0.0,0.0,344.85262442500857,165.7204335416666,165.03582083333333,201.78686156575824,1.0041482673572102,0.8212647357502101,129.93458917262336,1.2176341640756296,,71.85227239313484,3.7852363732990266,4.609033127230627,6.9,5.3,0.0,0.8696288606343557,0.9432575558493166,4.999265225913478,False,,8.253468673572291
2018-05-13,-62.97791666666666,,3.729000088722761,21.343000000000004,1.6131172916666665,-7.657270000000002,2.115882797056094,206.08529166666665,60.279375,3.3712425000000006,162.520199375,197.11924999999997,27.232833333333332,277.93958333333336,18.032581961361014,-13.494291666666667,6.317961041666666,20.728,33.581,6.0,0.0,6.0,0.0,345.77277692915925,154.862929375,199.76733062499997,188.38760547995813,0.7752164925590672,0.8220441518987048,197.7025187754469,1.2164796716700244,,-9.314913295488731,5.762599549305282,7.010085207704718,8.3,6.6,0.0,1.0621341377269278,0.9648013506052256,6.367688821983862,False,,6.418725616429034
2018-05-14,-57.61395833333332,,3.9438886531304593,26.164916666666656,1.5929360416666665,-7.814426562500002,2.3509526114637915,196.48929166666665,62.431145833333346,2.937403958333334,167.92766651041666,210.18614583333337,28.289687500000007,270.60324999999995,19.669415775896198,-10.608770833333336,12.055268541666665,22.202,34.732,2.0,0.0,2.0,0.0,346.66780897491304,160.11323994791667,184.43402312499995,194.77450156186543,0.8681328815313002,0.8220441518987048,204.280592620905,1.2164796716700244,,-9.50609105903952,5.960439741187472,7.2507537793687025,8.5,6.7000003,0.0,1.0822020104101826,0.9507993873060164,6.3703561669761966,False,,6.241293361828639
2018-05-15,-57.16791666666666,,3.848784783102573,30.59739583333334,1.6825004166666675,3.050628854166668,2.1662843664359066,222.05904166666676,60.25083333333331,2.3607922916666664,180.3679000520834,189.21800041666665,27.80364583333333,301.77877083333334,18.40798336734048,-8.691041666666669,10.50303,21.487,34.553000000000004,8.0,0.0,8.0,0.0,347.53773545942505,183.4185289062501,211.55601166666676,219.79605205067713,0.8669974795859224,0.8344941922066931,216.14038987512646,1.1983306886242695,,3.6556621755506096,6.398977880064832,7.66809156950956,7.3,6.0,0.0,1.2780152615849267,0.942212480159152,5.653274880954911,False,,6.398483741802152
2018-05-16,-43.95204166666667,,3.5312658247702284,29.48664583333333,1.1078561875,20.038518229166673,2.423409637270228,157.58327083333333,72.12311458333333,1.951413125,65.16157760416665,166.23539166666666,26.417999999999992,230.6043125,20.166099279476,-0.8197916666666666,9.140915,21.558000000000003,33.545,2.0,0.0,2.0,0.0,348.3825767825642,85.20009583333331,148.44235583333332,102.09788951081207,0.5739608170123187,0.8344941922066931,78.0851181622448,1.1983306886242695,,24.01277134856728,2.308659778439549,2.7665378620966177,6.4,5.2000003,8.1,0.5320264826697346,0.9543097500799512,4.962410973445957,False,,4.952051399815483
2018-05-17,-33.89704166666665,,2.8299962252612634,15.239875,0.2803896666666667,14.209026458333335,2.5496065585945957,113.74685416666664,92.11237083333332,2.4918466666666665,79.97041958333331,117.22794895833336,22.92602083333333,166.01835416666668,20.98632314346712,2.5785,-1.0381929166666668,20.264,29.054,1.0,0.0,1.0,0.0,349.20235843230654,94.17944604166668,114.78504708333332,114.56738159883145,0.8204853196017152,0.8220441518987048,97.28238975804743,1.2164796716700244,,17.284991840784024,2.8237869404276497,3.4350794101575297,4.7000003,3.9,14.3,0.8807895708099719,0.9327448725505559,3.637705091900652,False,,3.3572920093511422
2018-05-18,-36.044500000000006,,2.9558341164524826,14.625729166666673,0.4392268187500001,11.046335000000001,2.5166072977024827,121.14981250000004,87.60854166666668,1.3741854166666665,80.81734541666667,177.1436300000001,23.593291666666666,173.66972916666668,20.760447887087995,1.1113124999999997,9.399512708333333,19.425,28.768,0.0,0.0,0.0,0.0,349.99711057729553,91.86368041666668,111.75029979166669,111.75029979166672,0.8220441518987048,0.8220441518987048,98.31265781770959,1.2164796716700244,,13.437641973957096,2.8555307673643,3.473695130326976,4.4,3.9,0.0,0.8906910372779641,0.9433401019424034,3.679026487539296,False,,3.215430721012057
2018-05-19,-41.96966666666667,,,21.322270833333327,,-18.489396041666673,2.7099523704523367,147.40631250000004,,3.4265858333333337,,,24.262416666666667,211.98860416666665,,0.4222708333333333,5.2280516666666665,20.197,32.483000000000004,3.0,0.0,4.0,0.0,350.76686766729966,,142.17826083333338,,,0.8220441518987048,124.00513492252104,1.2164796716700244,,-22.491974426143727,,4.384323609377395,6.2000003,5.1,15.900001000000001,,0.8596713120317725,4.384323609377395,True,4.384323609377395,4.543524278231216
2018-05-20,-37.82989583333333,,,25.632729166666664,,,,138.85772916666664,,,,,,204.482125,,1.6463541666666668,8.994495541666668,20.141,34.021,3.0,0.0,5.0,0.0,351.51166804224727,,129.86323362499996,,,0.8204853196017152,155.20922236348758,1.2187908498904354,,,,5.46506891905767,6.6,5.6,53.600002,,0.9759051807370072,5.46506891905767,True,5.46506891905767,
2018-05-21,-29.62102083333333,,,24.091604166666666,,-16.17428666666667,2.8328485023692305,166.82675,,2.696940625,110.64296593750002,,26.219,225.86229166666664,,4.9214375000000015,13.847195416666667,21.056,35.352,7.0,0.0,8.0,0.0,352.23155355046316,94.46867927083336,152.97955458333334,114.91922794248418,0.6175248681311393,0.8220441518987048,134.5949188762477,1.2164796716700244,,-19.675690933763523,3.9192998426215486,4.767748585728639,4.9,4.2000003,0.0,1.13517815736942,1.0076103840460189,4.231963901272922,False,,5.091301883860007
2018-05-22,-47.60554166666666,,,29.22868750000001,,,2.925876858338248,184.22447916666667,,1.1138589583333334,,,25.90527083333333,263.4098541666666,,1.805375,22.084220833333333,21.246,33.388000000000005,12.0,0.0,12.0,0.0,352.92656917667773,,162.14025833333332,,,0.8212647357502101,130.93244977992816,1.2176341640756296,,,,4.6366050770610405,5.4,4.6,4.6,,1.0079576463450808,4.6366050770610405,True,4.6366050770610405,4.849409974926422
2018-05-23,-50.05604166666668,,3.448874965019479,26.641500000000004,0.5425201708333333,12.549864999999995,2.9063547941861447,174.8956458333334,87.291625,1.5929543749999997,110.96118624999997,130.09849624999998,26.09349999999999,253.65420833333332,23.06760509730286,1.3498750000000002,17.07665270833333,21.528,32.634,3.0,0.0,3.0,0.0,353.59676268032365,123.51105124999997,157.8189931250001,150.39127564289598,0.7826120849229685,0.8212647357502101,135.11013126435896,1.2176341640756296,,15.281144378536998,3.9300947093115584,4.7854175861106345,5.4,4.8,0.0,0.9969619574906732,0.9832709067422444,4.719700539906816,False,,4.735113345238626
2018-05-24,-40.50687500000001,,3.4705645829068184,26.97702083333334,0.5346196604166668,16.11967447916667,2.9359449224901533,170.00408333333334,87.55107291666668,1.2917460416666666,,180.66579375,26.22631249999999,240.46343750000003,23.21192578256409,2.2745208333333333,15.929603541666665,22.172,33.731,5.0,0.0,6.0,0.0,354.242184244581,,154.07447979166668,,,0.8247072663325425,116.84416162924863,1.2125514601647454,,19.545934827093927,,4.1389937620024755,5.1,4.5,1.8000001,,0.9197763915561058,4.1389937620024755,True,4.1389937620024755,4.647766390941691
