date,Rn,ws,g_1,t_avg,rh,theta_1,LE,wd,G,H,g_2,t_min,t_max,Rn_subday_gaps,G_subday_gaps,LE_subday_gaps,H_subday_gaps,rso,flux,energy,ebr_5day_clim,ebr_corr,ebc_cf,H_corr,ebr,flux_corr,LE_corr,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,ET_fill_val
2018-12-18,,,,,,,,,,,,10.75561,20.51334,,,,,156.0687391290976,,,,,,,,,,,,2.4,1.7,0.0,,,,False,
2018-12-19,14.542012791666671,1.2109640541666666,-8.850127866666666,10.12204966875,55.2905475,0.11321151041666665,6.662714477291666,206.29702418750003,-7.627155118750002,24.34194614583333,-6.4041823708333325,0.7039611,20.06145,0.0,0.0,0.0,0.0,156.0078442777416,31.004660623125,22.169167910416675,,,,,1.3985486847504445,,,0.232391951502434,,2.0,1.4,0.0,,,,False,
2018-12-20,21.893390604166648,1.0009215291666669,-20.758825595833333,9.781132060416667,62.39112479166668,0.32670003125,27.48763287916667,165.03032,-20.278791225,15.81432997916667,-19.798756854166665,0.6817135,22.46582,0.0,0.0,0.0,0.0,155.98515547930418,43.30196285833334,42.172181829166654,,,,,1.0267897220433904,,,0.9584426385046596,,3.8,2.4,0.0,,,,False,
2018-12-21,10.762362979166667,0.93376605,-32.16161689583334,9.342288395833332,64.87196604166667,0.4495069354166667,26.801354062499996,184.09090554166676,-30.47687080208333,5.078413341041669,-28.79212470833333,3.296489,17.38983,0.0,0.0,0.0,0.0,156.00069312934056,31.879767403541663,41.23923378124999,,,,,0.7730446102040881,,36.545134944278786,0.9341227791395518,1.2737282951664175,2.7,1.8000001,0.0,,0.7076268025294471,1.2737282951664175,True,1.2737282951664175
2018-12-22,22.33377252291666,1.0732720479166664,-22.002225708333334,9.722999624999998,64.54012604166668,0.4149456937500001,32.38161570416666,187.44758229166663,-20.637000699999998,6.208255993749997,-19.271775691666672,1.822848,19.98196,0.0,0.0,0.0,0.0,156.05446439545284,38.58987169791666,42.97077322291666,,,,,0.8980492740432321,,29.192830442338877,1.1290241816640312,1.017843328193703,2.0,1.4,0.0,,0.7270309610910514,1.017843328193703,True,1.017843328193703
2018-12-23,32.19502281249999,0.8310806374999999,-15.203238008333333,9.951769,61.04420937500001,0.3977744979166665,31.33916888729168,199.5299454166667,-13.682726035416666,8.0952099575,-12.162214062499993,1.980374,21.21517,0.0,0.0,0.0,0.0,156.14646320132533,39.43437884479168,45.87774884791666,,0.9040505204276894,1.1061328735554719,8.954377852324345,0.8595534836618826,43.61966278846454,34.66528493614019,1.0929162294934869,1.2089105694850424,2.5,1.7,0.0,0.7111238444564795,0.7729332848250203,1.3139866210588658,False,
2018-12-24,32.76996706250001,0.9168152000000002,-13.944527395833333,10.14428016666667,60.07919145833336,0.3861275187500002,31.62957561041667,166.769105,-12.374009093749995,8.081849566666664,-10.803490791666668,2.30026,21.54493,0.0,0.0,0.0,0.0,156.27667020148874,39.711425177083335,45.14397615625001,,0.9216601566505828,1.0849986220887675,8.768795643762031,0.879661663820577,43.08684159831661,34.31804595455457,1.1032462182257918,1.197020626599628,2.6000001,1.7,0.0,0.7041297606024144,0.7962404169133022,1.3536087467203155,False,
2018-12-25,28.20372114583333,2.165113625,-17.44628915833333,10.134993333333332,66.03663583333332,0.37058551875,42.496438622916656,201.30960145833333,-16.170861492708347,-0.8167335791666667,-14.895433827083338,2.549641,17.49701,0.0,0.0,1.0,1.0,156.44505274691426,41.67970504374999,44.37458263854167,,0.9216601566505828,1.0849986220887675,-0.8861548080094607,0.9392697928734765,45.222422541534996,46.10857734954445,1.482271554140791,1.6082625938041342,3.2,2.1000001,0.4,0.7658392782142603,0.8539574217252933,1.793310707782705,False,
2018-12-26,35.23813791666667,2.1554939479166664,-15.753394166666665,12.046909062500005,73.78050416666666,0.36225063125,46.507544386916656,238.3897704166667,-14.456232197916668,5.627152407291665,-13.159070229166666,3.234976,56.31005,0.0,0.0,0.0,0.0,156.65156484162242,52.134696794208324,49.69437011458334,,0.9392697928734765,1.0646568297919319,5.990986242703182,1.0491067031134147,55.505561011085454,49.51457476838225,1.6251400604624362,1.7302164647398062,2.9,1.9,0.0,0.9106402560269272,0.8623543850593036,1.6384733110525462,False,
2018-12-27,33.27060927083333,2.3254746458333333,-20.067050181250007,8.372954520833334,54.61995020833333,0.3424197125,47.21040779166668,204.414783875,-18.322035577083334,-0.568050366666667,-16.577020972916664,0.2054808,15.0432,0.0,0.0,0.0,0.0,156.89614709058353,46.64235742500001,51.59264484791666,,0.9241094911478946,1.0821228540330616,-0.6147002840118608,0.9040505204276894,50.47276093557117,51.087461219583034,1.6439333888040288,1.7789378905328586,3.0,2.0,0.0,0.8894689452664293,0.8759017138086759,1.7518034276173515,False,
