date,rh,es,H,vpd,vp,Rn,theta_1,ws,t_avg,G,t_dew,LE,wd,t_min,t_max,Rn_subday_gaps,G_subday_gaps,H_subday_gaps,ppt,LE_subday_gaps,rso,flux,energy,ebc_cf,ebr_5day_clim,flux_corr,LE_corr,ebr_corr,ebr,H_corr,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,ET_fill_val
2005-01-14,94.72802083333332,0.3788711546520176,5.892166666666667,0.02072916666666668,0.35814198798535085,-6.974354166666665,17.757645833333328,1.1876458333333335,-6.446437500000001,-5.6905625,-7.357681545054718,2.047833333333333,113.7287708333334,-8.237,-3.841,0.0,0.0,5.0,0.0,5.0,107.3349337820302,7.94,-1.2837916666666658,1.7302602004786642,0.8084150899596055,13.738265991800597,3.5432845138802245,0.5779477559059366,-6.184804128395708,10.194981477920368,0.07031690283919352,0.12166653840358177,0.8,0.5,0.0,0.2433330768071636,0.13033680192315988,0.06516840096157994,False,
2005-01-15,95.83170833333338,0.3201358630203159,,0.013916666666666673,0.3062191963536493,0.9447291666666668,17.449249999999996,1.1747500000000002,-8.569083333333335,-5.570291666666669,-9.33672630690258,,73.8388125,-9.426,-7.383999999999999,0.0,0.0,38.0,0.201,38.0,108.34134376686468,,6.515020833333336,1.3190026553532832,0.8170932614028598,,1.5213391870418895,0.7581485874508409,,,,0.05213472076926395,0.6,0.4,3.9,,0.13033680192315988,0.05213472076926395,True,0.05213472076926395
2005-01-16,91.60222916666667,0.4335423784338488,,0.044812499999999984,0.3887298784338487,-2.8688750000000005,17.150229166666662,0.6656666666666667,-5.069979166666667,-5.18425,-6.508341841578259,,,-9.801,1.758,0.0,0.0,31.0,1.6030000000000002,31.0,109.38651361346021,,2.315374999999999,1.2235902263405771,0.8240046067016954,,1.8225219005561124,0.8172670706848695,,,,0.06266126470736125,0.6,0.4,0.0,,0.1566531617684031,0.06266126470736125,True,0.06266126470736125
2005-01-17,84.65974999999997,0.969949632038686,,0.18864583333333326,0.7813037987053527,-5.394354166666666,17.2380625,1.7543749999999996,5.1316041666666665,-4.535791666666666,2.4147267838281947,,179.11625,-4.057,12.853,0.0,0.0,11.0,0.20199999999999999,21.0,110.47027080080744,,-0.8585624999999997,1.1410503008959243,0.8293881921820896,,6.74338766051394,0.8763855539188979,,,,0.2340923191770663,1.3000001,0.90000004,2.0,,0.2601025653032929,0.2340923191770663,True,0.2340923191770663
2005-01-18,85.94764583333334,1.2618501871070296,,0.2039375,1.0579126871070306,10.533250000000008,23.57495833333334,,10.057999999999998,6.063208333333333,7.476563772985142,,,3.576,15.277,0.0,0.0,13.0,0.91,16.0,111.59242971238993,,4.470041666666675,1.1410503008959243,0.8337929439387758,,5.74104818472655,0.8763855539188979,,,,0.20023249573053664,1.2,0.8,2.1000001,,0.2502906196631708,0.20023249573053664,True,0.20023249573053664
2005-01-19,79.31360416666666,1.0003282085802858,0.8820937499999996,0.2469375000000001,0.7533907085802856,15.597124999999995,24.068291666666664,1.0420833333333337,6.5011875,4.6896875,2.7101908216534163,7.387364583333329,200.98285416666667,1.661,13.906,0.0,0.0,1.0,0.0,1.0,112.75279115205026,8.269458333333331,10.907437499999995,1.1410503008959243,0.8609236528490452,9.435867919496305,8.429354580640391,0.8763855539188979,0.7581485874508409,1.006513338855914,0.2567811724096552,0.2930002340424453,2.4,1.4,0.0,0.20928588145888954,0.2151042390678848,0.30114593469503864,False,
2005-01-20,70.72568749999998,1.0463178759039906,1.5812083333333329,0.3625625000000001,0.6837553759039906,15.913166666666674,23.39622916666667,1.3968541666666665,7.0083125000000015,1.905833333333336,1.3937288236322658,10.735375,229.65002083333331,2.222,15.945,0.0,0.0,4.0,0.0,4.0,113.95114187351265,12.316583333333332,14.00733333333334,1.1410503008959243,0.8673649822404947,14.053841118509727,12.249602873980587,0.8763855539188979,0.8792953690923797,1.8042382445291427,0.3733362073270285,0.42599539170584905,2.0,1.3000001,0.0,0.3276887376438271,0.2104442056466592,0.2735774883850776,False,
2005-01-21,74.88197916666665,0.9054123203131468,13.600270833333333,0.28241666666666665,0.6229956536464801,21.557666666666666,22.89339583333333,1.3345833333333341,4.777812500000001,-3.221833333333336,0.06527101733815736,8.116124999999998,199.45995833333328,-0.5760000000000001,14.52,0.0,0.0,0.0,0.30200000000000005,0.0,115.18725412567964,21.71639583333333,24.7795,1.139159156875542,0.8684319040652142,24.738431167875525,9.245558112096504,0.8778404615056388,0.8763855539188979,15.492873055779024,0.28165147766551224,0.3208458598301954,2.4,1.5,0.0,0.21389723988679696,0.2163173831721768,0.3244760747582652,False,
2005-01-22,72.53791666666666,0.9413918693820036,1.9918750000000005,0.2894166666666666,0.6519752027153366,14.57183333333334,22.54745833333334,0.9593958333333336,5.635354166666667,2.9898958333333336,0.6403680747150867,4.992104166666667,206.79650000000004,0.322,11.85,0.0,0.0,2.0,0.0,2.0,116.46088521573198,6.983979166666668,11.581937500000004,1.1372742711385062,0.8598169325811938,7.9426998164173455,5.677391627593333,0.8792953690923797,0.6030061176436726,2.2653081888240125,0.17338050377659828,0.1971811860621578,3.0,1.8000001,0.0,0.10954509728202667,0.19994123064433375,0.3598942351539239,False,
2005-01-23,72.75608333333334,0.9335822182244109,6.458958333333333,0.29406249999999995,0.6395197182244111,8.659062499999992,22.404625,1.0871041666666672,5.460812499999999,-4.455104166666668,0.4462799957744868,8.727729166666665,198.6788125,0.615,13.775,0.0,0.0,7.0,0.0,7.0,117.77177709195959,15.186687499999998,13.11416666666666,1.139159156875542,0.8496101680979163,17.30005412823233,9.942272598938072,0.8778404615056388,1.1580367922729875,7.357781529294256,0.3030720919265625,0.3452473487115697,3.0,1.8000001,0.0,0.19180407196175692,0.1983837888419078,0.3570908397538129,False,
2005-01-24,75.80681250000002,0.8965923976710162,15.1073125,0.2804166666666665,0.6161757310043497,25.217374999999997,22.1220625,1.3973125000000002,4.531437500000002,-3.1770416666666663,-0.09370930606147472,10.567645833333334,194.8404375,-0.871,14.607,0.0,0.0,0.0,0.0,0.0,119.11965594814812,25.67495833333333,28.39441666666666,1.139159156875542,0.8409951966138961,29.24786388781467,12.038230517659334,0.8778404615056388,0.904225595994518,17.209633370155338,0.3666402168992363,0.41766156035959984,2.8,1.7,0.0,0.24568327079976465,0.17252279908152396,0.2932887584385907,False,
2005-01-25,90.31222916666668,0.7282746919833217,0.5100625000000001,0.07802083333333333,0.6502538586499887,-10.282145833333336,22.08968750000001,0.9882916666666668,2.2721666666666667,-5.176375,0.6414315814215463,3.6036666666666664,192.01014583333333,-0.807,5.962999999999999,0.0,0.0,2.0,0.0,2.0,120.504231851238,4.1137291666666655,-5.105770833333336,1.1410503008959243,0.8307884321306186,4.693971903429341,4.111964934328613,0.8763855539188979,-0.8057018814495029,0.5820069691007276,0.12476053120218293,0.1423580416681862,2.1000001,1.4,0.0,0.10168431547727587,0.1621791888802057,0.22705086443228795,False,
2005-01-26,98.904125,0.6913654892842912,,0.008812500000000001,0.6825529892842911,16.791541666666664,22.09460416666667,0.4901875,1.6297291666666665,-0.18370833333333292,1.3114036094897656,,137.15408333333332,-0.6659999999999999,3.915,0.0,0.0,23.0,0.0,23.0,121.92519839385855,,16.975249999999996,1.2062679456779353,0.8188576103220168,,5.194420129772724,0.8290032107567855,,,,0.1797238860795987,1.4,1.0,1.1,,0.1797238860795987,0.1797238860795987,True,0.1797238860795987
2005-01-27,96.44179166666665,0.6984578454411361,,0.03283333333333332,0.6656245121078026,12.341937500000006,22.240270833333334,,1.6560624999999998,-2.1055208333333337,0.9435047365376904,,,-0.74,7.895,0.0,0.0,18.0,0.0,18.0,123.38223237322569,,14.447458333333339,1.2062679456779353,0.8067945241873474,,5.929328929042892,0.8290032107567855,,,,0.20515640685514716,1.2,0.8,0.0,,0.2564455085689339,0.20515640685514716,True,0.20515640685514716
2005-01-28,84.13385416666664,0.7793767801923672,,0.14189583333333333,0.6374809468590336,-1.5295416666666668,22.17520833333333,1.0035208333333334,3.2368125000000005,-3.0821458333333323,0.32974297525747903,,179.20470833333337,0.047,7.301,0.0,0.0,12.0,0.0,12.0,124.87499349777264,,1.5526041666666657,1.279392658844124,0.7964554953780028,,10.088846672714874,0.7816208675946732,,,,0.3495993726076012,2.3,1.4,0.6,,0.24971383757685806,0.3495993726076012,True,0.3495993726076012
2005-01-29,70.84789583333333,0.8398502862081069,19.8001875,0.26979166666666665,0.5700586195414399,27.078604166666665,22.03895833333333,2.2915208333333337,4.129979166666667,-3.038791666666666,-1.1146233502391816,23.88533333333333,216.899625,-1.495,9.074,0.0,0.0,6.0,0.10099999999999999,6.0,126.40312412276405,43.68552083333334,30.11739583333333,1.308710136036243,0.7846295673284388,57.1716839126058,31.25897783593768,0.7641111446028461,1.4505079082894368,25.91270607666812,0.8283767304142816,1.0841050235497327,1.1,0.8,0.5,1.3551312794371655,0.29665391703845145,0.2373231336307612,False,
