date,rh,H,sw_in,theta_3,g_2,vp,theta_1,G,g_1,ws,es,theta_4,LE,sw_out,wd,vpd,Rn,t_avg,theta_mean,t_dew,theta_2,t_min,t_max,Rn_subday_gaps,G_subday_gaps,H_subday_gaps,ppt,LE_subday_gaps,ASCE_ETo,rso,flux,energy,ebc_cf,ebr_5day_clim,flux_corr,LE_corr,ebr_corr,ebr,H_corr,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,ET_fill_val
2010-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.07968754242322,,,1.3553467086302622,0.7378185918277826,,,0.7378185918277826,,,,,2.7,1.8000001,0.0,,,,False,
2010-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.56262985161334,,,1.3377734730628978,0.7475107109953757,,,0.7475107109953757,,,,,2.6000001,1.8000001,0.0,,,,False,
2010-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.08374347254414,,,1.3266549552576803,0.7537754983214658,,,0.7537754983214658,,,,,3.2,2.1000001,0.0,,,,False,
2010-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.64285026554137,,,1.3125932814250991,0.7618506159914876,,,0.7618506159914876,,,,,2.6000001,1.8000001,0.0,,,,False,
2010-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.23975726746494,,,1.2956272516987788,0.7718269268331898,,,0.7718269268331898,,,,,2.0,1.5,0.0,,,,False,
2010-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.87425659268698,,,1.2827620759722005,0.7795677926026179,,,0.7795677926026179,,,,,1.8000001,1.3000001,0.0,,,,False,
2010-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.54612533388882,,,1.2709993765846412,0.7867824472795135,,,0.7867824472795135,,,,,1.7,1.2,0.0,,,,False,
2010-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.2551254637273,,,1.2609819635718256,0.7930327545426782,,,0.7930327545426782,,,,,1.4,1.0,0.0,,,,False,
2010-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.00100373845785,,,1.2497899733041338,0.8001344396740908,,,0.8001344396740908,,,,,1.8000001,1.3000001,0.0,,,,False,
2010-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.78349160462471,,,1.2392130253040137,0.8069637581114611,,,0.8069637581114611,,,,,2.8,1.9,0.0,,,,False,
2010-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.60230510994649,,,1.2334652757090647,0.8107240793018224,,,0.8107240793018224,,,,,3.7,2.4,0.0,,,,False,
2010-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.45714481954042,,,1.2331536349744314,0.8109289642735671,,,0.8109289642735671,,,,,2.9,1.9,0.0,,,,False,
2010-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.34769573863528,,,1.2350545475446124,0.8096808371647068,,,0.8096808371647068,,,,,2.4,1.7,0.0,,,,False,
2010-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.27362724291999,,,1.238665286177682,0.8073205983561837,,,0.8073205983561837,,,,,2.6000001,1.8000001,0.0,,,,False,
2010-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.23459301767318,,,1.250178555889883,0.7998857405518328,,,0.7998857405518328,,,,,3.1000001,2.1000001,0.0,,,,False,
2010-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177.2302310068049,,,1.25990350040915,0.7937115816213328,,,0.7937115816213328,,,,,2.3,1.7,0.0,,,,False,
2010-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.26016337292418,,,1.2703568286539912,0.7871804027373567,,,0.7871804027373567,,,,,3.1000001,2.1000001,0.0,,,,False,
2010-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179.32399646952422,,,1.2738802835698386,0.7850031222695947,,,0.7850031222695947,,,,,3.6000001000000004,2.4,0.0,,,,False,
2010-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.42132082634635,,,1.2739902058716213,0.7849353907048553,,,0.7849353907048553,,,,,4.3,2.8,0.4,,,,False,
2010-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.55171114895157,,,1.2832013087075294,0.7793009508439667,,,0.7793009508439667,,,,,4.1,2.6000001,0.6,,,,False,
2010-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.7147263334905,,,1.280536129590835,0.7809229094688068,,,0.7809229094688068,,,,,4.3,2.7,4.5,,,,False,
2010-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183.90990949761522,,,1.2744268421387723,0.7846664609808258,,,0.7846664609808258,,,,,2.6000001,1.8000001,20.800001,,,,False,
2010-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185.13678802843538,,,1.2665925587478857,0.7895198760590929,,,0.7895198760590929,,,,,2.4,1.6,0.0,,,,False,
2010-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186.3948736483624,,,1.2571001370564026,0.7954815774195821,,,0.7954815774195821,,,,,2.7,1.9,0.0,,,,False,
2010-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187.68366249963435,,,1.2494088829607826,0.8003784938924504,,,0.8003784938924504,,,,,3.1000001,2.1000001,0.0,,,,False,
2010-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189.0026352482553,,,1.2425260474336557,0.8048121019800148,,,0.8048121019800148,,,,,2.3,1.7,0.0,,,,False,
2010-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.3512572080186,,,1.2371890567044943,0.808283903402528,,,0.808283903402528,,,,,3.1000001,2.1000001,8.3,,,,False,
2010-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191.72897848522027,,,1.2274093898349543,0.8147240914740491,,,0.8147240914740491,,,,,0.6,0.7,5.9,,,,False,
2010-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193.13523414460303,,,1.2265222217595613,0.8153133977184744,,,0.8153133977184744,,,,,1.7,1.3000001,0.0,,,,False,
2010-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194.56944439700038,,,1.2309095956045135,0.8124073478433554,,,0.8124073478433554,,,,,1.9,1.5,0.0,,,,False,
2010-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196.0310148090793,,,1.2312646867550057,0.8121730532494169,,,0.8121730532494169,,,,,2.4,1.8000001,0.0,,,,False,
2010-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197.5193365355098,,,1.2400856594265934,0.8063959069266172,,,0.8063959069266172,,,,,2.5,1.8000001,0.0,,,,False,
2010-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199.03378657381387,,,1.2445727524188923,0.8034885851843113,,,0.8034885851843113,,,,,3.0,2.1000001,6.7000003,,,,False,
2010-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.57372804207333,,,1.247694815561008,0.8014780437717572,,,0.8014780437717572,,,,,0.8,0.8,15.3,,,,False,
2010-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202.13851047960082,,,1.253573939739934,0.797719199720648,,,0.797719199720648,,,,,2.1000001,1.6,0.0,,,,False,
2010-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203.72747017060232,,,1.2560013890256567,0.7961774634467166,,,0.7961774634467166,,,,,3.1000001,2.2,0.0,,,,False,
