date,rh,sw_in,sw_out,H,Rn,theta_1,ws,lw_in,t_avg,G,lw_out,LE,wd,t_min,t_max,Rn_subday_gaps,G_subday_gaps,H_subday_gaps,ppt,LE_subday_gaps,rso,flux,energy,ebc_cf,ebr_5day_clim,flux_corr,LE_corr,ebr_corr,ebr,H_corr,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,ET_fill_val
2004-10-12,96.75416666666663,23.9375,2.375,,20.666666666666668,25.4375,2.3104166666666663,360.35416666666674,11.1775,-3.7083333333333335,361.25,,163.95833333333334,10.71,12.05,0.0,0.0,48.0,14.650000000000002,48.0,206.11379495923674,,24.375,1.2171875516112147,0.8215660755618809,,,0.8215660755618809,,,,,0.8,0.7,13.8,,,,False,
2004-10-13,78.494375,159.83333333333334,17.520833333333332,,114.5,28.14583333333333,3.695208333333333,343.875,13.098750000000004,-1.5208333333333333,370.0625,,310.9375,9.9,18.51,0.0,0.0,48.0,0.15,48.0,204.05472778842662,,116.02083333333331,1.2132030387625439,0.8242643383254222,,,0.8242643383254222,,,,,4.2000003,2.9,0.5,,,,False,
2004-10-14,78.32708333333333,,3.8541666666666665,,9.416666666666666,26.72916666666667,3.7016666666666658,328.4791666666667,8.683541666666667,-5.8125,348.9375,,301.8125,6.54,10.38,0.0,0.0,48.0,0.0,48.0,202.0077425772551,,15.229166666666664,1.2104427040641463,0.8261440187482065,,,0.8261440187482065,,,,,1.7,1.2,0.0,,,,False,
2004-10-15,60.77833333333333,,20.625,,81.20833333333333,25.60416666666667,4.525416666666667,280.0,10.305,-4.583333333333333,353.83333333333326,,279.6666666666667,4.59,15.95,0.0,0.0,48.0,0.0,48.0,199.9736306574692,,85.79166666666666,1.200836080916829,0.8327531258358823,,,0.8327531258358823,,,,,3.4,2.3,0.0,,,,False,
2004-10-16,48.869375,,25.0,,83.875,24.39583333333333,4.282916666666668,245.95833333333331,9.116041666666668,-5.916666666666668,343.3958333333333,,276.3125,5.46,13.54,0.0,0.0,48.0,0.0,48.0,197.95317830917955,,89.79166666666669,1.192876055565997,0.8383100619162979,,,0.8383100619162979,,,,,3.6000001000000004,2.4,0.0,,,,False,
2004-10-17,51.18125000000001,175.07291666666663,20.104166666666668,,99.02083333333331,22.85416666666667,2.846458333333333,309.4166666666667,13.074374999999998,-2.625,363.91666666666674,,129.52083333333334,5.68,18.78,0.0,0.0,48.0,0.2,48.0,195.94716614770775,,101.64583333333331,1.1849308666818603,0.8439310917777685,,,0.8439310917777685,,,,,4.0,2.7,1.7,,,,False,
2004-10-18,,112.83333333333331,11.895833333333336,,92.54166666666669,28.3125,2.7185416666666677,365.29166666666674,,1.0625,373.64583333333326,,,10.86,11.73,0.0,0.0,48.0,12.1,48.0,193.95636852197205,,91.47916666666669,1.1784559852780068,0.8485679673170758,,,0.8485679673170758,,,,,3.4,2.5,13.2,,,,False,
2004-10-19,,34.083333333333336,3.1041666666666665,,28.47916666666667,27.41666666666667,1.569791666666667,355.95833333333326,,-2.708333333333333,358.04166666666674,,,,,0.0,0.0,48.0,0.1,48.0,191.9815529256199,,31.1875,1.1703668956315552,0.8544329164918651,,,0.8544329164918651,,,,,2.8,2.2,1.7,,,,False,
2004-10-20,,30.91666666666667,3.145833333333333,,22.54166666666667,26.16666666666667,2.2031250000000004,358.97916666666674,,-1.6875,364.04166666666674,,,,,0.0,0.0,48.0,0.25,48.0,190.0234794220919,,24.22916666666667,1.1632013479442296,0.8596963902830222,,,0.8596963902830222,,,,,3.1000001,2.3,0.0,,,,False,
2004-10-21,,36.6875,3.7708333333333335,,28.125,26.0,3.554583333333333,370.79166666666674,,0.3333333333333333,375.35416666666674,,,,,0.0,0.0,48.0,0.0,48.0,188.08290008476047,,27.79166666666667,1.1505650141112402,0.869138195352181,,,0.869138195352181,,,,,3.5,2.6000001,0.0,,,,False,
