date,rh,es,H,sw_in,vpd,t_dew,vp,Rn,theta_1,ws,t_avg,G,LE,wd,t_min,t_max,Rn_subday_gaps,G_subday_gaps,H_subday_gaps,ppt,LE_subday_gaps,ASCE_ETo,rso,flux,energy,ebc_cf,ebr_5day_clim,flux_corr,LE_corr,ebr_corr,ebr,H_corr,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,ET_fill_val
1999-01-01,,,,,,,,,,,,,,,,,,,,,,,99.36100284346813,,,1.4918315783345777,0.6703169543551027,,,0.6703169543551027,,,,,0.6,0.4,0.0,,,,False,
1999-01-02,,,,,,,,,,,,,,,,,,,,,,,99.85684345753616,,,1.5117060479873996,0.6615042662105796,,,0.6615042662105796,,,,,0.8,0.5,0.0,,,,False,
1999-01-03,,,,,,,,,,,,,,,,,,,,,,,100.39303420732813,,,1.5177333110661833,0.6588772827931912,,,0.6588772827931912,,,,,1.2,0.7,0.0,,,,False,
1999-01-04,,,,,,,,,,,,,,,,,,,,,,,100.9695243740022,,,1.4999490379611071,0.6666893172312761,,,0.6666893172312761,,,,,2.0,1.2,0.0,,,,False,
1999-01-05,,,,,,,,,,,,,,,,,,,,,,,101.5862564216635,,,1.486031402570113,0.6729332894785974,,,0.6729332894785974,,,,,2.2,1.3000001,0.0,,,,False,
1999-01-06,,,,,,,,,,,,,,,,,,,,,,,102.24316555596684,,,1.4804236720768271,0.6754823087887671,,,0.6754823087887671,,,,,1.0,0.7,0.0,,,,False,
1999-01-07,,,,,,,,,,,,,,,,,,,,,,,102.94017926498535,,,1.4793767482394242,0.6759603334242473,,,0.6759603334242473,,,,,0.3,0.2,0.0,,,,False,
1999-01-08,,,,,,,,,,,,,,,,,,,,,,,103.67721684470447,,,1.4738190357582608,0.6785093527344169,,,0.6785093527344169,,,,,1.3000001,0.8,0.0,,,,False,
1999-01-09,,,,,,,,,,,,,,,,,,,,,,,104.45418891156295,,,1.4429145725422985,0.6930417219628471,,,0.6930417219628471,,,,,2.2,1.3000001,0.0,,,,False,
1999-01-10,,,,,,,,,,,,,,,,,,,,,,,105.27099690451014,,,1.4106169593538829,0.7089096677655419,,,0.7089096677655419,,,,,1.4,0.90000004,0.0,,,,False,
1999-01-11,,,,,,,,,,,,,,,,,,,,,,,106.12753257907671,,,1.4018896318466432,0.7133229159293709,,,0.7133229159293709,,,,,1.0,0.7,2.6000001,,,,False,
1999-01-12,,,,,,,,,,,,,,,,,,,,,,,107.02367749597671,,,1.388625749783079,0.7201364371618578,,,0.7201364371618578,,,,,0.5,0.4,1.4,,,,False,
1999-01-13,,,,,,,,,,,,,,,,,,,,,,,107.95930250675869,,,1.380392196595556,0.7244317973299818,,,0.7244317973299818,,,,,0.8,0.5,0.0,,,,False,
1999-01-14,,,,,,,,,,,,,,,,,,,,,,,108.93426723901621,,,1.384928712916376,0.7220588256085796,,,0.7220588256085796,,,,,0.5,0.4,9.400001,,,,False,
1999-01-15,,,,,,,,,,,,,,,,,,,,,,,109.94841958364108,,,1.3746845993557093,0.7274395890291363,,,0.7274395890291363,,,,,0.6,0.4,5.1,,,,False,
1999-01-16,,,,,,,,,,,,,,,,,,,,,,,111.00159518657273,,,1.3779414279002145,0.7257202517844731,,,0.7257202517844731,,,,,0.8,0.6,11.1,,,,False,
1999-01-17,,,,,,,,,,,,,,,,,,,,,,,112.09361694744352,,,1.3858112102764646,0.7215990118888586,,,0.7215990118888586,,,,,0.4,0.3,16.4,,,,False,
1999-01-18,,,,,,,,,,,,,,,,,,,,,,,113.22429452746876,,,1.3946924674210626,0.7170039441376695,,,0.7170039441376695,,,,,0.5,0.4,7.2000003,,,,False,
1999-01-19,,,,,,,,,,,,,,,,,,,,,,,114.39342386885866,,,1.4018370755398792,0.7133496591355865,,,0.7133496591355865,,,,,0.8,0.5,5.5,,,,False,
1999-01-20,,,,,,,,,,,,,,,,,,,,,,,115.60078672795434,,,1.4276449894902528,0.7004542497340706,,,0.7004542497340706,,,,,0.5,0.4,13.6,,,,False,
1999-01-21,,,,,,,,,,,,,,,,,,,,,,,116.8461502242071,,,1.4559210888433909,0.6868504121981073,,,0.6868504121981073,,,,,0.4,0.3,0.8,,,,False,
1999-01-22,,,,,,,,,,,,,,,,,,,,,,,118.12926640702526,,,1.4683243605816672,0.6810484296561398,,,0.6810484296561398,,,,,0.3,0.2,18.300001,,,,False,
1999-01-23,,,,,,,,,,,,,,,,,,,,,,,119.4498718424188,,,1.485823968223032,0.6730272369989749,,,0.6730272369989749,,,,,0.4,0.3,0.4,,,,False,
1999-01-24,,,,,,,,,,,,,,,,,,,,,,,120.80768722126464,,,1.507024223986603,0.6635593403765285,,,0.6635593403765285,,,,,0.5,0.4,0.0,,,,False,
1999-01-25,,,,,,,,,,,,,,,,,,,,,,,122.20241699090964,,,1.5275966061643544,0.6546230830604567,,,0.6546230830604567,,,,,0.90000004,0.6,0.0,,,,False,
1999-01-26,,,,,,,,,,,,,,,,,,,,,,,123.63374901171494,,,1.5674737028389902,0.6379692355851403,,,0.6379692355851403,,,,,0.5,0.4,0.0,,,,False,
1999-01-27,,,,,,,,,,,,,,,,,,,,,,,125.10135424003076,,,1.5853356542202133,0.6307812464432807,,,0.6307812464432807,,,,,0.5,0.4,1.2,,,,False,
1999-01-28,,,,,,,,,,,,,,,,,,,,,,,126.6048864389708,,,1.6037023397608023,0.6235571123187071,,,0.6235571123187071,,,,,0.5,0.4,3.0,,,,False,
1999-01-29,,,,,,,,,,,,,,,,,,,,,,,128.14398191823898,,,1.6158928717058638,0.6188529063466449,,,0.6188529063466449,,,,,1.2,0.8,0.0,,,,False,
1999-01-30,,,,,,,,,,,,,,,,,,,,,,,129.71825930413738,,,1.6371809960674766,0.6108060149745257,,,0.6108060149745257,,,,,1.1,0.7,0.0,,,,False,
1999-01-31,,,,,,,,,,,,,,,,,,,,,,,131.3273193407643,,,1.6500212608267384,0.6060527968584798,,,0.6060527968584798,,,,,0.6,0.5,0.4,,,,False,
1999-02-01,,,,,,,,,,,,,,,,,,,,,,,132.97074472329106,,,1.6664537504698669,0.6000766596240933,,,0.6000766596240933,,,,,0.8,0.6,1.2,,,,False,
1999-02-02,,,,,,,,,,,,,,,,,,,,,,,134.64809996408258,,,1.6796323072395185,0.5953684003872868,,,0.5953684003872868,,,,,0.8,0.5,1.4,,,,False,
1999-02-03,,,,,,,,,,,,,,,,,,,,,,,136.3589312923099,,,1.6818912715916818,0.5945687553593376,,,0.5945687553593376,,,,,0.90000004,0.6,0.8,,,,False,
