date,rh,H,sw_out,sw_in,LE,g_2,theta_2,Rn,theta_1,wd,lw_in,t_avg,theta_mean,G,lw_out,g_1,ws,t_min,t_max,Rn_subday_gaps,G_subday_gaps,H_subday_gaps,ppt,LE_subday_gaps,rso,flux,energy,ebc_cf,ebr_5day_clim,flux_corr,LE_corr,ebr_corr,ebr,H_corr,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,ET_fill_val
2017-02-06,,,,,,,,,,,,,,,,,,,,,,,,,125.87161727979687,,,,,,,,,,,,2.1000001,1.3000001,0.3,,,,False,
2017-02-07,,,,,,,,,,,,,,,,,,,,,,,,,127.67984163173807,,,,,,,,,,,,2.6000001,1.6,1.7,,,,False,
2017-02-08,,,,,,,,,,,,,,,,,,,,,,,,,129.519764997871,,,,,,,,,,,,2.2,1.4,5.0,,,,False,
2017-02-09,,,,,,,,,,,,,,,,,,,,,,,,,131.39088231405694,,,,,,,,,,,,0.6,0.5,2.0,,,,False,
2017-02-10,,,,,,,,,,,,,,,,,,,,,,,,,133.29266952267486,,,,,,,,,,,,0.2,0.2,0.0,,,,False,
2017-02-11,,,,,,,,,,,,,,,,,,,,,,,,,135.22458368454284,,,,,,,,,,,,0.8,0.6,0.0,,,,False,
2017-02-12,,,,,,,,,,,,,,,,,,,,,,,,,137.18606312720706,,,,,,,,,,,,0.5,0.4,0.0,,,,False,
2017-02-13,,,,,,,,,,,,,,,,,,,,,,,,,139.17652762915392,,,,,,,,,,,,0.8,0.6,0.0,,,,False,
2017-02-14,,,,,,,,,,,,,,,,,,,,,,,,,141.19537863941213,,,,,,,,,,,,0.7,0.6,2.7,,,,False,
2017-02-15,,,,,,,,,,,,,,,,,,,,,,,,,143.24199953192405,,,,,,,,,,,,0.7,0.6,13.1,,,,False,
2017-02-16,,,,,,,,,,,,,,,,,,,,,,,,,145.31575589397875,,,,,,,,,,,,1.1,0.8,2.5,,,,False,
2017-02-17,,,,,,,,,,,,,,,,,,,,,,,,,147.41599584792147,,,,,,,,,,,,1.6,1.1,1.1,,,,False,
2017-02-18,,,,,,,,,,,,,,,,,,,,,,,,,149.54205040527657,,,,,,,,,,,,0.3,0.3,3.7,,,,False,
2017-02-19,,,,,,,,,,,,,,,,,,,,,,,,,151.69323385234887,,,,,,,,,,,,0.3,0.3,1.8000001,,,,False,
2017-02-20,,,,,,,,,,,,,,,,,,,,,,,,,153.86884416629852,,,,,,,,,,,,0.2,0.3,6.4,,,,False,
2017-02-21,,,,,,,,,,,,,,,,,,,,,,,,,156.06816346062246,,,,,,,,,,,,0.3,0.3,4.9,,,,False,
2017-02-22,,,,,,,,,,,,,,,,,,,,,,,,,158.29045845890982,,,,,,,,,,,,0.3,0.3,0.0,,,,False,
2017-02-23,,,,,,,,,,,,,,,,,,,,,,,,,160.5349809956856,,,,,,,,,,,,0.4,0.4,0.0,,,,False,
2017-02-24,,,,,,,,,,,,,,,,,,,,,,,,,162.80096854309986,,,,,,,,,,,,0.6,0.6,0.0,,,,False,
2017-02-25,,,,,,,,,,,,,,,,,,,,,,,,,165.08764476217178,,,,,,,,,,,,1.4,1.0,0.8,,,,False,
2017-02-26,,,,,,,,,,,,,,,,,,,,,,,,,167.39422007725074,,,,,,,,,,,,0.8,0.6,1.7,,,,False,
2017-02-27,,,,,,,,,,,,,,,,,,,,,,,,,169.71989227231242,,,,,,,,,,,,0.8,0.7,0.0,,,,False,
