date,lw_in,theta_1,RH_3_1_1,theta_mean,es,sw_out,RH_2_1_1,vpd,H,vp,Rn,rh,RH_1_1_1,theta_2,ws,LE,wd,t_avg,sw_in,t_dew,lw_out,G,t_min,t_max,H_subday_gaps,ppt,LE_subday_gaps,G_subday_gaps,Rn_subday_gaps,rso,flux,energy,flux_corr,ebr,ebr_corr,LE_corr,ebc_cf,ebr_5day_clim,H_corr,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,ET_fill_val,ASCE_ETo
2018-08-21,,,,,,,,,,,,,,,,,,,,,,,30.7114,36.24368,,,,,,323.8326083089538,,,,,0.7041062283496745,91.04998394142507,1.4202402417939957,0.7041062283496745,,,3.205959219057588,6.4,5.2000003,54.100002,,0.6165305851282255,3.205959219057588,True,3.205959219057588,
2018-08-22,422.19134374999993,,80.455293125,,4.5576087556452105,38.19552550104167,78.16722166666669,0.9426302479166666,26.15149278291668,3.614978507728543,175.28700552083333,79.17340472222223,78.89769937499997,,1.4746679187499996,102.95126468,182.39940437500005,31.11442395833333,273.69495414375,26.63279718147097,482.4037604166668,,27.372840000000004,35.06524,,,,,,322.7117842760212,129.10275746291668,,185.01408450682686,,0.6977996178347865,147.5370035303962,1.433076164620032,0.6977996178347865,37.47708097643068,3.6642005900531918,5.251078527991886,6.5,5.8,0.0,0.9053583371221532,0.5824639265634802,3.3782908851643634,False,,5.3932855890096585
2018-08-23,401.03816458333336,,74.93529708333334,,4.191400824256522,49.962769483333346,72.58148187500002,1.1230118520833334,57.64425854375001,3.0683889721731887,157.41265058333332,73.6280982638889,73.36751583333331,,1.5526627312499997,56.01112285416664,220.3099427083333,29.531836249999994,292.7704128125,23.975507775010318,486.43318541666684,,24.96661,33.949259999999995,,,,,,321.57112910600483,113.65538139791664,,162.72677563848342,,0.6984430248308696,80.19426189806953,1.4317560122275592,0.6984430248308696,82.53251374041392,1.9904619381041075,2.849855846990676,7.2000003,6.2000003,0.0,0.4596541476584789,0.5834659926876308,3.6174893215942703,False,,5.539878864027537
2018-08-24,410.24595,,76.2904979166667,,4.338171852989787,46.89276011458333,74.0938910416667,1.1239679937500002,53.06292402187501,3.2142038592397864,138.42603806249997,74.97051499999998,74.52715604166666,,1.144674797916667,43.83929264791666,234.85082979166668,30.05046437499999,267.04906824999995,24.72809874068545,491.9762166666666,,24.46805,35.02086,,,,,,320.4107209265951,96.90221666979168,,138.57805064975017,,0.6992609306845259,62.69375382520109,1.430081327468235,0.6992609306845259,75.88429682454907,1.5586977857488564,2.229064598565522,5.2000003,4.6,0.0,0.4845792706040442,0.6180564293542726,2.8430595160872,False,,5.087512889055798
2018-08-25,417.29385833333333,,83.68157062499998,,4.280927620580202,42.58429761458333,80.63675270833333,0.8039098916666664,55.53686016437499,3.4770177289135384,136.12861612500004,81.96255513888887,81.56934208333331,,1.691474372916666,47.288662475,244.90716949999998,29.91188979166667,245.85640754166667,26.00024445761845,484.4373562499998,,25.56932,34.817029999999995,,,,,,319.2306520747585,102.825522639375,,146.87706194324718,,0.700078836538182,67.54762464872897,1.4284105557952549,0.700078836538182,79.32943729451823,1.6811131397788566,2.4013197543462232,6.1,5.0,2.0,0.4802639508692446,0.6180564293542726,3.0902821467713637,False,,4.853942416340558
2018-08-26,421.0688729166666,,86.98086479166666,,,33.00814291875001,,,40.065499289583336,3.5428978765868635,116.81291348958332,84.67358524305554,84.5334004166667,,1.946821602083333,50.92353942083332,,29.81320302083333,204.86808223958332,,476.1159125,,26.460490000000004,34.019079999999995,,,,,,318.03102943628426,90.98903871041664,,129.93128795907975,,0.7002858213725436,72.71822142710869,1.4279883577251695,0.7002858213725436,57.213066531971045,1.810159567235088,2.584886787636536,5.4,4.4,15.400001000000001,0.587474257184233,0.5605960478006965,2.4666226637856696,False,,4.2051568989107215
2018-08-27,421.84419375000016,,90.23003229166665,,4.144454460067807,25.36392011874999,84.13822333333333,0.6247070854166666,22.391904803541674,3.5197473746511427,134.5350448958333,87.31393333333334,87.57354437499998,,1.5282206562500005,71.67799745833331,256.41606958333324,29.416080208333334,202.41518430208345,26.22249055614039,464.3604166666669,,26.37688,34.76812,,,,,,316.8119747666092,94.069902261875,,134.39189638776085,,0.6999670723482847,102.4019561632583,1.428638631021813,0.6999670723482847,31.98994022450255,2.546927868192584,3.6386395429259584,5.7000003,4.6,20.4,0.7910086126874822,0.585831522836251,2.6948249491775065,False,,4.183238643653669
2018-08-28,,,,,,,,,,,,,,,,,,,,,,,25.71568,33.32412,,,,,,315.5736249920749,,,,,0.6996483233240259,79.18325996176652,1.4292894968274985,0.6996483233240259,,,2.7881202311114395,5.5,4.5,36.8,,0.6195822735803199,2.7881202311114395,True,2.7881202311114395,
2018-08-29,,,,,,,,,,,,,,,,,,,,,,,28.224940000000004,31.65745,,,,,,314.3161324907992,,,,,0.6992150503506922,74.38354100207543,1.4301751649917271,0.6992150503506922,,,2.619117419890666,4.6,3.8,10.1,,0.6892414349358575,2.619117419890666,True,2.619117419890666,
2018-08-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313.03966535239084,,,,,0.6986580878690026,95.24791451146042,1.4313152847770347,0.6986580878690026,,,3.353772470959165,5.4,4.5,0.0,,0.7452827713242589,3.353772470959165,True,3.353772470959165,
