date,lw_out,es,theta_2,rh,H,LE,theta_mean,Rn,t_avg,sw_out,G,ws,vpd,sw_in,t_dew,vp,wd,theta_1,lw_in,t_min,t_max,G_subday_gaps,LE_subday_gaps,H_subday_gaps,ppt,Rn_subday_gaps,ASCE_ETo,rso,flux,energy,H_corr,ebr,flux_corr,ebr_5day_clim,ebc_cf,LE_corr,ebr_corr,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,ET_fill_val
2009-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.55213545869222,,,,,,1.3708025118201066,0.7294996845842023,,1.3708025118201066,,,3.2,2.0,0.0,,,,False,
2009-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.03653314289562,,,,,,1.358744266077634,0.7359736669850008,,1.358744266077634,,,2.8,1.8000001,0.0,,,,False,
2009-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.55958096234272,,,,,,1.3438236639990448,0.7441452526770735,,1.3438236639990448,,,6.1,3.7,0.0,,,,False,
2009-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.12113660517642,,,,,,1.33050324116039,0.7515953130094267,,1.33050324116039,,,3.0,1.9,0.0,,,,False,
2009-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.7210452296994,,,,,,1.3232712253416186,0.7557029736982589,,1.3232712253416186,,,2.6000001,1.6,0.0,,,,False,
2009-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.35913927889513,,,,,,1.3108215735877555,0.7628803340968611,,1.3108215735877555,,,3.2,2.0,0.0,,,,False,
2009-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.03523829002526,,,,,,1.2956135467732766,0.7718350911739834,,1.2956135467732766,,,5.0,3.0,0.0,,,,False,
2009-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.74914870063796,,,,,,1.2746759406942203,0.7845131206095998,,1.2746759406942203,,,4.2000003,2.6000001,0.0,,,,False,
2009-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.50066365236725,,,,,,1.2575192649728637,0.7952164454685943,,1.2575192649728637,,,5.7000003,3.5,0.0,,,,False,
2009-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.28956279392915,,,,,,1.236458267905859,0.8087616266205739,,1.236458267905859,,,3.0,1.9,0.0,,,,False,
2009-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.11561208475084,,,,,,1.2179676225358531,0.8210398876761302,,1.2179676225358531,,,3.6000001000000004,2.2,0.0,,,,False,
2009-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.97856360068113,,,,,,1.2040473348957097,0.8305321319336806,,1.2040473348957097,,,5.5,3.4,0.0,,,,False,
2009-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.87815534324298,,,,,,1.1970695178502937,0.835373372296546,,1.1970695178502937,,,3.5,2.2,0.0,,,,False,
2009-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.81411105388662,,,,,,1.193469708003249,0.8378930720186135,,1.193469708003249,,,3.6000001000000004,2.2,0.0,,,,False,
2009-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.78614003469738,,,,,,1.1938579267147875,0.8376206059558207,,1.1938579267147875,,,1.6,1.0,0.0,,,,False,
2009-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.79393697699837,,,,,,1.1951576315711359,0.8367097139190043,,1.1951576315711359,,,1.9,1.2,0.0,,,,False,
2009-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.837181799267,,,,,,1.1982241814457266,0.8345683683277384,,1.1982241814457266,,,4.8,2.9,0.0,,,,False,
2009-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,154.91553949575697,,,,,,1.200054842890655,0.8332952497331129,,1.200054842890655,,,6.4,3.9,0.0,,,,False,
2009-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.0286599971827,,,,,,1.207651772320463,0.8280532707524894,,1.207651772320463,,,6.0,3.7,0.0,,,,False,
2009-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.1761780447851,,,,,,1.2167674645673925,0.8218497199508359,,1.2167674645673925,,,3.8,2.4,0.0,,,,False,
2009-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.3577130790497,,,,,,1.231861418275118,0.8117796248544127,,1.231861418275118,,,5.5,3.4,0.0,,,,False,
2009-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.5728691442969,,,,,,1.2416241497404743,0.8053967057656063,,1.2416241497404743,,,5.1,3.2,0.0,,,,False,
2009-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.8212348103111,,,,,,1.2518809571169154,0.798797996179287,,1.2518809571169154,,,4.4,2.7,0.0,,,,False,
2009-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.10238311210958,,,,,,1.2570049054769212,0.7955418436657486,,1.2570049054769212,,,2.2,1.4,0.0,,,,False,
2009-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.41587150889387,,,,,,1.2591849622057356,0.7941645032420679,,1.2591849622057356,,,1.9,1.2,0.0,,,,False,
2009-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.76124186315027,,,,,,1.2545438474898525,0.797102470352746,,1.2545438474898525,,,1.1,0.7,0.0,,,,False,
2009-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.13802044080126,,,,,,1.2452083517304309,0.803078455593659,,1.2452083517304309,,,0.8,0.6,0.8,,,,False,
2009-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.5457179332303,,,,,,1.2352855101757827,0.8095294502869209,,1.2352855101757827,,,1.8000001,1.2,0.0,,,,False,
2009-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.9838295019277,,,,,,1.2275493271753306,0.814631215106495,,1.2275493271753306,,,2.9,1.9,0.0,,,,False,
2009-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.4518348464241,,,,,,1.2171565284929111,0.821587015795088,,1.2171565284929111,,,5.6,3.5,0.0,,,,False,
2009-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.94919829609836,,,,,,1.2051865579710597,0.8297470573215713,,1.2051865579710597,,,7.0,4.3,0.0,,,,False,
2009-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.47536892636418,,,,,,1.1813082485333433,0.8465191039185183,,1.1813082485333433,,,4.4,2.8,0.0,,,,False,
2009-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.02978069965587,,,,,,1.1634153600353252,0.8595382477756153,,1.1634153600353252,,,3.3,2.1000001,0.0,,,,False,
2009-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.61185263154854,,,,,,1.1449991338187009,0.8733631061054932,,1.1449991338187009,,,2.5,1.7,0.0,,,,False,
2009-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.22098898226662,,,,,,1.1299188862705103,0.8850192807208226,,1.1299188862705103,,,3.7,2.4,0.0,,,,False,
2009-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,179.8565794737461,,,,,,1.1192329402830696,0.8934690572519123,,1.1192329402830696,,,6.3,4.0,0.0,,,,False,
2009-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.5179995323358,,,,,,1.1114771319262595,0.8997036207725994,,1.1114771319262595,,,7.5,4.7000003,0.0,,,,False,
2009-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,183.20461055713508,,,,,,1.104526297014926,0.9053654971389844,,1.104526297014926,,,4.2000003,2.8,0.0,,,,False,
2009-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,184.91576021388664,,,,,,1.0989357522268803,0.90997130448582,,1.0989357522268803,,,4.6,3.0,0.0,,,,False,
2009-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,186.6507827542573,,,,,,1.0933105532072809,0.9146532035810416,,1.0933105532072809,,,7.4,4.7000003,4.2000003,,,,False,
2009-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,188.40899936026275,,,,,,1.090195248244341,0.9172668855513796,,1.090195248244341,,,6.1,3.9,0.0,,,,False,
2009-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.18971851350915,,,,,,1.0889652062264248,0.9183029855152904,,1.0889652062264248,,,4.5,2.9,0.90000004,,,,False,
2009-02-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,191.9922363888519,,,,,,1.0939371454308988,0.9141293027453627,,1.0939371454308988,,,3.5,2.4,0.0,,,,False,
2009-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,193.81583727199117,,,,,,1.0971345975282647,0.9114651951117946,,1.0971345975282647,,,4.2000003,2.7,0.0,,,,False,
2009-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,195.6597940004531,,,,,,1.0992274089904486,0.90972986283013,,1.0992274089904486,,,2.0,1.4,0.0,,,,False,
2009-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,197.52336842733632,,,,,,1.1060518913726782,0.9041167126064391,,1.1060518913726782,,,2.1000001,1.5,0.0,,,,False,
2009-02-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,199.40581190712868,,,,,,1.1093747731352106,0.9014086350403426,,1.1093747731352106,,,3.6000001000000004,2.4,0.0,,,,False,
2009-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,201.30636580283752,,,,,,1.1122587871074112,0.8990713416619919,,1.1122587871074112,,,9.3,5.8,0.0,,,,False,
