date,rh,sw_in,sw_out,H,Rn,theta_1,ws,t_avg,G,LE,wd,t_min,t_max,Rn_subday_gaps,H_subday_gaps,LE_subday_gaps,G_subday_gaps,rso,flux,energy,ebc_cf,ebr_5day_clim,flux_corr,LE_corr,ebr_corr,ebr,H_corr,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,ET_fill_val
2008-01-01,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,143.14090953619188,,,,,,,,,,,,3.0,1.8000001,0.0,,,,False,
2008-01-02,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,143.6446348498701,,,,,,,,,,,,3.7,2.3,0.0,,,,False,
2008-01-03,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,144.18861475504536,,,,,,,,,,,,3.6000001000000004,2.2,0.0,,,,False,
2008-01-04,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,144.77270792111,,,,,,,,,,,,2.3,1.5,95.1,,,,False,
2008-01-05,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,145.39676041403115,,,,,,,,,,,,2.1000001,1.4,17.0,,,,False,
2008-01-06,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,146.06060548711562,,,,,,,,,,,,1.2,0.8,21.4,,,,False,
2008-01-07,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,146.76406336577818,,,,,,,,,,,,1.1,0.8,5.0,,,,False,
2008-01-08,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,147.50694102775654,,,,,,,,,,,,1.2,0.90000004,1.7,,,,False,
2008-01-09,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,148.28903198026615,,,,,,,,,,,,1.1,0.8,3.3,,,,False,
2008-01-10,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,149.1101160356178,,,,,,,,,,,,1.3000001,0.90000004,0.90000004,,,,False,
