date,rh,es,H,sw_out,sw_in,vpd,t_dew,vp,Rn,theta_1,ws,lw_in,t_avg,G,lw_out,LE,wd,t_min,t_max,Rn_subday_gaps,G_subday_gaps,H_subday_gaps,ppt,LE_subday_gaps,ASCE_ETo,rso,flux,energy,ebc_cf,ebr_5day_clim,flux_corr,LE_corr,ebr_corr,ebr,H_corr,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,ET_fill_val
2005-01-01,85.99633333333333,0.5022382905548547,,,,0.0061895833333333325,-3.1603500374665585,0.4960487072215214,5.6582083333333335,20.0,6.144517361111113,,-2.8086249999999997,1.583375,,,,-5.667000000000002,0.555,,,,,,,110.38147943244984,,4.074833333333333,1.1604028266510678,0.8617697036175,,,0.8617697036175,,,,,1.9,1.2,3.3,,,,False,
2005-01-02,86.72745833333332,0.4886639661832104,,,,0.006318749999999999,-3.4505373377592683,0.4823452161832106,30.95331250000001,20.0,,,-3.1082916666666662,2.2719166666666664,,,,-5.011,0.217,,,,,,,110.86825156934056,,28.681395833333344,1.1545350960841922,0.8661495032863661,,18.655172558361585,0.8661495032863661,,,,0.6425794586922157,1.4,0.90000004,0.0,,0.7139771445923665,0.6425794586922157,True,0.6425794586922157
2005-01-03,80.42060416666669,0.38481289609253305,14.042666666666667,,,0.007570833333333331,-6.6389115738618605,0.37724206275919975,14.690416666666662,20.0,3.869875,,-6.200562499999998,5.424645833333333,,19.604854166666673,25.86747916666667,-7.582999999999998,-5.126,,,,,,,111.39438979442544,33.64752083333334,9.26577083333333,1.1568236847503104,0.8644359665023981,38.924249033129506,22.67935963607582,0.8644359665023981,3.631378483081775,16.244889397053694,0.6733315250872133,0.7789258559099361,1.3000001,0.8,0.90000004,0.97365731988742,0.4356565653498809,0.3485252522799047,False,
2005-01-04,,,,,,,,,,20.0,,,,,,,,-8.824,-5.77,,,,,,,111.95981198797828,,,1.1709950627895498,0.8539745655441071,,5.838715648523076,0.8539745655441071,,,,0.2055869034845804,0.90000004,0.6,5.1,,0.3426448391409674,0.2055869034845804,True,0.2055869034845804
2005-01-05,89.84856250000001,0.2849635640690733,9.032250000000003,,,0.00295625,-10.388144796588373,0.28200731406907337,3.3779375,20.0,6.597333333333332,,-10.043208333333334,8.148770833333332,,5.640520833333333,22.72929166666667,-10.898,-8.911,,,,,,,112.56442731053644,14.672770833333336,-4.770833333333332,1.1767622842180574,0.8497893018932762,17.266363321641432,6.637552180012876,0.8497893018932762,-3.0755152838427966,10.628811141628553,0.19302835219569733,0.2271484846486565,0.8,0.5,11.8,0.454296969297313,0.3426448391409674,0.1713224195704837,False,
2005-01-06,84.9158125,0.18759805504183988,-7.9619375,,,0.0028625,-15.833139772906295,0.18473555504183986,7.5486875,20.0,3.0857291666666664,,-15.352937499999998,4.939583333333333,,-0.9187083333333336,238.4266875,-18.683,-10.951,,,,,,,113.2081358597355,-8.880645833333334,2.6091041666666666,1.1601733695268168,0.8619401429700594,-10.303088800032619,-1.0658609426956995,0.8619401429700594,-3.4037145571995495,-9.23722785733692,-0.03128444325121026,-0.0362953779405271,0.4,0.3,0.5,-0.12098459313509033,0.3426448391409674,0.1027934517422902,False,
2005-01-07,90.67304166666663,0.30745956015224546,-1.259708333333333,,,0.0029270833333333336,-9.571670920901212,0.3045324768189121,0.20531250000000004,20.0,3.4184791666666667,,-9.242958333333334,5.0303749999999985,,0.4831041666666666,204.08870833333336,-16.757,-6.992000000000001,,,,,,,113.89082831408959,-0.7766041666666663,-4.8250625,1.1533909086923908,0.8670087413240569,-0.8957281854859632,0.5572079537847469,0.8670087413240569,0.1609521465611412,-1.45293613927071,0.016545039509547124,0.01908289815426806,0.5,0.3,0.0,0.06360966051422688,0.13230734555881649,0.039692203667644935,False,
2005-01-08,,,,,,,,,,20.0,,,,,,,,-14.579,-9.781,,,,,,,114.61238556564864,,,1.1410529643172502,0.8763835082785579,,1.1272677721712248,0.8763835082785579,,,,0.039692203667644935,0.4,0.3,0.0,,0.13230734555881649,0.039692203667644935,True,0.039692203667644935
2005-01-09,,,,,,,,,,20.0,,,,,,,,,,,,,,,,115.37267834352082,,,1.1417257750488186,0.8758670618233537,,-0.3258922735333854,0.8758670618233537,,,,-0.011474986524172705,0.7,0.4,0.0,,-0.028687466310431762,-0.011474986524172705,True,-0.011474986524172705
2005-01-10,,,,,,,,,,20.0,,,,,,,,-7.938,-6.002999999999999,,,,,,,116.17156683028921,,,1.1508015193175904,0.8689595757511568,,1.2478103742301248,0.8689595757511568,,,,0.04393662689136059,0.3,0.2,0.0,,0.21968313445680293,0.04393662689136059,True,0.04393662689136059
2005-01-11,94.0021875,0.42697465415080665,,,,0.0024666666666666674,-5.156097793675952,0.4245079874841402,4.2489374999999985,20.0,,,-4.905187499999999,3.571708333333333,,,,-6.561,-1.7280000000000002,,,,,,,117.00890027338085,,0.6772291666666663,1.1651933448615228,0.8582266663382331,,3.9218622354247588,0.8582266663382331,,,,0.1348608770118987,0.5,0.4,0.3,,0.3371521925297467,0.1348608770118987,True,0.1348608770118987
2005-01-12,93.57541666666668,0.5287016652865629,,,,0.003347916666666666,-2.2336801903698977,0.5253537486198966,4.875583333333332,20.0,,,-1.9877708333333333,3.7178541666666662,,,,-4.402,-1.154,,,,,,,117.8845165934684,,1.1577291666666665,1.1807816672117235,0.846896617527423,,4.22071505472112,0.846896617527423,,,,0.14553648920832146,0.6,0.4,0.0,,0.3638412230208036,0.14553648920832146,True,0.14553648920832146
