date,sw_in,ws,lw_in,g_1,H,t_avg,LE,lw_out,sw_out,Corrected_Soil_Heat_Flux_Plates_Average_Plate_1_2_3_and_4,wd,G,g_2,Rn,t_min,t_max,Rn_subday_gaps,LE_subday_gaps,H_subday_gaps,ppt,G_subday_gaps,rso,flux,energy,ebr_corr,ebr,LE_corr,ebr_5day_clim,ebc_cf,flux_corr,H_corr,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,ET_fill_val
2018-05-25,238.7096666666666,2.002864289583333,362.3625,-2.4769572960645108,16.499018333333336,14.111347708333335,69.36282395833335,407.50625000000014,46.92179166666667,-4.57329867824959,183.44886916666664,-4.573298678249587,-6.669640060434665,146.64060416666663,7.926438,21.95898,0.0,0.0,0.0,6.858000000000001,0.0,364.20121280168416,85.86184229166669,151.21390284491622,0.7418953552726876,0.5678171165235112,93.49408035158636,0.8389183721525572,1.3478989899221632,115.7330904977936,22.239010146207253,2.4285727654511993,3.2734707775041456,6.6,5.2000003,7.6,0.6295135747403987,0.9513380478808032,4.946958134381591,False,
2018-05-26,228.21860416666664,2.0720109145833336,357.52083333333326,-5.775441510683751,16.626568749999993,11.563366479166662,90.18257374999996,405.52708333333334,44.48756250000002,-8.263518623535694,206.85950416666665,-8.263518623535697,-10.751595736387653,135.70441666666665,5.973766,17.51471,0.0,0.0,0.0,50.8,0.0,365.0963906140496,106.80914249999996,143.96793529020238,0.7331783324064988,0.7418953552726876,123.00223528700754,0.8394237284166389,1.363924649433811,145.6796222406384,22.6773869536309,3.1498475412707965,4.296154703497724,5.6,4.5,0.0,0.9547010452217162,0.9644282312835212,4.339927040775846,False,
2018-05-27,356.3520833333334,2.1167938125000005,316.7937500000001,7.661343764230059,15.476114166666667,13.0074801875,133.66565708333334,406.2895833333335,71.84091666666664,7.055672784749699,189.0677291666666,7.055672784749691,6.450001805269332,194.98443749999996,2.896193,21.85098,0.0,0.0,0.0,0.254,0.0,365.9571037879031,149.14177125,187.92876471525025,0.7418953552726876,0.7936080007548589,180.16780416990727,0.8398782738726646,1.3478989899221632,201.02804282307733,20.86023865317008,4.675044574081592,6.301487859245667,7.9,6.1,0.0,1.0330307965976504,0.9710070008672844,5.9231427052904335,False,
2018-05-28,358.3119583333332,1.774680591666666,311.7291666666667,8.584654332944236,10.04675291666666,14.548331958333335,148.4953391666666,403.62708333333336,75.17479166666669,9.536232063118456,213.85735625,9.536232063118456,10.487809793292644,191.2643125,4.7240980000000015,23.06959,0.0,0.0,0.0,0.0,0.0,366.7832435107061,158.54209208333333,181.72808043688156,0.7712635644041983,0.8724138377634971,192.53514105956685,0.8381021326823227,1.2965736307957199,205.56149596643684,13.026354906869983,5.201382475503063,6.743975361420237,8.400001,6.4,0.0,1.053746150221912,0.947145709488608,6.0617325407270926,False,
2018-05-29,322.98268750000005,1.771592541666667,318.69166666666666,4.390401950647291,3.361882291666664,14.914655937499996,140.714990625,399.8708333333333,66.06864583333333,5.504297026491362,185.69566104166668,5.50429702649136,6.618192102335433,175.74827083333332,5.006154,24.21591,0.0,0.0,0.0,0.508,0.0,367.5747069078925,144.07687291666667,170.2439738068419,0.7712635644041983,0.8462964632165816,182.44734630204198,0.8355905530645931,1.2965736307957199,186.80627423125603,4.358927929214082,4.930587138487847,6.392869268103868,7.4,5.9,0.6,1.0835371640854012,1.0225731542928898,6.033181610328049,False,
2018-05-30,265.1452083333333,1.7426356375,341.4249999999999,-4.56050271752388,7.453511249999997,12.345985833333332,102.194860625,402.25625,50.31900000000001,-5.572188008958221,170.61519249999995,-5.57218800895822,-6.583873300392562,153.99162499999997,4.113832,19.57998,0.0,0.0,0.0,34.797999999999995,0.0,368.33139692264234,109.64837187499998,159.5638130089582,0.7712635644041983,0.687175681047708,132.5031614892188,0.8325538596081871,1.2965736307957199,142.16718763280804,9.664026143589243,3.5720743292164685,4.631457382504382,5.8,4.8,0.5,0.964886954688413,0.9990554928887034,4.795466365865776,False,
2018-05-31,193.65325,2.7453734750000005,355.57083333333327,-23.488373370600854,13.46132958333333,8.623827270833333,60.75602083333333,407.74583333333334,40.84687500000001,-26.162659994406226,190.1343583333333,-26.162659994406233,-28.836946618211613,100.63229166666666,4.467503,11.92318,0.0,0.0,0.0,0.0,0.0,369.0532222067364,74.21735041666666,126.79495166107289,0.7746196862685267,0.5853336386376967,78.43335498740717,0.829874090748925,1.2909560881639457,95.81134036779275,17.37798538038559,2.1161160070747167,2.7318128425942843,3.8,3.0,0.8,0.9106042808647614,0.9849643465035776,2.9548930395107327,False,
2018-06-01,366.5733124999999,1.5046756020833334,311.4250000000001,6.668766483534436,34.13814333333334,9.085336075625,123.17038666666666,409.7208333333333,75.77170833333331,8.703807735699726,170.104338125,8.703807735699732,10.738848987865019,192.51812500000008,0.03546293,18.25977,0.0,0.0,0.0,0.0,0.0,369.7400970221004,157.30853000000002,183.81431726430037,0.7724722545454318,0.855801290896244,159.44959309787427,0.8263906444231249,1.2945448773282595,203.6429516715388,44.193358573664554,4.291876937974184,5.556027304177777,6.0,4.8,0.0,1.15750568837037,0.9881776775836882,4.743252852401703,False,
2018-06-02,364.78008333333327,1.6610454104166663,303.1625,18.09694951404091,15.572931458333331,15.487932000000002,104.449666875,400.8666666666668,76.19645833333334,20.22616236999324,90.55146541666667,20.22616236999324,22.35537522594558,190.8370833333333,2.323498,24.639,0.0,0.0,0.0,0.0,0.0,370.3919411525745,120.02259833333332,170.61092096334008,0.7724722545454318,0.7034871956357536,135.2147811916744,0.8236420076898711,1.2945448773282595,155.37463983604394,20.159858644369518,3.661877294001626,4.740464492354473,7.8,6.0,0.0,0.7900774153924122,0.9930125541560428,5.9580753249362575,False,
2018-06-03,333.2300208333333,1.5529914395833335,312.02083333333337,1.4511287789463894,-10.705736875,18.366197625,148.23630500000002,395.3666666666666,69.02272916666666,10.492556336966343,160.95334791666667,10.49255633696634,19.53398389498629,180.82062499999995,7.262897,26.72448,0.0,0.0,0.0,0.0,0.0,371.0086798253868,137.530568125,170.3280686630336,0.7746196862685267,0.8074451216674209,191.36656042667752,0.8207092905340772,1.2909560881639457,177.545924229615,-13.820636197062502,5.211353275059027,6.727628238010566,9.7,7.2000003,0.0,0.9343927719017686,0.9754022031254366,7.022896155123805,False,
