date,lw_out,es,rh,H,LE,t_avg,Rn,sw_out,G,g_2,ws,vpd,g_3,sw_in,t_dew,vp,wd,g_1,theta_1,lw_in,t_min,t_max,G_subday_gaps,LE_subday_gaps,H_subday_gaps,ppt,Rn_subday_gaps,ASCE_ETo,rso,flux,energy,H_corr,ebr,flux_corr,ebr_5day_clim,ebc_cf,LE_corr,ebr_corr,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,ET_fill_val
2005-01-01,367.81354166666665,,74.32859352624997,13.321068837083338,,,37.09631154166666,13.654969527083347,-0.2858611111354171,,1.2778363749999997,0.4635959811875001,,,,,210.73475624999992,,31.71041666666665,313.7112916666668,,,1,33,0,0.0,0,,142.64836101146508,,37.382172652802076,13.557261028011515,,,0.9825781778162886,1.017730723699187,,0.9825781778162886,,,2.9,1.9,0.0,,,,False,
2005-01-02,368.1180625,,81.20932729250002,8.213977954374998,,,41.75579520833333,13.297731020833336,0.09259027779166662,,1.178427916666667,0.35134107004166665,,99.69806591458335,,,110.91429375000004,0.09259027779166662,31.4916666666667,323.4660416666666,,,0,32,0,0.0,0,,143.12352284073532,,41.66320493054166,8.599245977407692,,,0.9551974645166694,1.0469039514316558,,0.9551974645166694,,,2.5,1.7,0.0,,,,False,
2005-01-03,374.23627083333344,,84.76246579291666,10.104585265833327,,,40.77617912500001,12.7960859375,0.4237013888854169,,1.4620960208333338,0.3108839892583334,,96.27494597916665,,,211.22831458333337,,31.289583333333336,331.52370833333333,,,1,35,0,0.0,0,,143.6365405722806,,40.352477736114594,10.890712258189764,,,0.9278167512170501,1.0777990359500027,,0.9278167512170501,,,3.6000001000000004,2.3,0.0,,,,False,
2005-01-04,391.2647916666667,,73.18374843958331,0.2379873566666664,,,45.94744562500002,14.288276697916665,2.2968020832083336,,2.162777395833334,0.57516574481875,,108.28509739583332,,,231.35902083333332,,31.097916666666674,343.2055625000001,,,1,34,0,0.0,0,,144.1872685996629,,43.65064354179169,0.2518694331390228,,,0.9448838380293092,1.0583311511451434,,0.9448838380293092,,,3.6000001000000004,2.3,0.0,,,,False,
2005-01-05,392.846125,,76.56157036333336,-3.0665652237499987,,,31.813838541666673,14.752339000000001,2.6124895833437503,,2.522710833333333,0.5072776940312501,,104.49752218750002,,,225.1252291666666,,30.89166666666664,334.92866666666674,,,1,33,0,0.0,0,,144.77554864033087,,29.201348958322924,-3.231767968309749,,,0.9488816195408508,1.0538722422338465,,0.9488816195408508,,,4.4,2.8,0.0,,,,False,
2005-01-06,395.77743750000013,,78.80840337937502,-24.03783130208333,,,12.738974583333334,11.2678085625,2.263270833374999,,2.826893333333333,0.4773971460729167,,79.70155770833333,,,212.4399375,,30.691666666666652,340.0896041666668,,,1,35,0,0.0,0,,145.4012095682745,,10.475703749958337,-25.96797478802937,,,0.9256721595849752,1.0802960742044458,,0.9256721595849752,,,5.0,3.1000001,0.0,,,,False,
2005-01-07,370.90006249999993,,76.04942181854166,17.859684533541667,,,42.35416208333335,14.851854499999995,-0.6086805555416667,,1.844705375,0.3585640894312499,,109.37365210416664,,,111.53034375,-0.6086805555416667,30.468750000000025,318.681625,,,0,33,0,0.0,0,,146.06406724264085,,42.962842638875024,19.789942056199948,,,0.9024626996290998,1.1080790379602246,,0.9024626996290998,,,3.8,2.4,0.0,,,,False,
2005-01-08,385.7445,,81.88439338833331,10.27576831729167,,,35.36268374999997,9.004998493958333,0.9262569444791664,,2.1029326875,0.3723382250375001,,71.1749325833333,,,204.19760354166667,0.9262569444791664,30.297916666666666,359.0016249999998,,,0,33,0,0.0,0,,146.76392433356787,,34.4364268055208,11.021779890771501,,,0.932314782106612,1.07259910407132,,0.932314782106612,,,4.9,3.1000001,0.0,,,,False,
2005-01-09,347.36279166666674,,74.50156363666667,25.375716757083325,,,31.51512333333334,14.433075541666662,-3.4299513888749997,,1.8950548958333329,0.2778146595937501,,101.84887299999998,,,62.66821979166666,-3.4299513888749997,30.152083333333305,291.4389166666666,,,0,33,0,0.0,0,,147.50057014653999,,34.94507472220834,25.843603488832176,,,0.9818954530876068,1.0184383651594096,,0.9818954530876068,,,2.4,1.6,0.0,,,,False,
2005-01-10,351.59091666666666,,87.11283272187502,12.813502331666665,,,28.887500833333334,11.163103270833336,-4.0838124999583325,,1.5862813333333332,0.20336666538333334,,79.96764762500001,,,193.64044583333333,-4.0838124999583325,30.05625000000001,311.68375,,,0,31,0,0.0,0,,148.2737804465921,,32.971313333291675,12.463258433133152,,,1.0281021131361925,0.9726660292035898,,1.0281021131361925,,,3.3,2.2,0.0,,,,False,
2005-01-11,357.125125,,83.04632975937501,0.272464677916666,,,24.10330395833334,11.175684043749998,-2.7251597222291664,,1.2276603125,0.25226724805624995,,82.66497883333334,,,103.20531083333331,-2.7251597222291664,29.958333333333357,309.7118124999999,,,0,30,0,0.0,0,,149.08331728371843,,26.828463680562507,0.2536185915236894,,,1.0743087731847778,0.9308310840983918,,1.0743087731847778,,,3.0,2.0,0.0,,,,False,
2005-01-12,382.9248333333333,,83.51061385270832,10.363290888854165,,,57.19353354166666,14.02900310416667,0.3164722221874999,,1.814394541666668,0.3641360335395834,,104.28006283333332,,,198.01208333333335,0.3164722221874999,29.858333333333306,349.8966458333333,,,0,36,1,0.1,0,,149.92892882085246,,56.87706131947916,9.2542082681874,,,1.1198463000318877,0.8929796883478786,,1.1198463000318877,,,3.6000001000000004,2.4,0.0,,,,False,
