date,theta_14,theta_10,WS_1_3_1,theta_6,theta_30,theta_9,theta_11,theta_39,theta_15,g_3,WD_1_1_1,es,theta_4,sw_out,WD_1_3_1,theta_16,theta_17,theta_7,theta_8,lw_in,theta_32,theta_20,sw_in,theta_22,g_2,theta_5,theta_27,theta_13,lw_out,wd,ws,theta_12,theta_21,SW_IN_1_1_1,theta_28,t_avg,theta_mean,t_dew,theta_19,theta_2,rh,WS_1_2_1,WD_1_4_1,theta_3,theta_34,theta_36,theta_38,theta_24,WS_1_1_1,WS_1_4_1,theta_25,Rn,theta_23,theta_40,H,vp,theta_1,theta_26,SW_IN_1_1_2,LE,g_1,vpd,theta_29,theta_18,theta_37,theta_33,theta_31,theta_35,G,WD_1_2_1,t_min,t_max,Rn_subday_gaps,G_subday_gaps,H_subday_gaps,ppt,LE_subday_gaps,ASCE_ETo,rso,flux,energy,ebc_cf,ebr_5day_clim,flux_corr,LE_corr,ebr_corr,ebr,H_corr,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,ET_fill_val
2018-04-30,,,4.310833333333332,,,,,,,,,1.3267225394934017,,35.767291666666665,,,,,,324.5083333333334,,,169.27437500000005,,,,,,371.35416666666674,315.18823634766085,4.3530319302179885,,,170.56541666666666,,10.840865293699368,,6.683214166921612,,,76.58854166666666,5.3947916666666655,,,,,,,,2.7606249999999988,,87.95229166666665,,,43.00964478043512,1.0034894144934017,,,167.98333333333332,,,0.32323312499999995,,,,,,,7.083503472222223,,5.13017012948114,15.9989283079747,0.0,12.0,0.0,2.49,48.0,2.4660389626610892,318.9428469514092,,80.86878819444443,,,,,,,,,,2.2,1.9,4.0,,,,False,
2018-05-01,,,1.9620833333333327,,,,,,,,,0.9533228523520211,,25.97833333333333,,,,,,314.01041666666674,,,130.84947916666667,,,,,,346.8895833333333,,2.1076770166771466,,,131.50729166666667,,5.986455357267537,,2.6177920463860964,,,80.45166666666668,2.2535416666666666,,,,,,,,1.2795833333333333,,72.64979166666667,,,32.96053925367166,0.7477905606853542,,,130.1916666666667,,,0.20553229166666676,,,,,,,,,1.78304879876714,10.6987199307935,0.0,11.0,0.0,0.0,48.0,1.7031638365456452,320.8073980377369,,,,,,,,,,,,2.1000001,1.8000001,0.0,,,,False,
2018-05-02,,,2.712916666666666,,,,,,,,,1.5076992786750223,,,,,,,,292.2062499999999,,,241.00812500000004,,,,,,373.9229166666667,268.8508241612168,2.7978583713060403,,,,,12.361514353184836,,2.7897423045869267,,,56.52729166666666,3.58625,,,,,,,,1.362291666666667,,,,,63.58340651893445,0.7658169870083557,,,237.475,,,0.7418822916666664,,,,,,,6.210614583333332,,4.02918802477831,18.562564351046802,6.0,10.0,0.0,0.0,48.0,3.6386808911328776,322.6419079311522,,,,,,,,,,,,5.4,4.1,0.0,,,,False,
2018-05-03,,,2.322083333333333,,,,,,,,,1.757744836106838,,,,,,,,293.8791666666668,,,279.39458333333334,,,,,,388.35625,261.2706179024028,2.474116857767036,,,,,14.575291914458091,,0.1542551487823355,,,38.55791666666666,3.0293750000000004,,,,,,,,1.1949999999999996,,,,,70.99200828212675,0.6293260861068379,,,277.01666666666665,,,1.12841875,,,,,,,7.503677083333333,,4.52902636466695,21.765216248617396,13.0,12.0,0.0,0.0,48.0,4.52342206500712,324.445939143902,,,,,,,,,,,,6.8,5.0,0.0,,,,False,
2018-05-04,,,2.8508333333333336,,,,,,,,,2.2461800581477083,,56.03104166666667,267.4841666666667,,,,,315.91666666666674,,,276.85541666666666,,,,,,403.10625,273.83618584694904,2.9177592094577145,,,,,18.12713341102421,,,,,30.67083333333333,3.6897916666666686,287.85729166666675,,,,,,,1.5343749999999996,,,,,51.74634615736176,0.6161530225819701,,,275.50416666666666,,,,,,,,,,8.562201388888889,,6.5140617186953,25.7294433815098,8.0,11.0,0.0,0.0,48.0,5.484339530412449,326.21906608569475,,,,,,,,,,,,8.2,5.8,0.0,,,,False,
2018-05-05,,,3.2787499999999987,,,,,,,,,2.3002183867229915,,61.13770833333332,,,,,,317.24999999999994,,,298.71791666666667,,,,,,415.06041666666647,,3.3555331561092667,,,,,19.12485245410782,,3.772019985274471,,,37.7725,4.117708333333335,,,,,,,,2.0275000000000003,,,,,55.50487076181145,0.8151090117229912,,,295.77708333333334,,,1.4851093750000004,,,,,,,,,11.4146974466532,25.2789514573051,9.0,11.0,0.0,0.0,48.0,5.804648038309845,327.9608748552929,,,,,,,,,,,,7.6,5.5,0.0,,,,False,
2018-05-06,,,1.9391666666666671,,,,,,,,,2.369833099337292,,62.27604166666668,,,,,,316.2687499999999,,,306.13885416666665,,,,,,414.66875000000016,237.1944483895108,2.1324014213678484,,,,,19.40615413437053,,3.5237054083482646,,,36.88833333333333,2.5995833333333342,245.644375,,,,,,,0.8852083333333335,,,,,71.14219010919184,0.7988449743372921,,,304.23750000000007,,,1.5709881250000004,,,,,,,,,10.6491845234656,25.891730698385306,2.0,11.0,0.0,0.0,48.0,5.262725550660969,329.67096302884244,,,,,,,,,,,,6.8,5.3,0.0,,,,False,
2018-05-07,,,3.096041666666668,,,,,,,,,2.42703756056485,,43.67833333333332,,,,,,348.24166666666656,,,217.9221875,,,,,,412.6708333333332,,3.1106301565930217,,,218.35479166666667,,20.13230538896739,,,,,48.11479166666666,4.070833333333334,,,,,,,,1.4852083333333337,,110.24729166666664,,,27.536246637772397,1.1769338879711235,,,217.48958333333337,,,,,,,,,,8.817513888888888,,14.1251159185993,27.036940786627497,0.0,11.0,0.0,0.0,48.0,4.9896837374691225,331.34893944631006,,101.42977777777777,,,,,,,,,,8.1,5.7000003,2.1000001,,,,False,
2018-05-08,,,2.1539583333333336,,,,,,,,,1.7226973037930338,,25.07395833333333,,,,,,340.68333333333334,,,124.59322916666672,,,,,,383.0791666666665,,2.11693838879307,,,126.86770833333333,,15.052928901790395,,12.012632576882984,,,82.88,2.5029166666666662,,,,,,,,1.1991666666666672,,59.39791666666667,,,7.856641151973331,1.4276943871263672,,,122.31874999999998,,,0.2950029166666667,,,,,,,5.260260416666665,,11.1720300584148,18.7233437409527,0.0,12.0,0.0,0.498,48.0,2.0807880845472964,332.9944239973802,,54.13765625,,,,,,,,,,4.0,3.5,1.8000001,,,,False,
2018-05-09,,,4.252916666666667,,,,,,,,,1.8450213275454248,,49.131041666666654,,,,,,332.4562499999999,,,246.4232291666666,,,,,,397.5916666666666,,4.161982201122253,,,,,15.906094369759018,,8.617115591116585,,,64.56291666666668,5.1152083333333325,,,,,,,,2.544166666666668,,,,,37.42901601003853,1.1724157025454252,,,243.34583333333327,,,0.6726056250000001,,,,,,,,,8.89190220233917,20.8432009597372,4.0,10.0,0.0,0.498,48.0,3.925411544384174,334.6070474081397,,,,,,,,,,,,4.9,3.8,0.0,,,,False,
2018-05-10,,,,,,,,,,,,0.8927032762781356,,13.049791666666666,,,,,,308.575,,,66.94395833333336,,,,,,340.95416666666665,101.23283526090195,3.0569159690728958,,,69.37958333333333,,5.267842212730574,,,,,55.520208333333336,3.6839583333333343,,,,,,,,,,23.950625,,,6.634493856929963,0.4951490479719642,,,64.50833333333334,,,,,,,,,,-2.46928125,101.67666666666665,2.18275899923816,8.0200640381932,0.0,11.0,0.0,0.0,48.0,1.6834436840458065,336.18645102983777,,26.41990625,1.4168171121492354,0.7058073984461225,,,0.7058073984461225,,9.399864426947355,,,3.0,2.2,0.6,,,,False,
2018-05-11,,,2.443333333333333,,,,,,,,,1.0548094481981394,,15.963958333333332,,,,,,344.16041666666666,,,80.71552083333331,,,,,,354.77083333333326,,2.540537019487799,,,83.251875,,7.7089925449521015,,0.6906103190719554,,,62.74541666666668,3.0812499999999994,,,,,,,,1.348958333333333,,56.6775,,,11.623300902652204,0.6695021565314728,,,78.17916666666669,,,0.3853072916666666,,,,,,,0.20552430555555568,,5.93666944760656,10.0994055517517,0.0,12.0,0.0,1.993,48.0,1.7582993795462443,337.73228663097353,,56.47197569444445,1.4168171121492354,0.7058073984461225,,,0.7058073984461225,,16.468091618537294,,,3.7,2.8,3.7,,,,False,
2018-05-12,,,1.5716666666666668,,,,,,,,224.00382214628843,1.265953965447483,,23.02083333333333,,,,,,351.8062500000001,,,127.74864583333334,,,,,,370.39166666666665,224.52439263037704,1.7043345712754248,,,130.605625,,10.31264551561179,,,,,70.23229166666668,1.979375,,,,,,,2.4506716184350323,0.8156250000000003,,88.99937499999999,,,25.354762391460294,,,,124.89166666666668,,,,,,,,,,,,7.30019608808874,13.3113256045701,0.0,10.0,0.0,0.0,48.0,,339.2442161939101,,,1.4168171121492354,0.7058073984461225,,,0.7058073984461225,,35.92306123069882,,,2.8,2.2,0.0,,,,False,
2018-05-13,,,2.117500000000001,,,,,,,,258.8672373289526,1.84187604362577,,48.00958333333333,260.0422916666667,,,,,353.04166666666674,,,267.794375,,,,,,407.2875,261.63642337406156,2.2792439246071794,,,268.7408333333332,,15.676498153642758,,9.916125908685936,,,69.79562500000002,2.7406249999999988,,,,,,,3.3194756984287177,0.939375,,166.48541666666668,,,70.79609627434144,1.241448335292436,,,266.84791666666666,,,0.6004277083333333,,,,,,,13.380472222222226,256.8710416666666,10.300827096388199,21.8240071610569,0.0,12.0,0.0,0.0,48.0,4.018727693818209,340.7219117171589,,153.10494444444447,1.4168171121492354,0.7058073984461225,,,0.7058073984461225,,100.30512067485168,,,5.6,4.3,2.4,,,,False,
2018-05-14,,,1.8254166666666676,,,,,,,,,2.2040270354218245,,44.42437499999999,,,,,,332.66041666666666,,,244.5815625,,,,,,412.2770833333333,,1.9432392819479103,,,,,18.49816533085563,,8.087983119753254,,,53.021041666666676,2.2670833333333333,,,,,,,,0.9491666666666668,,,,,37.82411713726167,1.108013285421825,,,245.24375,,,1.09601375,,,,,,,,,11.5939921916842,25.057520938046498,7.0,11.0,0.0,0.0,48.0,4.36256431444445,342.16505502441737,,,1.4168171121492354,0.7058073984461225,,,0.7058073984461225,,53.589856412009496,,,6.0,4.6,0.0,,,,False,
